date,mktcap,vol,open_price,close_price
2021-10-04,191458,9418.70,0.00480015,0.00476179
2021-10-03,199584,8136.99,0.00500651,0.00480015
2021-10-02,195903,13333.51,0.00491238,0.00500651
2021-10-01,171798,22233,0.00430952,0.00491238
2021-09-30,146272,2190.06,0.00367996,0.00430952
2021-09-29,161044,19553.32,0.00402195,0.00367996
2021-09-28,168057,31442,0.00428190,0.00402195
2021-09-27,161397,7735.06,0.00405027,0.00428190
2021-09-26,188964,604.73,0.00475315,0.00405027
2021-09-25,191073,1796.98,0.00494726,0.00475315
2021-09-24,213638,1234.36,0.00535188,0.00494726
2021-09-23,205348,714.08,0.00515110,0.00535188
2021-09-22,190877,2015.06,0.00478810,0.00515110
2021-09-21,203886,6214.28,0.00514257,0.00478810
2021-09-20,222655,644.61,0.00558525,0.00514257
2021-09-19,220438,2519.52,0.00553595,0.00558525
2021-09-18,222377,3036.10,0.00558468,0.00553595
2021-09-17,215658,1445.15,0.00541403,0.00558468
2021-09-16,227220,2168.55,0.00571121,0.00541403
2021-09-15,209449,1802.52,0.00524674,0.00571121
2021-09-14,196881,37168,0.00494042,0.00524674
2021-09-13,219447,289.44,0.00549455,0.00494042
2021-09-12,219612,1533.91,0.00559222,0.00549455
2021-09-11,208012,2245.42,0.00521513,0.00559222
2021-09-10,228136,503.61,0.00572274,0.00521513
2021-09-09,232511,2906.66,0.00582695,0.00572274
2021-09-08,247059,4513.48,0.00617995,0.00582695
2021-09-07,264140,17475.34,0.00672957,0.00617995
2021-09-06,251593,1902.14,0.00631211,0.00672957
2021-09-05,257181,1863.97,0.00651157,0.00631211
2021-09-04,250917,2003.97,0.00629419,0.00651157
2021-09-03,259165,898.55,0.00648996,0.00629419
2021-09-02,255026,1295.42,0.00647659,0.00648996
2021-09-01,254097,1649.62,0.00646840,0.00647659
2021-08-31,261121,1342.37,0.00654584,0.00646840
2021-08-30,269686,1736.77,0.00677228,0.00654584
2021-08-29,260965,1944.21,0.00653987,0.00677228
2021-08-28,255596,989.77,0.00642322,0.00653987
2021-08-27,256008,2203.21,0.00642190,0.00642322
2021-08-26,258747,6451.21,0.00648998,0.00642190
2021-08-25,258853,2534.33,0.00648118,0.00648998
2021-08-24,274578,4882.09,0.00687944,0.00648118
2021-08-23,270435,4468.22,0.00678210,0.00687944
2021-08-22,263259,13376.75,0.00658218,0.00678210
2021-08-21,268899,2380.14,0.00675637,0.00658218
2021-08-20,250365,7592.39,0.00638708,0.00675637
2021-08-19,263991,12587.51,0.00661764,0.00638708
2021-08-18,294950,2571.82,0.00712185,0.00661764
2021-08-17,303804,1216.06,0.00760839,0.00712185
2021-08-16,298770,1550.68,0.00749354,0.00760839
2021-08-15,299173,4895.62,0.00750468,0.00749354
2021-08-14,291977,2023.50,0.00732640,0.00750468
2021-08-13,298578,4737.18,0.00723990,0.00732640
2021-08-12,269840,3235.69,0.00676635,0.00723990
2021-08-11,274347,867.06,0.00688847,0.00676635
2021-08-10,290348,10911.58,0.00725793,0.00688847
2021-08-09,279746,5094.64,0.00696786,0.00725793
2021-08-08,282685,13072.64,0.00747711,0.00696786
2021-08-07,246633,4089.26,0.00617178,0.00747711
2021-08-06,229994,1400.93,0.00576479,0.00617178
2021-08-05,225769,693.49,0.00571160,0.00576479
2021-08-04,234023,582.39,0.00588487,0.00571160
2021-08-03,231479,543.99,0.00580475,0.00588487
2021-08-02,239469,2473.86,0.00580188,0.00580475
2021-08-01,219212,651.97,0.00550896,0.00580188
2021-07-31,219734,892.13,0.00552281,0.00550896
2021-07-30,228823,2357.13,0.00577045,0.00552281
2021-07-29,213809,2859.34,0.00538219,0.00577045
2021-07-28,211553,6800.05,0.00529850,0.00538219
2021-07-27,203326,3171.01,0.00507151,0.00529850
2021-07-26,195343,1744.34,0.00496120,0.00507151
2021-07-25,199984,2109.44,0.00503340,0.00496120
2021-07-24,188444,1034.56,0.00473527,0.00503340
2021-07-23,195404,2275.98,0.00490166,0.00473527
2021-07-22,199849,1287.96,0.00504044,0.00490166
2021-07-21,204502,2919.20,0.00512989,0.00504044
2021-07-20,219866,1074.08,0.00552116,0.00512989
2021-07-19,224430,356.84,0.00562212,0.00552116
2021-07-18,235954,1081.79,0.00591885,0.00562212
2021-07-17,237499,1746.48,0.00590261,0.00591885
2021-07-16,239719,7762.57,0.00601329,0.00590261
2021-07-15,239991,12112.76,0.00601915,0.00601329
2021-07-14,243611,1630.87,0.00610429,0.00601915
2021-07-13,251923,912.46,0.00631313,0.00610429
2021-07-12,267682,330.31,0.00674315,0.00631313
2021-07-11,275125,364.49,0.00691375,0.00674315
2021-07-10,279739,1172.57,0.00701644,0.00691375
2021-07-09,278329,2047.04,0.00698183,0.00701644
2021-07-08,271281,1554.98,0.00678628,0.00698183
2021-07-07,263661,2566.43,0.00660717,0.00678628
2021-07-06,263314,6109.01,0.00659045,0.00660717
2021-07-05,277442,8041.84,0.00710945,0.00659045
2021-07-04,267975,1618.87,0.00670438,0.00710945
2021-07-03,268036,926.39,0.00672861,0.00670438
2021-07-02,279984,2843.35,0.00702435,0.00672861
2021-07-01,277918,5243.88,0.00698157,0.00702435
2021-06-30,275421,3573.38,0.00689488,0.00698157
2021-06-29,284165,4795.99,0.00714462,0.00689488
2021-06-28,274177,3526.25,0.00688184,0.00714462
2021-06-27,276856,1620.08,0.00695760,0.00688184
2021-06-26,291586,9141.36,0.00730969,0.00695760
2021-06-25,306870,16955.96,0.00768418,0.00730969
2021-06-24,304196,4130.36,0.00760953,0.00768418
2021-06-23,283671,3544.46,0.00712325,0.00760953
2021-06-22,275926,12537.17,0.00700941,0.00712325
2021-06-21,392220,13722.45,0.01001829,0.00700941
2021-06-20,415869,2479.51,0.01043198,0.01001829
2021-06-19,423162,8320.35,0.01062342,0.01043198
2021-06-18,450641,5161.52,0.01128633,0.01062342
2021-06-17,458971,7717.15,0.01159632,0.01128633
2021-06-16,460056,17523.13,0.01124348,0.01159632
2021-06-15,451346,8212.11,0.01123666,0.01124348
2021-06-14,431695,16606.53,0.01094041,0.01123666
2021-06-13,440262,59298,0.01103328,0.01094041
2021-06-12,513243,114005,0.01319196,0.01103328
2021-06-11,422758,5761.83,0.01060489,0.01319196
2021-06-10,441447,14139.26,0.01113579,0.01060489
2021-06-09,424482,9202.19,0.01063653,0.01113579
2021-06-08,446370,4081.41,0.01117412,0.01063653
2021-06-07,447005,8748.42,0.01121302,0.01117412
2021-06-06,454961,9861.88,0.01141512,0.01121302
2021-06-05,458967,102710,0.01130280,0.01141512
2021-06-04,448535,10564.28,0.01125468,0.01130280
2021-06-03,430467,15263.47,0.01078270,0.01125468
2021-06-02,417717,9772.00,0.01047907,0.01078270
2021-06-01,455244,22350,0.01100129,0.01047907
2021-05-31,434775,9939.54,0.01059550,0.01100129
2021-05-30,444265,8378.55,0.01110344,0.01059550
2021-05-29,456287,17094.34,0.01130717,0.01110344
2021-05-28,494607,16957.89,0.01239620,0.01130717
2021-05-27,503218,19347.63,0.01234749,0.01239620
2021-05-26,483074,21446,0.01210446,0.01234749
2021-05-25,490781,52641,0.01303219,0.01210446
2021-05-24,450390,36717,0.01138514,0.01303219
2021-05-23,506962,43528,0.01251160,0.01138514
2021-05-22,509786,87572,0.01274579,0.01251160
2021-05-21,686740,484790,0.01561947,0.01274579
2021-05-20,621054,458889,0.01501972,0.01561947
2021-05-19,514924,25879,0.01306835,0.01501972
2021-05-18,506674,42196,0.01270374,0.01306835
2021-05-17,598090,40806,0.01549356,0.01270374
2021-05-16,655623,123335,0.01632342,0.01549356
2021-05-15,662449,109418,0.01660040,0.01632342
2021-05-14,679991,299116,0.01647648,0.01660040
2021-05-13,738456,541639,0.01856786,0.01647648
2021-05-12,583667,79941,0.01420480,0.01856786
2021-05-11,631858,96115,0.01585003,0.01420480
2021-05-10,741359,116953,0.01855383,0.01585003
2021-05-09,856545,359545,0.02072261,0.01855383
2021-05-08,1149496,1774100,0.03054174,0.02072261
2021-05-07,820504,424778,0.01998529,0.03054174
2021-05-06,439801,96728,0.01130992,0.01998529
2021-05-05,438110,35220,0.01092865,0.01130992
2021-05-04,479669,110274,0.01199881,0.01092865
2021-05-03,450782,18585.73,0.01130960,0.01199881
2021-05-02,458733,22189,0.01130351,0.01130960
