date,mktcap,vol,open_price,close_price
2021-10-04,12273180,502163,0.423899,0.396344
2021-10-03,11761871,533848,0.401865,0.423899
2021-10-02,12118633,479517,0.415803,0.401865
2021-10-01,11526015,830072,0.393393,0.415803
2021-09-30,9951257,402613,0.340562,0.393393
2021-09-29,9623230,867986,0.324834,0.340562
2021-09-28,10043059,1071347,0.341729,0.324834
2021-09-27,9135880,1352256,0.315543,0.341729
2021-09-26,10102658,449152,0.352558,0.315543
2021-09-25,10415028,691432,0.361288,0.352558
2021-09-24,11277774,1087357,0.390742,0.361288
2021-09-23,10992636,575152,0.379281,0.390742
2021-09-22,10254531,977120,0.353252,0.379281
2021-09-21,10435522,760111,0.354015,0.353252
2021-09-20,12406294,882832,0.423290,0.354015
2021-09-19,13690880,1546962,0.468371,0.423290
2021-09-18,12717607,1316176,0.436303,0.468371
2021-09-17,13836865,929708,0.473260,0.436303
2021-09-16,15087140,897534,0.509367,0.473260
2021-09-15,15815265,1006122,0.538438,0.509367
2021-09-14,15373510,1731041,0.526564,0.538438
2021-09-13,16978731,3264135,0.569853,0.526564
2021-09-12,16400722,2157237,0.556453,0.569853
2021-09-11,14736222,2724598,0.500026,0.556453
2021-09-10,16148579,2540243,0.546933,0.500026
2021-09-09,13242477,1338891,0.479974,0.546933
2021-09-08,13019610,810707,0.456320,0.479974
2021-09-07,7507635,410546,0.544494,0.456320
2021-09-06,7462932,260716,0.542535,0.544494
2021-09-05,7491231,96140,0.538300,0.542535
2021-09-04,8616037,394248,0.616058,0.538300
2021-09-03,8527817,484529,0.608305,0.616058
2021-09-02,10155123,1017369,0.729562,0.608305
2021-09-01,7706561,778791,0.550841,0.729562
2021-08-31,5891533,188524,0.414462,0.550841
2021-08-30,6535938,154413,0.465108,0.414462
2021-08-29,7127581,444159,0.501876,0.465108
2021-08-28,6780052,527200,0.478588,0.501876
2021-08-27,7028263,672354,0.493748,0.478588
2021-08-26,7244598,450432,0.493693,0.493748
2021-08-25,7427738,241327,0.516883,0.493693
2021-08-24,8175003,253452,0.564863,0.516883
2021-08-23,7361701,339953,0.507570,0.564863
2021-08-22,8120227,429167,0.554238,0.507570
2021-08-21,7704918,951956,0.526068,0.554238
2021-08-20,8420840,725252,0.602447,0.526068
2021-08-19,7874040,705012,0.551578,0.602447
2021-08-18,7562040,461226,0.520668,0.551578
2021-08-17,6761322,517029,0.458331,0.520668
2021-08-16,6222206,291537,0.421212,0.458331
2021-08-15,6367834,295701,0.430393,0.421212
2021-08-14,6249511,474772,0.419443,0.430393
2021-08-13,5186828,345385,0.343430,0.419443
2021-08-12,0.000000000000,435800,0.357648,0.343430
2021-08-11,0.000000000000,612266,0.382815,0.357648
2021-08-10,0.000000000000,813791,0.391907,0.382815
2021-08-09,0.000000000000,1560193,0.394509,0.391907
2021-08-08,0.000000000000,3411008,0.350122,0.394509
2021-08-07,0.000000000000,3411008,0.350122,0.350122
