date,mktcap,vol,open_price,close_price
2021-10-04,8607650,315947,0.290245,0.303861
2021-10-03,8467655,475582,0.284377,0.290245
2021-10-02,7410887,395099,0.300384,0.284377
2021-10-01,6895625,198291,0.280627,0.300384
2021-09-30,6693959,169776,0.271973,0.280627
2021-09-29,6716918,178356,0.269378,0.271973
2021-09-28,6975509,208671,0.282310,0.269378
2021-09-27,7706743,414841,0.306313,0.282310
2021-09-26,7049937,299556,0.286710,0.306313
2021-09-25,7300548,375279,0.294071,0.286710
2021-09-24,8187610,300553,0.329395,0.294071
2021-09-23,8021570,305576,0.324364,0.329395
2021-09-22,7377822,452467,0.301660,0.324364
2021-09-21,7391950,880399,0.301672,0.301660
2021-09-20,9130167,855898,0.370066,0.301672
2021-09-19,10176554,1536948,0.400767,0.370066
2021-09-18,7628990,355910,0.311214,0.400767
2021-09-17,7558561,488200,0.306341,0.311214
2021-09-16,8055433,436547,0.323669,0.306341
2021-09-15,8971715,526400,0.364101,0.323669
2021-09-14,7679030,433779,0.311680,0.364101
2021-09-13,8110097,462835,0.328947,0.311680
2021-09-12,8315786,271844,0.337438,0.328947
2021-09-11,8125826,1166601,0.335030,0.337438
2021-09-10,8669531,272072,0.351914,0.335030
2021-09-09,9189528,595932,0.372054,0.351914
2021-09-08,9379784,918170,0.380879,0.372054
2021-09-07,12255796,862361,0.499817,0.380879
2021-09-06,12884987,851402,0.522796,0.499817
2021-09-05,11118163,509429,0.449323,0.522796
2021-09-04,11628854,768929,0.472301,0.449323
2021-09-03,11877670,880231,0.494500,0.472301
2021-09-02,8733035,257053,0.444836,0.494500
2021-09-01,8312882,435623,0.424286,0.444836
2021-08-31,9148981,506977,0.461734,0.424286
2021-08-30,8628621,354127,0.438698,0.461734
2021-08-29,9215537,1292905,0.469209,0.438698
2021-08-28,9520040,1303479,0.475968,0.469209
2021-08-27,9408247,1506070,0.478700,0.475968
2021-08-26,10313093,1874002,0.525482,0.478700
2021-08-25,9531729,1451949,0.483997,0.525482
2021-08-24,10684450,2217248,0.542851,0.483997
2021-08-23,11559456,1793464,0.587536,0.542851
2021-08-22,11438764,1437590,0.582125,0.587536
2021-08-21,11564728,1640247,0.588102,0.582125
2021-08-20,11122954,1772707,0.572381,0.588102
2021-08-19,10484569,1294885,0.532467,0.572381
2021-08-18,11913152,1126876,0.605187,0.532467
2021-08-17,13257323,3005469,0.687111,0.605187
2021-08-16,16249518,3823094,0.826931,0.687111
2021-08-15,13413581,2192938,0.682551,0.826931
2021-08-14,12665555,2654417,0.660207,0.682551
2021-08-13,9898671,1104694,0.503428,0.660207
2021-08-12,11147211,1807640,0.550852,0.503428
2021-08-11,11272597,2590833,0.579073,0.550852
2021-08-10,11657433,3720580,0.589692,0.579073
2021-08-09,10930942,3810989,0.555738,0.589692
2021-08-08,12062043,3713563,0.612352,0.555738
2021-08-07,11147100,3120541,0.567282,0.612352
2021-08-06,11147995,2943433,0.568492,0.567282
2021-08-05,9837199,2718018,0.512848,0.568492
2021-08-04,9319976,2566652,0.478347,0.512848
2021-08-03,9257349,2455158,0.465753,0.478347
2021-08-02,9332156,2112769,0.456037,0.465753
2021-08-01,7819128,2210829,0.533184,0.456037
2021-07-31,7043694,2264157,0.483236,0.533184
2021-07-30,7540036,2859924,0.516658,0.483236
2021-07-29,6322743,1074999,0.431587,0.516658
2021-07-28,6385559,474881,0.430063,0.431587
2021-07-27,6033618,853637,0.408577,0.430063
2021-07-26,5944859,1071624,0.409921,0.408577
2021-07-25,5118007,463547,0.348409,0.409921
2021-07-24,5350223,465961,0.363128,0.348409
2021-07-23,5080262,441433,0.354061,0.363128
2021-07-22,4492260,638778,0.307201,0.354061
2021-07-21,3918085,356876,0.267507,0.307201
2021-07-20,4433956,368870,0.302659,0.267507
2021-07-19,4454796,359808,0.304082,0.302659
2021-07-18,4369404,370272,0.298253,0.304082
2021-07-17,4324142,431984,0.297903,0.298253
2021-07-16,4824599,375324,0.329324,0.297903
2021-07-15,5192485,575130,0.354592,0.329324
2021-07-14,4750179,402281,0.324559,0.354592
2021-07-13,5217866,580438,0.357975,0.324559
2021-07-12,5533896,464153,0.377318,0.357975
2021-07-11,5589839,601823,0.381393,0.377318
2021-07-10,4406858,791953,0.413302,0.381393
2021-07-09,4994474,472254,0.469660,0.413302
2021-07-08,5762231,368593,0.541848,0.469660
