date,mktcap,vol,open_price,close_price
2021-10-04,991475,8185.45,0.03171055,0.03245486
2021-10-03,928469,56668,0.03005634,0.03171055
2021-10-02,945453,62218,0.03134653,0.03005634
2021-10-01,893741,55782,0.02984922,0.03134653
2021-09-30,885274,327.64,0.02904968,0.02984922
2021-09-29,947674,60715,0.03097621,0.02904968
2021-09-28,821040,51892,0.02722507,0.03097621
2021-09-27,930287,50363,0.03057441,0.02722507
2021-09-26,970269,53088,0.03181183,0.03057441
2021-09-25,948625,57420,0.03156429,0.03181183
2021-09-24,1110809,55363,0.03654204,0.03156429
2021-09-23,1055112,51787,0.03523068,0.03654204
2021-09-22,996916,48661,0.03278039,0.03523068
2021-09-21,1024075,59218,0.03464467,0.03278039
2021-09-20,1152366,60213,0.03867307,0.03464467
2021-09-19,1157185,56674,0.03821504,0.03867307
2021-09-18,1127302,59226,0.03638369,0.03821504
2021-09-17,1150351,58720,0.03739699,0.03638369
2021-09-16,1138047,61864,0.03790776,0.03739699
2021-09-15,1058312,60490,0.03669518,0.03790776
2021-09-14,1127860,56039,0.03684262,0.03669518
2021-09-13,1070574,57130,0.03587519,0.03684262
2021-09-12,1062030,54587,0.03523110,0.03587519
2021-09-11,1064330,54595,0.03535258,0.03523110
2021-09-10,1086102,56932,0.03603881,0.03535258
2021-09-09,1124857,57230,0.03675847,0.03603881
2021-09-08,1079175,58497,0.03588420,0.03675847
2021-09-07,1230643,62777,0.04101340,0.03588420
2021-09-06,1233779,69172,0.04113753,0.04101340
2021-09-05,1091478,57183,0.03550299,0.04113753
2021-09-04,1234809,60938,0.04110569,0.03550299
2021-09-03,1174608,59298,0.03918874,0.04110569
2021-09-02,1245410,60240,0.04164893,0.03918874
2021-09-01,1254084,61888,0.04188936,0.04164893
2021-08-31,1245616,58465,0.04143055,0.04188936
2021-08-30,1206678,58913,0.04054444,0.04143055
2021-08-29,1388148,64296,0.04649745,0.04054444
2021-08-28,1318905,59381,0.04315632,0.04649745
2021-08-27,1237984,60536,0.04155020,0.04315632
2021-08-26,1107928,61617,0.03714107,0.04155020
2021-08-25,1098795,63203,0.03783201,0.03714107
2021-08-24,1109076,55107,0.03603789,0.03783201
2021-08-23,1410177,59152,0.04738119,0.03603789
2021-08-22,1388665,69060,0.04668894,0.04738119
2021-08-21,1535614,73663,0.04844680,0.04668894
2021-08-20,1153945,57925,0.03904187,0.04844680
2021-08-19,1154919,60382,0.03871323,0.03904187
2021-08-18,1089529,66082,0.03966874,0.03871323
2021-08-17,995177,71429,0.03409306,0.03966874
2021-08-16,828704,62085,0.02868586,0.03409306
2021-08-15,855336,58494,0.02756560,0.02868586
2021-08-14,838749,69494,0.02977328,0.02756560
2021-08-13,800208,56139,0.02799146,0.02977328
2021-08-12,838162,61366,0.02895481,0.02799146
2021-08-11,804408,38896,0.02732550,0.02895481
2021-08-10,839081,57604,0.02798077,0.02732550
2021-08-09,738741,60685,0.02495307,0.02798077
2021-08-08,743513,55058,0.02529724,0.02495307
2021-08-07,746872,51629,0.02538359,0.02529724
2021-08-06,722345,55027,0.02436169,0.02538359
2021-08-05,719639,59563,0.02440878,0.02436169
2021-08-04,618954,40305,0.02098724,0.02440878
2021-08-03,638815,37504,0.02163755,0.02098724
2021-08-02,614582,64902,0.02095795,0.02163755
2021-08-01,584606,31369,0.01972536,0.02095795
2021-07-31,584271,30082,0.02007919,0.01972536
2021-07-30,574859,49514,0.01988091,0.02007919
2021-07-29,589751,49022,0.02024198,0.01988091
2021-07-28,546577,48284,0.01868157,0.02024198
2021-07-27,528074,38051,0.01795514,0.01868157
2021-07-26,491716,3927.95,0.01682679,0.01795514
2021-07-25,476442,32541,0.01636494,0.01682679
2021-07-24,484186,42404,0.01662252,0.01636494
2021-07-23,451606,41632,0.01550318,0.01662252
2021-07-22,418553,38138,0.01479347,0.01550318
2021-07-21,422627,38966,0.01453288,0.01479347
2021-07-20,429685,33812,0.01434586,0.01453288
2021-07-19,400785,39334,0.01383163,0.01434586
2021-07-18,399488,34148,0.01375071,0.01383163
2021-07-17,439491,40190,0.01505227,0.01375071
2021-07-16,414723,36231,0.01340931,0.01505227
2021-07-15,410728,38285,0.01373658,0.01340931
2021-07-14,397448,42061,0.01370709,0.01373658
2021-07-13,418229,39283,0.01439409,0.01370709
2021-07-12,463370,41762,0.01552662,0.01439409
2021-07-11,423435,42187,0.01451444,0.01552662
2021-07-10,430754,44955,0.01556336,0.01451444
2021-07-09,424622,40700,0.01470355,0.01556336
2021-07-08,415530,44439,0.01438630,0.01470355
2021-07-07,362263,39026,0.01255746,0.01438630
2021-07-06,406184,39491,0.01512359,0.01255746
2021-07-05,466736,45129,0.01673113,0.01512359
2021-07-04,464382,39790,0.01615691,0.01673113
2021-07-03,466944,39854,0.01528018,0.01615691
2021-07-02,470399,43220,0.01634237,0.01528018
2021-07-01,485926,42751,0.01699619,0.01634237
2021-06-30,547667,45270,0.01907444,0.01699619
2021-06-29,497799,41645,0.01755138,0.01907444
2021-06-28,516867,43789,0.01809339,0.01755138
2021-06-27,471575,42665,0.01756979,0.01809339
2021-06-26,494006,42061,0.01727709,0.01756979
2021-06-25,510761,45313,0.01860229,0.01727709
2021-06-24,479128,41385,0.01688792,0.01860229
2021-06-23,466157,38816,0.01565513,0.01688792
2021-06-22,485608,40594,0.01681873,0.01565513
2021-06-21,523512,27713,0.01832410,0.01681873
2021-06-20,541210,42650,0.01888777,0.01832410
2021-06-19,561270,43786,0.01916265,0.01888777
2021-06-18,600805,51445,0.02242575,0.01916265
2021-06-17,640587,59619,0.02253823,0.02242575
2021-06-16,609536,52159,0.02146641,0.02253823
2021-06-15,629379,48030,0.02214440,0.02146641
2021-06-14,600160,47601,0.02117417,0.02214440
2021-06-13,584347,62315,0.02046839,0.02117417
2021-06-12,617281,49424,0.02066476,0.02046839
2021-06-11,699429,50807,0.02033556,0.02066476
2021-06-10,589657,65733,0.02090472,0.02033556
2021-06-09,396108,39709,0.01399933,0.02090472
2021-06-08,407138,41251,0.01452663,0.01399933
2021-06-07,434195,47787,0.01541457,0.01452663
2021-06-06,418432,44362,0.01481150,0.01541457
2021-06-05,461225,46602,0.01634371,0.01481150
2021-06-04,475838,47491,0.01747119,0.01634371
2021-06-03,471273,46701,0.01672070,0.01747119
2021-06-02,459070,45381,0.01602660,0.01672070
2021-06-01,475431,43690,0.01730090,0.01602660
2021-05-31,475254,40462,0.01682676,0.01730090
2021-05-30,465188,33989,0.01654624,0.01682676
2021-05-29,448636,48439,0.01616017,0.01654624
2021-05-28,494832,48862,0.01787748,0.01616017
2021-05-27,501028,49571,0.01752682,0.01787748
2021-05-26,509427,48187,0.01804153,0.01752682
2021-05-25,489090,46428,0.01712921,0.01804153
2021-05-24,438495,44141,0.01573656,0.01712921
2021-05-23,446567,45349,0.01616327,0.01573656
2021-05-22,436882,47695,0.01530076,0.01616327
2021-05-21,453438,50362,0.01567718,0.01530076
2021-05-20,404569,47556,0.01449409,0.01567718
2021-05-19,457065,53718,0.01667769,0.01449409
2021-05-18,506194,56128,0.01811618,0.01667769
2021-05-17,582264,50886,0.02099225,0.01811618
2021-05-16,637878,57800,0.02238210,0.02099225
2021-05-15,663034,62937,0.02381897,0.02238210
2021-05-14,658487,63430,0.02373551,0.02381897
2021-05-13,673424,61968,0.02327358,0.02373551
2021-05-12,687848,73545,0.02477914,0.02327358
2021-05-11,731773,73265,0.02565583,0.02477914
2021-05-10,794163,77466,0.02864564,0.02565583
