date,mktcap,vol,open_price,close_price
2021-10-04,327854,18.50,0.01848139,0.03172751
2021-10-03,832655,0.365812,0.04625863,0.01848139
2021-10-02,325956,37.91,0.01808374,0.04625863
2021-10-01,521220,77.45,0.03027207,0.01808374
2021-09-30,238933,1330.21,0.01327408,0.03027207
2021-09-29,1312289,21.32,0.073520,0.01327408
2021-09-28,457455,21.73,0.00991309,0.073520
2021-09-27,1078756,10.72,0.059371,0.00991309
2021-09-26,671800,599.60,0.03842401,0.059371
2021-09-25,240292,28.39,0.01266301,0.03842401
2021-09-24,266846,2.10,0.01482478,0.01266301
2021-09-23,234392,31.07,0.01053548,0.01482478
2021-09-22,222284,1.59,0.01234913,0.01053548
2021-09-21,193590,221.37,0.01073562,0.01234913
2021-09-20,226673,94.62,0.01259297,0.01073562
2021-09-19,513243,112.71,0.02833903,0.01259297
2021-09-18,220899,20.86,0.01228834,0.02833903
2021-09-17,240440,25.49,0.01269993,0.01228834
2021-09-16,296433,6.71,0.01648177,0.01269993
2021-09-15,357223,1387.64,0.01983737,0.01648177
2021-09-14,502811,0.139437,0.02788744,0.01983737
2021-09-13,233668,0.02949975,0.01290572,0.02788744
2021-09-12,226173,63.39,0.01256004,0.01290572
2021-09-11,307707,42.77,0.01709483,0.01256004
2021-09-10,535693,0.269399,0.02993319,0.01709483
2021-09-09,314551,6.68,0.01747506,0.02993319
2021-09-08,308199,161.79,0.01243357,0.01747506
2021-09-07,283486,3.51,0.02183813,0.01243357
2021-09-06,401597,1.11,0.02222504,0.02183813
2021-09-05,268346,971.51,0.01490809,0.02222504
2021-09-04,378561,88.28,0.02141034,0.01490809
2021-09-03,1280598,328.58,0.071144,0.02141034
2021-09-02,256343,1.98,0.02260328,0.071144
2021-09-01,208071,139.48,0.01155726,0.02260328
2021-08-31,197349,385.11,0.01098964,0.01155726
2021-08-30,202245,166.93,0.01122890,0.01098964
2021-08-29,198202,39.68,0.01101122,0.01122890
2021-08-28,200999,115.37,0.01116785,0.01101122
2021-08-27,190367,266.43,0.01058556,0.01116785
2021-08-26,602257,114.86,0.01201711,0.01058556
2021-08-25,317770,416.79,0.01761103,0.01201711
2021-08-24,204510,211.71,0.01129595,0.01761103
2021-08-23,204879,249.67,0.01817456,0.01129595
2021-08-22,286847,6.48,0.01607072,0.01817456
2021-08-21,278492,1.37,0.01626157,0.01607072
2021-08-20,319732,54.34,0.01372396,0.01626157
2021-08-19,187065,0.055988,0.01016135,0.01372396
2021-08-18,191024,271.24,0.01961619,0.01016135
2021-08-17,470019,11.19,0.01116939,0.01961619
2021-08-16,220144,0.052474,0.02623685,0.01116939
2021-08-15,362678,42.99,0.01880284,0.02623685
2021-08-14,270086,0.090060,0.01500998,0.01880284
2021-08-13,790436,90.66,0.04393035,0.01500998
2021-08-12,679435,155.99,0.03779024,0.04393035
2021-08-11,178339,115.89,0.00988701,0.03779024
2021-08-10,150208,152.07,0.00842379,0.00988701
2021-08-09,143260,337.04,0.00798820,0.00842379
2021-08-08,145311,235.30,0.01711798,0.00798820
2021-08-07,1131089,1952.68,0.062781,0.01711798
2021-08-06,159693,57.11,0.00894030,0.062781
2021-08-05,340368,236.89,0.01903135,0.00894030
2021-08-04,377059,227.87,0.02095838,0.01903135
2021-08-03,243768,0.01408710,0.01353143,0.02095838
2021-08-02,247333,6.07,0.01376973,0.01353143
2021-08-01,219289,17.36,0.01218193,0.01376973
2021-07-31,206861,123.82,0.01149230,0.01218193
2021-07-30,167520,1.41,0.04156151,0.01149230
2021-07-29,224147,305.03,0.01229202,0.04156151
2021-07-28,308838,31.75,0.01093352,0.01229202
2021-07-27,203958,21.68,0.01805580,0.01093352
2021-07-26,296296,14.47,0.01022724,0.01805580
2021-07-25,293998,5.14,0.01635908,0.01022724
2021-07-24,276871,36.74,0.01585199,0.01635908
2021-07-23,171133,470.45,0.04036850,0.01585199
2021-07-22,835880,1051.82,0.04669524,0.04036850
2021-07-21,142125,1.22,0.01007379,0.04669524
2021-07-20,201538,383.44,0.01154441,0.01007379
2021-07-19,103544,56.78,0.00572755,0.01154441
2021-07-18,154545,755.43,0.01648640,0.00572755
2021-07-17,177455,162.69,0.00984407,0.01648640
2021-07-16,271048,55.02,0.00998389,0.00984407
2021-07-15,207420,0.167155,0.01034836,0.00998389
2021-07-14,188778,381.89,0.01053668,0.01034836
2021-07-13,931698,16.73,0.052432,0.01053668
2021-07-12,223663,20.43,0.02975223,0.052432
2021-07-11,374866,451.26,0.01580642,0.02975223
2021-07-10,1244906,1685.04,0.068777,0.01580642
2021-07-09,644818,42.51,0.03582320,0.068777
