date,mktcap,vol,open_price,close_price
2021-10-04,960483,46959,0.087973,0.074740
2021-10-03,751384,20210,0.069365,0.087973
2021-10-02,961250,87217,0.088246,0.069365
2021-10-01,842390,60098,0.077214,0.088246
2021-09-30,863219,47469,0.079607,0.077214
2021-09-29,793566,48537,0.073113,0.079607
2021-09-28,886223,41179,0.080723,0.073113
2021-09-27,982346,53079,0.088307,0.080723
2021-09-26,876247,20967,0.080291,0.088307
2021-09-25,916749,77482,0.084327,0.080291
2021-09-24,977220,32378,0.090257,0.084327
2021-09-23,1012157,43384,0.092691,0.090257
2021-09-22,928107,54677,0.084910,0.092691
2021-09-21,1027939,105781,0.093497,0.084910
2021-09-20,1503817,47948,0.138105,0.093497
2021-09-19,1503892,37951,0.137641,0.138105
2021-09-18,1853717,74341,0.168455,0.137641
2021-09-17,907499,46273,0.081966,0.168455
2021-09-16,869869,55663,0.080739,0.081966
2021-09-15,842745,39110,0.076842,0.080739
2021-09-14,899345,111801,0.082103,0.076842
2021-09-13,831235,48798,0.075843,0.082103
2021-09-12,791786,33506,0.072558,0.075843
2021-09-11,775064,45262,0.071428,0.072558
2021-09-10,818903,25893,0.074709,0.071428
2021-09-09,852104,35379,0.076178,0.074709
2021-09-08,748363,93278,0.067862,0.076178
2021-09-07,553897,71481,0.051578,0.067862
2021-09-06,542572,45652,0.04973241,0.051578
2021-09-05,910980,22309,0.083798,0.04973241
2021-09-04,980917,38668,0.089516,0.083798
2021-09-03,951582,67888,0.088062,0.089516
2021-09-02,997899,50411,0.091173,0.088062
2021-09-01,930483,51618,0.085746,0.091173
2021-08-31,882836,38757,0.080893,0.085746
2021-08-30,876585,56927,0.080281,0.080893
2021-08-29,924812,43201,0.084787,0.080281
2021-08-28,731027,38916,0.067082,0.084787
2021-08-27,657012,22378,0.059594,0.067082
2021-08-26,930241,37352,0.085002,0.059594
2021-08-25,1040196,37944,0.095180,0.085002
2021-08-24,1072095,49875,0.099166,0.095180
2021-08-23,1116260,40845,0.102317,0.099166
2021-08-22,1133404,45962,0.102840,0.102317
2021-08-21,808038,59645,0.074679,0.102840
2021-08-20,585316,49120,0.054369,0.074679
2021-08-19,524243,52703,0.04805237,0.054369
2021-08-18,430629,49374,0.03994872,0.04805237
2021-08-17,483020,57432,0.04210069,0.03994872
2021-08-16,662464,43520,0.060885,0.04210069
2021-08-15,433420,215006,0.060617,0.060885
2021-08-14,661556,99632,0.060719,0.060617
2021-08-13,500352,40680,0.04616575,0.060719
2021-08-12,662652,48412,0.060739,0.04616575
2021-08-11,780422,3846.07,0.071506,0.060739
2021-08-10,770949,34201,0.071354,0.071506
2021-08-09,760046,33920,0.070225,0.071354
2021-08-08,792006,54112,0.073231,0.070225
2021-08-07,526369,58124,0.04909834,0.073231
2021-08-06,480784,74387,0.04894153,0.04909834
2021-08-05,698629,53616,0.062300,0.04894153
2021-08-04,682818,17234.45,0.062587,0.062300
2021-08-03,800635,55645,0.073121,0.062587
2021-08-02,776076,37356,0.071492,0.073121
2021-08-01,1048177,49423,0.096076,0.071492
2021-07-31,1007220,36150,0.093252,0.096076
2021-07-30,1140483,27753,0.104451,0.093252
2021-07-29,1233434,38215,0.112765,0.104451
2021-07-28,1399443,45714,0.129349,0.112765
2021-07-27,964672,120544,0.088342,0.129349
2021-07-26,1171529,104048,0.106032,0.088342
2021-07-25,353795,71624,0.03249133,0.106032
2021-07-24,246724,41241,0.02259607,0.03249133
2021-07-23,288439,40414,0.02622907,0.02259607
2021-07-22,279628,90334,0.02570918,0.02622907
2021-07-21,192034,57808,0.01802307,0.02570918
2021-07-20,253603,80400,0.02247366,0.01802307
2021-07-19,189902,50727,0.01754121,0.02247366
2021-07-18,161403,24564,0.01507084,0.01754121
2021-07-17,250250,37153,0.02293802,0.01507084
2021-07-16,259296,45993,0.02358169,0.02293802
2021-07-15,153642,55705,0.01434153,0.02358169
2021-07-14,183581,44556,0.01695204,0.01434153
2021-07-13,185423,71026,0.01735989,0.01695204
2021-07-12,202243,51497,0.01853767,0.01735989
2021-07-11,186454,38700,0.01715257,0.01853767
2021-07-10,184933,35768,0.01695105,0.01715257
2021-07-09,181200,30163,0.01671987,0.01695105
2021-07-08,219928,38314,0.02051563,0.01671987
2021-07-07,307784,29452,0.02816148,0.02051563
2021-07-06,325927,58131,0.02962925,0.02816148
2021-07-05,337804,52626,0.03065621,0.02962925
2021-07-04,326139,32550,0.03014298,0.03065621
2021-07-03,206819,32808,0.01895714,0.03014298
2021-07-02,254091,44020,0.02329012,0.01895714
2021-07-01,282572,38907,0.02548946,0.02329012
2021-06-30,372892,53229,0.03430106,0.02548946
2021-06-29,308303,42312,0.02830486,0.03430106
2021-06-28,337776,45539,0.03038039,0.02830486
2021-06-27,301051,43134,0.02752896,0.03038039
2021-06-26,380896,35597,0.03506582,0.02752896
2021-06-25,619139,35141,0.056621,0.03506582
2021-06-24,400787,33078,0.03638739,0.056621
2021-06-23,445598,93741,0.04060531,0.03638739
2021-06-22,379111,61809,0.03500377,0.04060531
2021-06-21,451665,40490,0.04139983,0.03500377
2021-06-20,453815,27739,0.04159694,0.04139983
2021-06-19,463861,25904,0.04252653,0.04159694
2021-06-18,571794,39781,0.052189,0.04252653
2021-06-17,490797,46893,0.04493359,0.052189
2021-06-16,489935,32159,0.04557108,0.04493359
2021-06-15,615323,97112,0.056998,0.04557108
2021-06-14,603140,42860,0.055233,0.056998
2021-06-13,705302,57572,0.063602,0.055233
2021-06-12,574791,33354,0.052963,0.063602
2021-06-11,609537,45726,0.055870,0.052963
2021-06-10,610471,58058,0.056542,0.055870
2021-06-09,594338,91370,0.054294,0.056542
2021-06-08,615886,63026,0.056815,0.054294
2021-06-07,623577,40293,0.057104,0.056815
2021-06-06,536604,39945,0.04971918,0.057104
2021-06-05,822075,60741,0.075131,0.04971918
2021-06-04,831483,56564,0.076206,0.075131
2021-06-03,779283,22178,0.071038,0.076206
2021-06-02,752951,46257,0.068287,0.071038
2021-06-01,804586,57025,0.073126,0.068287
2021-05-31,710324,23177,0.065196,0.073126
2021-05-30,680043,8.55,0.062301,0.065196
2021-05-29,614924,1426.52,0.055486,0.062301
2021-05-28,713802,276.02,0.065428,0.055486
2021-05-27,677261,2290.96,0.062695,0.065428
2021-05-26,466705,0.000000000000,0.04277884,0.062695
2021-05-25,430640,32.91,0.03953583,0.04277884
2021-05-24,778644,164.05,0.071326,0.03953583
2021-05-23,936228,1795.06,0.085791,0.071326
2021-05-22,369885,37.20,0.03391160,0.085791
2021-05-21,1075658,1833.85,0.098596,0.03391160
2021-05-20,767934,420.59,0.070234,0.098596
2021-05-19,667916,60.69,0.061316,0.070234
2021-05-18,352492,77.95,0.03301819,0.061316
2021-05-17,923399,0.000000000000,0.084640,0.03301819
2021-05-16,1199542,0.000000000000,0.109952,0.084640
2021-05-15,1199341,848.04,0.109991,0.109952
2021-05-14,1444196,1784.62,0.130931,0.109991
2021-05-13,1476661,0.000000000000,0.135353,0.130931
2021-05-12,1025341,0.000000000000,0.093984,0.135353
2021-05-11,1092640,0.000000000000,0.100153,0.093984
