date,mktcap,vol,open_price,close_price
2021-10-04,53908973,282416,180.05,216.87
2021-10-03,63448165,35739,211.81,180.05
2021-10-02,60407433,96610,201.93,211.81
2021-10-01,63483118,53564,212.02,201.93
2021-09-30,60341927,47395,201.99,212.02
2021-09-29,61844357,41442,206.10,201.99
2021-09-28,57426267,79570,190.49,206.10
2021-09-27,64982504,33652,217.41,190.49
2021-09-26,58133948,51037,193.92,217.41
2021-09-25,56077250,125202,187.16,193.92
2021-09-24,58699500,100773,196.17,187.16
2021-09-23,50828484,187727,169.79,196.17
2021-09-22,42090027,82625,139.14,169.79
2021-09-21,45846826,193004,153.58,139.14
2021-09-20,53358032,158091,178.75,153.58
2021-09-19,56421133,29553,188.27,178.75
2021-09-18,55934241,182635,186.18,188.27
2021-09-17,60836134,82564,203.18,186.18
2021-09-16,59967683,61066,200.32,203.18
2021-09-15,57559909,1659251,192.24,200.32
2021-09-14,80293703,148774,268.57,192.24
2021-09-13,90348093,82666,301.24,268.57
2021-09-12,75522914,100022,252.23,301.24
2021-09-11,72628818,174019,242.86,252.23
2021-09-10,79256113,503725,264.37,242.86
2021-09-09,95566120,174194,318.08,264.37
2021-09-08,93826121,618239,313.36,318.08
2021-09-07,117590328,166044,393.52,313.36
2021-09-06,119862703,344468,400.73,393.52
2021-09-05,118398463,400895,395.68,400.73
2021-09-04,111322874,377413,373.00,395.68
2021-09-03,103584049,173127,345.82,373.00
2021-09-02,102220912,827038,341.91,345.82
2021-09-01,112165443,199408,374.83,341.91
2021-08-31,105438713,228092,351.51,374.83
2021-08-30,110613947,109528,369.02,351.51
2021-08-29,111374249,78540,372.05,369.02
2021-08-28,112813658,238636,376.32,372.05
2021-08-27,109887593,345096,367.24,376.32
2021-08-26,113388004,151398,377.71,367.24
2021-08-25,113273311,241078,378.23,377.71
2021-08-24,115183429,346017,384.73,378.23
2021-08-23,116927529,552176,390.64,384.73
2021-08-22,122785655,1766869,409.10,390.64
2021-08-21,143411824,44120798,455.68,409.10
2021-08-20,203664624,397501,687.78,455.68
2021-08-19,205650697,523530,686.73,687.78
2021-08-18,207376988,161047,689.97,686.73
2021-08-17,220825553,225880,730.68,689.97
2021-08-16,224826677,115223,750.48,730.68
2021-08-15,227555557,488314,759.31,750.48
2021-08-14,226135035,178338,755.80,759.31
2021-08-13,214284549,370068,719.14,755.80
2021-08-12,229971888,306619,767.76,719.14
2021-08-11,230847062,490204,772.51,767.76
2021-08-10,238780830,240478,806.82,772.51
2021-08-09,235843971,402723,786.20,806.82
2021-08-08,240818519,538326,811.76,786.20
2021-08-07,214579545,368039,717.44,811.76
2021-08-06,217209105,193748,724.81,717.44
2021-08-05,179417197,37689,596.77,724.81
2021-08-04,190591656,121318,634.77,596.77
2021-08-03,196579458,126218,656.34,634.77
2021-08-02,198894225,537264,664.93,656.34
2021-08-01,189455619,349306,632.34,664.93
