date,mktcap,vol,open_price,close_price
2021-10-04,16530320,732479,2.50,2.40
2021-10-03,16805742,785670,2.54,2.50
2021-10-02,16667488,1271486,2.53,2.54
2021-10-01,14820822,864377,2.25,2.53
2021-09-30,14630482,617620,2.22,2.25
2021-09-29,13994103,693712,2.11,2.22
2021-09-28,15516203,679883,2.36,2.11
2021-09-27,15170706,959694,2.30,2.36
2021-09-26,16415173,817128,2.48,2.30
2021-09-25,17297033,1071862,2.61,2.48
2021-09-24,18431659,1417739,2.79,2.61
2021-09-23,16145962,520778,2.45,2.79
2021-09-22,14772791,811591,2.25,2.45
2021-09-21,14759060,949610,2.24,2.25
2021-09-20,16073008,1261426,2.44,2.24
2021-09-19,16383003,1192417,2.49,2.44
2021-09-18,16049397,1659097,2.43,2.49
2021-09-17,17519854,1936196,2.65,2.43
2021-09-16,18637779,1063206,2.82,2.65
2021-09-15,19206098,1146309,2.91,2.82
2021-09-14,19078652,2354981,2.89,2.91
2021-09-13,18965976,2567389,2.87,2.89
2021-09-12,20610508,1163261,3.12,2.87
2021-09-11,18393169,1081300,2.79,3.12
2021-09-10,18505361,902285,2.80,2.79
2021-09-09,20524477,930181,3.10,2.80
2021-09-08,20881177,1298881,3.15,3.10
2021-09-07,22131226,1102864,3.35,3.15
2021-09-06,22515990,824200,3.41,3.35
2021-09-05,23626252,1384070,3.49,3.41
2021-09-04,23124468,929090,3.51,3.49
2021-09-03,23543059,1507633,3.57,3.51
2021-09-02,25072346,1476284,3.80,3.57
2021-09-01,24214701,2539942,3.67,3.80
2021-08-31,27352659,2319574,4.15,3.67
2021-08-30,26590985,2048429,4.02,4.15
2021-08-29,27793434,1844172,4.21,4.02
2021-08-28,29922817,2935847,4.53,4.21
2021-08-27,30080319,2590231,4.55,4.53
2021-08-26,29188362,6996766,4.42,4.55
2021-08-25,23314271,1635669,3.52,4.42
2021-08-24,23544524,1903104,3.57,3.52
2021-08-23,23907362,1569049,3.62,3.57
2021-08-22,25826245,2391992,3.90,3.62
2021-08-21,23124372,1866584,3.50,3.90
2021-08-20,23323556,3691132,3.54,3.50
2021-08-19,21442326,2238614,3.25,3.54
2021-08-18,21989171,2631151,3.33,3.25
2021-08-17,24054626,2819737,3.63,3.33
2021-08-16,24566932,3205301,3.72,3.63
2021-08-15,23445607,2629349,3.55,3.72
2021-08-14,24157062,3369692,3.66,3.55
2021-08-13,19523668,5133070,2.96,3.66
2021-08-12,21890155,1859260,3.32,2.96
2021-08-11,21153378,1325878,3.21,3.32
2021-08-10,21413312,1094542,3.26,3.21
2021-08-09,21260557,1601608,3.22,3.26
2021-08-08,23657994,1559015,3.59,3.22
2021-08-07,22878538,3964267,3.45,3.59
2021-08-06,25440604,4862178,3.82,3.45
2021-08-05,20765852,4035666,3.11,3.82
2021-08-04,19830877,2992049,2.96,3.11
2021-08-03,24040534,3395037,3.59,2.96
2021-08-02,26269365,5940015,3.89,3.59
2021-08-01,31713549,9899055,4.52,3.89
2021-07-31,34498100,7417095,5.01,4.52
2021-07-30,31157093,6777268,4.52,5.01
2021-07-29,31140089,7545886,4.53,4.52
2021-07-28,37897698,10546243,5.52,4.53
2021-07-27,33841688,16187217,4.90,5.52
2021-07-26,21153913,3840486,3.08,4.90
2021-07-25,19719778,8026523,2.87,3.08
2021-07-24,15211159,2732236,2.22,2.87
2021-07-23,13569094,2757155,1.98,2.22
2021-07-22,0.000000000000,3100976,2.29,1.98
2021-07-21,0.000000000000,3685349,2.16,2.29
2021-07-20,0.000000000000,5066432,2.30,2.16
2021-07-19,0.000000000000,5729132,2.71,2.30
2021-07-18,0.000000000000,2142341,1.69,2.71
2021-07-17,0.000000000000,3725500,1.87,1.69
2021-07-16,0.000000000000,9904207,2.32,1.87
2021-07-15,0.000000000000,7766412,1.96,2.32
2021-07-14,0.000000000000,972132,0.832084,1.96
2021-07-13,0.000000000000,1457334,0.769694,0.832084
2021-07-12,0.000000000000,1296126,0.999573,0.769694
2021-07-11,0.000000000000,1061569,0.760296,0.999573
2021-07-10,0.000000000000,359239,0.475601,0.760296
2021-07-09,0.000000000000,262802,0.398525,0.475601
2021-07-08,0.000000000000,388916,0.385478,0.398525
2021-07-07,0.000000000000,170502,0.351269,0.385478
2021-07-06,0.000000000000,178816,0.332357,0.351269
2021-07-05,0.000000000000,155016,0.373472,0.332357
2021-07-04,0.000000000000,134647,0.368548,0.373472
2021-07-03,0.000000000000,182942,0.347889,0.368548
2021-07-02,0.000000000000,157952,0.360488,0.347889
2021-07-01,0.000000000000,224224,0.378592,0.360488
2021-06-30,0.000000000000,24.76,0.370170,0.378592
2021-06-29,0.000000000000,212637,0.391616,0.370170
2021-06-28,0.000000000000,84307,0.376755,0.391616
2021-06-27,0.000000000000,98406,0.353868,0.376755
2021-06-26,0.000000000000,300111,0.393621,0.353868
2021-06-25,0.000000000000,179456,0.314180,0.393621
2021-06-24,0.000000000000,113077,0.275667,0.314180
2021-06-23,0.000000000000,120497,0.267293,0.275667
2021-06-22,0.000000000000,175504,0.302586,0.267293
2021-06-21,0.000000000000,164781,0.359209,0.302586
2021-06-20,0.000000000000,150291,0.333016,0.359209
2021-06-19,0.000000000000,117920,0.312795,0.333016
2021-06-18,0.000000000000,134693,0.311328,0.312795
2021-06-17,0.000000000000,322536,0.306618,0.311328
2021-06-16,0.000000000000,286306,0.311585,0.306618
2021-06-15,0.000000000000,924301,0.321468,0.311585
2021-06-14,0.000000000000,924301,0.321468,0.321468
