date,mktcap,vol,open_price,close_price
2021-09-11,327589,18097.82,0.106055,0.107873
2021-09-10,327589,18097.82,0.106055,0.106055
2021-09-09,536085,18.92,0.171256,0.106055
2021-09-08,539798,4347.70,0.173226,0.171256
2021-09-07,539538,90231,0.173047,0.173226
2021-09-06,539211,89614,0.173911,0.173047
2021-09-05,539786,99127,0.173799,0.173911
2021-09-04,530010,91556,0.170986,0.173799
2021-09-03,530642,74811,0.170823,0.170986
2021-09-02,539039,80211,0.173179,0.170823
2021-09-01,536691,94034,0.172659,0.173179
2021-08-31,531191,97101,0.171137,0.172659
2021-08-30,539931,83310,0.173649,0.171137
2021-08-29,538595,87948,0.173424,0.173649
2021-08-28,534832,90705,0.172294,0.173424
2021-08-27,529136,83446,0.170937,0.172294
2021-08-26,532354,82066,0.171280,0.170937
2021-08-25,530177,91094,0.171085,0.171280
2021-08-24,539757,84661,0.173203,0.171085
2021-08-23,521569,83133,0.167967,0.173203
2021-08-22,482212,74130,0.155265,0.167967
2021-08-21,487709,70945,0.156696,0.155265
2021-08-20,474933,75085,0.153618,0.156696
2021-08-19,465367,73454,0.150050,0.153618
2021-08-18,451687,75041,0.145140,0.150050
2021-08-17,441027,62185,0.141899,0.145140
2021-08-16,441219,66951,0.142091,0.141899
2021-08-15,426675,68447,0.138147,0.142091
2021-08-14,422599,24787,0.136021,0.138147
2021-08-13,415584,64232,0.134451,0.136021
2021-08-12,417147,58648,0.134288,0.134451
2021-08-11,429987,66869,0.139053,0.134288
2021-08-10,463649,72434,0.149109,0.139053
2021-08-09,460001,73597,0.147818,0.149109
2021-08-08,475812,68219,0.153297,0.147818
2021-08-07,487811,82103,0.157179,0.153297
2021-08-06,480749,70258,0.155317,0.157179
2021-08-05,486859,75805,0.156744,0.155317
2021-08-04,489742,77546,0.157880,0.156744
2021-08-03,475593,70818,0.152956,0.157880
2021-08-02,460052,70654,0.148516,0.152956
2021-08-01,493470,78295,0.158918,0.148516
2021-07-31,477842,76598,0.154788,0.158918
2021-07-30,488223,70446,0.155865,0.154788
2021-07-29,498532,69441,0.160804,0.155865
2021-07-28,490997,74500,0.158121,0.160804
2021-07-27,470826,77819,0.151884,0.158121
2021-07-26,472300,73093,0.152074,0.151884
2021-07-25,467026,61494,0.149992,0.152074
2021-07-24,462236,52912,0.149558,0.149992
2021-07-23,452739,56132,0.146225,0.149558
2021-07-22,448978,71583,0.145224,0.146225
2021-07-21,440681,67190,0.141897,0.145224
2021-07-20,450087,70656,0.145218,0.141897
2021-07-19,466097,72397,0.150103,0.145218
2021-07-18,495241,78739,0.159488,0.150103
2021-07-17,494129,80956,0.158971,0.159488
2021-07-16,501891,84231,0.161630,0.158971
2021-07-15,518128,81356,0.166379,0.161630
2021-07-14,488054,78759,0.158355,0.166379
2021-07-13,508100,82873,0.162487,0.158355
2021-07-12,513087,76758,0.165949,0.162487
2021-07-11,513770,79254,0.165326,0.165949
2021-07-10,521874,80003,0.168065,0.165326
2021-07-09,517816,79428,0.166996,0.168065
2021-07-08,526976,76309,0.169610,0.166996
2021-07-07,524602,76301,0.168944,0.169610
2021-07-06,524641,82477,0.168517,0.168944
2021-07-05,531327,69479,0.171299,0.168517
2021-07-04,514460,76356,0.165460,0.171299
2021-07-03,510020,84613,0.164313,0.165460
2021-07-02,534130,80624,0.172012,0.164313
2021-07-01,559405,88169,0.180150,0.172012
2021-06-30,574078,76685,0.184151,0.180150
2021-06-29,573337,80199,0.185720,0.184151
2021-06-28,578283,86209,0.185608,0.185720
2021-06-27,572098,86296,0.183911,0.185608
2021-06-26,565885,84424,0.182239,0.183911
2021-06-25,575272,69596,0.185104,0.182239
2021-06-24,566359,86863,0.182500,0.185104
2021-06-23,519053,79476,0.165432,0.182500
2021-06-22,522665,83304,0.169002,0.165432
2021-06-21,561147,79758,0.180366,0.169002
2021-06-20,580790,87675,0.186901,0.180366
2021-06-19,594789,95217,0.190527,0.186901
2021-06-18,622995,93361,0.199815,0.190527
2021-06-17,656244,101400,0.211381,0.199815
2021-06-16,553309,80139,0.178350,0.211381
2021-06-15,600941,98706,0.193604,0.178350
2021-06-14,650675,104824,0.209545,0.193604
2021-06-13,632914,101249,0.203924,0.209545
2021-06-12,72815,97521,0.197935,0.203924
2021-06-11,63505,76649,0.173011,0.197935
2021-06-10,65913,80694,0.179728,0.173011
2021-06-09,69153,74680,0.187974,0.179728
2021-06-08,72315,79897,0.198003,0.187974
2021-06-07,70796,79387,0.192884,0.198003
2021-06-06,0.000000000000,87166,0.196675,0.192884
2021-06-05,0.000000000000,89246,0.212421,0.196675
2021-06-04,0.000000000000,132653,0.278548,0.212421
2021-06-03,0.000000000000,156119,0.295715,0.278548
2021-06-02,0.000000000000,114511,0.250780,0.295715
2021-06-01,0.000000000000,120443,0.288874,0.250780
2021-05-31,0.000000000000,125345,0.253806,0.288874
2021-05-30,0.000000000000,107608,0.239730,0.253806
2021-05-29,0.000000000000,93953,0.219215,0.239730
2021-05-28,0.000000000000,124376,0.283976,0.219215
2021-05-27,0.000000000000,133501,0.316240,0.283976
2021-05-26,0.000000000000,140626,0.333918,0.316240
2021-05-25,0.000000000000,178687,0.408470,0.333918
2021-05-24,0.000000000000,178874,0.415032,0.408470
2021-05-23,0.000000000000,188564,0.436473,0.415032
2021-05-22,0.000000000000,204813,0.397469,0.436473
2021-05-21,0.000000000000,137371,0.282456,0.397469
2021-05-20,0.000000000000,114599,0.244472,0.282456
2021-05-19,0.000000000000,138269,0.300106,0.244472
2021-05-18,0.000000000000,131635,0.263192,0.300106
2021-05-17,0.000000000000,104002,0.259883,0.263192
2021-05-16,0.000000000000,118093,0.285463,0.259883
2021-05-15,0.000000000000,136035,0.307972,0.285463
2021-05-14,0.000000000000,102904,0.238498,0.307972
2021-05-13,0.000000000000,99022,0.212357,0.238498
2021-05-12,0.000000000000,101340,0.247986,0.212357
2021-05-11,0.000000000000,103579,0.240872,0.247986
2021-05-10,0.000000000000,109938,0.236102,0.240872
2021-05-09,0.000000000000,99215,0.237526,0.236102
2021-05-08,0.000000000000,91449,0.230538,0.237526
2021-05-07,0.000000000000,101539,0.223679,0.230538
2021-05-06,0.000000000000,99379,0.214337,0.223679
2021-05-05,0.000000000000,85604,0.193332,0.214337
2021-05-04,0.000000000000,89905,0.195146,0.193332
2021-05-03,0.000000000000,84775,0.199806,0.195146
2021-05-02,0.000000000000,95280,0.208326,0.199806
2021-05-01,0.000000000000,89135,0.202032,0.208326
2021-04-30,0.000000000000,81831,0.200771,0.202032
2021-04-29,0.000000000000,85219,0.192706,0.200771
2021-04-28,0.000000000000,78166,0.183463,0.192706
2021-04-27,0.000000000000,78384,0.182994,0.183463
2021-04-26,0.000000000000,55203,0.137057,0.182994
2021-04-25,0.000000000000,58845,0.135301,0.137057
2021-04-24,0.000000000000,61474,0.146642,0.135301
