date,mktcap,vol,open_price,close_price
2021-10-04,791998,938383,0.514414,0.624617
2021-10-03,791248,961708,0.482669,0.514414
2021-10-02,836147,969233,0.540599,0.482669
2021-10-01,718472,821040,0.454003,0.540599
2021-09-30,760918,952806,0.479135,0.454003
2021-09-29,750472,839292,0.465316,0.479135
2021-09-28,789937,932888,0.497050,0.465316
2021-09-27,789658,882294,0.496875,0.497050
2021-09-26,806734,1097359,0.526717,0.496875
2021-09-25,812176,956011,0.483470,0.526717
2021-09-24,885142,1060703,0.562251,0.483470
2021-09-23,761798,815104,0.469203,0.562251
2021-09-22,765743,791799,0.488127,0.469203
2021-09-21,773543,982113,0.488709,0.488127
2021-09-20,839829,930152,0.531900,0.488709
2021-09-19,641372,812479,0.404327,0.531900
2021-09-18,613802,631700,0.379923,0.404327
2021-09-17,667593,921367,0.424832,0.379923
2021-09-16,637542,693649,0.413419,0.424832
2021-09-15,628889,786025,0.395390,0.413419
2021-09-14,569271,793541,0.363833,0.395390
2021-09-13,556475,536541,0.352177,0.363833
2021-09-12,601935,861716,0.378607,0.352177
2021-09-11,632098,732356,0.395654,0.378607
2021-09-10,637563,875157,0.407632,0.395654
2021-09-09,612795,654603,0.385382,0.407632
2021-09-08,681013,628154,0.425531,0.385382
2021-09-07,692434,995799,0.455185,0.425531
2021-09-06,791063,787212,0.494113,0.455185
2021-09-05,863589,1052872,0.532572,0.494113
2021-09-04,991074,1293918,0.625002,0.532572
2021-09-03,823787,1251919,0.512783,0.625002
2021-09-02,701258,898744,0.449164,0.512783
2021-09-01,924569,1013330,0.525151,0.449164
2021-08-31,686527,847027,0.428007,0.525151
2021-08-30,655940,889628,0.411020,0.428007
2021-08-29,720641,859286,0.452794,0.411020
2021-08-28,676620,766920,0.425748,0.452794
2021-08-27,727657,877593,0.457862,0.425748
2021-08-26,751418,1077850,0.472800,0.457862
2021-08-25,705834,864455,0.443752,0.472800
2021-08-24,745741,1242905,0.498701,0.443752
2021-08-23,858949,1185865,0.530616,0.498701
2021-08-22,860949,1199556,0.522227,0.530616
2021-08-21,1132258,1532648,0.683976,0.522227
2021-08-20,832156,1127505,0.557959,0.683976
2021-08-19,909244,1003128,0.572122,0.557959
2021-08-18,957397,1235889,0.632124,0.572122
