date,mktcap,vol,open_price,close_price
2021-10-04,564003,27862,0.02359464,0.02160588
2021-10-03,622734,20066,0.02600226,0.02359464
2021-10-02,1117994,28984,0.04630385,0.02600226
2021-10-01,591266,58263,0.02495292,0.04630385
2021-09-30,370142,44724,0.01548461,0.02495292
2021-09-29,330321,25421,0.01395403,0.01548461
2021-09-28,408548,26688,0.01701714,0.01395403
2021-09-27,508963,32547,0.02100910,0.01701714
2021-09-26,508519,22908,0.02200374,0.02100910
2021-09-25,554467,34940,0.02248788,0.02200374
2021-09-24,624333,21676,0.02611852,0.02248788
2021-09-23,892245,36363,0.03722844,0.02611852
2021-09-22,654897,41008,0.02739712,0.03722844
2021-09-21,679439,50801,0.02795769,0.02739712
2021-09-20,534817,29602,0.02235109,0.02795769
2021-09-19,670425,39393,0.02813759,0.02235109
2021-09-18,701874,37602,0.02910025,0.02813759
2021-09-17,684516,40308,0.02917432,0.02910025
2021-09-16,513324,33521,0.02165071,0.02917432
2021-09-15,660165,42378,0.02787320,0.02165071
2021-09-14,705701,38005,0.02865236,0.02787320
2021-09-13,549977,63037,0.02301397,0.02865236
2021-09-12,577311,8327.26,0.02418683,0.02301397
2021-09-11,803574,42133,0.03239594,0.02418683
2021-09-10,567653,20832,0.02355920,0.03239594
2021-09-09,665573,17933.97,0.02781052,0.02355920
2021-09-08,577340,53826,0.02415257,0.02781052
2021-09-07,747880,48300,0.03069471,0.02415257
2021-09-06,840664,47583,0.03516854,0.03069471
2021-09-05,784930,50542,0.03284181,0.03516854
2021-09-04,769007,80693,0.03211206,0.03284181
2021-09-03,818948,41391,0.03423717,0.03211206
2021-09-02,799057,41970,0.03342794,0.03423717
2021-09-01,833715,44489,0.03479914,0.03342794
2021-08-31,864149,41645,0.03619120,0.03479914
2021-08-30,742338,33105,0.03105370,0.03619120
2021-08-29,743320,23044,0.03106265,0.03105370
2021-08-28,1193603,34488,0.04999011,0.03106265
2021-08-27,804891,53667,0.03357425,0.04999011
2021-08-26,775911,53333,0.03258573,0.03357425
2021-08-25,810006,78238,0.03383998,0.03258573
2021-08-24,733610,32946,0.03066540,0.03383998
2021-08-23,682105,43294,0.02853535,0.03066540
2021-08-22,756593,44727,0.03141270,0.02853535
2021-08-21,756712,44355,0.03165649,0.03141270
2021-08-20,808901,53559,0.03425284,0.03165649
2021-08-19,869333,35253,0.03636789,0.03425284
2021-08-18,672781,29093,0.02794651,0.03636789
2021-08-17,698312,50323,0.02936558,0.02794651
2021-08-16,494689,23199,0.02031001,0.02936558
2021-08-15,707626,55804,0.02994805,0.02031001
2021-08-14,731976,62135,0.03064886,0.02994805
2021-08-13,715528,50171,0.02959636,0.03064886
2021-08-12,774791,106293,0.03238602,0.02959636
2021-08-11,797447,203577,0.03359759,0.03238602
2021-08-10,1046751,480420,0.04541116,0.03359759
2021-08-09,872954,230076,0.02999318,0.04541116
2021-08-08,331360,18782.29,0.01345482,0.02999318
2021-08-07,386529,39051,0.01617670,0.01345482
2021-08-06,407788,25923,0.01759465,0.01617670
2021-08-05,342027,32211,0.01449424,0.01759465
2021-08-04,291320,30652,0.01221953,0.01449424
2021-08-03,327896,30056,0.01370372,0.01221953
2021-08-02,374513,29690,0.01481602,0.01370372
2021-08-01,356788,36693,0.01490996,0.01481602
2021-07-31,341000,26873,0.01269115,0.01490996
2021-07-30,352240,29759,0.01405703,0.01269115
2021-07-29,349238,20348,0.01441673,0.01405703
2021-07-28,409845,29263,0.01605351,0.01441673
2021-07-27,423802,66889,0.01981399,0.01605351
2021-07-26,440411,37921,0.01873124,0.01981399
2021-07-25,417295,43288,0.01565684,0.01873124
2021-07-24,348470,29633,0.01460791,0.01565684
2021-07-23,957117,13807.50,0.04004029,0.01460791
2021-07-22,267734,26959,0.01122823,0.04004029
2021-07-21,291575,63858,0.01404494,0.01122823
2021-07-20,426460,62415,0.01786582,0.01404494
2021-07-19,425637,48612,0.01787432,0.01786582
2021-07-18,426121,36329,0.01802621,0.01787432
2021-07-17,426967,54481,0.01786961,0.01802621
2021-07-16,437577,65948,0.01812521,0.01786961
2021-07-15,425251,49838,0.01802569,0.01812521
2021-07-14,426833,43581,0.01781498,0.01802569
2021-07-13,467254,66887,0.01936130,0.01781498
2021-07-12,388085,56626,0.01623526,0.01936130
2021-07-11,586473,319764,0.02492149,0.01623526
2021-07-10,563659,222263,0.02308947,0.02492149
2021-07-09,556254,178965,0.02334339,0.02308947
2021-07-08,553511,117350,0.02315572,0.02334339
2021-07-07,556283,60821,0.02375478,0.02315572
2021-07-06,524904,85835,0.02210435,0.02375478
2021-07-05,604923,85934,0.02576640,0.02210435
2021-07-04,510275,60783,0.02148514,0.02576640
2021-07-03,608050,67852,0.02526262,0.02148514
2021-07-02,615474,77862,0.02560833,0.02526262
2021-07-01,629850,129729,0.02633620,0.02560833
2021-06-30,647535,103624,0.02629864,0.02633620
2021-06-29,572661,70801,0.02452335,0.02629864
2021-06-28,576333,76803,0.02458090,0.02452335
2021-06-27,467875,63029,0.01947106,0.02458090
2021-06-26,684725,81612,0.02859364,0.01947106
2021-06-25,653996,72980,0.02739377,0.02859364
2021-06-24,556628,87629,0.02696354,0.02739377
2021-06-23,679832,108605,0.03246845,0.02696354
2021-06-22,661788,102762,0.03063869,0.03246845
2021-06-21,706971,75127,0.03556211,0.03063869
2021-06-20,709546,49687,0.03337673,0.03556211
2021-06-19,751538,75670,0.03532827,0.03337673
2021-06-18,867731,96274,0.03962080,0.03532827
2021-06-17,879806,89860,0.04130396,0.03962080
2021-06-16,970656,124260,0.04534399,0.04130396
2021-06-15,884239,155167,0.04164896,0.04534399
2021-06-14,908921,105560,0.04289363,0.04164896
2021-06-13,923205,107518,0.04183404,0.04289363
2021-06-12,971394,136727,0.04509892,0.04183404
2021-06-11,880783,67640,0.04124513,0.04509892
2021-06-10,910419,97767,0.04294407,0.04124513
2021-06-09,865442,168136,0.04015666,0.04294407
2021-06-08,944799,133624,0.04639359,0.04015666
2021-06-07,974044,106267,0.04632381,0.04639359
2021-06-06,954123,109856,0.04548854,0.04632381
2021-06-05,917819,120918,0.04476347,0.04548854
2021-06-04,1092165,185455,0.052307,0.04476347
2021-06-03,1156717,58109,0.057034,0.052307
2021-06-02,883961,41629,0.04346114,0.057034
2021-06-01,1075812,101430,0.051850,0.04346114
2021-05-31,1026025,114406,0.04898235,0.051850
2021-05-30,1071606,143298,0.051473,0.04898235
2021-05-29,1194388,112270,0.057815,0.051473
2021-05-28,1096971,65611,0.052037,0.057815
2021-05-27,1262725,124512,0.060801,0.052037
2021-05-26,1230633,127589,0.058409,0.060801
2021-05-25,1291360,118169,0.062631,0.058409
2021-05-24,1095023,103090,0.060831,0.062631
2021-05-23,1315884,145786,0.074114,0.060831
2021-05-22,1393753,159876,0.076825,0.074114
2021-05-21,1521805,220602,0.086744,0.076825
2021-05-20,1603881,238104,0.091322,0.086744
2021-05-19,1878631,211466,0.106091,0.091322
2021-05-18,1961235,136775,0.110341,0.106091
2021-05-17,2244488,88902,0.126145,0.110341
2021-05-16,2253853,224835,0.126762,0.126145
2021-05-15,2367582,256565,0.136139,0.126762
2021-05-14,2425376,45407,0.138332,0.136139
2021-05-13,2437092,300754,0.138816,0.138332
2021-05-12,2366015,103846,0.140047,0.138816
2021-05-11,2421823,293993,0.140032,0.140047
2021-05-10,2641035,309539,0.150438,0.140032
2021-05-09,2645605,318514,0.153095,0.150438
2021-05-08,2176626,209783,0.133091,0.153095
2021-05-07,2207067,156832,0.135733,0.133091
2021-05-06,2351635,275159,0.143818,0.135733
2021-05-05,2244487,282253,0.137099,0.143818
2021-05-04,2297851,646017,0.140746,0.137099
2021-05-03,2197364,275042,0.132335,0.140746
2021-05-02,2220957,276310,0.135664,0.132335
2021-05-01,2301576,333539,0.143253,0.135664
2021-04-30,2320506,382927,0.143037,0.143253
2021-04-29,2323920,410709,0.144034,0.143037
2021-04-28,2342145,416069,0.145596,0.144034
2021-04-27,2068485,413895,0.130917,0.145596
2021-04-26,2092344,406399,0.131084,0.130917
2021-04-25,2062289,291077,0.128234,0.131084
