date,mktcap,vol,open_price,close_price
2021-09-28,121649,1373.03,58.72,58.72
2021-09-27,121649,0.000000000000,50.30,58.72
2021-09-26,135412,161.68,50.30,50.30
2021-09-25,135412,0.000000000000,55.99,50.30
2021-09-24,156677,15.50,55.99,55.99
2021-09-23,156677,15.50,55.99,55.99
2021-09-18,156677,0.000000000000,64.78,55.99
2021-09-17,158038,274.52,64.78,64.78
2021-09-16,158038,274.52,64.78,64.78
2021-09-13,158046,0.000000000000,65.34,64.78
2021-09-12,159135,2458.68,65.57,65.34
2021-09-11,148868,0.000000000000,61.55,65.57
2021-09-10,148889,198.60,61.55,61.55
2021-09-09,157317,0.000000000000,65.03,61.55
2021-09-08,172689,141.40,65.03,65.03
2021-09-07,170597,581.44,70.52,65.03
2021-09-06,170597,581.44,70.52,70.52
2021-09-05,152300,0.000000000000,62.96,70.52
2021-09-04,152300,0.000000000000,62.96,62.96
2021-09-03,152300,0.000000000000,62.96,62.96
2021-09-02,153279,498.21,59.45,62.96
2021-09-01,147838,104.55,63.36,59.45
2021-08-31,142989,153.68,59.11,63.36
2021-08-30,142989,153.68,59.11,59.11
2021-08-28,144925,3735.85,59.91,59.11
2021-08-27,144925,3735.85,59.91,59.91
2021-08-25,164091,135.72,67.86,59.91
2021-08-24,143877,1174.89,73.20,67.86
2021-08-23,148078,30.02,316.68,73.20
2021-08-22,148078,30.02,316.68,316.68
2021-08-20,144040,195.88,61.21,316.68
2021-08-19,160682,558.47,63.25,61.21
2021-08-18,160682,558.47,63.25,63.25
2021-08-16,167281,141.10,70.55,63.25
2021-08-15,167281,2854.07,69.14,70.55
2021-08-14,163697,2974.66,67.82,69.14
2021-08-13,176044,7995.73,71.78,67.82
2021-08-12,219909,4018.05,89.49,71.78
2021-08-11,194740,708.50,78.99,89.49
2021-08-10,232561,1238.67,94.92,78.99
2021-08-09,202940,382.21,76.14,94.92
2021-08-08,202493,1359.66,83.88,76.14
2021-08-07,162408,636.46,64.16,83.88
2021-08-06,145220,9653.65,60.22,64.16
2021-08-05,162595,15728.22,67.47,60.22
2021-08-04,214203,23209,86.03,67.47
2021-08-03,239962,16364.25,93.46,86.03
2021-08-02,262706,22884,100.23,93.46
