date,mktcap,vol,open_price,close_price
2021-10-04,55136017,131608,0.318328,0.324108
2021-10-03,50730552,191256,0.293162,0.318328
2021-10-02,55583267,140456,0.325793,0.293162
2021-10-01,51312973,115083,0.298716,0.325793
2021-09-30,46075574,126291,0.267697,0.298716
2021-09-29,45484967,137549,0.261689,0.267697
2021-09-28,48409522,147625,0.283495,0.261689
2021-09-27,54391706,147993,0.309959,0.283495
2021-09-26,52111610,116559,0.300841,0.309959
2021-09-25,39728318,137784,0.316541,0.300841
2021-09-24,55078498,135974,0.319558,0.316541
2021-09-23,52870311,242630,0.305369,0.319558
2021-09-22,49045522,144472,0.282576,0.305369
2021-09-21,51779488,108696,0.302037,0.282576
2021-09-20,56944752,152816,0.330426,0.302037
2021-09-19,59265441,161363,0.346036,0.330426
2021-09-18,60392053,202444,0.350877,0.346036
2021-09-17,60003490,109977,0.347445,0.350877
2021-09-16,66295421,164030,0.387232,0.347445
2021-09-15,63170328,153131,0.366967,0.387232
2021-09-14,62496052,138827,0.360034,0.366967
2021-09-13,64327012,172110,0.379115,0.360034
2021-09-12,63818930,135031,0.372128,0.379115
2021-09-11,62566073,130134,0.365564,0.372128
2021-09-10,66660065,143597,0.387239,0.365564
2021-09-09,66084804,163110,0.381647,0.387239
2021-09-08,67153644,184589,0.412839,0.381647
2021-09-07,73648370,128621,0.427835,0.412839
2021-09-06,71255769,192209,0.414883,0.427835
2021-09-05,69027864,159396,0.400961,0.414883
2021-09-04,69360049,159629,0.402924,0.400961
2021-09-03,67214970,188673,0.388076,0.402924
2021-09-02,66776430,189600,0.391724,0.388076
2021-09-01,64788126,178938,0.378516,0.391724
2021-08-31,65869706,187667,0.381427,0.378516
2021-08-30,69387837,158104,0.403142,0.381427
2021-08-29,68621647,184767,0.398671,0.403142
2021-08-28,71740719,183389,0.417928,0.398671
2021-08-27,62569961,195321,0.362849,0.417928
2021-08-26,66458057,163313,0.386631,0.362849
2021-08-25,58848245,232276,0.342343,0.386631
2021-08-24,66209379,181242,0.385714,0.342343
2021-08-23,69212882,173158,0.407720,0.385714
2021-08-22,72976130,202261,0.423930,0.407720
2021-08-21,52283143,172703,0.303872,0.423930
2021-08-20,63659585,101979,0.399130,0.303872
2021-08-19,68774277,135278,0.400490,0.399130
2021-08-18,68776050,182413,0.406732,0.400490
2021-08-17,69334816,176724,0.400915,0.406732
2021-08-16,74386782,155220,0.432122,0.400915
2021-08-15,78349643,162050,0.453158,0.432122
2021-08-14,81060158,170190,0.470707,0.453158
2021-08-13,75027450,155776,0.436606,0.470707
2021-08-12,77903231,114026,0.452818,0.436606
2021-08-11,77832087,203237,0.451102,0.452818
2021-08-10,79009401,142040,0.454811,0.451102
2021-08-09,75969041,192778,0.441314,0.454811
2021-08-08,75043391,137680,0.437470,0.441314
2021-08-07,72819550,167029,0.421930,0.437470
2021-08-06,69493234,136725,0.404862,0.421930
2021-08-05,67114094,181098,0.388969,0.404862
2021-08-04,60450265,117150,0.350042,0.388969
2021-08-03,62455974,141257,0.362815,0.350042
2021-08-02,63795288,103582,0.366376,0.362815
2021-08-01,64549208,170283,0.374975,0.366376
2021-07-31,63695543,145181,0.369643,0.374975
2021-07-30,60998897,145694,0.355863,0.369643
2021-07-29,58243473,145847,0.337004,0.355863
2021-07-28,62914340,176404,0.365458,0.337004
2021-07-27,58817284,152158,0.341186,0.365458
2021-07-26,58565228,149402,0.342244,0.341186
