date,mktcap,vol,open_price,close_price
2021-10-04,189098,2629.96,302.18,296.71
2021-10-03,191703,1343.16,308.63,302.18
2021-10-02,180396,299.48,289.83,308.63
2021-10-01,164181,2105.44,262.35,289.83
2021-09-30,157138,1353.90,249.62,262.35
2021-09-29,147270,3151.01,234.06,249.62
2021-09-28,146432,79.07,233.25,234.06
2021-09-27,154168,503.70,245.48,233.25
2021-09-26,150246,232.57,238.43,245.48
2021-09-25,147555,23.40,242.68,238.43
2021-09-24,162232,842.83,258.01,242.68
2021-09-23,158002,1613.92,253.71,258.01
2021-09-22,149055,129.03,235.60,253.71
2021-09-21,158252,248.46,249.50,235.60
2021-09-20,174337,1797.97,277.52,249.50
2021-09-19,174938,2662.98,278.66,277.52
2021-09-18,173746,1845.09,275.88,278.66
2021-09-17,178978,618.64,285.84,275.88
2021-09-16,184105,17.48,296.32,285.84
2021-09-15,176370,1588.20,281.41,296.32
2021-09-14,174362,356.00,277.22,281.41
2021-09-13,180894,3123.45,288.15,277.22
2021-09-12,178566,232.86,282.38,288.15
2021-09-11,171870,2387.49,273.77,282.38
2021-09-10,180290,434.63,286.81,273.77
2021-09-09,177579,3873.67,284.63,286.81
2021-09-08,179890,2671.34,286.55,284.63
2021-09-07,212060,3729.52,338.91,286.55
2021-09-06,213830,2889.82,337.82,338.91
2021-09-05,214026,50.77,338.45,337.82
2021-09-04,205289,656.41,326.35,338.45
2021-09-03,207484,2124.77,325.38,326.35
2021-09-02,203778,3080.03,323.79,325.38
2021-09-01,189429,3814.59,302.26,323.79
2021-08-31,199121,4416.51,312.98,302.26
2021-08-30,199357,9201.03,310.91,312.98
2021-08-29,216827,319189,344.80,310.91
2021-08-28,210330,311910,335.11,344.80
2021-08-27,220161,330544,353.53,335.11
2021-08-26,216315,361947,346.85,353.53
2021-08-25,205602,328667,324.76,346.85
2021-08-24,208742,307112,332.90,324.76
2021-08-23,194754,277691,310.56,332.90
2021-08-22,216926,274222,344.65,310.56
2021-08-21,271620,298311,434.34,344.65
2021-08-20,285321,286258,460.77,434.34
2021-08-19,257156,254950,410.66,460.77
2021-08-18,256218,123102,407.74,410.66
2021-08-17,271188,256149,428.60,407.74
2021-08-16,298154,281250,476.07,428.60
2021-08-15,292826,263918,468.60,476.07
2021-08-14,291438,294888,464.71,468.60
2021-08-13,246539,74287,394.87,464.71
2021-08-12,236945,260687,376.80,394.87
2021-08-11,220786,235115,351.37,376.80
2021-08-10,211186,293280,339.44,351.37
2021-08-09,179499,300102,283.27,339.44
2021-08-08,187194,296330,299.75,283.27
2021-08-07,175778,307128,281.86,299.75
2021-08-06,192357,299094,307.84,281.86
2021-08-05,217674,7600.49,343.27,307.84
2021-08-04,205859,2141.00,328.57,343.27
2021-08-03,415695,192.38,661.62,328.57
2021-08-02,404798,49.16,649.81,661.62
2021-08-01,228672,261.23,365.31,649.81
2021-07-31,277420,83.92,442.68,365.31
2021-07-30,267794,29.47,425.95,442.68
2021-07-29,444546,43.57,707.13,425.95
2021-07-28,266561,22.92,432.31,707.13
2021-07-27,295525,148.72,469.01,432.31
2021-07-26,296471,0.01273588,473.21,469.01
2021-07-25,294821,250.21,464.69,473.21
2021-07-24,257853,105.91,413.05,464.69
2021-07-23,260288,20.98,415.47,413.05
2021-07-22,254170,281.01,401.38,415.47
2021-07-21,239427,141.97,378.27,401.38
2021-07-20,266884,346.13,405.04,378.27
2021-07-19,321316,68.76,511.56,405.04
2021-07-18,280960,4.21,445.52,511.56
2021-07-17,307868,350.51,476.12,445.52
2021-07-16,337236,146.64,537.19,476.12
2021-07-15,346193,123.87,548.27,537.19
2021-07-14,328370,59.38,523.07,548.27
2021-07-13,361834,106.32,576.37,523.07
2021-07-12,377908,95.27,611.07,576.37
2021-07-11,367796,35.70,587.90,611.07
2021-07-10,334208,66.13,532.37,587.90
2021-07-09,355371,172.49,568.55,532.37
2021-07-08,390391,410.16,618.34,568.55
2021-07-07,393561,145.68,631.11,618.34
2021-07-06,397622,152.49,632.15,631.11
2021-07-05,411898,120.39,671.44,632.15
2021-07-04,351983,50.36,560.68,671.44
2021-07-03,329139,109.92,524.68,560.68
2021-07-02,335203,64.95,504.30,524.68
2021-07-01,351955,16.45,563.52,504.30
2021-06-30,369870,18.19,589.05,563.52
2021-06-29,362307,244.87,573.57,589.05
2021-06-28,365808,270.29,609.72,573.57
2021-06-27,341976,125.37,547.89,609.72
2021-06-26,353588,323.07,567.14,547.89
2021-06-25,406486,451.36,650.89,567.14
2021-06-24,386449,600.97,615.58,650.89
2021-06-23,348405,527.48,554.79,615.58
2021-06-22,396089,864.00,626.44,554.79
2021-06-21,459363,482.27,711.07,626.44
2021-06-20,442772,489.76,705.30,711.07
2021-06-19,440038,437.46,706.87,705.30
2021-06-18,499935,431.14,796.35,706.87
2021-06-17,564222,30.29,871.41,796.35
2021-06-16,572188,3158.28,912.61,871.41
2021-06-15,540453,654.88,914.92,912.61
2021-06-14,591375,5398.04,945.53,914.92
2021-06-13,574416,4042.99,913.56,945.53
2021-06-12,591596,5175.14,944.04,913.56
2021-06-11,837395,3558.77,1399.54,944.04
2021-06-10,646070,1368.99,1066.04,1399.54
2021-06-09,547395,2744.88,886.82,1066.04
2021-06-08,581084,4421.06,910.19,886.82
2021-06-07,656257,5884.82,1041.93,910.19
2021-06-06,601860,21335,965.61,1041.93
2021-06-05,670547,7225.40,1064.29,965.61
2021-06-04,648234,1753.90,1059.50,1064.29
2021-06-03,652665,4934.21,1028.99,1059.50
2021-06-02,601226,1660.97,964.62,1028.99
2021-06-01,566424,8652.94,906.98,964.62
2021-05-31,561083,15487.77,878.75,906.98
2021-05-30,472977,5035.21,785.83,878.75
2021-05-29,555091,8816.62,836.24,785.83
2021-05-28,638780,3413.36,1010.54,836.24
2021-05-27,626401,16018.77,997.80,1010.54
2021-05-26,621172,66409,1006.57,997.80
2021-05-25,628106,35807,999.05,1006.57
2021-05-24,548047,48112,890.41,999.05
2021-05-23,579809,81830,916.72,890.41
2021-05-22,554568,12553.21,889.88,916.72
2021-05-21,661876,40113,1050.10,889.88
2021-05-20,661904,69685,1023.60,1050.10
2021-05-19,773280,59652,1216.63,1023.60
2021-05-18,901085,102590,1434.76,1216.63
2021-05-17,1118019,87995,1794.59,1434.76
2021-05-16,1005780,63957,1579.23,1794.59
2021-05-15,1122571,47678,1798.49,1579.23
2021-05-14,1134218,47598,1805.50,1798.49
2021-05-13,1228588,63289,1920.97,1805.50
2021-05-12,1518905,686889,2432.02,1920.97
2021-05-11,1698791,202382,2804.55,2432.02
2021-05-10,2197516,33041,3487.38,2804.55
2021-05-09,2102354,20338,3349.24,3487.38
2021-05-08,2063861,150874,3293.21,3349.24
2021-05-07,2248390,73805,3574.44,3293.21
2021-05-06,2392355,30607,3801.60,3574.44
2021-05-05,2333872,69090,3696.05,3801.60
2021-05-04,2714531,180191,4328.31,3696.05
2021-05-03,2490508,245738,3968.92,4328.31
2021-05-02,1891128,57889,3004.21,3968.92
2021-05-01,1839434,206015,2891.39,3004.21
2021-04-30,2718418,1777437,4357.77,2891.39
2021-04-29,1390629,81553,2216.62,4357.77
2021-04-28,1646885,298647,2617.03,2216.62
2021-04-27,1565179,154166,2486.23,2617.03
2021-04-26,1127913,36203,1831.84,2486.23
2021-04-25,1118929,50469,1766.94,1831.84
2021-04-24,1213305,68988,1963.26,1766.94
2021-04-23,1299495,149124,2074.65,1963.26
2021-04-22,1506793,56747,2414.09,2074.65
2021-04-21,1815862,152513,2888.55,2414.09
2021-04-20,1896562,187028,3023.74,2888.55
2021-04-19,1664582,189212,2651.54,3023.74
2021-04-18,2136793,56003,3313.79,2651.54
2021-04-17,2371062,96682,3776.63,3313.79
2021-04-16,2336524,165607,3715.28,3776.63
2021-04-15,2286137,170758,3647.00,3715.28
2021-04-14,2315798,40813,3688.28,3647.00
2021-04-13,2726715,135609,4299.81,3688.28
2021-04-12,2481990,77573,3994.50,4299.81
2021-04-11,2458130,134503,3915.60,3994.50
2021-04-10,2035470,82668,3268.32,3915.60
2021-04-09,2219283,121359,3532.71,3268.32
2021-04-08,1906353,411016,2996.30,3532.71
2021-04-07,2572794,313687,3837.36,2996.30
2021-04-06,2877364,303522,4530.44,3837.36
2021-04-05,2371475,271413,3783.87,4530.44
2021-04-04,2332883,250963,3716.09,3783.87
2021-04-03,1847207,264178,2954.09,3716.09
2021-04-02,1751812,385334,2797.85,2954.09
2021-04-01,1108866,181008,1770.24,2797.85
2021-03-31,1586800,317904,2509.44,1770.24
2021-03-30,1297313,112332,2098.39,2509.44
2021-03-29,1106805,79392,1768.11,2098.39
2021-03-28,1094495,23995,1734.88,1768.11
2021-03-27,953076,271573,1526.06,1734.88
2021-03-26,778885,152262,1413.48,1526.06
2021-03-25,658330,55080,1054.60,1413.48
2021-03-24,547052,108227,914.90,1054.60
2021-03-23,386724,107964,628.38,914.90
2021-03-22,585898,46002,950.30,628.38
2021-03-21,604713,22021,980.10,950.30
2021-03-20,552364,63963,900.63,980.10
2021-03-19,639069,69749,1047.04,900.63
2021-03-18,660121,105605,1076.80,1047.04
2021-03-17,657680,87198,1075.43,1076.80
2021-03-16,721239,123282,1172.22,1075.43
2021-03-15,0.000000000000,168346,1678.50,1172.22
2021-03-14,0.000000000000,43719,1243.40,1678.50
2021-03-13,0.000000000000,63476,1018.74,1243.40
2021-03-12,0.000000000000,56526,1057.64,1018.74
2021-03-11,0.000000000000,56167,868.44,1057.64
2021-03-10,0.000000000000,28690,884.47,868.44
2021-03-09,0.000000000000,41121,805.39,884.47
2021-03-08,0.000000000000,45772,739.10,805.39
2021-03-07,0.000000000000,40624,606.97,739.10
2021-03-06,0.000000000000,8433.57,556.44,606.97
2021-03-05,0.000000000000,31386,559.21,556.44
2021-03-04,0.000000000000,17029.68,688.31,559.21
2021-03-03,0.000000000000,24009,698.06,688.31
2021-03-02,0.000000000000,172057,818.35,698.06
2021-03-01,0.000000000000,44658,653.16,818.35
2021-02-28,0.000000000000,331970,715.12,653.16
2021-02-27,0.000000000000,47661,507.04,715.12
2021-02-26,0.000000000000,103840,629.89,507.04
2021-02-25,0.000000000000,290788,888.63,629.89
2021-02-24,0.000000000000,265242,851.93,888.63
2021-02-23,0.000000000000,265242,851.93,851.93
2021-02-22,0.000000000000,831294,1978.23,851.93
2021-02-21,0.000000000000,3447369,2100.17,1978.23
2021-02-20,0.000000000000,3447369,2100.17,2100.17
