date,mktcap,vol,open_price,close_price
2021-10-04,17978420,92981,4.95,4.96
2021-10-03,17293192,103342,4.76,4.95
2021-10-02,15486305,120430,4.27,4.76
2021-10-01,15803551,89480,4.35,4.27
2021-09-30,15459413,16328.54,4.26,4.35
2021-09-29,15246725,23842,4.20,4.26
2021-09-28,16190711,71402,4.43,4.20
2021-09-27,14805313,50221,3.95,4.43
2021-09-26,14686507,71712,4.04,3.95
2021-09-25,15835747,107254,4.39,4.04
2021-09-24,17472429,116041,4.81,4.39
2021-09-23,17832345,349112,4.73,4.81
2021-09-22,18222276,138266,5.03,4.73
2021-09-21,19689752,208544,5.43,5.03
2021-09-20,22144790,793180,6.05,5.43
2021-09-19,22850069,142656,6.31,6.05
2021-09-18,19624381,209191,5.41,6.31
2021-09-17,20186407,117902,5.57,5.41
2021-09-16,20681952,63379,5.70,5.57
2021-09-15,18837581,192920,5.22,5.70
2021-09-14,18390578,382034,5.06,5.22
2021-09-13,18154420,221854,5.00,5.06
2021-09-12,680827,25858,0.186279,5.00
2021-09-11,19053060,434225,5.25,0.186279
2021-09-10,22123783,752615,6.17,5.25
2021-09-09,32939901,100426,8.88,6.17
2021-09-08,33269444,122609,9.06,8.88
2021-09-07,35432846,57331,9.75,9.06
2021-09-06,34456291,71332,9.51,9.75
2021-09-05,34514135,123019,9.64,9.51
2021-09-04,39911540,171480,11.04,9.64
2021-09-03,47177632,60630,12.99,11.04
2021-09-02,49728345,369581,13.70,12.99
2021-09-01,50276459,127242,13.85,13.70
2021-08-31,52211800,439368,14.35,13.85
2021-08-30,50709276,53867,13.97,14.35
2021-08-29,47354137,56145,13.04,13.97
2021-08-28,52068655,80641,14.33,13.04
2021-08-27,53086614,247703,14.64,14.33
2021-08-26,54605059,450954,15.02,14.64
2021-08-25,35915941,65696,9.88,15.02
2021-08-24,34210016,142022,9.46,9.88
2021-08-23,28670543,36153,7.90,9.46
2021-08-22,29757914,41835,8.21,7.90
2021-08-21,31324351,38756,8.63,8.21
2021-08-20,31536135,85489,8.73,8.63
2021-08-19,31084373,167494,8.56,8.73
2021-08-18,25772188,117404,7.08,8.56
2021-08-17,21632204,46035,5.97,7.08
2021-08-16,19662312,6229.17,5.40,5.97
2021-08-15,19597983,83112,5.40,5.40
2021-08-14,17960556,66893,4.95,5.40
2021-08-13,15992287,58716,4.40,4.95
2021-08-12,17126326,686220,4.71,4.40
2021-08-11,18680407,334591,5.15,4.71
2021-08-10,19018590,126952,5.21,5.15
2021-08-09,19395826,37988,5.35,5.21
2021-08-08,19749421,50203,5.44,5.35
2021-08-07,19677031,28016,5.42,5.44
2021-08-06,19413350,34315,5.34,5.42
2021-08-05,19285765,29199,5.30,5.34
2021-08-04,19391580,28405,5.32,5.30
2021-08-03,0.000000000000,33150,5.38,5.32
2021-08-02,0.000000000000,38140,5.32,5.38
2021-08-01,0.000000000000,18246.18,5.40,5.32
2021-07-31,0.000000000000,26775,5.34,5.40
2021-07-30,0.000000000000,35667,5.32,5.34
2021-07-29,0.000000000000,31412,5.23,5.32
2021-07-28,0.000000000000,63160,5.24,5.23
2021-07-27,0.000000000000,177492,5.13,5.24
2021-07-26,0.000000000000,21128,5.16,5.13
2021-07-25,0.000000000000,14328.31,5.06,5.16
2021-07-24,0.000000000000,25455,5.06,5.06
2021-07-23,0.000000000000,33657,5.04,5.06
2021-07-22,0.000000000000,50991,4.98,5.04
2021-07-21,0.000000000000,92192,4.92,4.98
2021-07-20,0.000000000000,37230,4.89,4.92
2021-07-19,0.000000000000,21915,5.02,4.89
2021-07-18,0.000000000000,22194,4.96,5.02
2021-07-17,0.000000000000,31292,4.94,4.96
2021-07-16,0.000000000000,16166.15,5.09,4.94
2021-07-15,0.000000000000,33452,5.03,5.09
2021-07-14,0.000000000000,24709,5.05,5.03
2021-07-13,0.000000000000,47791,5.07,5.05
2021-07-12,0.000000000000,12307.57,5.16,5.07
2021-07-11,0.000000000000,24272,5.16,5.16
2021-07-10,0.000000000000,54456,5.27,5.16
2021-07-09,0.000000000000,43991,5.17,5.27
2021-07-08,0.000000000000,89061,5.20,5.17
2021-07-07,0.000000000000,17375.63,5.18,5.20
2021-07-06,0.000000000000,35996,5.03,5.18
2021-07-05,0.000000000000,42027,5.09,5.03
2021-07-04,0.000000000000,17460.84,5.03,5.09
2021-07-03,0.000000000000,21982,5.06,5.03
2021-07-02,0.000000000000,28868,5.01,5.06
2021-07-01,0.000000000000,38016,5.11,5.01
2021-06-30,0.000000000000,36420,5.08,5.11
2021-06-29,0.000000000000,42572,5.04,5.08
2021-06-28,0.000000000000,29876,5.06,5.04
2021-06-27,0.000000000000,51024,5.01,5.06
2021-06-26,0.000000000000,84926,5.02,5.01
2021-06-25,0.000000000000,56289,5.05,5.02
2021-06-24,0.000000000000,114803,5.08,5.05
2021-06-23,0.000000000000,195965,4.89,5.08
2021-06-22,0.000000000000,112445,4.94,4.89
2021-06-21,0.000000000000,47405,5.18,4.94
2021-06-20,0.000000000000,10788.14,5.27,5.18
2021-06-19,0.000000000000,58823,5.23,5.27
2021-06-18,0.000000000000,47423,5.47,5.23
2021-06-17,0.000000000000,8527.68,5.47,5.47
2021-06-16,0.000000000000,9234.45,5.58,5.47
2021-06-15,0.000000000000,35385,5.64,5.58
2021-06-14,0.000000000000,23334,5.58,5.64
2021-06-13,0.000000000000,47872,5.54,5.58
2021-06-12,0.000000000000,63812,5.51,5.54
2021-06-11,0.000000000000,27521,5.65,5.51
2021-06-10,0.000000000000,128347,5.70,5.65
2021-06-09,0.000000000000,179225,5.84,5.70
2021-06-08,0.000000000000,26413,6.17,5.84
2021-06-07,0.000000000000,16659.20,6.27,6.17
2021-06-06,0.000000000000,36889,6.25,6.27
2021-06-05,0.000000000000,59997,6.27,6.25
