date,mktcap,vol,open_price,close_price
2021-10-04,7288080,284848,7.29,7.62
2021-10-03,6832727,249107,6.83,7.29
2021-10-02,6527937,241762,6.52,6.83
2021-10-01,5966752,225374,5.96,6.52
2021-09-30,5402082,148105,5.40,5.96
2021-09-29,4907003,181740,4.86,5.40
2021-09-28,5378070,94387,5.34,4.86
2021-09-27,5565962,78508,5.50,5.34
2021-09-26,5812568,78137,5.79,5.50
2021-09-25,5667245,83027,5.63,5.79
2021-09-24,5734739,92852,5.73,5.63
2021-09-23,5347799,83603,5.37,5.73
2021-09-22,5155093,182772,5.19,5.37
2021-09-21,5385766,194342,5.42,5.19
2021-09-20,6530358,237425,6.41,5.42
2021-09-19,7067773,327808,7.07,6.41
2021-09-18,6441402,393751,6.42,7.07
2021-09-17,6347507,397206,6.38,6.42
2021-09-16,7217906,391286,7.24,6.38
2021-09-15,7151711,504387,7.16,7.24
2021-09-14,7084261,531364,7.10,7.16
2021-09-13,7711896,361113,7.71,7.10
2021-09-12,7896493,404137,7.90,7.71
2021-09-11,7135003,307804,7.12,7.90
2021-09-10,7139137,317003,7.13,7.12
2021-09-09,7245251,151861,7.30,7.13
2021-09-08,8058014,412207,7.95,7.30
2021-09-07,9866371,550961,9.92,7.95
2021-09-06,10732626,462307,10.73,9.92
2021-09-05,10611944,677529,10.59,10.73
2021-09-04,11366437,788487,11.42,10.59
2021-09-03,11609003,798591,11.61,11.42
2021-09-02,10511402,376664,10.53,11.61
2021-09-01,9417035,526018,9.40,10.53
2021-08-31,9289899,582282,9.27,9.40
2021-08-30,9333419,713674,9.32,9.27
2021-08-29,10636285,761016,10.65,9.32
2021-08-28,11284976,636999,11.28,10.65
2021-08-27,10619381,640512,10.51,11.28
2021-08-26,12424042,1237761,12.55,10.51
2021-08-25,13599155,5428320,13.58,12.55
2021-08-24,8953248,885534,8.95,13.58
2021-08-23,6734021,437415,6.73,8.95
2021-08-22,7896330,430660,7.90,6.73
2021-08-21,6906126,296860,6.94,7.90
2021-08-20,6051501,431285,6.11,6.94
2021-08-19,6058984,499646,6.05,6.11
2021-08-18,6372483,142833,6.43,6.05
2021-08-17,6773104,163395,6.77,6.43
2021-08-16,6343522,816066,6.34,6.77
2021-08-15,5275201,49644,5.27,6.34
2021-08-14,5218049,58852,5.27,5.27
2021-08-13,4954681,50224,4.96,5.27
2021-08-12,5182621,145899,5.16,4.96
2021-08-11,4704130,105046,4.71,5.16
2021-08-10,4732590,72295,4.78,4.71
2021-08-09,4663192,129768,4.65,4.78
2021-08-08,4724800,88593,4.74,4.65
2021-08-07,4618551,97368,4.62,4.74
2021-08-06,4402937,28404,4.41,4.62
2021-08-05,4424638,98757,4.41,4.41
2021-08-04,4380087,100578,4.37,4.41
2021-08-03,4851592,189338,4.85,4.37
2021-08-02,4443897,67750,4.39,4.85
2021-08-01,4353292,49867,4.37,4.39
2021-07-31,4065694,46851,4.09,4.37
2021-07-30,4141026,32332,4.14,4.09
2021-07-29,4007791,53864,4.02,4.14
2021-07-28,4305091,62982,4.31,4.02
2021-07-27,4349283,205153,4.34,4.31
2021-07-26,3935113,59126,3.94,4.34
2021-07-25,3719298,152534,3.72,3.94
2021-07-24,3866218,32264,3.88,3.72
2021-07-23,3769268,26039,3.77,3.88
2021-07-22,3900642,64439,3.89,3.77
2021-07-21,3783625,159199,3.78,3.89
2021-07-20,3898892,69289,3.90,3.78
2021-07-19,4080339,52110,4.10,3.90
2021-07-18,4060524,16035.85,4.06,4.10
2021-07-17,4172318,141637,4.17,4.06
2021-07-16,4224797,61026,4.22,4.17
2021-07-15,4603034,32090,4.60,4.22
2021-07-14,4780553,57587,4.78,4.60
2021-07-13,4770659,80595,4.75,4.78
2021-07-12,5108204,19028.93,5.10,4.75
2021-07-11,5083112,58766,5.13,5.10
2021-07-10,5054167,33658,5.05,5.13
2021-07-09,4926361,65511,4.93,5.05
2021-07-08,5293697,51708,5.30,4.93
2021-07-07,5300427,291560,5.30,5.30
2021-07-06,0.000000000000,142301,5.14,5.30
2021-07-05,0.000000000000,56702,5.67,5.14
2021-07-04,0.000000000000,74850,5.28,5.67
2021-07-03,0.000000000000,210692,5.27,5.28
2021-07-02,0.000000000000,58471,4.59,5.27
2021-07-01,0.000000000000,53000,5.01,4.59
2021-06-30,0.000000000000,20382,5.09,5.01
2021-06-29,0.000000000000,87092,4.95,5.09
2021-06-28,0.000000000000,165481,4.95,4.95
2021-06-27,0.000000000000,28730,4.56,4.95
2021-06-26,0.000000000000,161881,4.58,4.56
2021-06-25,0.000000000000,233293,5.66,4.58
2021-06-24,0.000000000000,542923,7.03,5.66
2021-06-23,0.000000000000,193932,4.28,7.03
2021-06-22,0.000000000000,121345,4.89,4.28
2021-06-21,0.000000000000,45587,5.78,4.89
2021-06-20,0.000000000000,35187,5.91,5.78
2021-06-19,0.000000000000,23901,6.37,5.91
2021-06-18,0.000000000000,30752,6.76,6.37
2021-06-17,0.000000000000,16239.03,6.88,6.76
2021-06-16,0.000000000000,62504,7.83,6.88
2021-06-15,0.000000000000,45443,7.68,7.83
2021-06-14,0.000000000000,66951,7.59,7.68
2021-06-13,0.000000000000,37454,6.71,7.59
2021-06-12,0.000000000000,183611,6.96,6.71
2021-06-11,0.000000000000,87741,6.84,6.96
2021-06-10,0.000000000000,159780,7.31,6.84
2021-06-09,0.000000000000,313336,7.14,7.31
2021-06-08,0.000000000000,136966,6.57,7.14
2021-06-07,0.000000000000,160831,7.18,6.57
2021-06-06,0.000000000000,144073,6.68,7.18
2021-06-05,0.000000000000,238136,7.27,6.68
2021-06-04,0.000000000000,99779,8.64,7.27
2021-06-03,0.000000000000,83398,7.92,8.64
2021-06-02,0.000000000000,107538,7.75,7.92
2021-06-01,0.000000000000,144820,8.17,7.75
2021-05-31,0.000000000000,289492,7.80,8.17
2021-05-30,0.000000000000,127051,6.74,7.80
2021-05-29,0.000000000000,281164,7.27,6.74
2021-05-28,0.000000000000,177099,8.99,7.27
2021-05-27,0.000000000000,228322,9.28,8.99
2021-05-26,0.000000000000,362375,9.00,9.28
2021-05-25,0.000000000000,503404,9.18,9.00
2021-05-24,0.000000000000,355006,6.62,9.18
2021-05-23,0.000000000000,502422,7.40,6.62
2021-05-22,0.000000000000,471746,8.34,7.40
2021-05-21,0.000000000000,408128,9.64,8.34
2021-05-20,0.000000000000,826389,9.19,9.64
2021-05-19,0.000000000000,91096,12.70,9.19
2021-05-18,0.000000000000,431499,13.28,12.70
2021-05-17,0.000000000000,1304125,14.63,13.28
2021-05-16,0.000000000000,1817308,16.24,14.63
2021-05-15,0.000000000000,291232,15.11,16.24
2021-05-14,0.000000000000,193752,14.18,15.11
2021-05-13,0.000000000000,193277,14.85,14.18
2021-05-12,0.000000000000,112761,16.94,14.85
2021-05-11,0.000000000000,275144,17.44,16.94
2021-05-10,0.000000000000,574509,18.26,17.44
2021-05-09,0.000000000000,509701,19.09,18.26
2021-05-08,0.000000000000,530820,20.80,19.09
2021-05-07,0.000000000000,983751,23.06,20.80
2021-05-06,0.000000000000,587285,20.61,23.06
2021-05-05,0.000000000000,1023767,17.99,20.61
2021-05-04,0.000000000000,585829,18.19,17.99
2021-05-03,0.000000000000,313141,18.76,18.19
2021-05-02,0.000000000000,727789,21.16,18.76
2021-05-01,0.000000000000,409686,19.24,21.16
2021-04-30,0.000000000000,999034,18.75,19.24
2021-04-29,0.000000000000,384322,15.91,18.75
2021-04-28,0.000000000000,632719,16.77,15.91
2021-04-27,0.000000000000,555268,16.49,16.77
2021-04-26,0.000000000000,204542,16.22,16.49
2021-04-25,0.000000000000,285835,16.10,16.22
2021-04-24,0.000000000000,987387,16.85,16.10
2021-04-23,0.000000000000,1104551,17.39,16.85
2021-04-22,0.000000000000,641922,17.45,17.39
2021-04-21,0.000000000000,1050173,17.01,17.45
2021-04-20,0.000000000000,841391,17.81,17.01
2021-04-19,0.000000000000,1825932,21.37,17.81
2021-04-18,0.000000000000,1055952,21.63,21.37
2021-04-17,0.000000000000,2254470,22.36,21.63
2021-04-16,0.000000000000,1353608,25.32,22.36
2021-04-15,0.000000000000,737955,22.46,25.32
2021-04-14,0.000000000000,1311719,25.88,22.46
2021-04-13,0.000000000000,1598571,25.66,25.88
2021-04-12,0.000000000000,1629521,29.89,25.66
2021-04-11,0.000000000000,671244,31.43,29.89
2021-04-10,0.000000000000,1111466,32.30,31.43
2021-04-09,0.000000000000,803645,35.56,32.30
2021-04-08,0.000000000000,4159639,37.00,35.56
2021-04-07,0.000000000000,1457084,35.42,37.00
2021-04-06,0.000000000000,1114113,36.22,35.42
2021-04-05,0.000000000000,1191101,37.87,36.22
2021-04-04,0.000000000000,1082021,33.52,37.87
2021-04-03,0.000000000000,1929617,41.01,33.52
2021-04-02,0.000000000000,1469500,46.20,41.01
2021-04-01,0.000000000000,2269791,51.07,46.20
2021-03-31,0.000000000000,2360947,46.33,51.07
2021-03-30,0.000000000000,5543717,50.24,46.33
2021-03-29,0.000000000000,1837218,34.87,50.24
2021-03-28,0.000000000000,1216439,32.69,34.87
2021-03-27,0.000000000000,1854751,35.51,32.69
2021-03-26,0.000000000000,1546641,35.38,35.51
2021-03-25,0.000000000000,1909199,34.44,35.38
2021-03-24,0.000000000000,1874305,38.52,34.44
2021-03-23,0.000000000000,4054745,44.53,38.52
2021-03-22,0.000000000000,3005332,31.95,44.53
2021-03-21,0.000000000000,2689755,24.59,31.95
2021-03-20,0.000000000000,1164066,17.09,24.59
2021-03-19,0.000000000000,959501,13.31,17.09
2021-03-18,0.000000000000,306431,10.97,13.31
2021-03-17,0.000000000000,139547,9.83,10.97
2021-03-16,0.000000000000,201182,9.05,9.83
2021-03-15,0.000000000000,494483,9.09,9.05
2021-03-14,0.000000000000,253132,8.12,9.09
2021-03-13,0.000000000000,312869,8.68,8.12
2021-03-12,0.000000000000,903706,10.14,8.68
2021-03-11,0.000000000000,903706,10.14,10.14
