date,mktcap,vol,open_price,close_price
2021-10-04,151208447,3050058,0.707374,0.696859
2021-10-03,147689786,3664165,0.691205,0.707374
2021-10-02,148292562,3610418,0.693230,0.691205
2021-10-01,143291011,3102746,0.663559,0.693230
2021-09-30,133463155,2985681,0.619054,0.663559
2021-09-29,123902245,3676862,0.574834,0.619054
2021-09-28,140077591,2607292,0.638136,0.574834
2021-09-27,149842735,2623402,0.695537,0.638136
2021-09-26,156516867,2782334,0.726247,0.695537
2021-09-25,168931740,3715014,0.786731,0.726247
2021-09-24,172743493,3146960,0.802565,0.786731
2021-09-23,161031123,5392762,0.748539,0.802565
2021-09-22,134930856,5493421,0.630068,0.748539
2021-09-21,145680251,6548234,0.697445,0.630068
2021-09-20,183666931,3182843,0.860459,0.697445
2021-09-19,190007298,2229169,0.896131,0.860459
2021-09-18,190007298,3900940,0.870321,0.896131
2021-09-17,190007298,4396552,0.954593,0.870321
2021-09-16,190007298,4746143,1.03,0.954593
2021-09-15,190007298,4034623,0.969027,1.03
2021-09-14,190007298,5166965,0.881619,0.969027
2021-09-13,209009014,5568497,0.970011,0.881619
2021-09-12,210144187,5158152,0.976032,0.970011
2021-09-11,203179770,8846233,0.949222,0.976032
2021-09-10,216369375,8601056,0.999583,0.949222
2021-09-09,218145019,7384099,0.986250,0.999583
2021-09-08,219047579,13765118,1.04,0.986250
2021-09-07,270068323,7292843,1.26,1.04
2021-09-06,252237979,5842847,1.19,1.26
2021-09-05,255369796,6808905,1.17,1.19
2021-09-04,238921872,9141678,1.13,1.17
2021-09-03,226486942,7179671,1.06,1.13
2021-09-02,199357244,5423894,0.935173,1.06
2021-09-01,185349396,5887578,0.874100,0.935173
2021-08-31,176790442,4081527,0.835935,0.874100
2021-08-30,179315535,3742248,0.848175,0.835935
2021-08-29,178878209,3309465,0.841194,0.848175
2021-08-28,183328141,5287330,0.861968,0.841194
2021-08-27,163407998,5464573,0.768360,0.861968
2021-08-26,175776503,6021004,0.826689,0.768360
2021-08-25,175732853,4812943,0.825662,0.826689
2021-08-24,187250743,4489040,0.886755,0.825662
2021-08-23,194896168,6122254,0.916943,0.886755
2021-08-22,194047555,7306130,0.913897,0.916943
2021-08-21,185040757,5742682,0.872539,0.913897
2021-08-20,160260798,4073518,0.763753,0.872539
2021-08-19,145820274,4077389,0.688022,0.763753
2021-08-18,148852187,4189638,0.687520,0.688022
2021-08-17,151732860,4807908,0.719343,0.687520
2021-08-16,161374545,5480884,0.758936,0.719343
2021-08-15,156210499,6318709,0.737194,0.758936
2021-08-14,135796020,3552224,0.642094,0.737194
2021-08-13,121189306,3131197,0.570751,0.642094
2021-08-12,125035837,3681978,0.591433,0.570751
2021-08-11,124887149,3112889,0.599288,0.591433
2021-08-10,126755725,4012184,0.599976,0.599288
2021-08-09,125796737,4799779,0.587254,0.599976
2021-08-08,136750585,5803684,0.643258,0.587254
2021-08-07,118828363,4209945,0.565016,0.643258
2021-08-06,109082968,1998275,0.513196,0.565016
2021-08-05,106198761,1511919,0.504739,0.513196
2021-08-04,97350203,1347513,0.462297,0.504739
2021-08-03,102083497,1751097,0.481606,0.462297
2021-08-02,101400591,1840314,0.481027,0.481606
2021-08-01,108646923,1481447,0.516421,0.481027
2021-07-31,110465176,2608812,0.525503,0.516421
2021-07-30,111070862,3166535,0.528317,0.525503
2021-07-29,105153950,3522888,0.503353,0.528317
2021-07-28,103174940,2734063,0.492389,0.503353
2021-07-27,97617083,5768333,0.466777,0.492389
2021-07-26,90112086,1623091,0.439645,0.466777
2021-07-25,87773745,2065794,0.418063,0.439645
2021-07-24,89838202,3490564,0.428652,0.418063
2021-07-23,89044268,3120608,0.430442,0.428652
2021-07-22,77365262,3816638,0.371116,0.430442
2021-07-21,65647656,1700098,0.313843,0.371116
2021-07-20,68908755,2079399,0.329007,0.313843
2021-07-19,79889570,1445318,0.376458,0.329007
2021-07-18,76984219,2040612,0.368288,0.376458
2021-07-17,76533527,2313721,0.366290,0.368288
2021-07-16,88648040,3059397,0.416853,0.366290
2021-07-15,97494267,3779477,0.463421,0.416853
2021-07-14,90974419,2835454,0.435974,0.463421
2021-07-13,97812321,4198161,0.469295,0.435974
2021-07-12,104062673,7029134,0.499121,0.469295
2021-07-11,88932315,2700471,0.426711,0.499121
2021-07-10,83555359,1966283,0.401912,0.426711
2021-07-09,77948539,2316852,0.374975,0.401912
2021-07-08,81888894,3953249,0.395344,0.374975
2021-07-07,73108292,1463970,0.350458,0.395344
2021-07-06,64627260,1463564,0.330988,0.350458
2021-07-05,70027451,1652273,0.361159,0.330988
2021-07-04,64738558,1226045,0.335069,0.361159
2021-07-03,60366878,1376921,0.311817,0.335069
2021-07-02,61599669,1333293,0.317936,0.311817
2021-07-01,64161978,1064783,0.333472,0.317936
2021-06-30,66956718,1517193,0.347095,0.333472
2021-06-29,63019225,1531948,0.326158,0.347095
2021-06-28,61994675,1099597,0.321036,0.326158
2021-06-27,61594471,1117059,0.317787,0.321036
2021-06-26,63505757,1611599,0.329054,0.317787
2021-06-25,68934832,1609426,0.355718,0.329054
2021-06-24,65716437,2421507,0.339045,0.355718
2021-06-23,54173157,3291679,0.280824,0.339045
2021-06-22,58651407,2311827,0.299123,0.280824
2021-06-21,79586841,1536292,0.413629,0.299123
2021-06-20,81146942,1212645,0.419224,0.413629
2021-06-19,77037669,1475945,0.399881,0.419224
2021-06-18,82145220,1257152,0.428109,0.399881
2021-06-17,81630977,1539674,0.419541,0.428109
2021-06-16,88196075,1619195,0.457234,0.419541
2021-06-15,91038273,1660784,0.475861,0.457234
2021-06-14,93563116,1583554,0.488559,0.475861
2021-06-13,77678182,1714689,0.402861,0.488559
2021-06-12,75793074,1861298,0.396053,0.402861
2021-06-11,84262121,2174141,0.435950,0.396053
2021-06-10,96506062,5496327,0.502705,0.435950
2021-06-09,76938573,4202136,0.404587,0.502705
2021-06-08,83998230,2229308,0.430407,0.404587
2021-06-07,92449378,1404332,0.491651,0.430407
2021-06-06,85686877,2580248,0.454201,0.491651
2021-06-05,97650121,3145530,0.508705,0.454201
2021-06-04,118732473,3076894,0.620558,0.508705
2021-06-03,107025545,3538423,0.567247,0.620558
2021-06-02,97043752,4453723,0.507253,0.567247
2021-06-01,85233575,2365739,0.448118,0.507253
2021-05-31,74520475,2150298,0.392512,0.448118
2021-05-30,63483578,2018944,0.322409,0.392512
2021-05-29,63868209,2609150,0.337336,0.322409
2021-05-28,81178013,3185715,0.429144,0.337336
2021-05-27,90802353,3801193,0.478676,0.429144
2021-05-26,87451582,4166494,0.455593,0.478676
2021-05-25,90032081,6075818,0.470908,0.455593
2021-05-24,71017363,8097066,0.376255,0.470908
2021-05-23,83511405,4490526,0.433757,0.376255
2021-05-22,98674386,6360534,0.523274,0.433757
2021-05-21,109778125,6733990,0.585817,0.523274
2021-05-20,114684314,8330988,0.554005,0.585817
2021-05-19,170844927,3261366,0.904222,0.554005
2021-05-18,169665866,4469860,0.902116,0.904222
2021-05-17,187049821,5628809,0.990546,0.902116
2021-05-16,183205216,5734619,0.961226,0.990546
2021-05-15,211095641,5553613,1.11,0.961226
2021-05-14,201187688,8584456,1.06,1.11
2021-05-13,194651723,6045417,1.02,1.06
2021-05-12,245194774,5218443,1.27,1.02
2021-05-11,230942136,8052800,1.21,1.27
2021-05-10,235558259,4646559,1.24,1.21
2021-05-09,238506366,5242867,1.26,1.24
2021-05-08,250483559,4408035,1.33,1.26
2021-05-07,271849529,5225415,1.45,1.33
2021-05-06,280702621,8138860,1.51,1.45
2021-05-05,240251322,5208339,1.27,1.51
2021-05-04,238717894,5364829,1.28,1.27
2021-05-03,239458981,6126896,1.23,1.28
2021-05-02,224316641,3854981,1.17,1.23
2021-05-01,233420388,4187084,1.24,1.17
2021-04-30,225997017,5725873,1.19,1.24
2021-04-29,230928026,5258709,1.23,1.19
2021-04-28,249108620,4416121,1.32,1.23
2021-04-27,238806583,9033121,1.28,1.32
2021-04-26,184695853,4335126,0.990163,1.28
2021-04-25,207040914,3424005,1.10,0.990163
2021-04-24,214545135,8286324,1.14,1.10
2021-04-23,235008260,6848511,1.24,1.14
2021-04-22,248195220,6181143,1.31,1.24
2021-04-21,271364609,9783307,1.42,1.31
2021-04-20,254187080,6972623,1.36,1.42
2021-04-19,306284852,11577380,1.64,1.36
2021-04-18,345545485,9555461,1.82,1.64
2021-04-17,335672175,8476732,1.76,1.82
2021-04-16,308715694,6188792,1.65,1.76
2021-04-15,273390724,5003703,1.47,1.65
2021-04-14,295967699,7341966,1.59,1.47
2021-04-13,289123039,4462172,1.55,1.59
2021-04-12,281867073,3639538,1.51,1.55
2021-04-11,302498981,4653919,1.64,1.51
2021-04-10,305290114,4603997,1.64,1.64
2021-04-09,290774270,3583308,1.58,1.64
2021-04-08,299019413,5665034,1.60,1.58
2021-04-07,331674341,10682680,1.79,1.60
2021-04-06,269537946,5161046,1.45,1.79
2021-04-05,269497723,4234040,1.45,1.45
2021-04-04,259941124,4720441,1.42,1.45
2021-04-03,259821340,2795001,1.41,1.42
2021-04-02,284764080,3566102,1.53,1.41
2021-04-01,297048750,4244687,1.59,1.53
2021-03-31,290396184,4083339,1.57,1.59
2021-03-30,276740657,4331577,1.50,1.57
2021-03-29,258793915,3045831,1.39,1.50
2021-03-28,249280961,3412643,1.37,1.39
2021-03-27,269913201,4328464,1.46,1.37
2021-03-26,234761605,4822911,1.23,1.46
2021-03-25,232130780,9187815,1.25,1.23
2021-03-24,263455134,4353555,1.43,1.25
2021-03-23,264776957,5000285,1.43,1.43
2021-03-22,294938539,3293781,1.59,1.43
2021-03-21,297610398,4102423,1.62,1.59
2021-03-20,289353642,4624162,1.58,1.62
2021-03-19,285147585,5043653,1.56,1.58
2021-03-18,296023435,5181315,1.62,1.56
2021-03-17,289133151,7277478,1.57,1.62
2021-03-16,324074028,10646516,1.69,1.57
2021-03-15,288992968,7344739,1.56,1.69
2021-03-14,272248031,6777841,1.47,1.56
2021-03-13,206031806,4619918,1.12,1.47
2021-03-12,203079908,6817592,1.11,1.12
2021-03-11,177743539,3271539,0.964697,1.11
2021-03-10,180385992,4517638,0.953232,0.964697
2021-03-09,168798879,3655228,0.921346,0.953232
2021-03-08,158607717,3272458,0.866611,0.921346
2021-03-07,133105539,1627468,0.725760,0.866611
2021-03-06,136830982,4735346,0.747981,0.725760
2021-03-05,119321554,2034362,0.647884,0.747981
2021-03-04,129093827,2366435,0.694171,0.647884
2021-03-03,118269876,2569683,0.647339,0.694171
2021-03-02,128432275,2245248,0.712723,0.647339
2021-03-01,118083293,2950089,0.648934,0.712723
2021-02-28,125497861,1411408,0.688099,0.648934
2021-02-27,123894972,2847485,0.682844,0.688099
2021-02-26,139017995,3118515,0.742866,0.682844
2021-02-25,134030274,4303568,0.754134,0.742866
2021-02-24,151331541,8512537,0.842166,0.754134
2021-02-23,179038781,6502103,0.986578,0.842166
2021-02-22,169302249,5553070,0.942436,0.986578
2021-02-21,159287404,7402169,0.882369,0.942436
2021-02-20,104314259,2418497,0.580371,0.882369
2021-02-19,114771937,3447410,0.630226,0.580371
2021-02-18,116346571,3939811,0.641040,0.630226
2021-02-17,118228759,6114038,0.665367,0.641040
2021-02-16,112631973,7285599,0.618548,0.665367
2021-02-15,95592540,5696925,0.530566,0.618548
2021-02-14,73470978,4340690,0.409772,0.530566
2021-02-13,70427262,4320036,0.368968,0.409772
2021-02-12,49942394,2552597,0.276050,0.368968
2021-02-11,40558071,1867188,0.224144,0.276050
2021-02-10,34822048,1441048,0.192802,0.224144
2021-02-09,37005505,901196,0.193603,0.192802
2021-02-08,37503864,464866,0.203248,0.193603
2021-02-07,39754431,732692,0.216846,0.203248
2021-02-06,40674365,857348,0.226491,0.216846
2021-02-05,40659373,651755,0.221235,0.226491
2021-02-04,45474435,1684947,0.250554,0.221235
2021-02-03,35121251,840555,0.194885,0.250554
2021-02-02,36483823,824666,0.204185,0.194885
2021-02-01,38455738,887291,0.205350,0.204185
2021-01-31,43537573,619001,0.242005,0.205350
2021-01-30,46436440,847333,0.257094,0.242005
2021-01-29,0.000000000000,799038,0.268870,0.257094
2021-01-28,0.000000000000,699561,0.251458,0.268870
2021-01-27,0.000000000000,599960,0.266354,0.251458
2021-01-26,0.000000000000,879152,0.267981,0.266354
2021-01-25,0.000000000000,583502,0.232600,0.267981
2021-01-24,0.000000000000,491074,0.251194,0.232600
2021-01-23,0.000000000000,658051,0.242031,0.251194
2021-01-22,0.000000000000,1104152,0.246921,0.242031
2021-01-21,0.000000000000,661835,0.259544,0.246921
2021-01-20,0.000000000000,792746,0.260150,0.259544
2021-01-19,0.000000000000,1391380,0.289426,0.260150
2021-01-18,0.000000000000,1172466,0.265556,0.289426
2021-01-17,0.000000000000,1515060,0.229593,0.265556
2021-01-16,0.000000000000,642834,0.194773,0.229593
2021-01-15,0.000000000000,752175,0.192145,0.194773
2021-01-14,0.000000000000,671356,0.194732,0.192145
2021-01-13,0.000000000000,484736,0.214431,0.194732
2021-01-12,0.000000000000,615719,0.204793,0.214431
2021-01-11,0.000000000000,890297,0.252340,0.204793
2021-01-10,0.000000000000,682873,0.274922,0.252340
2021-01-09,0.000000000000,1196753,0.272161,0.274922
2021-01-08,0.000000000000,1465502,0.286209,0.272161
2021-01-07,0.000000000000,1271225,0.263863,0.286209
2021-01-06,0.000000000000,2897633,0.263862,0.263863
2021-01-05,0.000000000000,3029038,0.282900,0.263862
2021-01-04,0.000000000000,393951,0.191003,0.282900
2021-01-03,0.000000000000,341308,0.202429,0.191003
2021-01-02,0.000000000000,166801,0.118477,0.202429
2021-01-01,0.000000000000,325862,0.148794,0.118477
2020-12-31,0.000000000000,165409,0.125671,0.148794
2020-12-30,0.000000000000,187533,0.146065,0.125671
2020-12-29,0.000000000000,239287,0.137071,0.146065
2020-12-28,0.000000000000,341166,0.156808,0.137071
2020-12-27,0.000000000000,189154,0.128944,0.156808
2020-12-26,0.000000000000,95560,0.145941,0.128944
2020-12-25,0.000000000000,83404,0.154376,0.145941
2020-12-24,0.000000000000,148538,0.174295,0.154376
2020-12-23,0.000000000000,206448,0.209467,0.174295
2020-12-22,0.000000000000,135290,0.242248,0.209467
2020-12-21,0.000000000000,207717,0.250478,0.242248
2020-12-20,0.000000000000,125848,0.214396,0.250478
2020-12-19,0.000000000000,79433,0.175339,0.214396
2020-12-18,0.000000000000,108673,0.168746,0.175339
2020-12-17,0.000000000000,66321,0.155841,0.168746
2020-12-16,0.000000000000,84617,0.151612,0.155841
2020-12-15,0.000000000000,95590,0.154129,0.151612
2020-12-14,0.000000000000,49686,0.134084,0.154129
2020-12-13,0.000000000000,108203,0.140453,0.134084
2020-12-12,0.000000000000,23402,0.107931,0.140453
2020-12-11,0.000000000000,39524,0.115795,0.107931
2020-12-10,0.000000000000,43497,0.119384,0.115795
2020-12-09,0.000000000000,65157,0.126193,0.119384
2020-12-08,0.000000000000,86710,0.137097,0.126193
2020-12-07,0.000000000000,55238,0.151389,0.137097
2020-12-06,0.000000000000,78895,0.142237,0.151389
2020-12-05,0.000000000000,30790,0.142848,0.142237
2020-12-04,0.000000000000,86851,0.155379,0.142848
2020-12-03,0.000000000000,65893,0.155342,0.155379
2020-12-02,0.000000000000,69383,0.138388,0.155342
2020-12-01,0.000000000000,112368,0.175392,0.138388
2020-11-30,0.000000000000,52098,0.163770,0.175392
2020-11-29,0.000000000000,48861,0.124105,0.163770
2020-11-28,0.000000000000,34871,0.127369,0.124105
2020-11-27,0.000000000000,32432,0.123431,0.127369
2020-11-26,0.000000000000,38241,0.123220,0.123431
2020-11-25,0.000000000000,29504,0.134749,0.123220
2020-11-24,0.000000000000,31818,0.119335,0.134749
2020-11-23,0.000000000000,16861.77,0.116276,0.119335
2020-11-22,0.000000000000,24460,0.139486,0.116276
2020-11-21,0.000000000000,37233,0.120928,0.139486
2020-11-20,0.000000000000,27504,0.127000,0.120928
2020-11-19,0.000000000000,49210,0.155087,0.127000
2020-11-18,0.000000000000,35795,0.122800,0.155087
2020-11-17,0.000000000000,10416.55,0.102062,0.122800
2020-11-16,0.000000000000,24332,0.095326,0.102062
2020-11-15,0.000000000000,17964.69,0.095693,0.095326
2020-11-14,0.000000000000,19795.02,0.097587,0.095693
2020-11-13,0.000000000000,44359,0.090373,0.097587
2020-11-12,0.000000000000,23994,0.104863,0.090373
