date,mktcap,vol,open_price,close_price
2021-10-04,95329877,481782,6.20,5.94
2021-10-03,88870403,287857,5.78,6.20
2021-10-02,82797603,374034,5.44,5.78
2021-10-01,77136963,239731,5.02,5.44
2021-09-30,72842702,263145,4.75,5.02
2021-09-29,72690594,347206,4.71,4.75
2021-09-28,75778796,636251,4.93,4.71
2021-09-27,76799642,208951,5.01,4.93
2021-09-26,76895640,146235,5.02,5.01
2021-09-25,78620518,358198,5.12,5.02
2021-09-24,82868558,690144,5.39,5.12
2021-09-23,76468829,656224,4.99,5.39
2021-09-22,72207080,875691,4.73,4.99
2021-09-21,74882692,1188297,4.88,4.73
2021-09-20,87010652,422962,5.68,4.88
2021-09-19,93401829,694207,6.10,5.68
2021-09-18,88879200,705537,5.83,6.10
2021-09-17,97972960,1125021,6.24,5.83
2021-09-16,93306291,291575,6.08,6.24
2021-09-15,90641041,627536,5.94,6.08
2021-09-14,89478013,837898,5.84,5.94
2021-09-13,88755491,741413,5.79,5.84
2021-09-12,90175764,713999,5.91,5.79
2021-09-11,88898562,972139,5.80,5.91
2021-09-10,100422594,1351330,6.55,5.80
2021-09-09,90419158,859948,5.92,6.55
2021-09-08,92430660,1233913,6.08,5.92
2021-09-07,114539672,901073,7.51,6.08
2021-09-06,105651249,932868,6.93,7.51
2021-09-05,102858728,1077119,6.70,6.93
2021-09-04,109288122,1977672,7.25,6.70
2021-09-03,89426889,1406757,5.84,7.25
2021-09-02,88717759,1851584,5.70,5.84
2021-09-01,65472975,571047,4.30,5.70
2021-08-31,65773807,474645,4.32,4.30
2021-08-30,68262358,838732,4.47,4.32
2021-08-29,64559196,480870,4.25,4.47
2021-08-28,68681265,550583,4.52,4.25
2021-08-27,61699476,433704,4.04,4.52
2021-08-26,65617411,626044,4.31,4.04
2021-08-25,64466371,698958,4.24,4.31
2021-08-24,70020144,595574,4.60,4.24
2021-08-23,69113205,609054,4.56,4.60
2021-08-22,69727381,628190,4.59,4.56
2021-08-21,71360188,679312,4.70,4.59
2021-08-20,68146917,568784,4.57,4.70
2021-08-19,65536826,500918,4.31,4.57
2021-08-18,67120356,668029,4.40,4.31
2021-08-17,73287225,558982,4.86,4.40
2021-08-16,74825243,433529,4.94,4.86
2021-08-15,80520713,473376,5.26,4.94
2021-08-14,79555448,537417,5.25,5.26
2021-08-13,76380754,711572,5.04,5.25
2021-08-12,79635053,596072,5.22,5.04
2021-08-11,79110588,490319,5.22,5.22
2021-08-10,81515465,700120,5.46,5.22
2021-08-09,78106602,874024,5.16,5.46
2021-08-08,90435812,1778718,6.03,5.16
2021-08-07,68148268,653458,4.54,6.03
2021-08-06,63043059,718471,4.18,4.54
2021-08-05,62865121,668044,4.15,4.18
2021-08-04,64709631,828541,4.31,4.15
2021-08-03,68607338,963102,4.47,4.31
2021-08-02,62065731,975784,4.04,4.47
2021-08-01,64882800,742432,4.23,4.04
2021-07-31,59469480,482612,3.95,4.23
2021-07-30,59539108,1002953,3.88,3.95
2021-07-29,57145141,499999,3.73,3.88
2021-07-28,52842265,519327,3.45,3.73
2021-07-27,53693227,869510,3.48,3.45
2021-07-26,51155484,504704,3.33,3.48
2021-07-25,52652259,589540,3.42,3.33
2021-07-24,52085313,594244,3.37,3.42
2021-07-23,49195434,603089,3.21,3.37
2021-07-22,48021769,917036,3.14,3.21
2021-07-21,42762085,671195,2.78,3.14
2021-07-20,43601253,527770,2.84,2.78
2021-07-19,45690115,539472,2.98,2.84
2021-07-18,46550299,383400,3.04,2.98
2021-07-17,47132182,513208,3.07,3.04
2021-07-16,48019542,530258,3.11,3.07
2021-07-15,50334621,653277,3.28,3.11
2021-07-14,53951526,460330,3.51,3.28
2021-07-13,59595953,826519,3.90,3.51
2021-07-12,56882886,568771,3.70,3.90
2021-07-11,59877449,828680,3.91,3.70
2021-07-10,59854403,775146,3.92,3.91
2021-07-09,55328829,1105259,3.61,3.92
2021-07-08,56633801,1579319,3.68,3.61
2021-07-07,46241161,784850,3.00,3.68
2021-07-06,44778064,732782,2.93,3.00
2021-07-05,49520286,1253073,3.24,2.93
2021-07-04,45233501,1013893,2.96,3.24
2021-07-03,44096908,1028755,2.89,2.96
2021-07-02,46344314,2172421,3.04,2.89
2021-07-01,61213943,1084397,3.99,3.04
2021-06-30,62073053,2517949,4.08,3.99
2021-06-29,66856543,5645131,4.38,4.08
2021-06-28,45081871,8824639,2.95,4.38
2021-06-27,76648609,3793510,5.03,2.95
2021-06-26,89018148,973858,5.84,5.03
2021-06-25,119924166,492430,7.87,5.84
2021-06-24,107761229,841894,7.14,7.87
2021-06-23,106501126,1321837,6.99,7.14
2021-06-22,119073747,1425966,7.85,6.99
2021-06-21,150759765,642267,9.90,7.85
