date,mktcap,vol,open_price,close_price
2021-10-04,9273.84,1152.74,0.02162688,0.02168498
2021-10-03,9305.70,1160.17,0.02178125,0.02162688
2021-10-02,9350.19,1592.83,0.02185315,0.02178125
2021-10-01,9107.18,1950.22,0.02200207,0.02185315
2021-09-30,11552.12,376.87,0.02700178,0.02200207
2021-09-29,11562.59,454.95,0.02705059,0.02700178
2021-09-28,12310.88,126.97,0.02864021,0.02705059
2021-09-27,12805.83,1515.51,0.02886596,0.02864021
2021-09-26,12320.16,1442.24,0.02888484,0.02886596
2021-09-25,11619.45,2130.89,0.02875550,0.02888484
2021-09-24,12404.59,6083.56,0.02879696,0.02875550
2021-09-23,12829.82,832.15,0.02878586,0.02879696
2021-09-22,12520.94,998.74,0.02903450,0.02878586
2021-09-21,13566.24,547.60,0.03145284,0.02903450
2021-09-20,13696.80,1801.48,0.03183984,0.03145284
2021-09-19,13609.19,2365.49,0.03180720,0.03183984
2021-09-18,13688.24,3091.06,0.03215753,0.03180720
2021-09-17,15763.57,2690.44,0.03684241,0.03215753
2021-09-16,20381,1294.45,0.04751373,0.03684241
2021-09-15,23771,206.42,0.054830,0.04751373
2021-09-14,23429,1015.12,0.054953,0.054830
2021-09-13,23546,1242.46,0.054955,0.054953
2021-09-12,23714,4186.20,0.055448,0.054955
2021-09-11,23618,239.52,0.055073,0.055448
2021-09-10,27358,4620.11,0.064252,0.055073
2021-09-09,29045,5643.01,0.067311,0.064252
2021-09-08,70851,1163.96,0.167959,0.067311
2021-09-07,75676,191.64,0.176300,0.167959
2021-09-06,76470,221.48,0.179009,0.176300
2021-09-05,76184,2700.12,0.178581,0.179009
2021-09-04,80501,2923.69,0.178129,0.178581
2021-09-03,86256,212.61,0.201683,0.178129
2021-09-02,86032,435.40,0.201072,0.201683
2021-09-01,87110,22300,0.203940,0.201072
2021-08-31,136745,5960.72,0.311909,0.203940
2021-08-30,143727,1647.67,0.334935,0.311909
2021-08-29,145617,234.58,0.339233,0.334935
2021-08-28,146025,1105.71,0.341242,0.339233
2021-08-27,148377,1385.01,0.343762,0.341242
2021-08-26,147853,2468.80,0.345559,0.343762
2021-08-25,149373,1720.02,0.350971,0.345559
2021-08-24,151874,435.96,0.354859,0.350971
2021-08-23,152239,786.45,0.354985,0.354859
2021-08-22,153199,13416.68,0.358054,0.354985
2021-08-21,152648,15398.09,0.357456,0.358054
2021-08-20,152734,1214.46,0.363186,0.357456
2021-08-19,152276,4474.20,0.352129,0.363186
2021-08-18,153538,3993.68,0.358847,0.352129
2021-08-17,158123,3483.37,0.368549,0.358847
2021-08-16,159133,6362.39,0.371924,0.368549
2021-08-15,166110,7703.13,0.386150,0.371924
2021-08-14,169875,2013.35,0.396882,0.386150
2021-08-13,166940,765.24,0.390171,0.396882
2021-08-12,166776,1334.95,0.389693,0.390171
2021-08-11,166999,1893.65,0.391003,0.389693
2021-08-10,165852,377.05,0.395051,0.391003
2021-08-09,166343,621.83,0.387798,0.395051
2021-08-08,165115,3451.07,0.390640,0.387798
2021-08-07,167140,4768.42,0.389693,0.390640
2021-08-06,167193,5425.57,0.393492,0.389693
2021-08-05,170527,5508.08,0.397143,0.393492
2021-08-04,171763,3887.34,0.402454,0.397143
2021-08-03,173478,5571.10,0.405450,0.402454
2021-08-02,178964,9594.17,0.418272,0.405450
2021-08-01,180350,8260.33,0.421444,0.418272
2021-07-31,173406,4008.09,0.406019,0.421444
2021-07-30,171660,6465.28,0.400846,0.406019
2021-07-29,169894,2981.89,0.399793,0.400846
2021-07-28,172129,1625.78,0.411182,0.399793
2021-07-27,167772,4291.27,0.392132,0.411182
2021-07-26,167779,1067.16,0.392789,0.392132
2021-07-25,167450,3384.21,0.392356,0.392789
2021-07-24,166834,4640.36,0.396048,0.392356
2021-07-23,161086,57.83,0.383361,0.396048
2021-07-22,161123,4767.11,0.378756,0.383361
2021-07-21,159445,2132.32,0.372021,0.378756
2021-07-20,160872,9127.22,0.375053,0.372021
2021-07-19,162269,18213.56,0.377985,0.375053
2021-07-18,171434,19495.73,0.392892,0.377985
2021-07-17,187550,33977,0.422846,0.392892
2021-07-16,243386,25769,0.527747,0.422846
2021-07-15,261368,14488.34,0.594404,0.527747
2021-07-14,282463,14151.79,0.643894,0.594404
2021-07-13,290767,24620,0.660490,0.643894
2021-07-12,315736,19270.05,0.726931,0.660490
2021-07-11,338406,20627,0.767221,0.726931
2021-07-10,346442,15974.28,0.799998,0.767221
2021-07-09,371941,10581.96,0.811056,0.799998
2021-07-08,379391,3202.96,0.862050,0.811056
2021-07-07,385098,9538.98,0.871073,0.862050
2021-07-06,395625,21323,0.891391,0.871073
2021-07-05,425470,9189.24,0.969679,0.891391
2021-07-04,442443,16152.96,1.00,0.969679
2021-07-03,459733,29254,1.04,1.00
2021-07-02,504004,15343.79,1.16,1.04
2021-07-01,512309,12893.79,1.17,1.16
2021-06-30,509293,10253.93,1.17,1.17
2021-06-29,530589,24474,1.21,1.17
2021-06-28,575270,22381,1.29,1.21
2021-06-27,610013,44910,1.33,1.29
2021-06-26,684546,68226,1.47,1.33
2021-06-25,808577,45388,1.77,1.47
2021-06-24,878020,60646,1.92,1.77
2021-06-23,1000270,60240,2.13,1.92
2021-06-22,1042429,45365,2.19,2.13
2021-06-21,1097720,55730,2.31,2.19
2021-06-20,1221598,168369,2.54,2.31
2021-06-19,1273284,314250,2.64,2.54
2021-06-18,1390705,228308,2.95,2.64
2021-06-17,1363360,262890,2.93,2.95
2021-06-16,1061918,304243,2.69,2.93
2021-06-15,902606,500846,3.34,2.69
2021-06-14,811612,373142,3.19,3.34
2021-06-13,765085,27890,2.99,3.19
2021-06-12,725177,233161,2.79,2.99
2021-06-11,762663,99910,3.15,2.79
2021-06-10,781257,87457,3.22,3.15
2021-06-09,768762,58221,3.17,3.22
2021-06-08,780536,65541,3.21,3.17
2021-06-07,792305,57879,3.24,3.21
2021-06-06,762251,279292,3.15,3.24
2021-06-05,777660,274586,3.10,3.15
2021-06-04,950353,66137,3.91,3.10
2021-06-03,878505,18024.40,3.63,3.91
2021-06-02,897371,16655.09,3.65,3.63
2021-06-01,1056604,10774.79,3.80,3.65
2021-05-31,1065571,12544.82,3.78,3.80
2021-05-30,1065464,28337,3.83,3.78
2021-05-29,1077311,30552,3.88,3.83
2021-05-28,1139929,30930,4.07,3.88
2021-05-27,1199771,78265,4.28,4.07
2021-05-26,1142486,153560,4.07,4.28
2021-05-25,1105273,248198,3.97,4.07
2021-05-24,1094898,161345,3.88,3.97
2021-05-23,1478213,103467,5.32,3.88
2021-05-22,1613681,254141,5.77,5.32
2021-05-21,1653571,493031,5.77,5.77
2021-05-20,2040023,679552,7.28,5.77
2021-05-19,2731736,490649,9.82,7.28
2021-05-18,3086262,179838,10.99,9.82
2021-05-17,1936389,183200,6.91,10.99
2021-05-16,2274538,260035,8.11,6.91
2021-05-15,2707787,144.08,9.97,8.11
2021-05-14,3280868,421927,11.89,9.97
2021-05-13,4767270,710278,18.11,11.89
2021-05-12,3735386,75286,13.38,18.11
2021-05-11,3683465,907447,12.29,13.38
2021-05-10,6635298,9306393,23.02,12.29
2021-05-09,6635298,9306393,23.02,23.02
