date,mktcap,vol,open_price,close_price
2021-10-04,612986,4.34,0.00283966,0.00414075
2021-10-03,610079,3.25,0.00283135,0.00283966
2021-10-02,610653,134.01,0.00283169,0.00283135
2021-10-01,569940,2635.12,0.00264147,0.00283169
2021-09-30,538651,2145.45,0.00249830,0.00264147
2021-09-29,535179,2707.45,0.00247452,0.00249830
2021-09-28,565817,2524.05,0.00255211,0.00247452
2021-09-27,557826,2252.07,0.00259940,0.00255211
2021-09-26,569271,1746.71,0.00263821,0.00259940
2021-09-25,602380,1841.24,0.00278093,0.00263821
2021-09-24,571797,856.13,0.00272084,0.00278093
2021-09-23,568568,1479.66,0.00263582,0.00272084
2021-09-22,514459,1249.95,0.00237858,0.00263582
2021-09-21,543311,2035.23,0.00256446,0.00237858
2021-09-20,663624,2372.20,0.00307525,0.00256446
2021-09-19,676138,2914.04,0.00313382,0.00307525
2021-09-18,672345,2289.72,0.00311669,0.00313382
2021-09-17,644917,3315.07,0.00298896,0.00311669
2021-09-16,474173,2977.28,0.00219762,0.00298896
2021-09-15,452991,2329.58,0.00215755,0.00219762
2021-09-14,502193,3057.36,0.00226442,0.00215755
2021-09-13,548173,2852.27,0.00253465,0.00226442
2021-09-12,534133,2334.66,0.00247544,0.00253465
2021-09-11,523407,2672.59,0.00242873,0.00247544
2021-09-10,551233,2329.51,0.00255215,0.00242873
2021-09-09,542008,2174.92,0.00253129,0.00255215
2021-09-08,548188,2997.78,0.00254441,0.00253129
2021-09-07,621631,3342.80,0.00284841,0.00254441
2021-09-06,603248,3125.59,0.00279584,0.00284841
2021-09-05,595106,2363.08,0.00271978,0.00279584
2021-09-04,588376,2647.70,0.00273671,0.00271978
2021-09-03,583085,2947.60,0.00266400,0.00273671
2021-09-02,566015,2904.15,0.00262689,0.00266400
2021-09-01,559427,3053.88,0.00259176,0.00262689
2021-08-31,564715,3180.52,0.00254427,0.00259176
2021-08-30,581254,2936.78,0.00271081,0.00254427
2021-08-29,568456,2344.30,0.00263624,0.00271081
