date,mktcap,vol,open_price,close_price
2021-10-04,1927384033,566349,48326,49565
2021-10-03,1906388446,14627338,47757,48326
2021-10-02,1922627942,12794032,48192,47757
2021-10-01,1755809528,27162072,43998,48192
2021-09-30,1663774790,142415,41692,43998
2021-09-29,1649964290,7879887,41233,41692
2021-09-28,1708833007,1218675,42479,41233
2021-09-27,1719762518,12448715,43329,42479
2021-09-26,1707176209,2281510,42900,43329
2021-09-25,1712648924,7186872,42875,42900
2021-09-24,1795932511,1300548,45004,42875
2021-09-23,1739290220,4550071,43592,45004
2021-09-22,1623759017,3843316,40578,43592
2021-09-21,1707015436,12485012,42908,40578
2021-09-20,1888041596,23477258,47424,42908
2021-09-19,1927461646,14981067,48258,47424
2021-09-18,1889551819,12703022,47186,48258
2021-09-17,1909335658,46959242,47884,47186
2021-09-16,1923260153,3428932,48195,47884
2021-09-15,1879300536,614012,47102,48195
2021-09-14,1798402560,2372459,45109,47102
2021-09-13,1848499603,3284937,46167,45109
2021-09-12,1803116329,6294742,45184,46167
2021-09-11,1785784201,2103849,44779,45184
2021-09-10,1861720986,1262610,46588,44779
2021-09-09,1850696720,20470879,46187,46588
2021-09-08,1870030545,10985067,46860,46187
2021-09-07,2099579665,7781319,52690,46860
2021-09-06,2058996706,6393080,51684,52690
2021-09-05,2001583795,105884,50188,51684
2021-09-04,1996238740,143165,50198,50188
2021-09-03,1968606051,13806608,49336,50198
2021-09-02,1940006998,2668816,48680,49336
2021-09-01,1886946505,3205050,47308,48680
2021-08-31,1884831649,465858,47105,47308
2021-08-30,1955398598,1942771,48952,47105
2021-08-29,1952955423,894302,48969,48952
2021-08-28,1957470782,6491420,49005,48969
2021-08-27,1888025042,9113124,47327,49005
2021-08-26,1956648459,6678871,49037,47327
2021-08-25,1922124562,4430294,48153,49037
2021-08-24,1979679199,16594883,49593,48153
2021-08-23,1969200024,2816002,49346,49593
2021-08-22,1957606650,14976189,48900,49346
2021-08-21,1963514171,575773,49208,48900
2021-08-20,1841025097,15448972,46982,49208
2021-08-19,1797859215,7809660,45052,46982
2021-08-18,1790862531,13480373,44877,45052
2021-08-17,1844134711,2874805,46058,44877
2021-08-16,1873426556,12579587,46910,46058
2021-08-15,1883058987,1669494,47144,46910
2021-08-14,1902800737,13067872,47726,47144
2021-08-13,1769603987,4997063,44412,47726
2021-08-12,1828164242,132332,45811,44412
2021-08-11,1818429612,11784668,45649,45811
2021-08-10,1829779889,2675962,46239,45649
