date,mktcap,vol,open_price,close_price
2021-10-04,1099372,103776,1.65,1.66
2021-10-03,971480,112902,1.54,1.65
2021-10-02,1119896,145491,1.78,1.54
2021-10-01,930764,136890,1.48,1.78
2021-09-30,992565,126813,1.58,1.48
2021-09-29,1023716,97158,1.62,1.58
2021-09-28,836246,102908,1.33,1.62
2021-09-27,1089313,97643,1.68,1.33
2021-09-26,996644,65813,1.58,1.68
2021-09-25,1219899,105891,1.67,1.58
2021-09-24,1136745,114973,1.81,1.67
2021-09-23,1032384,112960,1.64,1.81
2021-09-22,1048281,86317,1.67,1.64
2021-09-21,1022992,84955,1.63,1.67
2021-09-20,1125474,101390,1.79,1.63
2021-09-19,1096193,131213,1.74,1.79
2021-09-18,1026389,135640,1.62,1.74
2021-09-17,1045739,129646,1.77,1.62
2021-09-16,1095044,106756,1.74,1.77
2021-09-15,1310727,140225,2.08,1.74
2021-09-14,1112090,117516,1.77,2.08
2021-09-13,1131504,123056,1.79,1.77
2021-09-12,1234081,145622,1.96,1.79
2021-09-11,1090405,101606,1.73,1.96
2021-09-10,1132594,113316,1.80,1.73
2021-09-09,1123572,130872,1.85,1.80
2021-09-08,1144134,153065,1.82,1.85
2021-09-07,1223525,118065,1.94,1.82
2021-09-06,1345854,195503,2.14,1.94
2021-09-05,1259656,157582,2.00,2.14
2021-09-04,1131352,23931,1.80,2.00
2021-09-03,1382906,93059,2.20,1.80
2021-09-02,1331696,127192,2.12,2.20
2021-09-01,1144840,156897,1.82,2.12
2021-08-31,1241215,105834,1.96,1.82
2021-08-30,1379664,131251,2.19,1.96
2021-08-29,1374750,124170,2.19,2.19
2021-08-28,1394830,91374,2.22,2.19
2021-08-27,1347950,177271,2.14,2.22
2021-08-26,1126188,138216,1.79,2.14
2021-08-25,1224418,136146,1.95,1.79
2021-08-24,1337697,188045,2.13,1.95
2021-08-23,1429443,153629,2.23,2.13
2021-08-22,1628051,112476,2.58,2.23
2021-08-21,1604561,122661,2.55,2.58
2021-08-20,1647009,110392,2.35,2.55
2021-08-19,1550334,131521,2.46,2.35
2021-08-18,1505249,121974,2.39,2.46
2021-08-17,1634268,111866,2.40,2.39
2021-08-16,1625041,114001,2.58,2.40
2021-08-15,2070393,147238,3.09,2.58
2021-08-14,1940194,181886,3.09,3.09
2021-08-13,2362072,110404,3.76,3.09
2021-08-12,2521218,100745,4.00,3.76
2021-08-11,2316124,89503,3.68,4.00
2021-08-10,2447148,101758,3.75,3.68
