date,mktcap,vol,open_price,close_price
2021-10-04,285340,51.17,0.00228625,0.00194223
2021-10-03,285340,51.17,0.00228625,0.00228625
2021-10-02,285340,9.61,0.00211362,0.00228625
2021-10-01,308859,51.52,0.00194906,0.00211362
2021-09-30,260576,9.90,0.00227702,0.00194906
2021-09-29,260576,13.96,0.00193018,0.00227702
2021-09-28,262671,67.07,0.00194571,0.00193018
2021-09-27,385376,0.298456,0.00298968,0.00194571
2021-09-26,562934,46.53,0.00248921,0.00298968
2021-09-25,262324,188.78,0.00195814,0.00248921
2021-09-24,302136,1.00,0.00223803,0.00195814
2021-09-23,262933,29.29,0.00194137,0.00223803
2021-09-22,264964,1.33,0.00196386,0.00194137
2021-09-21,264980,11.74,0.00196145,0.00196386
2021-09-20,333822,2.88,0.00242257,0.00196145
2021-09-19,334375,38.04,0.00248201,0.00242257
2021-09-18,284676,11.28,0.00210870,0.00248201
2021-09-17,336211,10.19,0.00209562,0.00210870
2021-09-16,262583,1.60,0.00194325,0.00209562
2021-09-15,262683,3.58,0.00194584,0.00194325
2021-09-14,338292,12.90,0.00250586,0.00194584
2021-09-13,261610,5.97,0.00194272,0.00250586
2021-09-12,261449,13.09,0.00193196,0.00194272
2021-09-11,264717,2.89,0.00196947,0.00193196
2021-09-10,335059,73.53,0.00248357,0.00196947
2021-09-09,365354,149.27,0.00270631,0.00248357
2021-09-08,473697,537.97,0.00201416,0.00270631
2021-09-07,256900,106.61,0.00188922,0.00201416
2021-09-06,254068,27.74,0.00188963,0.00188922
2021-09-05,255504,8.66,0.00189262,0.00188963
2021-09-04,259476,15.38,0.00191928,0.00189262
2021-09-03,333417,2.43,0.00243060,0.00191928
2021-09-02,333312,0.098790,0.00246975,0.00243060
2021-09-01,259442,4.38,0.00192187,0.00246975
2021-08-31,258900,1.59,0.00246969,0.00192187
2021-08-30,336858,5.41,0.00249259,0.00246969
2021-08-29,337543,5.50,0.00250031,0.00249259
2021-08-28,253808,24.44,0.00188005,0.00250031
2021-08-27,311355,21.07,0.00180913,0.00188005
2021-08-26,242125,18.24,0.00179918,0.00180913
2021-08-25,242078,30.27,0.00179375,0.00179918
2021-08-24,309422,35.84,0.00228776,0.00179375
2021-08-23,237608,2.50,0.00176005,0.00228776
2021-08-22,317068,27.30,0.00174162,0.00176005
2021-08-21,310262,26.22,0.00230181,0.00174162
2021-08-20,319846,1.00,0.00241362,0.00230181
2021-08-19,231899,23.39,0.00171713,0.00241362
2021-08-18,337905,43.93,0.00249985,0.00171713
2021-08-17,285269,8.67,0.00212997,0.00249985
2021-08-16,403679,10.00,0.00299020,0.00212997
2021-08-15,336446,21.57,0.00299167,0.00299020
2021-08-14,377816,0.539828,0.00282632,0.00299167
2021-08-13,406673,10.96,0.00210248,0.00282632
2021-08-12,404657,10.62,0.00299745,0.00210248
2021-08-11,206010,144.76,0.00152600,0.00299745
2021-08-10,1244984,37.97,0.00922207,0.00152600
2021-08-09,488311,61.51,0.00360214,0.00922207
2021-08-08,486025,653.73,0.00310001,0.00360214
2021-08-07,335235,3.61,0.00248321,0.00310001
2021-08-06,270113,6.63,0.00250268,0.00248321
2021-08-05,324278,20.96,0.00239760,0.00250268
2021-08-04,270760,14.27,0.00200523,0.00239760
2021-08-03,337357,0.04498078,0.00249893,0.00200523
2021-08-02,358619,43.23,0.00265643,0.00249893
2021-08-01,389771,1.52,0.00210063,0.00265643
2021-07-31,373978,14.83,0.00277498,0.00210063
2021-07-30,338477,34.79,0.00277812,0.00277498
2021-07-29,338787,12.25,0.00250952,0.00277812
2021-07-28,372970,57.76,0.00275692,0.00250952
2021-07-27,406836,104.43,0.00300000,0.00275692
2021-07-26,551606,35.95,0.00408943,0.00300000
2021-07-25,729903,1885.06,0.00542748,0.00408943
2021-07-24,239374,17.41,0.00199266,0.00542748
2021-07-23,239374,17.41,0.00199266,0.00199266
2021-07-22,239263,5.23,0.00177413,0.00199266
2021-07-21,239555,0.02835705,0.00177232,0.00177413
2021-07-20,325349,1.96,0.00177571,0.00177232
2021-07-19,324754,0.077064,0.00240824,0.00177571
2021-07-18,238051,13.35,0.00176333,0.00240824
2021-07-17,236202,36.81,0.00260067,0.00176333
2021-07-16,237820,0.02642439,0.00176163,0.00260067
2021-07-15,237822,5.04,0.00176001,0.00176163
2021-07-14,270558,134.00,0.00200413,0.00176001
2021-07-13,337842,0.140141,0.00250252,0.00200413
2021-07-12,340095,29.60,0.00251921,0.00250252
2021-07-11,338548,11.29,0.00250637,0.00251921
2021-07-10,352489,15.29,0.00300711,0.00250637
2021-07-09,352866,12.71,0.00261430,0.00300711
2021-07-08,353253,14.74,0.00261238,0.00261430
2021-07-07,473654,0.374621,0.00350113,0.00261238
2021-07-06,499896,102.43,0.00369785,0.00350113
2021-07-05,392363,22.89,0.00390827,0.00369785
2021-07-04,372899,3.82,0.00276221,0.00390827
2021-07-03,353966,29.36,0.00262758,0.00276221
2021-07-02,348919,122.64,0.00481633,0.00262758
2021-07-01,273142,38.66,0.00201499,0.00481633
2021-06-30,241255,216.32,0.00178706,0.00201499
2021-06-29,933276,112.55,0.00725884,0.00178706
2021-06-28,601321,468.83,0.00451716,0.00725884
2021-06-27,235350,1.00,0.00174260,0.00451716
2021-06-26,235381,0.393334,0.00174815,0.00174260
2021-06-25,150634,6.03,0.00111713,0.00174815
2021-06-24,150393,5.16,0.00111402,0.00111713
2021-06-23,151056,13.69,0.00113310,0.00111402
2021-06-22,235761,10.82,0.00173593,0.00113310
2021-06-21,236127,60.80,0.00174908,0.00173593
2021-06-20,150380,57.71,0.00111503,0.00174908
2021-06-19,144395,0.089077,0.00107322,0.00111503
2021-06-18,147250,33.11,0.00109074,0.00107322
2021-06-17,123982,5.74,0.00147075,0.00109074
2021-06-16,123842,0.04615412,0.00092308,0.00147075
2021-06-15,123828,8.79,0.00091735,0.00092308
2021-06-14,137814,13.48,0.00091738,0.00091735
2021-06-13,222582,0.167641,0.00167641,0.00091738
2021-06-12,228473,1.73,0.00168434,0.00167641
2021-06-11,123149,27.44,0.00169081,0.00168434
2021-06-10,143506,16.37,0.00106102,0.00169081
2021-06-09,243991,52.43,0.00101386,0.00106102
2021-06-08,1485305,4.39,0.01102284,0.00101386
2021-06-07,242871,5.48,0.00096950,0.01102284
2021-06-06,124080,12.20,0.00091789,0.00096950
2021-06-05,189546,2.09,0.00089976,0.00091789
2021-06-04,121734,20.24,0.00090018,0.00089976
2021-06-03,184715,0.02873958,0.00136855,0.00090018
2021-06-02,141227,0.151277,0.00137525,0.00136855
2021-06-01,142757,3.38,0.00106200,0.00137525
2021-05-31,185106,3.59,0.00104773,0.00106200
2021-05-30,140904,9.27,0.00105402,0.00104773
2021-05-29,141569,0.854653,0.00104865,0.00105402
2021-05-28,188743,10.18,0.00139950,0.00104865
2021-05-27,141757,4.63,0.00104844,0.00139950
2021-05-26,141557,18.63,0.00104884,0.00104844
2021-05-25,141509,110.21,0.00137832,0.00104884
2021-05-24,139784,32.89,0.00103544,0.00137832
2021-05-23,154810,20.35,0.00114985,0.00103544
2021-05-22,39528,10.50,0.00029412,0.00114985
2021-05-21,193796,64.27,0.00144290,0.00029412
2021-05-20,197689,16.99,0.00143099,0.00144290
2021-05-19,135287,30.69,0.00144666,0.00143099
2021-05-18,198146,23.62,0.00145324,0.00144666
2021-05-17,198146,23.62,0.00145324,0.00145324
2021-04-30,256475,54.09,0.00190015,0.00145324
2021-04-29,270148,45.17,0.00200528,0.00190015
2021-04-28,270760,17.83,0.00199933,0.00200528
2021-04-27,279306,68.54,0.00206132,0.00199933
2021-04-26,281032,76.32,0.00206564,0.00206132
2021-04-25,270223,8.87,0.00129611,0.00206564
2021-04-24,174881,68.93,0.00130010,0.00129611
2021-04-23,296593,37.44,0.00128742,0.00130010
2021-04-22,169775,135.04,0.00125759,0.00128742
2021-04-21,585357,37.86,0.00433596,0.00125759
2021-04-20,344024,242.79,0.00254831,0.00433596
2021-04-19,330786,156.28,0.00245501,0.00254831
2021-04-18,185255,40.01,0.00137976,0.00245501
2021-04-17,344968,134.26,0.00254467,0.00137976
2021-04-16,344489,23.13,0.00255380,0.00254467
2021-04-15,167472,29.90,0.00123944,0.00255380
2021-04-14,202397,5.39,0.00162817,0.00123944
2021-04-13,173461,14.56,0.00128241,0.00162817
2021-04-12,173069,31.01,0.00128285,0.00128241
2021-04-11,1345082,0.458829,0.00123673,0.00128285
2021-04-10,1345082,0.458829,0.00123673,0.00123673
2021-04-09,172593,39.22,0.00127847,0.00123673
2021-04-08,173475,13.71,0.00128483,0.00127847
2021-04-07,172997,124.36,0.00128508,0.00128483
2021-04-06,171523,248.58,0.00112876,0.00128508
2021-04-05,323334,85.53,0.00239530,0.00112876
2021-04-04,337638,37.04,0.00250376,0.00239530
2021-04-03,161998,230.37,0.00259752,0.00250376
2021-04-02,307923,764.49,0.00226141,0.00259752
2021-04-01,160439,0.475136,0.00118784,0.00226141
2021-03-31,217606,5.67,0.00160429,0.00118784
2021-03-30,160349,117.42,0.00154059,0.00160429
2021-03-29,160680,0.327878,0.00119241,0.00154059
2021-03-28,161150,0.998963,0.00119208,0.00119241
2021-03-27,161048,0.01189798,0.00118980,0.00119208
2021-03-26,161048,6.00,0.00119294,0.00118980
2021-03-25,160782,7.12,0.00119446,0.00119294
2021-03-24,160739,24.64,0.00119157,0.00119446
2021-03-23,161045,14.42,0.00119773,0.00119157
2021-03-22,163260,149.69,0.00119415,0.00119773
2021-03-21,161438,124.68,0.00036376,0.00119415
2021-03-20,161349,66.31,0.00119562,0.00036376
2021-03-19,166288,10.36,0.00120821,0.00119562
2021-03-18,121699,8.39,0.00090185,0.00120821
2021-03-17,120039,60.02,0.00089007,0.00090185
2021-03-16,119767,24.17,0.00089341,0.00089007
2021-03-15,119544,2.64,0.00088564,0.00089341
2021-03-14,108041,13.72,0.00080050,0.00088564
2021-03-13,108131,122.17,0.00085139,0.00080050
2021-03-12,33414,4.01,0.00024751,0.00085139
2021-03-11,107674,0.065363,0.00023512,0.00024751
2021-03-10,107540,0.00638066,0.00079758,0.00023512
2021-03-09,107624,30.08,0.00079831,0.00079758
2021-03-08,108418,107.28,0.00080394,0.00079831
2021-03-07,101642,137.23,0.00074976,0.00080394
2021-03-06,59766,1.22,0.00043994,0.00074976
2021-03-05,57893,14.05,0.00043159,0.00043994
2021-03-04,60679,43.43,0.00044947,0.00043159
2021-03-03,67643,59.46,0.00073888,0.00044947
2021-03-02,56902,65.01,0.00011258,0.00073888
2021-03-01,51295,7.83,0.00037191,0.00011258
2021-02-28,49960,0.04069090,0.00036992,0.00037191
2021-02-27,48663,12.11,0.00036047,0.00036992
2021-02-26,48436,12.73,0.00035919,0.00036047
2021-02-25,52051,25.07,0.00037567,0.00035919
2021-02-24,51606,25.54,0.00038261,0.00037567
2021-02-23,51692,41.19,0.00038216,0.00038261
2021-02-22,51418,50.22,0.00038096,0.00038216
2021-02-21,50974,0.113865,0.00037955,0.00038096
2021-02-20,51113,2.94,0.00037866,0.00037955
2021-02-19,51259,0.194785,0.00037970,0.00037866
2021-02-18,51259,0.194785,0.00037970,0.00037970
2021-02-17,51191,0.057575,0.00037878,0.00037970
2021-02-16,51293,0.298046,0.00037919,0.00037878
2021-02-15,53996,15.05,0.00042854,0.00037919
2021-02-14,53996,15.05,0.00042854,0.00042854
2021-02-12,57291,0.01354060,0.00042327,0.00042854
2021-02-11,57833,9.50,0.00042667,0.00042327
2021-02-10,57990,11.59,0.00043053,0.00042667
2021-02-09,60711,0.240142,0.00044886,0.00043053
2021-02-08,60711,0.240142,0.00044886,0.00044886
2021-02-06,60711,3.15,0.00044971,0.00044886
2021-02-05,52945,0.00393373,0.00039337,0.00044971
2021-02-04,66535,0.686133,0.00039185,0.00039337
2021-02-03,44280,0.064701,0.00049390,0.00039185
