date,mktcap,vol,open_price,close_price
2021-10-04,8238265,2999286,145.52,144.67
2021-10-03,9130223,2082722,162.06,145.52
2021-10-02,9593172,738425,170.74,162.06
2021-10-01,9579403,818473,170.46,170.74
2021-09-30,9409195,1408782,168.78,170.46
2021-09-29,9787232,1158636,173.32,168.78
2021-09-28,9014275,2414180,160.76,173.32
2021-09-27,9964149,1805755,179.06,160.76
2021-09-26,6260185,117660,111.76,179.06
2021-09-25,6442219,155671,115.88,111.76
2021-09-24,6823192,1136544,123.33,115.88
2021-09-23,6122976,843916,110.00,123.33
2021-09-22,5930416,514728,108.33,110.00
2021-09-21,6865030,583570,123.85,108.33
2021-09-20,7379040,820731,133.42,123.85
2021-09-19,7296837,1184753,131.08,133.42
2021-09-18,7493726,688144,135.53,131.08
2021-09-17,8200799,970756,148.41,135.53
2021-09-16,8884406,955645,161.26,148.41
2021-09-15,7744863,1288830,140.96,161.26
2021-09-14,6850321,777974,124.62,140.96
2021-09-13,8104101,683026,147.44,124.62
2021-09-12,7940709,1387577,144.93,147.44
2021-09-11,7408167,2416914,135.36,144.93
2021-09-10,9224466,2261789,168.94,135.36
2021-09-09,6161524,2850037,112.13,168.94
2021-09-08,7011548,5267201,128.01,112.13
2021-09-07,8112969,1814370,149.38,128.01
2021-09-06,7908441,2307566,145.76,149.38
2021-09-05,8142469,2357073,149.59,145.76
2021-09-04,8988217,1283580,166.87,149.59
2021-09-03,9361933,992562,172.65,166.87
2021-09-02,8937845,610068,165.28,172.65
2021-09-01,8376232,734887,154.99,165.28
2021-08-31,8067426,623848,149.71,154.99
2021-08-30,8489109,381743,157.36,149.71
2021-08-29,8661386,696639,160.65,157.36
2021-08-28,9465440,569056,177.57,160.65
2021-08-27,9961160,514409,185.39,177.57
2021-08-26,10244730,525272,192.08,185.39
2021-08-25,10005410,627511,187.67,192.08
2021-08-24,9179873,612017,172.48,187.67
2021-08-23,8865950,351561,165.94,172.48
2021-08-22,9001554,796814,169.48,165.94
2021-08-21,7435256,420098,181.50,169.48
