date,mktcap,vol,open_price,close_price
2021-10-04,52407,20174,0.00291289,0.00226342
2021-10-03,44073,15249.27,0.00247674,0.00291289
2021-10-02,41029,6518.36,0.00220704,0.00247674
2021-10-01,38306,10358.21,0.00212255,0.00220704
2021-09-30,43237,10579.72,0.00225763,0.00212255
2021-09-29,37768,9502.21,0.00208787,0.00225763
2021-09-28,44567,3118.85,0.00237295,0.00208787
2021-09-27,37433,12975.80,0.00207791,0.00237295
2021-09-26,34119,13232.55,0.00233169,0.00207791
2021-09-25,37886,8595.25,0.00213072,0.00233169
2021-09-24,35713,19918.58,0.00267023,0.00213072
2021-09-23,41092,11921.71,0.00227160,0.00267023
2021-09-22,44187,21153,0.00215908,0.00227160
2021-09-21,44687,16750.99,0.00246971,0.00215908
2021-09-20,48639,2178.21,0.00266611,0.00246971
2021-09-19,39726,27212,0.00298250,0.00266611
2021-09-18,53269,7410.16,0.00296323,0.00298250
2021-09-17,50114,9245.52,0.00246398,0.00296323
2021-09-16,47850,19677.47,0.00248312,0.00246398
2021-09-15,46941,18762.28,0.00257479,0.00248312
2021-09-14,43122,17081.88,0.00209906,0.00257479
2021-09-13,43357,5457.68,0.00239681,0.00209906
2021-09-12,49149,16627.68,0.00269888,0.00239681
2021-09-11,39171,7910.95,0.00211419,0.00269888
2021-09-10,54936,16384.74,0.00304452,0.00211419
2021-09-09,56597,23590,0.00323221,0.00304452
2021-09-08,59953,13403.21,0.00331776,0.00323221
2021-09-07,68209,15216.05,0.00377069,0.00331776
2021-09-06,61006,18871.38,0.00323791,0.00377069
2021-09-05,60575,23306,0.00341380,0.00323791
2021-09-04,52740,9385.41,0.00291567,0.00341380
2021-09-03,57771,19718.02,0.00318671,0.00291567
2021-09-02,46297,15903.12,0.00245745,0.00318671
2021-09-01,47293,8965.78,0.00261441,0.00245745
2021-08-31,47135,17652.84,0.00263330,0.00261441
2021-08-30,57446,19715.46,0.00318770,0.00263330
2021-08-29,51581,9239.87,0.00286107,0.00318770
2021-08-28,49106,19178.78,0.00271464,0.00286107
2021-08-27,39696,9297.51,0.00221461,0.00271464
2021-08-26,46021,21334,0.00254408,0.00221461
2021-08-25,55406,11099.23,0.00308619,0.00254408
2021-08-24,47183,15914.70,0.00309631,0.00308619
2021-08-23,55838,18443.06,0.00304916,0.00309631
2021-08-22,56722,12058.24,0.00313569,0.00304916
2021-08-21,52381,14952.05,0.00257513,0.00313569
2021-08-20,40308,6956.31,0.00226973,0.00257513
2021-08-19,41725,10830.94,0.00229480,0.00226973
2021-08-18,45844,19644.77,0.00295374,0.00229480
2021-08-17,50369,16272.43,0.00261791,0.00295374
2021-08-16,58702,16118.89,0.00326496,0.00261791
2021-08-15,52087,7685.70,0.00237405,0.00326496
2021-08-14,54316,11337.78,0.00300089,0.00237405
2021-08-13,37742,10267.00,0.00208643,0.00300089
2021-08-12,47651,17515.73,0.00269685,0.00208643
2021-08-11,51261,5230.37,0.00282131,0.00269685
2021-08-10,56728,15372.45,0.00310735,0.00282131
2021-08-09,49545,10032.37,0.00281229,0.00310735
2021-08-08,45948,11684.76,0.00282695,0.00281229
2021-08-07,35488,8663.57,0.00196180,0.00282695
2021-08-06,41288,16836.80,0.00234402,0.00196180
2021-08-05,32615,5516.66,0.00172854,0.00234402
2021-08-04,32366,11280.44,0.00179526,0.00172854
2021-08-03,38509,19652.52,0.00252652,0.00179526
2021-08-02,41627,6984.84,0.00158764,0.00252652
2021-08-01,43535,6761.80,0.00240887,0.00158764
2021-07-31,33519,10596.25,0.00186326,0.00240887
2021-07-30,35567,8854.43,0.00207253,0.00186326
2021-07-29,34225,15050.21,0.00190436,0.00207253
2021-07-28,36406,8867.80,0.00203292,0.00190436
2021-07-27,37998,11373.98,0.00198640,0.00203292
2021-07-26,28845,5131.11,0.00159889,0.00198640
2021-07-25,29605,4779.50,0.00165494,0.00159889
2021-07-24,35984,8864.44,0.00141530,0.00165494
2021-07-23,24114,6600.88,0.00133303,0.00141530
2021-07-22,24862,3730.25,0.00137469,0.00133303
2021-07-21,27191,5958.89,0.00149140,0.00137469
2021-07-20,32337,10974.14,0.00179282,0.00149140
2021-07-19,29061,9271.34,0.00160856,0.00179282
2021-07-18,23805,4498.19,0.00131017,0.00160856
2021-07-17,25689,11795.97,0.00137321,0.00131017
2021-07-16,30992,12756.15,0.00171328,0.00137321
2021-07-15,25867,7120.37,0.00142197,0.00171328
2021-07-14,30642,11331.51,0.00164098,0.00142197
2021-07-13,32609,10051.18,0.00181228,0.00164098
2021-07-12,33402,3642.90,0.00185365,0.00181228
2021-07-11,34559,5020.52,0.00180033,0.00185365
2021-07-10,36982,10468.87,0.00205262,0.00180033
2021-07-09,36036,8871.91,0.00197078,0.00205262
2021-07-08,37178,7552.09,0.00172127,0.00197078
2021-07-07,36087,7658.67,0.00155266,0.00172127
2021-07-06,30741,8330.72,0.00169942,0.00155266
2021-07-05,34888,12921.06,0.00192972,0.00169942
2021-07-04,26956,8584.02,0.00149176,0.00192972
2021-07-03,35076,14094.81,0.00193404,0.00149176
2021-07-02,27609,8520.45,0.00155585,0.00193404
2021-07-01,34729,10483.16,0.00191987,0.00155585
2021-06-30,35921,7417.18,0.00198575,0.00191987
2021-06-29,35838,10845.62,0.00188836,0.00198575
2021-06-28,28614,4338.66,0.00155015,0.00188836
2021-06-27,22313,3942.76,0.00123347,0.00155015
2021-06-26,26595,6004.41,0.00147023,0.00123347
2021-06-25,31769,12266.51,0.00175730,0.00147023
2021-06-24,26349,3626.09,0.00146598,0.00175730
2021-06-23,32797,12217.58,0.00181306,0.00146598
2021-06-22,22063,7163.59,0.00121969,0.00181306
2021-06-21,35312,7105.70,0.00154668,0.00121969
2021-06-20,23331,5010.67,0.00128397,0.00154668
2021-06-19,34108,7649.75,0.00162020,0.00128397
2021-06-18,30085,13665.61,0.00211710,0.00162020
2021-06-17,25581,9698.49,0.00139523,0.00211710
2021-06-16,37609,7880.91,0.00209252,0.00139523
2021-06-15,35340,18813.05,0.00195362,0.00209252
2021-06-14,39354,4653.06,0.00216468,0.00195362
2021-06-13,28755,5167.15,0.00158298,0.00216468
2021-06-12,33531,7687.45,0.00150097,0.00158298
2021-06-11,36888,9577.68,0.00168338,0.00150097
2021-06-10,37834,15556.50,0.00209153,0.00168338
2021-06-09,31911,4287.86,0.00176410,0.00209153
2021-06-08,35570,7539.72,0.00197384,0.00176410
2021-06-07,36918,10175.66,0.00205539,0.00197384
2021-06-06,28011,13609.13,0.00155720,0.00205539
2021-06-05,38418,9474.39,0.00212824,0.00155720
2021-06-04,45658,9440.63,0.00252404,0.00212824
2021-06-03,45468,17321.57,0.00171149,0.00252404
2021-06-02,45484,11201.08,0.00253895,0.00171149
2021-06-01,32442,12162.29,0.00177979,0.00253895
2021-05-31,27067,12575.42,0.00189028,0.00177979
2021-05-30,30670,12135.63,0.00169550,0.00189028
2021-05-29,28328,8742.73,0.00148905,0.00169550
2021-05-28,45884,11730.16,0.00175283,0.00148905
2021-05-27,27118,11916.03,0.00229876,0.00175283
2021-05-26,37203,13325.00,0.00205665,0.00229876
2021-05-25,26821,5514.37,0.00167806,0.00205665
2021-05-24,27035,8001.22,0.00153733,0.00167806
2021-05-23,38766,15272.86,0.00216139,0.00153733
2021-05-22,29761,6531.68,0.00164522,0.00216139
2021-05-21,40974,8567.85,0.00223887,0.00164522
2021-05-20,38256,18037.13,0.00211485,0.00223887
2021-05-19,31499,15668.28,0.00178296,0.00211485
2021-05-18,34239,6550.96,0.00181526,0.00178296
2021-05-17,59693,3630.99,0.00248863,0.00181526
2021-05-16,48844,24744,0.00296673,0.00248863
2021-05-15,68519,18265.46,0.00375777,0.00296673
2021-05-14,41587,17422.01,0.00322457,0.00375777
2021-05-13,56982,15106.60,0.00224285,0.00322457
2021-05-12,55410,15074.59,0.00306311,0.00224285
2021-05-11,39927,15858.10,0.00220722,0.00306311
2021-05-10,39028,16443.76,0.00215754,0.00220722
2021-05-09,48475,19586.16,0.00297878,0.00215754
2021-05-08,41564,14256.50,0.00229769,0.00297878
2021-05-07,46253,14996.98,0.00254880,0.00229769
2021-05-06,44759,13815.02,0.00252454,0.00254880
2021-05-05,45372,11147.55,0.00250821,0.00252454
2021-05-04,55982,14445.28,0.00321093,0.00250821
2021-05-03,30938,13736.46,0.00259719,0.00321093
2021-05-02,32980,14981.60,0.00211982,0.00259719
2021-05-01,45771,14855.49,0.00166046,0.00211982
2021-04-30,48989,12731.59,0.00187614,0.00166046
2021-04-29,32507,9963.52,0.00230359,0.00187614
2021-04-28,47188,12533.35,0.00165559,0.00230359
2021-04-27,37519,15333.56,0.00207754,0.00165559
2021-04-26,27824,7860.38,0.00153817,0.00207754
2021-04-25,34650,9844.38,0.00191552,0.00153817
2021-04-24,29838,12616.95,0.00177896,0.00191552
2021-04-23,29881,9308.08,0.00165183,0.00177896
2021-04-22,42840,16003.81,0.00236826,0.00165183
2021-04-21,32359,10753.51,0.00181490,0.00236826
2021-04-20,24726,3977.24,0.00169754,0.00181490
2021-04-19,18912.41,5796.40,0.00104877,0.00169754
