date,mktcap,vol,open_price,close_price
2021-10-03,12391.65,4.05,0.00062933,0.00080078
2021-10-02,16176.28,0.01655423,0.00165542,0.00062933
2021-10-01,16176.28,0.01655423,0.00165542,0.00165542
2021-09-20,16006.37,0.00081942,0.00081942,0.00165542
2021-09-19,16006.37,0.00081942,0.00081942,0.00081942
2021-09-17,28878,0.168771,0.00081140,0.00081942
2021-09-16,19004.28,33059,0.00096385,0.00081140
2021-09-15,37174,48611,0.00188340,0.00096385
2021-09-14,26709,140644,0.00135206,0.00188340
2021-09-13,26882,45685,0.00136637,0.00135206
2021-09-12,26882,45685,0.00136637,0.00136637
2021-09-10,32803,9.05,0.00167081,0.00136637
2021-09-09,32833,9.91,0.00167980,0.00167081
2021-09-08,28407,52.08,0.00140535,0.00167980
2021-09-07,37698,10.61,0.00192153,0.00140535
2021-09-06,29357,44.05,0.00199576,0.00192153
2021-09-05,29426,9424.69,0.00149481,0.00199576
2021-09-04,29451,105502,0.00149412,0.00149481
2021-09-03,29122,146177,0.00147977,0.00149412
2021-09-02,28640,58019,0.00145502,0.00147977
2021-09-01,34825,1.49,0.00175423,0.00145502
2021-08-31,34825,1.49,0.00175423,0.00175423
2021-08-29,34383,0.574050,0.00180519,0.00175423
2021-08-28,34383,0.574050,0.00180519,0.00180519
2021-08-27,34308,0.087425,0.00174849,0.00180519
2021-08-26,32357,160.83,0.00165677,0.00174849
2021-08-25,28530,6052.87,0.00144710,0.00165677
2021-08-24,29167,15490.32,0.00148622,0.00144710
2021-08-23,38962,7.53,0.00193578,0.00148622
2021-08-22,38637,0.898061,0.00202723,0.00193578
2021-08-21,37043,10.64,0.00190368,0.00202723
2021-08-20,35651,3.72,0.00185832,0.00190368
2021-08-19,35901,11.88,0.00182829,0.00185832
2021-08-18,37057,0.493914,0.00182931,0.00182829
2021-08-17,37057,0.493914,0.00182931,0.00182931
2021-08-16,36955,2.30,0.00188742,0.00182931
2021-08-15,36439,9.98,0.00187853,0.00188742
2021-08-14,52236,8.16,0.00263987,0.00187853
2021-08-13,49859,4.52,0.00180832,0.00263987
2021-08-12,50043,0.00254140,0.00254140,0.00180832
2021-08-11,50858,53.50,0.00182827,0.00254140
2021-08-10,49626,0.00189026,0.00189026,0.00182827
2021-08-09,47851,75.80,0.00253047,0.00189026
2021-08-08,47851,75.80,0.00253047,0.00253047
2021-08-07,47857,22.21,0.00244044,0.00253047
2021-08-06,42718,36.79,0.00217959,0.00244044
2021-08-05,27726,41.28,0.00141459,0.00217959
2021-08-04,27789,0.02694580,0.00141820,0.00141459
2021-08-03,28336,0.843946,0.00146011,0.00141820
2021-08-02,29702,0.693506,0.00148821,0.00146011
2021-08-01,30350,4.82,0.00154954,0.00148821
2021-07-31,30576,12.99,0.00156148,0.00154954
2021-07-30,28889,3.30,0.00179755,0.00156148
2021-07-29,53554,980.76,0.00272871,0.00179755
2021-07-28,53554,980.76,0.00272871,0.00272871
2021-07-27,26951,27.60,0.00144410,0.00272871
2021-07-26,26951,27.60,0.00144410,0.00144410
2021-07-24,23544,0.211828,0.00120357,0.00144410
2021-07-23,23202,6.07,0.00123719,0.00120357
2021-07-22,23202,6.07,0.00123719,0.00123719
2021-07-21,22906,2.01,0.00118675,0.00123719
2021-07-20,22338,7.68,0.00114249,0.00118675
2021-07-19,24191,0.316542,0.00127126,0.00114249
2021-07-18,35474,37.20,0.00181506,0.00127126
2021-07-17,25030,4.45,0.00111374,0.00181506
2021-07-16,24164,60.23,0.00124287,0.00111374
2021-07-15,23802,281.52,0.00130845,0.00124287
2021-07-14,23802,281.52,0.00130845,0.00130845
2021-07-10,30027,1.49,0.00124498,0.00130845
2021-07-09,30643,7.77,0.00153802,0.00124498
2021-07-08,32612,4.17,0.00167104,0.00153802
2021-07-07,23922,113.90,0.00135798,0.00167104
2021-07-06,25380,17.22,0.00130073,0.00135798
2021-07-05,26517,30.95,0.00135724,0.00130073
2021-07-04,40273,3.41,0.00206471,0.00135724
2021-07-03,43074,0.262715,0.00219367,0.00206471
2021-07-02,39582,37.61,0.00203770,0.00219367
2021-07-01,25118,0.205029,0.00205439,0.00203770
2021-06-30,25118,0.205029,0.00205439,0.00205439
2021-06-29,25110,0.251213,0.00128827,0.00205439
2021-06-28,25110,0.251213,0.00128827,0.00128827
2021-06-27,31635,31.84,0.00162359,0.00128827
2021-06-26,24491,20.73,0.00173475,0.00162359
2021-06-25,31906,12.55,0.00125715,0.00173475
2021-06-24,32557,3.47,0.00166459,0.00125715
2021-06-23,30939,2.83,0.00158867,0.00166459
2021-06-22,30939,2.83,0.00158867,0.00158867
2021-06-20,26837,0.00275483,0.00137879,0.00158867
2021-06-19,26837,0.00275483,0.00137879,0.00137879
2021-06-17,30344,0.609338,0.00153486,0.00137879
2021-06-16,31409,63355,0.00161507,0.00153486
2021-06-15,39205,42242,0.00201543,0.00161507
2021-06-14,27808,0.665965,0.00149487,0.00201543
2021-06-13,27808,0.665965,0.00149487,0.00149487
2021-06-11,27797,0.00142980,0.00142980,0.00149487
2021-06-10,32012,1.28,0.00136564,0.00142980
2021-06-09,32056,54.32,0.00164695,0.00136564
2021-06-08,35040,0.287360,0.00138821,0.00164695
2021-06-07,35040,0.287360,0.00138821,0.00138821
2021-06-04,26116,26.07,0.00138905,0.00138821
2021-06-03,45318,0.00234949,0.00235418,0.00138905
2021-06-02,46077,278.75,0.00237678,0.00235418
2021-06-01,44304,20.70,0.00278535,0.00237678
2021-05-31,41515,56068,0.00213917,0.00278535
2021-05-30,40110,95570,0.00207656,0.00213917
2021-05-29,31145,0.00144694,0.00144983,0.00207656
2021-05-28,44470,0.168535,0.00160510,0.00144983
2021-05-27,45257,7687.52,0.00233304,0.00160510
2021-05-26,44581,9930.08,0.00229347,0.00233304
2021-05-25,44586,0.250820,0.00145826,0.00229347
2021-05-24,44586,0.250820,0.00145826,0.00145826
2021-05-23,42141,20.23,0.00229933,0.00145826
2021-05-22,41875,98.39,0.00218782,0.00229933
2021-05-21,39061,71756,0.00204689,0.00218782
2021-05-20,37836,79058,0.00231582,0.00204689
2021-05-19,49502,117984,0.00254734,0.00231582
2021-05-18,41573,95610,0.00214597,0.00254734
2021-05-17,62061,76044,0.00275309,0.00214597
2021-05-16,56293,192083,0.00285794,0.00275309
2021-05-15,48376,154996,0.00249820,0.00285794
2021-05-14,37822,120523,0.00197380,0.00249820
2021-05-13,30511,137363,0.00208808,0.00197380
2021-05-12,54648,148457,0.00283565,0.00208808
2021-05-11,54035,43547,0.00279390,0.00283565
2021-05-10,49414,78.67,0.00348069,0.00279390
2021-05-09,67972,0.878765,0.00351506,0.00348069
2021-05-08,66099,73815,0.00343229,0.00351506
2021-05-07,65513,164693,0.00340292,0.00343229
2021-05-06,55291,229600,0.00286431,0.00340292
2021-05-05,41828,169356,0.00214507,0.00286431
2021-05-04,55588,0.950033,0.00331294,0.00214507
2021-05-03,60007,1.98,0.00310566,0.00331294
2021-05-02,44559,71.17,0.00346457,0.00310566
2021-05-01,55045,47462,0.00288391,0.00346457
2021-04-30,51748,103289,0.00267828,0.00288391
2021-04-29,42260,170288,0.00218990,0.00267828
2021-04-28,42574,62314,0.00220363,0.00218990
2021-04-27,71927,76.11,0.00372432,0.00220363
2021-04-26,67468,7.63,0.00334410,0.00372432
2021-04-25,67468,7.63,0.00334410,0.00334410
2021-04-24,49542,0.00245643,0.00245643,0.00334410
2021-04-23,49876,0.136686,0.00258405,0.00245643
2021-04-22,75072,1.94,0.00389008,0.00258405
2021-04-21,75623,0.282766,0.00282766,0.00389008
2021-04-20,66771,71.10,0.00392766,0.00282766
2021-04-19,76119,163277,0.00394676,0.00392766
2021-04-18,81394,167170,0.00422007,0.00394676
2021-04-17,95133,206175,0.00431195,0.00422007
2021-04-16,108403,8.58,0.00569280,0.00431195
2021-04-15,95328,99.99,0.00494483,0.00569280
2021-04-14,85482,27.50,0.00443481,0.00494483
2021-04-13,91331,513.36,0.00473883,0.00443481
2021-04-12,72156,187.92,0.00477054,0.00473883
2021-04-11,80561,0.367164,0.00418132,0.00477054
2021-04-10,89517,153.67,0.00408675,0.00418132
2021-04-09,88930,113485,0.00462372,0.00408675
2021-04-08,97921,98139,0.00508448,0.00462372
