date,mktcap,vol,open_price,close_price
2021-10-04,65997108,188842,1.95,2.01
2021-10-03,63144628,196238,1.86,1.95
2021-10-02,62958260,186800,1.86,1.86
2021-10-01,59382851,205243,1.75,1.86
2021-09-30,54101669,528960,1.70,1.75
2021-09-29,48417260,6651723,1.56,1.70
2021-09-28,61254314,6009726,1.98,1.56
2021-09-27,61822547,5950940,2.02,1.98
2021-09-26,59362289,6394523,1.96,2.02
2021-09-25,68611631,5978947,2.23,1.96
2021-09-24,59594832,6892634,2.01,2.23
2021-09-23,71084839,10061358,2.43,2.01
2021-09-22,61912567,164231,1.70,2.43
2021-09-21,66013942,237110,2.14,1.70
2021-09-20,69551809,207253,2.30,2.14
2021-09-19,67665118,234273,2.19,2.30
2021-09-18,69262941,226259,2.24,2.19
2021-09-17,66248084,188689,2.14,2.24
2021-09-16,64685374,198076,2.06,2.14
2021-09-15,64568869,183994,2.08,2.06
2021-09-14,0.000000000000,5449359,2.05,2.08
2021-09-13,0.000000000000,172396,2.34,2.05
2021-09-12,0.000000000000,625410,2.32,2.34
2021-09-11,0.000000000000,2774412,2.15,2.32
2021-09-10,0.000000000000,6497166,2.02,2.15
2021-09-09,0.000000000000,553205,2.16,2.02
2021-09-08,0.000000000000,6128400,2.19,2.16
2021-09-07,0.000000000000,3810214,2.49,2.19
2021-09-06,0.000000000000,10664325,2.51,2.49
2021-09-05,0.000000000000,5636453,2.39,2.51
2021-09-04,0.000000000000,5339545,2.16,2.39
2021-09-03,0.000000000000,5682298,2.62,2.16
2021-09-02,0.000000000000,5682298,2.62,2.62
