date,mktcap,vol,open_price,close_price
2021-10-04,219410,1127.74,5.17,4.23
2021-10-03,170889,967.18,4.10,5.17
2021-10-02,164043,315.98,3.86,4.10
2021-10-01,181526,1605.35,4.28,3.86
2021-09-30,172038,1269.36,4.12,4.28
2021-09-29,195737,1131.27,4.57,4.12
2021-09-28,251975,1249.52,5.94,4.57
2021-09-27,200174,1114.26,4.60,5.94
2021-09-26,201838,834.64,4.62,4.60
2021-09-25,198761,1210.23,4.76,4.62
2021-09-24,241643,441.84,5.70,4.76
2021-09-23,232470,937.45,6.43,5.70
2021-09-22,226006,385.51,5.32,6.43
2021-09-21,233766,409.65,5.53,5.32
2021-09-20,237219,1301.07,5.64,5.53
2021-09-19,234249,778.04,5.67,5.64
2021-09-18,273890,576.82,6.46,5.67
2021-09-17,269838,1294.65,6.28,6.46
2021-09-16,257366,1442.40,6.07,6.28
2021-09-15,258458,1050.41,6.18,6.07
2021-09-14,272316,1852.88,6.33,6.18
2021-09-13,274738,1380.22,6.46,6.33
2021-09-12,274151,1178.07,6.46,6.46
2021-09-11,274146,661.08,6.45,6.46
2021-09-10,275252,1142.26,6.49,6.45
2021-09-09,263985,5131.52,6.21,6.49
2021-09-08,266037,2733.88,6.21,6.21
2021-09-07,257280,875.45,6.09,6.21
2021-09-06,312347,3364.40,7.37,6.09
2021-09-05,338739,1580.97,7.99,7.37
2021-09-04,257469,1574.51,6.08,7.99
2021-09-03,270007,1571.17,6.37,6.08
2021-09-02,254411,1744.75,6.00,6.37
2021-09-01,211492,1311.74,5.04,6.00
2021-08-31,257760,1607.97,6.07,5.04
2021-08-30,254304,1201.96,6.00,6.07
2021-08-29,250092,142412,5.90,6.00
2021-08-28,261962,169135,6.20,5.90
2021-08-27,222781,139174,5.25,6.20
2021-08-26,262852,160766,6.20,5.25
2021-08-25,259296,146833,6.00,6.20
2021-08-24,255248,173812,5.95,6.00
2021-08-23,307190,167160,7.30,5.95
2021-08-22,278732,169139,6.57,7.30
2021-08-21,266399,199048,6.22,6.57
2021-08-20,232529,20159,5.57,6.22
2021-08-19,239045,431.25,5.49,5.57
2021-08-18,209492,63633,4.92,5.49
2021-08-17,231131,139725,5.28,4.92
2021-08-16,241160,144406,5.63,5.28
2021-08-15,239544,121638,5.64,5.63
2021-08-14,258466,159594,6.08,5.64
2021-08-13,203343,44563,4.85,6.08
2021-08-12,209832,135035,5.02,4.85
2021-08-11,220563,125870,5.13,5.02
2021-08-10,277601,252454,6.53,5.13
2021-08-09,266167,370569,6.24,6.53
2021-08-08,256410,363559,6.11,6.24
2021-08-07,222568,317711,5.27,6.11
2021-08-06,217876,338634,5.22,5.27
2021-08-05,212870,316426,5.04,5.22
2021-08-04,192689,278931,4.59,5.04
2021-08-03,202585,277571,4.78,4.59
2021-08-02,227453,299350,5.37,4.78
2021-08-01,209483,293615,4.93,5.37
2021-07-31,216647,285263,5.14,4.93
2021-07-30,209417,269619,4.94,5.14
2021-07-29,183155,107912,4.32,4.94
2021-07-28,172812,38874,4.08,4.32
2021-07-27,194437,44935,4.56,4.08
2021-07-26,185307,41789,4.37,4.56
2021-07-25,177182,39908,4.18,4.37
2021-07-24,184596,37188,4.41,4.18
2021-07-23,169134,33252,3.99,4.41
2021-07-22,171839,39681,4.06,3.99
2021-07-21,154211,33361,3.64,4.06
2021-07-20,142190,35650,3.36,3.64
2021-07-19,149402,36595,3.54,3.36
2021-07-18,151928,33123,3.58,3.54
2021-07-17,164431,40796,3.87,3.58
2021-07-16,163155,37156,3.82,3.87
2021-07-15,158165,36682,3.76,3.82
2021-07-14,154285,35878,3.58,3.76
2021-07-13,170775,38094,4.02,3.58
2021-07-12,171366,39340,4.02,4.02
2021-07-11,182183,42188,4.30,4.02
2021-07-10,189502,30885,4.43,4.30
2021-07-09,168496,27351,3.97,4.43
2021-07-08,181095,26138,4.27,3.97
2021-07-07,201464,22720,4.75,4.27
2021-07-06,186387,24742,4.34,4.75
2021-07-05,191979,24950,4.53,4.34
2021-07-04,186226,20352,4.40,4.53
2021-07-03,179141,19674.69,4.15,4.40
2021-07-02,183277,20648,4.32,4.15
2021-07-01,198970,23740,4.73,4.32
2021-06-30,177541,21890,4.13,4.73
2021-06-29,178198,20419,4.21,4.13
2021-06-28,169124,20053,4.00,4.21
2021-06-27,154301,18054.54,3.64,4.00
2021-06-26,163789,19672.07,3.86,3.64
2021-06-25,177255,20894,4.18,3.86
2021-06-24,160278,20384,3.83,4.18
2021-06-23,159009,20220,3.70,3.83
2021-06-22,163241,20643,3.81,3.70
2021-06-21,202213,27702,4.74,3.81
2021-06-20,182609,21039,4.27,4.74
2021-06-19,185660,22051,4.37,4.27
2021-06-18,208076,24554,4.92,4.37
2021-06-17,212600,25188,4.95,4.92
2021-06-16,216712,25742,5.11,4.95
2021-06-15,210208,25782,4.95,5.11
2021-06-14,236452,27330,5.60,4.95
2021-06-13,212991,26887,5.00,5.60
2021-06-12,195457,22291,4.58,5.00
2021-06-11,205821,23282,4.85,4.58
2021-06-10,232522,29983,5.49,4.85
2021-06-09,219211,25755,5.15,5.49
2021-06-08,235473,28573,5.53,5.15
2021-06-07,260542,30083,6.09,5.53
2021-06-06,235086,25107,5.54,6.09
2021-06-05,258579,17664.39,6.09,5.54
2021-06-04,247562,26466,5.84,6.09
2021-06-03,231624,24577,5.45,5.84
2021-06-02,223265,25552,5.30,5.45
2021-06-01,268600,27847,6.36,5.30
2021-05-31,234078,26045,5.51,6.36
2021-05-30,225855,26353,5.26,5.51
2021-05-29,233093,27305,5.51,5.26
2021-05-28,247610,29621,5.84,5.51
2021-05-27,246292,29036,5.81,5.84
2021-05-26,239121,29083,5.66,5.81
2021-05-25,243180,27598,5.74,5.66
2021-05-24,201368,22122,4.69,5.74
2021-05-23,212733,24008,5.00,4.69
2021-05-22,220880,24432,5.21,5.00
2021-05-21,283515,31219,6.59,5.21
2021-05-20,252489,31505,5.88,6.59
2021-05-19,360094,39774,8.42,5.88
2021-05-18,363998,30916,8.56,8.42
2021-05-17,350599,30.70,8.28,8.56
2021-05-16,360863,40511,8.49,8.28
2021-05-15,395304,42265,9.37,8.49
2021-05-14,445405,44264,10.52,9.37
2021-05-13,646636,64621,14.63,10.52
2021-05-12,578193,55519,13.59,14.63
2021-05-11,647097,73476,15.27,13.59
2021-05-10,632120,69519,14.89,15.27
2021-05-09,600141,64186,14.25,14.89
2021-05-08,511348,56107,12.04,14.25
2021-05-07,521564,56566,12.27,12.04
2021-05-06,487674,54158,11.42,12.27
2021-05-05,459685,51642,10.80,11.42
2021-05-04,508775,56306,11.94,10.80
2021-05-03,442793,48659,10.41,11.94
2021-05-02,430413,48792,10.16,10.41
2021-05-01,405915,46302,9.56,10.16
2021-04-30,395772,45792,9.34,9.56
2021-04-29,399026,52377,9.41,9.34
2021-04-28,378586,30258,8.99,9.41
2021-04-27,367547,39044,8.67,8.99
2021-04-26,340793,41681,8.04,8.67
2021-04-25,330092,37031,7.77,8.04
2021-04-24,355882,40748,8.35,7.77
2021-04-23,364025,39682,8.58,8.35
2021-04-22,358351,39432,8.45,8.58
2021-04-21,349592,40321,8.18,8.45
2021-04-20,344443,40692,8.18,8.18
2021-04-19,361366,41958,8.48,8.18
2021-04-18,380075,38237,8.95,8.48
2021-04-17,384872,43053,9.12,8.95
2021-04-16,413907,4187.42,9.76,9.12
2021-04-15,371194,43963,8.76,9.76
2021-04-14,351901,41880,8.33,8.76
2021-04-13,357621,42461,8.43,8.33
2021-04-12,360057,40270,8.51,8.43
2021-04-11,355716,39103,8.40,8.51
2021-04-10,344996,38092,8.18,8.40
2021-04-09,296421,31291,7.00,8.18
2021-04-08,288176,33186,6.75,7.00
2021-04-07,327053,39310,7.74,6.75
2021-04-06,324370,36098,7.65,7.74
2021-04-05,330841,37619,7.77,7.65
2021-04-04,332171,20390,7.79,7.77
2021-04-03,336653,38653,7.89,7.79
2021-04-02,305049,34189,7.16,7.89
2021-04-01,286670,33245,6.75,7.16
2021-03-31,321069,37394,7.55,6.75
2021-03-30,314508,36255,7.43,7.55
2021-03-29,292135,38769,6.89,7.43
2021-03-28,268189,32147,6.31,6.89
2021-03-27,256670,30880,6.05,6.31
2021-03-26,240465,27904,5.68,6.05
2021-03-25,240360,26536,5.64,5.68
2021-03-24,252756,30119,5.95,5.64
2021-03-23,256578,27434,6.01,5.95
2021-03-22,274234,33110,6.45,6.01
2021-03-21,293544,34175,6.90,6.45
2021-03-20,303925,34788,7.18,6.90
2021-03-19,317342,34782,7.47,7.18
2021-03-18,248237,40992,5.85,7.47
2021-03-17,245088,57394,5.81,5.85
2021-03-16,244198,54872,5.69,5.81
2021-03-15,255283,51670,6.00,5.69
2021-03-14,259795,60636,6.11,6.00
2021-03-13,245730,53516,5.79,6.11
2021-03-12,249491,53917,5.87,5.79
2021-03-11,247846,52762,5.81,5.87
2021-03-10,251334,57178,5.95,5.81
2021-03-09,280861,58228,6.65,5.95
2021-03-08,263040,58162,6.14,6.65
2021-03-07,256192,59072,6.05,6.14
2021-03-06,240057,55828,5.65,6.05
2021-03-05,214780,56627,5.07,5.65
2021-03-04,242871,58315,5.67,5.07
2021-03-03,211106,50638,4.97,5.67
2021-03-02,217571,58507,5.15,4.97
2021-03-01,243640,53309,5.74,5.15
2021-02-28,263167,58201,6.21,5.74
2021-02-27,284585,68240,6.77,6.21
2021-02-26,279923,61499,6.56,6.77
2021-02-25,320084,69879,7.60,6.56
2021-02-24,301420,66035,7.09,7.60
2021-02-23,348820,80407,8.22,7.09
2021-02-22,380028,84955,9.00,8.22
2021-02-21,375420,76864,8.87,9.00
2021-02-20,340899,82980,8.04,8.87
2021-02-19,323870,73974,7.67,8.04
2021-02-18,456836,102838,10.77,7.67
2021-02-17,444298,120860,10.48,10.77
2021-02-16,541845,128466,13.00,10.48
2021-02-15,544208,132337,13.03,13.00
2021-02-14,551609,130186,13.23,13.03
2021-02-13,535395,131531,12.95,13.23
2021-02-12,516446,131187,12.53,12.95
2021-02-11,500210,115803,12.31,12.53
2021-02-10,574110,133666,14.15,12.31
2021-02-09,560561,166674,13.84,14.15
2021-02-08,608882,135663,15.30,13.84
2021-02-07,654246,159966,16.42,15.30
2021-02-06,673492,172320,17.10,16.42
2021-02-05,648405,201836,16.52,17.10
2021-02-04,798175,348858,20.58,16.52
2021-02-03,511983,123300,13.20,20.58
2021-02-02,467388,123416,12.14,13.20
2021-02-01,458611,114238,11.89,12.14
2021-01-31,463606,146182,11.95,11.89
2021-01-30,462517,116955,11.95,11.95
2021-01-29,459656,109829,11.81,11.95
2021-01-28,434317,100672,11.17,11.81
2021-01-27,429259,107408,11.05,11.17
2021-01-26,415600,103130,10.74,11.05
2021-01-25,472789,121420,12.48,10.74
2021-01-24,420378,114078,11.03,12.48
2021-01-23,417966,102109,11.06,11.03
2021-01-22,385248,102934,10.08,11.06
2021-01-21,470037,122718,12.67,10.08
2021-01-20,476421,123036,12.74,12.67
2021-01-19,419449,109658,11.26,12.74
2021-01-18,427779,111728,11.44,11.26
2021-01-17,427801,101257,11.46,11.44
2021-01-16,397016,112650,10.64,11.46
2021-01-15,390999,156303,10.77,10.64
2021-01-14,361569,137335,9.98,10.77
2021-01-13,375711,107513,10.36,9.98
2021-01-12,379350,103094,10.65,10.36
2021-01-11,448463,116918,12.52,10.65
2021-01-10,480667,111452,13.43,12.52
2021-01-09,467420,184885,13.11,13.43
2021-01-08,458169,221069,13.05,13.11
2021-01-07,442813,192054,12.46,13.05
2021-01-06,419258,160684,11.86,12.46
2021-01-05,383876,159046,11.00,11.86
