date,mktcap,vol,open_price,close_price
2021-10-04,108596825,1630687,158.22,160.31
2021-10-03,102899798,3078633,150.59,158.22
2021-10-02,89449212,1587434,130.92,150.59
2021-10-01,85595900,869855,127.06,130.92
2021-09-30,85339196,570892,126.96,127.06
2021-09-29,87622545,476298,131.24,126.96
2021-09-28,95485636,901011,143.12,131.24
2021-09-27,97072074,1148020,145.45,143.12
2021-09-26,93715106,514936,140.01,145.45
2021-09-25,96802566,2744138,144.54,140.01
2021-09-24,93595698,1196012,140.24,144.54
2021-09-23,95000250,1351419,142.69,140.24
2021-09-22,84580322,1100224,126.71,142.69
2021-09-21,97286602,1899268,146.54,126.71
2021-09-20,122515511,4550639,183.95,146.54
2021-09-19,115334097,565078,171.96,183.95
2021-09-18,121211337,487540,181.06,171.96
2021-09-17,128997250,1038305,192.69,181.06
2021-09-16,129704611,1075670,194.10,192.69
2021-09-15,121639144,920821,182.97,194.10
2021-09-14,108676794,968612,176.09,182.97
2021-09-13,115801505,1096455,187.22,176.09
2021-09-12,114164177,722498,184.56,187.22
2021-09-11,113470897,713710,183.75,184.56
2021-09-10,125573224,1538366,203.16,183.75
2021-09-09,130155443,1366172,210.63,203.16
2021-09-08,135465565,2662451,220.16,210.63
2021-09-07,166923970,10074158,270.69,220.16
2021-09-06,145305937,5850102,235.57,270.69
2021-09-05,113903511,538426,184.31,235.57
2021-09-04,119924306,1113789,194.26,184.31
2021-09-03,124709522,884450,201.01,194.26
2021-09-02,129235225,1817359,209.18,201.01
2021-09-01,121302787,1801693,196.45,209.18
2021-08-31,112642745,2174136,181.81,196.45
2021-08-30,112467239,2570612,182.19,181.81
2021-08-29,106414973,2578433,172.34,182.19
2021-08-28,99411772,2717000,160.64,172.34
2021-08-27,97942767,1994263,158.50,160.64
2021-08-26,104652815,4034933,169.36,158.50
2021-08-25,95660365,2454481,154.75,169.36
2021-08-24,107518578,2345242,174.29,154.75
2021-08-23,110246740,1560709,178.33,174.29
2021-08-22,119297973,1564957,192.54,178.33
2021-08-21,121160196,2112569,196.32,192.54
2021-08-20,112367789,1937224,185.29,196.32
2021-08-19,116616572,2933690,188.36,185.29
2021-08-18,111858203,2724205,180.80,188.36
2021-08-17,122709673,2728906,195.16,180.80
2021-08-16,135146185,1514625,218.85,195.16
2021-08-15,145067387,1275968,235.00,218.85
2021-08-14,149100281,2764829,241.62,235.00
2021-08-13,126985833,3531155,219.54,241.62
2021-08-12,130377545,4951350,222.35,219.54
2021-08-11,118063314,4290119,201.56,222.35
2021-08-10,107649043,3070883,187.76,201.56
2021-08-09,104383579,4426690,177.74,187.76
2021-08-08,98951692,2286609,169.98,177.74
2021-08-07,99188497,2778025,169.17,169.98
2021-08-06,91165988,4808407,155.44,169.17
2021-08-05,96357329,1928360,164.77,155.44
2021-08-04,86959835,1433280,148.30,164.77
2021-08-03,92095061,1231024,157.06,148.30
2021-08-02,90143907,1506232,153.67,157.06
2021-08-01,91114547,1324320,155.43,153.67
2021-07-31,89421478,1648866,152.79,155.43
2021-07-30,82513054,576702,140.42,152.79
2021-07-29,81482974,1382420,139.08,140.42
2021-07-28,81399040,457285,139.04,139.08
2021-07-27,81650438,2137275,138.78,139.04
2021-07-26,79610775,901760,135.95,138.78
2021-07-25,80943559,1437227,138.10,135.95
2021-07-24,81431085,2367029,138.98,138.10
2021-07-23,78229021,2837376,133.46,138.98
2021-07-22,71741529,2743330,122.76,133.46
2021-07-21,63534605,1820921,108.63,122.76
2021-07-20,68671549,3265367,118.82,108.63
2021-07-19,63914066,836386,110.74,118.82
2021-07-18,64287588,823331,110.71,110.74
