date,mktcap,vol,open_price,close_price
2021-10-04,327935,146478,0.607866,0.598175
2021-10-03,333944,123651,0.609062,0.607866
2021-10-02,338090,126269,0.607914,0.609062
2021-10-01,338004,105044,0.607905,0.607914
2021-09-30,328413,105722,0.608040,0.607905
2021-09-29,327007,121427,0.604772,0.608040
2021-09-28,333400,122043,0.584933,0.604772
2021-09-27,338819,136528,0.598544,0.584933
2021-09-26,328005,139548,0.606609,0.598544
2021-09-25,328202,130965,0.589311,0.606609
2021-09-24,333449,121748,0.598948,0.589311
2021-09-23,332464,122569,0.588197,0.598948
2021-09-22,335592,143960,0.587466,0.588197
2021-09-21,332396,151876,0.599091,0.587466
2021-09-20,332674,147159,0.608778,0.599091
2021-09-19,333008,149463,0.598192,0.608778
2021-09-18,347323,170672,0.627905,0.598192
2021-09-17,346720,152966,0.622622,0.627905
2021-09-16,348493,135699,0.625855,0.622622
2021-09-15,347098,130047,0.620220,0.625855
2021-09-14,350758,137606,0.630979,0.620220
2021-09-13,347000,136434,0.631062,0.630979
2021-09-12,355619,133626,0.639315,0.631062
2021-09-11,346321,143439,0.623070,0.639315
2021-09-10,346894,149460,0.638401,0.623070
2021-09-09,351257,157307,0.639818,0.638401
2021-09-08,370300,189681,0.672026,0.639818
2021-09-07,383642,192488,0.690403,0.672026
2021-09-06,386442,183667,0.691917,0.690403
2021-09-05,357392,159669,0.624916,0.691917
2021-09-04,349430,153594,0.636670,0.624916
2021-09-03,351648,145053,0.632144,0.636670
2021-09-02,361750,133522,0.650044,0.632144
2021-09-01,360796,128537,0.648737,0.650044
2021-08-31,360579,118615,0.649672,0.648737
2021-08-30,381278,145874,0.682340,0.649672
2021-08-29,384005,139731,0.690878,0.682340
2021-08-28,387098,163626,0.696304,0.690878
2021-08-27,385456,171568,0.692114,0.696304
2021-08-26,384999,176207,0.695202,0.692114
2021-08-25,387221,178507,0.695723,0.695202
2021-08-24,384914,176032,0.691669,0.695723
2021-08-23,392479,165484,0.702760,0.691669
2021-08-22,387856,167674,0.704346,0.702760
2021-08-21,390396,159371,0.700641,0.704346
2021-08-20,358265,165551,0.644473,0.700641
2021-08-19,353616,177920,0.643517,0.644473
2021-08-18,357913,185242,0.644241,0.643517
2021-08-17,358308,191619,0.643737,0.644241
2021-08-16,358612,182426,0.644407,0.643737
2021-08-15,353560,179835,0.626322,0.644407
2021-08-14,389755,169041,0.700581,0.626322
2021-08-13,390585,170048,0.701918,0.700581
2021-08-12,190005,78025,0.341215,0.701918
2021-08-11,195893,77628,0.352333,0.341215
2021-08-10,225308,80702,0.395092,0.352333
2021-08-09,229008,88983,0.410520,0.395092
2021-08-08,226519,90760,0.406694,0.410520
2021-08-07,277342,96215,0.490280,0.406694
2021-08-06,281622,92102,0.497270,0.490280
2021-08-05,272812,87570,0.490213,0.497270
2021-08-04,273129,94334,0.499294,0.490213
2021-08-03,307814,106786,0.550818,0.499294
2021-08-02,304446,117471,0.553613,0.550818
2021-08-01,308291,117646,0.553274,0.553613
2021-07-31,308819,103674,0.550964,0.553274
2021-07-30,306603,113721,0.549825,0.550964
2021-07-29,307726,123679,0.550791,0.549825
