date,mktcap,vol,open_price,close_price
2021-10-04,18637295,236444,0.00881050,0.00842816
2021-10-03,19968725,519575,0.00934394,0.00881050
2021-10-02,19967182,813731,0.00938064,0.00934394
2021-10-01,17775824,974370,0.00835409,0.00938064
2021-09-30,15731633,324886,0.00736516,0.00835409
2021-09-29,14943371,466420,0.00701740,0.00736516
2021-09-28,15303192,296550,0.00713602,0.00701740
2021-09-27,16797296,608711,0.00766154,0.00713602
2021-09-26,17925876,332611,0.00839078,0.00766154
2021-09-25,17959451,526075,0.00853951,0.00839078
2021-09-24,19146685,372643,0.00902221,0.00853951
2021-09-23,19444731,419465,0.00915606,0.00902221
2021-09-22,17225750,507644,0.00813534,0.00915606
2021-09-21,18485287,696833,0.00867356,0.00813534
2021-09-20,22777102,762864,0.01065454,0.00867356
2021-09-19,22743569,961944,0.01069307,0.01065454
2021-09-18,22606771,788091,0.01064212,0.01069307
2021-09-17,24085056,833577,0.01135403,0.01064212
2021-09-16,25752942,928068,0.01203249,0.01135403
2021-09-15,28251260,779214,0.01325326,0.01203249
2021-09-14,27516133,945586,0.01293932,0.01325326
2021-09-13,28902693,2196158,0.01359009,0.01293932
2021-09-12,26012114,942959,0.01222241,0.01359009
2021-09-11,29034168,2201128,0.01370139,0.01222241
2021-09-10,26073448,1020738,0.01224381,0.01370139
2021-09-09,26374375,1105342,0.01227397,0.01224381
2021-09-08,24967855,1429903,0.01175519,0.01227397
2021-09-07,33067039,1281220,0.01553880,0.01175519
2021-09-06,33020051,1297578,0.01552750,0.01553880
2021-09-05,31737473,1289835,0.01486221,0.01552750
2021-09-04,35923980,1707615,0.01670771,0.01486221
2021-09-03,33578357,1515609,0.01584914,0.01670771
2021-09-02,40385383,2965834,0.01899101,0.01584914
2021-09-01,41775249,3670021,0.01951022,0.01899101
2021-08-31,50757462,5929283,0.02354989,0.01951022
2021-08-30,49516259,8400916,0.02348319,0.02354989
2021-08-29,37344737,1761593,0.01762895,0.02348319
2021-08-28,36049851,4477882,0.01682504,0.01762895
2021-08-27,36336759,15089490,0.01706654,0.01682504
2021-08-26,27861124,2687829,0.01337834,0.01706654
2021-08-25,21255101,2491175,0.00998216,0.01337834
2021-08-24,17638453,684193,0.00827868,0.00998216
2021-08-23,16986802,411589,0.00801974,0.00827868
2021-08-22,16402062,379006,0.00772157,0.00801974
2021-08-21,17519377,613966,0.00822387,0.00772157
2021-08-20,15388723,591255,0.00726797,0.00822387
2021-08-19,15060574,610670,0.00706626,0.00726797
2021-08-18,14793085,611714,0.00693703,0.00706626
2021-08-17,16646726,1539846,0.00776534,0.00693703
2021-08-16,20473483,943586,0.00963646,0.00776534
2021-08-15,21081248,675294,0.00991468,0.00963646
2021-08-14,20239568,1843209,0.00959084,0.00991468
2021-08-13,16888825,960046,0.00817287,0.00959084
2021-08-12,14693357,1057070,0.00699316,0.00817287
2021-08-11,15125087,1121539,0.00710625,0.00699316
2021-08-10,15315466,702014,0.00741095,0.00710625
2021-08-09,13507626,816180,0.00620859,0.00741095
2021-08-08,13486124,1241487,0.00640391,0.00620859
2021-08-07,11246763,485472,0.00528873,0.00640391
2021-08-06,10618113,394102,0.00520609,0.00528873
2021-08-05,10889661,175874,0.00528240,0.00520609
2021-08-04,10676532,214132,0.00524916,0.00528240
2021-08-03,11494093,301373,0.00561371,0.00524916
2021-08-02,11717674,208816,0.00576648,0.00561371
2021-08-01,11795892,248631,0.00579215,0.00576648
2021-07-31,12378660,213839,0.00606337,0.00579215
2021-07-30,12555818,179461,0.00612656,0.00606337
2021-07-29,11995118,263476,0.00590064,0.00612656
2021-07-28,12363497,337195,0.00616156,0.00590064
2021-07-27,13699605,408218,0.00670686,0.00616156
2021-07-26,6239767,206076,0.00616868,0.00670686
2021-07-25,5576706,175711,0.00551391,0.00616868
2021-07-24,5654772,168572,0.00549222,0.00551391
2021-07-23,5178710,156445,0.00509133,0.00549222
2021-07-22,4953412,180310,0.00487095,0.00509133
2021-07-21,4583244,227493,0.00450384,0.00487095
2021-07-20,4845375,339658,0.00478097,0.00450384
2021-07-19,5836545,151308,0.00574306,0.00478097
2021-07-18,5937206,241199,0.00582799,0.00574306
2021-07-17,6074803,202687,0.00596923,0.00582799
2021-07-16,6248232,758679,0.00613965,0.00596923
2021-07-15,7477824,473164,0.00735020,0.00613965
2021-07-14,7456032,1911547,0.00734821,0.00735020
2021-07-13,7687592,878807,0.00769215,0.00734821
2021-07-12,6232529,115371,0.00612706,0.00769215
2021-07-11,6439390,78922,0.00629669,0.00612706
2021-07-10,6239980,234548,0.00613842,0.00629669
2021-07-09,6795753,382020,0.00677960,0.00613842
2021-07-08,6709734,224971,0.00667984,0.00677960
2021-07-07,5695880,191497,0.00563525,0.00667984
2021-07-06,5449514,328669,0.00538616,0.00563525
2021-07-05,5734355,189876,0.00565093,0.00538616
2021-07-04,5504341,216844,0.00544754,0.00565093
2021-07-03,5629779,196735,0.00556433,0.00544754
2021-07-02,5915226,307450,0.00584107,0.00556433
2021-07-01,6547273,396954,0.00653040,0.00584107
2021-06-30,6995514,334709,0.00688585,0.00653040
2021-06-29,6898124,276180,0.00683051,0.00688585
2021-06-28,6741041,221579,0.00665083,0.00683051
2021-06-27,6654533,164878,0.00663472,0.00665083
2021-06-26,6747876,325182,0.00666334,0.00663472
2021-06-25,7353701,316924,0.00727406,0.00666334
2021-06-24,7097065,342742,0.00700437,0.00727406
2021-06-23,6933343,496729,0.00683357,0.00700437
2021-06-22,7461920,628165,0.00748499,0.00683357
2021-06-21,8992333,501782,0.00891312,0.00748499
2021-06-20,9445067,248310,0.00928744,0.00891312
2021-06-19,10143670,964573,0.01002219,0.00928744
2021-06-18,10431886,886866,0.01031518,0.01002219
2021-06-17,10108880,629087,0.01000132,0.01031518
2021-06-16,11339047,1137128,0.01159770,0.01000132
2021-06-15,10909455,330337,0.01078757,0.01159770
2021-06-14,11189339,580558,0.01108862,0.01078757
2021-06-13,10708453,382424,0.01053307,0.01108862
2021-06-12,11480024,510001,0.01140482,0.01053307
2021-06-11,11461644,675868,0.01129947,0.01140482
2021-06-10,12708273,639358,0.01253563,0.01129947
2021-06-09,12246949,843248,0.01209953,0.01253563
2021-06-08,13171282,639196,0.01291559,0.01209953
2021-06-07,15085580,405094,0.01491706,0.01291559
2021-06-06,14564884,475298,0.01449592,0.01491706
2021-06-05,15761807,1008643,0.01556441,0.01449592
2021-06-04,18057916,1679573,0.01794442,0.01556441
2021-06-03,17526381,2014737,0.01701115,0.01794442
2021-06-02,13598782,372912,0.01337766,0.01701115
2021-06-01,15536063,1001765,0.01494387,0.01337766
2021-05-31,13776889,773635,0.01359370,0.01494387
2021-05-30,11585786,414129,0.01137406,0.01359370
2021-05-29,13098829,630035,0.01295591,0.01137406
2021-05-28,17391520,447653,0.01714392,0.01295591
2021-05-27,18440793,793605,0.01818521,0.01714392
2021-05-26,18816228,1465536,0.01865138,0.01818521
2021-05-25,19579741,2890648,0.01925355,0.01865138
2021-05-24,11122236,921888,0.01102845,0.01925355
2021-05-23,13969512,437997,0.01380604,0.01102845
2021-05-22,14221586,1169995,0.01405939,0.01380604
2021-05-21,17181087,1090020,0.01705006,0.01405939
2021-05-20,16857108,1322644,0.01670704,0.01705006
2021-05-19,20294015,867121,0.02015436,0.01670704
2021-05-18,20392416,1461489,0.02014904,0.02015436
2021-05-17,22381187,1958471,0.02240301,0.02014904
2021-05-16,23522843,1384295,0.02316629,0.02240301
2021-05-15,25858487,1566813,0.02553944,0.02316629
2021-05-14,22878767,1099288,0.02275319,0.02553944
