date,mktcap,vol,open_price,close_price
2021-10-04,93373189,2848822,0.165840,0.176603
2021-10-03,78530080,1473196,0.140219,0.165840
2021-10-02,76446598,910920,0.136030,0.140219
2021-10-01,76162606,1245179,0.135409,0.136030
2021-09-30,66498101,733757,0.118755,0.135409
2021-09-29,67986504,1239069,0.120855,0.118755
2021-09-28,76251693,1291089,0.136320,0.120855
2021-09-27,77635414,538116,0.138263,0.136320
2021-09-26,73133430,598831,0.130589,0.138263
2021-09-25,80583332,1841890,0.142182,0.130589
2021-09-24,83843181,1286253,0.149228,0.142182
2021-09-23,80686972,1825744,0.140542,0.149228
2021-09-22,66901094,1738356,0.118860,0.140542
2021-09-21,66531931,3587848,0.115842,0.118860
2021-09-20,77678560,2691343,0.138275,0.115842
2021-09-19,90083919,5828939,0.161076,0.138275
2021-09-18,70306724,3860918,0.125130,0.161076
2021-09-17,73847759,4223232,0.132312,0.125130
2021-09-16,57385426,2593700,0.102563,0.132312
2021-09-15,46156366,1739930,0.081817,0.102563
2021-09-14,36688010,706225,0.065947,0.081817
2021-09-13,36548247,1024943,0.064852,0.065947
2021-09-12,31568764,266646,0.056180,0.064852
2021-09-11,29062603,191919,0.051726,0.056180
2021-09-10,34128492,438320,0.060696,0.051726
2021-09-09,30794607,309353,0.054773,0.060696
2021-09-08,34140466,297305,0.060527,0.054773
2021-09-07,36744454,381000,0.065380,0.060527
2021-09-06,36873462,265420,0.065684,0.065380
2021-09-05,33064571,349442,0.058849,0.065684
2021-09-04,33220849,508347,0.059427,0.058849
2021-09-03,35829627,351159,0.063778,0.059427
2021-09-02,36374645,528595,0.064835,0.063778
2021-09-01,42697685,349747,0.076004,0.064835
2021-08-31,36813294,380372,0.065335,0.076004
2021-08-30,35336543,361686,0.062771,0.065335
2021-08-29,35434440,1011689,0.063132,0.062771
2021-08-28,30578609,693312,0.053585,0.063132
2021-08-27,28583774,589828,0.050999,0.053585
2021-08-26,26211126,562785,0.04650489,0.050999
2021-08-25,25885419,451145,0.04592867,0.04650489
2021-08-24,30426197,645403,0.054108,0.04592867
2021-08-23,28404190,811275,0.051098,0.054108
2021-08-22,23571846,1486946,0.04186117,0.051098
2021-08-21,21514364,1180840,0.03813714,0.04186117
2021-08-20,21464963,2539249,0.03868051,0.03813714
2021-08-19,18506257,1246514,0.03256185,0.03868051
2021-08-18,26733944,213103,0.04736636,0.03256185
2021-08-17,28487259,523999,0.04974302,0.04736636
2021-08-16,28383297,520461,0.050473,0.04974302
2021-08-15,31333172,696344,0.055707,0.050473
2021-08-14,32358191,553412,0.058107,0.055707
2021-08-13,31214574,250845,0.055567,0.058107
2021-08-12,32202591,675119,0.057473,0.055567
2021-08-11,33392873,664478,0.060110,0.057473
2021-08-10,32222258,1116895,0.060441,0.060110
2021-08-09,30180502,1153362,0.053580,0.060441
2021-08-08,35634793,33353,0.085847,0.053580
2021-08-07,31658037,2006473,0.056351,0.085847
2021-08-06,32876993,1543783,0.058957,0.056351
2021-08-05,32615864,1060311,0.057977,0.058957
2021-08-04,29738320,963298,0.052926,0.057977
2021-08-03,26874068,958396,0.04778516,0.052926
2021-08-02,30557482,1074548,0.054511,0.04778516
2021-08-01,21218361,766128,0.03775313,0.054511
2021-07-31,23365848,933995,0.04161428,0.03775313
2021-07-30,23962749,619317,0.04263426,0.04161428
2021-07-29,21691079,273356,0.03851619,0.04263426
2021-07-28,20033812,304107,0.03586677,0.03851619
2021-07-27,18512922,336090,0.03279680,0.03586677
2021-07-26,16224335,156530,0.02897878,0.03279680
2021-07-25,16480436,264778,0.02937912,0.02897878
2021-07-24,14602328,130309,0.02604242,0.02937912
2021-07-23,14836663,185602,0.02640641,0.02604242
2021-07-22,15048467,343505,0.02687474,0.02640641
2021-07-21,13396657,325601,0.02383211,0.02687474
2021-07-20,14189509,525933,0.02526690,0.02383211
2021-07-19,12470798,226650,0.02226410,0.02526690
2021-07-18,11874592,187046,0.02109407,0.02226410
2021-07-17,11942607,279991,0.02125842,0.02109407
2021-07-16,11974242,214163,0.02129660,0.02125842
2021-07-15,12378700,224520,0.02218190,0.02129660
2021-07-14,12555133,384314,0.02234400,0.02218190
2021-07-13,13680686,294065,0.02437625,0.02234400
2021-07-12,15033118,241882,0.02677284,0.02437625
2021-07-11,14597993,269749,0.02600714,0.02677284
2021-07-10,13972783,168224,0.02489227,0.02600714
2021-07-09,14221664,288896,0.02531667,0.02489227
2021-07-08,14584190,358621,0.02556446,0.02531667
2021-07-07,13769456,454795,0.02450668,0.02556446
2021-07-06,13231584,532724,0.02350101,0.02450668
2021-07-05,15287401,492271,0.02721821,0.02350101
2021-07-04,14072379,570851,0.02517340,0.02721821
2021-07-03,13411432,407799,0.02402013,0.02517340
2021-07-02,12176769,463609,0.02171007,0.02402013
2021-07-01,13854977,582995,0.02502023,0.02171007
2021-06-30,14017687,536996,0.02510786,0.02502023
2021-06-29,12550637,440739,0.02238080,0.02510786
2021-06-28,13189215,446891,0.02347144,0.02238080
2021-06-27,11419430,407600,0.02033388,0.02347144
2021-06-26,13028119,447205,0.02321120,0.02033388
2021-06-25,14382076,424241,0.02566370,0.02321120
2021-06-24,14980981,870624,0.02677147,0.02566370
2021-06-23,11920402,759838,0.02190506,0.02677147
2021-06-22,11672802,708901,0.02068951,0.02190506
2021-06-21,14899984,539961,0.02652269,0.02068951
2021-06-20,15904529,809434,0.02831844,0.02652269
2021-06-19,14583877,724082,0.02594979,0.02831844
2021-06-18,16567638,688572,0.02960762,0.02594979
2021-06-17,16165014,679201,0.02675072,0.02960762
2021-06-16,13867941,512518,0.02466366,0.02675072
2021-06-15,13811967,591607,0.02451097,0.02466366
2021-06-14,13842451,538093,0.02477324,0.02451097
2021-06-13,14737128,729823,0.02610586,0.02477324
2021-06-12,11951043,496985,0.02133403,0.02610586
2021-06-11,14624033,902797,0.02506413,0.02133403
2021-06-10,13721954,551065,0.02441513,0.02506413
2021-06-09,11279335,632966,0.02001353,0.02441513
2021-06-08,12222525,538270,0.02058553,0.02001353
2021-06-07,11627296,434877,0.02069134,0.02058553
2021-06-06,12434603,554364,0.02214573,0.02069134
2021-06-05,13755021,464169,0.02446610,0.02214573
2021-06-04,14576555,496822,0.02596100,0.02446610
2021-06-03,13739420,585164,0.02452465,0.02596100
2021-06-02,13983506,763765,0.02705890,0.02452465
2021-06-01,14734793,742419,0.02629810,0.02705890
2021-05-31,14338369,469607,0.02533404,0.02629810
2021-05-30,14131784,458501,0.02536608,0.02533404
2021-05-29,14871115,861043,0.02638672,0.02536608
2021-05-28,17681102,974012,0.03146876,0.02638672
2021-05-27,18024973,1055506,0.03185676,0.03146876
2021-05-26,18338108,798808,0.03243574,0.03185676
2021-05-25,30108076,549869,0.053538,0.03243574
2021-05-24,21549526,2290632,0.03822037,0.053538
2021-05-23,15690216,1277987,0.02741858,0.03822037
2021-05-22,19297946,1064275,0.03436222,0.02741858
2021-05-21,21943052,969407,0.03865593,0.03436222
2021-05-20,21136241,991242,0.03664012,0.03865593
2021-05-19,25534143,924810,0.04492982,0.03664012
2021-05-18,28967607,176140,0.051147,0.04492982
2021-05-17,31341592,162014,0.055465,0.051147
2021-05-16,34079303,1141301,0.060617,0.055465
2021-05-15,33604305,873824,0.059517,0.060617
2021-05-14,31017009,977603,0.056194,0.059517
2021-05-13,33293629,995587,0.059235,0.056194
2021-05-12,33717457,1072224,0.061624,0.059235
2021-05-11,35627447,1120835,0.063896,0.061624
2021-05-10,35230208,1233803,0.062562,0.063896
2021-05-09,40316652,1517297,0.072741,0.062562
2021-05-08,33879663,1417655,0.059426,0.072741
2021-05-07,36532160,1423153,0.065506,0.059426
2021-05-06,42116728,1904233,0.074871,0.065506
2021-05-05,35656395,1497703,0.063659,0.074871
2021-05-04,36339165,1394975,0.064680,0.063659
2021-05-03,34737534,1504504,0.061608,0.064680
2021-05-02,37163743,1656626,0.066171,0.061608
2021-05-01,40479436,1520874,0.063137,0.066171
2021-04-30,46334357,2458415,0.073204,0.063137
2021-04-29,40439685,2665192,0.077222,0.073204
2021-04-28,43214468,1989547,0.076901,0.077222
2021-04-27,41127074,1504202,0.073065,0.076901
2021-04-26,37437658,1881351,0.066474,0.073065
2021-04-25,38876278,1477385,0.068239,0.066474
2021-04-24,43702042,1878186,0.077723,0.068239
2021-04-23,49384833,2237862,0.087574,0.077723
2021-04-22,51471174,3837429,0.091728,0.087574
2021-04-21,48376362,2780354,0.085860,0.091728
2021-04-20,44723118,3051530,0.079609,0.085860
2021-04-19,38833239,2832450,0.069144,0.079609
2021-04-18,37425716,1393413,0.066323,0.069144
2021-04-17,39251756,1455103,0.069868,0.066323
2021-04-16,55445369,2607026,0.098721,0.069868
2021-04-15,40079605,1732683,0.071266,0.098721
2021-04-14,39726102,2617656,0.070737,0.071266
2021-04-13,43702336,3101272,0.085180,0.070737
2021-04-12,43808730,1392725,0.077991,0.085180
2021-04-11,41461044,1481069,0.073910,0.077991
2021-04-10,43972099,1947028,0.079006,0.073910
2021-04-09,53120758,2267633,0.085987,0.079006
2021-04-08,41877152,1924489,0.073990,0.085987
2021-04-07,43829663,1796091,0.077960,0.073990
2021-04-06,41332595,1982722,0.072625,0.077960
2021-04-05,48971293,2662299,0.086849,0.072625
2021-04-04,50059144,2919834,0.088942,0.086849
2021-04-03,44304680,2443044,0.078952,0.088942
2021-04-02,43499647,2725419,0.077830,0.078952
2021-04-01,49309163,4094720,0.086835,0.077830
2021-03-31,45329347,2701537,0.079266,0.086835
2021-03-30,50040080,3162916,0.089329,0.079266
2021-03-29,58107292,3830314,0.103555,0.089329
2021-03-28,57172842,3538212,0.101266,0.103555
2021-03-27,67606955,3485517,0.120015,0.101266
2021-03-26,52487510,4220430,0.093799,0.120015
2021-03-25,59722496,4593061,0.106309,0.093799
2021-03-24,71580343,5544701,0.126929,0.106309
2021-03-23,75211788,8126531,0.134715,0.126929
2021-03-22,65042603,5125039,0.117066,0.134715
