date,mktcap,vol,open_price,close_price
2021-10-04,3622356,124075,0.00797065,0.00782707
2021-10-03,3621302,107002,0.00797612,0.00797065
2021-10-02,3690760,139787,0.00808541,0.00797612
2021-10-01,3315137,144065,0.00722879,0.00808541
2021-09-30,3275459,249437,0.00723538,0.00722879
2021-09-29,3464729,199488,0.00759616,0.00723538
2021-09-28,3447489,415563,0.00758832,0.00759616
2021-09-27,3598906,216236,0.00792475,0.00758832
2021-09-26,3625465,217807,0.00793894,0.00792475
2021-09-25,3535079,241880,0.00772730,0.00793894
2021-09-24,3788366,272280,0.00836668,0.00772730
2021-09-23,3800977,362797,0.00837150,0.00836668
2021-09-22,3504391,256262,0.00771060,0.00837150
2021-09-21,3512855,453223,0.00778888,0.00771060
2021-09-20,4035070,539579,0.00888165,0.00778888
2021-09-19,3764396,404749,0.00829435,0.00888165
2021-09-18,3347984,491174,0.00740211,0.00829435
2021-09-17,3492004,378878,0.00765599,0.00740211
2021-09-16,3711117,1251881,0.00778029,0.00765599
2021-09-15,2871495,280943,0.00649102,0.00778029
2021-09-14,2793702,1865044,0.00614946,0.00649102
2021-09-13,3679716,1362119,0.00803696,0.00614946
2021-09-12,1992701,78735,0.00436449,0.00803696
2021-09-11,2043161,89100,0.00452899,0.00436449
2021-09-10,2005877,78484,0.00440944,0.00452899
2021-09-09,1995928,83137,0.00430334,0.00440944
2021-09-08,1922303,90565,0.00424361,0.00430334
2021-09-07,2229717,91258,0.00495839,0.00424361
2021-09-06,2307798,90920,0.00505820,0.00495839
2021-09-05,2311722,89837,0.00511425,0.00505820
2021-09-04,2158796,91233,0.00479794,0.00511425
2021-09-03,2107853,100269,0.00461767,0.00479794
2021-09-02,1970157,79295,0.00434009,0.00461767
2021-09-01,1931839,69668,0.00427962,0.00434009
2021-08-31,2081308,106744,0.00458111,0.00427962
2021-08-30,2044475,216609,0.00450286,0.00458111
2021-08-29,2048191,1017507,0.00451316,0.00450286
2021-08-28,2041566,1012763,0.00456040,0.00451316
2021-08-27,1998347,1009467,0.00440058,0.00456040
2021-08-26,2068320,1012325,0.00455300,0.00440058
2021-08-25,2003969,943700,0.00439759,0.00455300
2021-08-24,2156844,1012707,0.00474537,0.00439759
2021-08-23,2126867,1015322,0.00468471,0.00474537
2021-08-22,2088368,1049752,0.00459565,0.00468471
2021-08-21,2268345,1072823,0.00499458,0.00459565
2021-08-20,2108128,196225,0.00467393,0.00499458
2021-08-19,2015717,113477,0.00444020,0.00467393
2021-08-18,2145529,509393,0.00472260,0.00444020
2021-08-17,2263065,1033849,0.00496798,0.00472260
2021-08-16,2254574,1068398,0.00498870,0.00496798
2021-08-15,2251987,1037792,0.00494944,0.00498870
2021-08-14,2281691,1122634,0.00502245,0.00494944
2021-08-13,2040482,355841,0.00450664,0.00502245
2021-08-12,2192932,971261,0.00482694,0.00450664
2021-08-11,2188844,999596,0.00481960,0.00482694
2021-08-10,2214844,1587899,0.00493129,0.00481960
2021-08-09,2129826,2208885,0.00468610,0.00493129
2021-08-08,2252609,2245020,0.00496164,0.00468610
2021-08-07,2058348,2269715,0.00455458,0.00496164
2021-08-06,2161570,1977249,0.00476529,0.00455458
2021-08-05,2049860,2186326,0.00451107,0.00476529
2021-08-04,1975348,2068673,0.00434414,0.00451107
2021-08-03,1851363,1994155,0.00407036,0.00434414
2021-08-02,1800874,2289884,0.00393057,0.00407036
2021-08-01,1506409,1849423,0.00331450,0.00393057
2021-07-31,1464924,1823581,0.00323032,0.00331450
2021-07-30,1396827,1811159,0.00307461,0.00323032
2021-07-29,1351270,754594,0.00302064,0.00307461
2021-07-28,1451975,280197,0.00320439,0.00302064
