date,mktcap,vol,open_price,close_price
2021-10-04,134652502,613476,0.01101325,0.00946053
2021-10-03,148016592,335160,0.01204729,0.01101325
2021-10-02,137988680,844126,0.01122043,0.01204729
2021-10-01,115930569,1039644,0.00942404,0.01122043
2021-09-30,103118955,1121839,0.00834756,0.00942404
2021-09-29,115287746,725056,0.00905003,0.00834756
2021-09-28,112989407,2016456,0.00917184,0.00905003
2021-09-27,133940892,816487,0.01090720,0.00917184
2021-09-26,145485890,841486,0.01195787,0.01090720
2021-09-25,148512504,958656,0.01227233,0.01195787
2021-09-24,170766950,822834,0.01391710,0.01227233
2021-09-23,174558888,1633590,0.01418549,0.01391710
2021-09-22,152747780,1817997,0.01238116,0.01418549
2021-09-21,146172069,2420375,0.01191379,0.01238116
2021-09-20,177522563,1103569,0.01442617,0.01191379
2021-09-19,202569115,2826988,0.01644642,0.01442617
2021-09-18,196368973,2086518,0.01596670,0.01644642
2021-09-17,182469669,5408453,0.01482150,0.01596670
2021-09-16,210611599,6052002,0.01711631,0.01482150
2021-09-15,238101287,3299668,0.01934982,0.01711631
2021-09-14,221661007,8570895,0.01798109,0.01934982
2021-09-13,185986719,1174189,0.01499964,0.01798109
2021-09-12,143557165,1053140,0.01194162,0.01499964
2021-09-11,156399486,2248403,0.01216389,0.01194162
2021-09-10,150831909,1672167,0.01217987,0.01216389
2021-09-09,117477099,538748,0.00949212,0.01217987
2021-09-08,105319171,964198,0.00855920,0.00949212
2021-09-07,119570113,1173447,0.00963061,0.00855920
2021-09-06,106743642,895968,0.00868233,0.00963061
2021-09-05,97067881,904069,0.00790057,0.00868233
2021-09-04,89914540,475891,0.00732055,0.00790057
2021-09-03,75978373,133398,0.00617489,0.00732055
2021-09-02,76366573,253849,0.00621069,0.00617489
2021-09-01,75075990,77805,0.00612608,0.00621069
2021-08-31,71716307,335675,0.00580579,0.00612608
2021-08-30,65915416,610930,0.00539922,0.00580579
2021-08-29,76295123,3313637,0.00620301,0.00539922
2021-08-28,72285881,2587573,0.00590012,0.00620301
2021-08-27,67054065,2492932,0.00545091,0.00590012
2021-08-26,75408119,2641106,0.00612621,0.00545091
2021-08-25,69200376,2965092,0.00609246,0.00612621
2021-08-24,82279709,3410768,0.00663479,0.00609246
2021-08-23,82128839,2997425,0.00666536,0.00663479
2021-08-22,80250271,3967118,0.00651626,0.00666536
2021-08-21,93010308,4072765,0.00753254,0.00651626
2021-08-20,81919076,3826189,0.00677807,0.00753254
2021-08-19,81356957,3365436,0.00661138,0.00677807
2021-08-18,69140011,1508863,0.00562282,0.00661138
2021-08-17,73544512,2904537,0.00589118,0.00562282
2021-08-16,67423952,3047050,0.00559419,0.00589118
2021-08-15,57762284,2017355,0.00468852,0.00559419
2021-08-14,55757290,2024512,0.00456658,0.00468852
2021-08-13,49907664,891733,0.00409388,0.00456658
2021-08-12,52699306,2230424,0.00426697,0.00409388
2021-08-11,60024467,2319824,0.00494411,0.00426697
2021-08-10,54190803,3671066,0.00443781,0.00494411
2021-08-09,58193891,4852333,0.00467284,0.00443781
2021-08-08,65505487,5671613,0.00532453,0.00467284
2021-08-07,65462760,5635126,0.00532067,0.00532453
2021-08-06,64030715,5397342,0.00540943,0.00532067
2021-08-05,60663328,5398536,0.00488238,0.00540943
2021-08-04,52166949,4146943,0.00417465,0.00488238
2021-08-03,57012118,5348942,0.00462794,0.00417465
2021-08-02,51628937,4241943,0.00419931,0.00462794
2021-08-01,48579703,3885773,0.00394777,0.00419931
2021-07-31,43767828,4287100,0.00355691,0.00394777
2021-07-30,44595603,4336658,0.00361916,0.00355691
2021-07-29,36638301,1353056,0.00300004,0.00361916
2021-07-28,31700037,602575,0.00258532,0.00300004
2021-07-27,29293393,481465,0.00236076,0.00258532
2021-07-26,26721235,499284,0.00218411,0.00236076
2021-07-25,25977171,395791,0.00211243,0.00218411
2021-07-24,25309101,358769,0.00205773,0.00211243
2021-07-23,24039920,375694,0.00195518,0.00205773
2021-07-22,24036318,402272,0.00195813,0.00195518
2021-07-21,21359442,381195,0.00173575,0.00195813
2021-07-20,20489375,349160,0.00165793,0.00173575
2021-07-19,22131909,516260,0.00179908,0.00165793
2021-07-18,19494787,496553,0.00158422,0.00179908
2021-07-17,20454531,382907,0.00165615,0.00158422
2021-07-16,20429575,464294,0.00164316,0.00165615
2021-07-15,22706108,493376,0.00184715,0.00164316
2021-07-14,22901959,330363,0.00185952,0.00184715
2021-07-13,24721852,389958,0.00200377,0.00185952
