date,mktcap,vol,open_price,close_price
2021-10-04,2046559,382205,0.00302888,0.00302991
2021-10-03,2141700,400524,0.00318060,0.00302888
2021-10-02,2153717,906696,0.00318038,0.00318060
2021-10-01,2159378,1125921,0.00319798,0.00318038
2021-09-30,1853192,754215,0.00274511,0.00319798
2021-09-29,1857055,799842,0.00274742,0.00274511
2021-09-28,1855694,1535345,0.00281770,0.00274742
2021-09-27,1947364,1494941,0.00288631,0.00281770
2021-09-26,2406059,3005775,0.00356214,0.00288631
2021-09-25,2620000,1586571,0.00372452,0.00356214
2021-09-24,2011971,1056649,0.00298056,0.00372452
2021-09-23,1922686,956208,0.00283028,0.00298056
2021-09-22,1799131,1133509,0.00269245,0.00283028
2021-09-21,1895809,1375615,0.00281638,0.00269245
2021-09-20,2173698,442510,0.00320699,0.00281638
2021-09-19,2211774,410967,0.00328435,0.00320699
2021-09-18,2200185,492543,0.00326123,0.00328435
2021-09-17,2230870,728348,0.00329450,0.00326123
2021-09-16,2140163,321878,0.00317007,0.00329450
2021-09-15,2133027,538962,0.00316160,0.00317007
2021-09-14,2130451,736449,0.00314582,0.00316160
2021-09-13,2262703,641165,0.00334747,0.00314582
2021-09-12,2165711,323822,0.00320846,0.00334747
2021-09-11,2164506,302345,0.00320668,0.00320846
2021-09-10,2313393,468576,0.00341879,0.00320668
2021-09-09,2429287,478689,0.00359700,0.00341879
2021-09-08,2446949,857523,0.00361913,0.00359700
2021-09-07,2860421,566611,0.00415443,0.00361913
2021-09-06,2776275,463608,0.00415018,0.00415443
2021-09-05,2730816,420604,0.00404862,0.00415018
2021-09-04,2798931,838886,0.00415372,0.00404862
2021-09-03,3107786,779695,0.00460628,0.00415372
2021-09-02,2872286,463817,0.00426388,0.00460628
2021-09-01,2845895,627008,0.00421935,0.00426388
2021-08-31,2773711,1166037,0.00409541,0.00421935
2021-08-30,2781464,1107464,0.00413314,0.00409541
2021-08-29,2589558,164497,0.00384373,0.00413314
2021-08-28,2597355,217691,0.00383580,0.00384373
2021-08-27,2515975,291315,0.00373529,0.00383580
2021-08-26,2696911,480646,0.00399437,0.00373529
2021-08-25,2509631,376443,0.00371219,0.00399437
2021-08-24,2558435,373364,0.00385698,0.00371219
2021-08-23,2562288,508722,0.00377067,0.00385698
2021-08-22,2682026,363713,0.00388957,0.00377067
2021-08-21,2746225,335679,0.00399862,0.00388957
2021-08-20,2449486,335364,0.00363868,0.00399862
2021-08-19,2544732,238484,0.00376822,0.00363868
2021-08-18,2453566,267964,0.00360389,0.00376822
2021-08-17,2667001,272324,0.00390915,0.00360389
2021-08-16,2754286,317290,0.00416020,0.00390915
2021-08-15,2647187,355878,0.00403683,0.00416020
2021-08-14,2813108,353031,0.00415164,0.00403683
2021-08-13,2576122,335264,0.00382367,0.00415164
2021-08-12,2810532,722504,0.00416269,0.00382367
2021-08-11,2815004,698118,0.00420412,0.00416269
2021-08-10,3508806,939871,0.00518490,0.00420412
2021-08-09,3287902,2367555,0.00487489,0.00518490
2021-08-08,4041530,9652999,0.00595936,0.00487489
2021-08-07,2318155,1088243,0.00343430,0.00595936
2021-08-06,1967460,445097,0.00290344,0.00343430
2021-08-05,1858160,516856,0.00275264,0.00290344
2021-08-04,1721338,197886,0.00255077,0.00275264
2021-08-03,1707662,202247,0.00252425,0.00255077
2021-08-02,1692064,205156,0.00251216,0.00252425
2021-08-01,1800390,192187,0.00266409,0.00251216
2021-07-31,1811357,225799,0.00267767,0.00266409
2021-07-30,1868176,245702,0.00275210,0.00267767
2021-07-29,1758598,112047,0.00260060,0.00275210
2021-07-28,1755282,120466,0.00260042,0.00260060
2021-07-27,1663555,163746,0.00246164,0.00260042
2021-07-26,1643273,175647,0.00244108,0.00246164
2021-07-25,1618086,153259,0.00240204,0.00244108
2021-07-24,1605423,170426,0.00238765,0.00240204
2021-07-23,1689393,130480,0.00250775,0.00238765
2021-07-22,1692448,185923,0.00251637,0.00250775
2021-07-21,1610811,177608,0.00238561,0.00251637
2021-07-20,1666219,142225,0.00246167,0.00238561
2021-07-19,1739865,159392,0.00257243,0.00246167
2021-07-18,1719805,131710,0.00254786,0.00257243
2021-07-17,1758276,135374,0.00260996,0.00254786
2021-07-16,1819401,166717,0.00269541,0.00260996
2021-07-15,2002770,179132,0.00296913,0.00269541
2021-07-14,1962203,178383,0.00290943,0.00296913
2021-07-13,2005271,212086,0.00295613,0.00290943
2021-07-12,2036833,207429,0.00303973,0.00295613
2021-07-11,2108731,180084,0.00312405,0.00303973
2021-07-10,2211873,475656,0.00328716,0.00312405
2021-07-09,1919155,208059,0.00284054,0.00328716
2021-07-08,1891948,194496,0.00279756,0.00284054
2021-07-07,1928028,181985,0.00286384,0.00279756
2021-07-06,1951188,160342,0.00289283,0.00286384
2021-07-05,2098856,237417,0.00310942,0.00289283
2021-07-04,2211945,185598,0.00327775,0.00310942
2021-07-03,1897507,149245,0.00282351,0.00327775
2021-07-02,1939268,195958,0.00286567,0.00282351
2021-07-01,1813855,159551,0.00268691,0.00286567
2021-06-30,1905419,157431,0.00281384,0.00268691
2021-06-29,1814847,155694,0.00269319,0.00281384
2021-06-28,1750433,174017,0.00259993,0.00269319
2021-06-27,1712675,165126,0.00254975,0.00259993
2021-06-26,1707657,192867,0.00255173,0.00254975
2021-06-25,1814612,251679,0.00268645,0.00255173
2021-06-24,1921289,228045,0.00287072,0.00268645
2021-06-23,1805823,234267,0.00270702,0.00287072
2021-06-22,1787887,229800,0.00263482,0.00270702
2021-06-21,2489676,220471,0.00368480,0.00263482
2021-06-20,2310878,210418,0.00341377,0.00368480
2021-06-19,2391796,180307,0.00354112,0.00341377
2021-06-18,2487561,190473,0.00367958,0.00354112
2021-06-17,2619762,187607,0.00388380,0.00367958
2021-06-16,2652798,200530,0.00393072,0.00388380
2021-06-15,2650340,230742,0.00393448,0.00393072
2021-06-14,2612200,213127,0.00388359,0.00393448
2021-06-13,2397971,211032,0.00353442,0.00388359
2021-06-12,2447200,217140,0.00361917,0.00353442
2021-06-11,2436895,212357,0.00360648,0.00361917
2021-06-10,2488798,244520,0.00368711,0.00360648
2021-06-09,2478568,285576,0.00367954,0.00368711
2021-06-08,2434439,203693,0.00360371,0.00367954
2021-06-07,2700400,230289,0.00401474,0.00360371
2021-06-06,2730247,239216,0.00405336,0.00401474
2021-06-05,2801983,242704,0.00414647,0.00405336
2021-06-04,3006624,299619,0.00444877,0.00414647
2021-06-03,3031474,325599,0.00448432,0.00444877
2021-06-02,2805885,374439,0.00416524,0.00448432
2021-06-01,2972997,421668,0.00440852,0.00416524
2021-05-31,2817164,412942,0.00417963,0.00440852
2021-05-30,2706719,474693,0.00402363,0.00417963
2021-05-29,3104575,703904,0.00461091,0.00402363
2021-05-28,2882385,708935,0.00433692,0.00461091
2021-05-27,2586786,525065,0.00387070,0.00433692
2021-05-26,2823836,584199,0.00414376,0.00387070
2021-05-25,2321784,458109,0.00357881,0.00414376
2021-05-24,1980834,441399,0.00295798,0.00357881
2021-05-23,2434042,477762,0.00361437,0.00295798
2021-05-22,2317634,703135,0.00345129,0.00361437
2021-05-21,2730664,1147162,0.00412785,0.00345129
2021-05-20,2937101,882185,0.00438506,0.00412785
2021-05-19,4152823,737499,0.00618511,0.00438506
2021-05-18,4061690,969468,0.00591627,0.00618511
2021-05-17,4399977,1468646,0.00653255,0.00591627
2021-05-16,3904259,906082,0.00581332,0.00653255
2021-05-15,4303505,863011,0.00638967,0.00581332
2021-05-14,3712647,888358,0.00561243,0.00638967
2021-05-13,4227259,858940,0.00623878,0.00561243
2021-05-12,4664344,872149,0.00688261,0.00623878
2021-05-11,4844042,1280289,0.00709682,0.00688261
2021-05-10,5017847,813929,0.00743385,0.00709682
2021-05-09,5183262,756647,0.00773033,0.00743385
2021-05-08,5548810,671525,0.00829553,0.00773033
2021-05-07,5439237,742045,0.00806335,0.00829553
2021-05-06,5330754,774540,0.00787077,0.00806335
2021-05-05,5245893,659708,0.00775542,0.00787077
2021-05-04,5931659,696572,0.00871505,0.00775542
2021-05-03,5799725,576890,0.00857660,0.00871505
2021-05-02,5655287,603289,0.00840942,0.00857660
2021-05-01,6120339,673560,0.00909552,0.00840942
2021-04-30,5460904,591109,0.00818846,0.00909552
2021-04-29,5101551,388707,0.00754582,0.00818846
2021-04-28,5025962,569499,0.00744991,0.00754582
2021-04-27,5021227,574859,0.00744870,0.00744991
2021-04-26,4935675,735817,0.00739953,0.00744870
2021-04-25,4684743,590143,0.00692416,0.00739953
2021-04-24,4766806,1130678,0.00740424,0.00692416
2021-04-23,5178190,1002388,0.00776711,0.00740424
2021-04-22,5461407,873371,0.00809350,0.00776711
2021-04-21,5190246,1004850,0.00767464,0.00809350
2021-04-20,4667961,756246,0.00699391,0.00767464
2021-04-19,5639322,1124224,0.00835455,0.00699391
2021-04-18,6356208,1106784,0.00937528,0.00835455
2021-04-17,6887163,1424695,0.01024978,0.00937528
2021-04-16,6393256,831662,0.00948631,0.01024978
2021-04-15,6419029,943040,0.00955221,0.00948631
2021-04-14,6517248,1397181,0.00970851,0.00955221
2021-04-13,7215109,1100258,0.01056319,0.00970851
2021-04-12,7027215,1131648,0.01049659,0.01056319
2021-04-11,7442492,1067502,0.01100597,0.01049659
2021-04-10,7880430,1235833,0.01167705,0.01100597
2021-04-09,7707654,1441364,0.01131883,0.01167705
2021-04-08,8187881,2494835,0.01217970,0.01131883
2021-04-07,8801421,2091998,0.01301556,0.01217970
2021-04-06,7540233,1549415,0.01114033,0.01301556
2021-04-05,7285331,1541999,0.01077754,0.01114033
2021-04-04,7039298,1519485,0.01028948,0.01077754
2021-04-03,7283607,1449660,0.01082312,0.01028948
2021-04-02,6503774,1329943,0.00968195,0.01082312
2021-04-01,6741758,1981387,0.00999866,0.00968195
2021-03-31,7496681,2089088,0.01118990,0.00999866
2021-03-30,7664144,2853024,0.01122210,0.01118990
2021-03-29,8041486,4766342,0.01226284,0.01122210
2021-03-28,7019359,4315276,0.01050633,0.01226284
2021-03-27,4877748,1440286,0.00724706,0.01050633
2021-03-26,3996511,992255,0.00594403,0.00724706
2021-03-25,4361407,936130,0.00643225,0.00594403
2021-03-24,4580696,1418833,0.00675947,0.00643225
2021-03-23,5099602,1518420,0.00709498,0.00675947
2021-03-22,5707244,3239925,0.00842123,0.00709498
2021-03-21,5042984,1940590,0.00748331,0.00842123
2021-03-20,4708175,1950266,0.00697695,0.00748331
2021-03-19,4466445,1145018,0.00667461,0.00697695
2021-03-18,5136096,1587341,0.00763188,0.00667461
2021-03-17,4422058,1594224,0.00656198,0.00763188
2021-03-16,3649807,915228,0.00538104,0.00656198
2021-03-15,3729974,1037092,0.00558473,0.00538104
2021-03-14,4415546,1923118,0.00642398,0.00558473
2021-03-13,3310066,1342820,0.00491027,0.00642398
2021-03-12,2881667,824070,0.00429270,0.00491027
2021-03-11,2686904,592429,0.00398359,0.00429270
2021-03-10,2646222,657962,0.00392033,0.00398359
2021-03-09,2761371,794575,0.00407303,0.00392033
2021-03-08,2662916,714208,0.00396103,0.00407303
2021-03-07,2827362,710623,0.00418868,0.00396103
2021-03-06,2904299,1419540,0.00434088,0.00418868
2021-03-05,3009869,1786835,0.00448842,0.00434088
2021-03-04,2750163,2005925,0.00413167,0.00448842
2021-03-03,2117613,691463,0.00311882,0.00413167
2021-03-02,2130355,762173,0.00315368,0.00311882
2021-03-01,2214259,1410265,0.00324452,0.00315368
2021-02-28,2233564,1119121,0.00334996,0.00324452
2021-02-27,2190338,1246903,0.00322777,0.00334996
2021-02-26,2107697,1544831,0.00310470,0.00322777
2021-02-25,2463159,1696550,0.00365518,0.00310470
2021-02-24,2240659,3237737,0.00334038,0.00365518
2021-02-23,3156873,1910676,0.00467742,0.00334038
2021-02-22,3754357,2209739,0.00555820,0.00467742
2021-02-21,3620572,6220339,0.00536381,0.00555820
2021-02-20,4579566,6857063,0.00730672,0.00536381
2021-02-19,3811734,8428384,0.00561436,0.00730672
2021-02-18,2766867,1778593,0.00415653,0.00561436
2021-02-17,3220353,2494499,0.00475586,0.00415653
2021-02-16,3150829,3150225,0.00457102,0.00475586
2021-02-15,3310039,2143775,0.00485400,0.00457102
2021-02-14,3278561,3409449,0.00477342,0.00485400
2021-02-13,2929412,2541386,0.00432352,0.00477342
2021-02-12,1967400,1449831,0.00294294,0.00432352
2021-02-11,1727549,1077331,0.00256007,0.00294294
2021-02-10,1725247,1031164,0.00255360,0.00256007
2021-02-09,1707407,989453,0.00255753,0.00255360
2021-02-08,1399759,596764,0.00207579,0.00255753
2021-02-07,1399390,622278,0.00209265,0.00207579
2021-02-06,1514541,850744,0.00228873,0.00209265
2021-02-05,1317439,624757,0.00194601,0.00228873
2021-02-04,1339990,529630,0.00198915,0.00194601
2021-02-03,1326381,579523,0.00196880,0.00198915
2021-02-02,1277242,706876,0.00189378,0.00196880
2021-02-01,1312829,847080,0.00194697,0.00189378
2021-01-31,1271333,722503,0.00189238,0.00194697
2021-01-30,1214033,1020231,0.00179861,0.00189238
2021-01-29,1202186,720964,0.00179088,0.00179861
2021-01-28,1218615,841791,0.00180559,0.00179088
2021-01-27,1334808,792070,0.00197875,0.00180559
2021-01-26,1370564,1998382,0.00204547,0.00197875
2021-01-25,1665614,2214425,0.00250207,0.00204547
2021-01-24,1726728,1545115,0.00294497,0.00250207
2021-01-23,1874874,1230795,0.00277062,0.00294497
2021-01-22,1993402,1484371,0.00291708,0.00277062
2021-01-21,2346843,2594437,0.00347421,0.00291708
2021-01-20,2076094,1506962,0.00307361,0.00347421
2021-01-19,1990458,1921856,0.00296646,0.00307361
2021-01-18,1599839,1452665,0.00237042,0.00296646
2021-01-17,1526090,722996,0.00225916,0.00237042
2021-01-16,1565594,920436,0.00231877,0.00225916
2021-01-15,1583750,641759,0.00234814,0.00231877
2021-01-14,1598471,729355,0.00238382,0.00234814
2021-01-13,1576908,1082075,0.00233646,0.00238382
2021-01-12,1725543,2056142,0.00256713,0.00233646
2021-01-11,1934045,1511092,0.00285043,0.00256713
2021-01-10,1865366,1028527,0.00274645,0.00285043
2021-01-09,1702707,1006916,0.00252972,0.00274645
2021-01-08,1816318,2093587,0.00276452,0.00252972
2021-01-07,1668245,889906,0.00246942,0.00276452
2021-01-06,1549202,763212,0.00230341,0.00246942
2021-01-05,1524147,987121,0.00225393,0.00230341
2021-01-04,1475922,725193,0.00215618,0.00225393
2021-01-03,1510260,472874,0.00221601,0.00215618
2021-01-02,1535537,578628,0.00227559,0.00221601
2021-01-01,1517521,652593,0.00224041,0.00227559
2020-12-31,1574089,622412,0.00233324,0.00224041
2020-12-30,1613272,619557,0.00241281,0.00233324
2020-12-29,1761249,468952,0.00255214,0.00241281
2020-12-28,1731481,598732,0.00256558,0.00255214
2020-12-27,1760151,814101,0.00261104,0.00256558
2020-12-26,1858424,831621,0.00276344,0.00261104
2020-12-25,1955310,1071951,0.00288379,0.00276344
2020-12-24,1823928,763312,0.00269634,0.00288379
2020-12-23,2409603,759422,0.00358759,0.00269634
2020-12-22,2348570,1173795,0.00347936,0.00358759
2020-12-21,2510288,1873404,0.00368902,0.00347936
2020-12-20,2307615,656613,0.00342063,0.00368902
2020-12-19,2325104,621778,0.00343890,0.00342063
2020-12-18,2408648,531690,0.00356797,0.00343890
2020-12-17,2442558,582226,0.00362121,0.00356797
2020-12-16,2504262,565044,0.00369728,0.00362121
2020-12-15,2386773,521679,0.00354240,0.00369728
2020-12-14,2510647,542379,0.00372471,0.00354240
2020-12-13,2454920,548286,0.00363595,0.00372471
2020-12-12,2466188,572805,0.00365657,0.00363595
2020-12-11,2532202,504269,0.00378340,0.00365657
2020-12-10,2582249,532547,0.00381440,0.00378340
2020-12-09,2613570,606116,0.00384561,0.00381440
2020-12-08,2790018,694803,0.00409896,0.00384561
2020-12-07,2444394,449268,0.00362888,0.00409896
2020-12-06,2555163,521964,0.00379166,0.00362888
2020-12-05,2399655,540014,0.00355489,0.00379166
2020-12-04,2385360,493166,0.00353775,0.00355489
2020-12-03,2391185,421940,0.00354824,0.00353775
2020-12-02,2368817,459724,0.00351323,0.00354824
2020-12-01,2482312,451537,0.00365677,0.00351323
2020-11-30,2410825,479126,0.00358141,0.00365677
2020-11-29,2341524,457425,0.00346510,0.00358141
2020-11-28,2351544,462649,0.00348051,0.00346510
2020-11-27,2328593,844716,0.00346731,0.00348051
2020-11-26,2744780,607783,0.00406472,0.00346731
2020-11-25,2821929,718768,0.00417464,0.00406472
2020-11-24,2747683,809673,0.00408443,0.00417464
2020-11-23,2542495,592983,0.00375911,0.00408443
2020-11-22,2468309,588672,0.00365610,0.00375911
2020-11-21,2594749,591355,0.00384298,0.00365610
2020-11-20,2420783,570928,0.00357382,0.00384298
2020-11-19,2462798,662661,0.00364604,0.00357382
2020-11-18,2700742,553834,0.00394914,0.00364604
2020-11-17,2875464,926141,0.00427740,0.00394914
2020-11-16,2923813,845933,0.00432977,0.00427740
2020-11-15,2894081,504172,0.00430195,0.00432977
2020-11-14,3102495,884558,0.00459940,0.00430195
2020-11-13,2902329,974576,0.00427829,0.00459940
2020-11-12,3206594,2404941,0.00477340,0.00427829
2020-11-11,5839541,4014600,0.00861343,0.00477340
2020-11-10,5298429,3760044,0.00780108,0.00861343
2020-11-09,5931398,1716467,0.00877339,0.00780108
2020-11-08,6545365,2935441,0.00967789,0.00877339
2020-11-07,6823290,4004077,0.01020320,0.00967789
2020-11-06,5173953,1402911,0.00768472,0.01020320
2020-11-05,5543527,1022730,0.00819895,0.00768472
2020-11-04,5540800,1246664,0.00825553,0.00819895
2020-11-03,6195665,1557443,0.00915802,0.00825553
2020-11-02,6715680,1178950,0.00991769,0.00915802
2020-11-01,6567855,1220627,0.00972846,0.00991769
2020-10-31,6942893,1965886,0.01024926,0.00972846
2020-10-30,7545694,1782757,0.01117740,0.01024926
2020-10-29,7533547,3465907,0.01110555,0.01117740
2020-10-28,7177384,2437493,0.01057090,0.01110555
2020-10-27,8218941,3862837,0.01216605,0.01057090
2020-10-26,9369806,3261796,0.01391268,0.01216605
2020-10-25,10812008,1082794,0.01600818,0.01391268
2020-10-24,10945928,951458,0.01620878,0.01600818
2020-10-23,11132355,939869,0.01647238,0.01620878
2020-10-22,11018115,1098875,0.01626282,0.01647238
2020-10-21,10973935,840266,0.01618228,0.01626282
2020-10-20,11571186,1216279,0.01711280,0.01618228
2020-10-19,11305668,1104901,0.01676867,0.01711280
2020-10-18,11447701,942544,0.01692295,0.01676867
2020-10-17,11433049,1667301,0.01694176,0.01692295
2020-10-16,11255717,811756,0.01669757,0.01694176
2020-10-15,11304059,963733,0.01667166,0.01669757
2020-10-14,11447532,1035176,0.01688281,0.01667166
2020-10-13,11357712,863370,0.01685567,0.01688281
2020-10-12,11662520,922297,0.01722271,0.01685567
2020-10-11,11537587,1019885,0.01710167,0.01722271
2020-10-10,11656292,1205529,0.01726654,0.01710167
2020-10-09,11386626,1158949,0.01687254,0.01726654
2020-10-08,10959753,1094759,0.01623955,0.01687254
2020-10-07,11367013,1195514,0.01681957,0.01623955
2020-10-06,12138601,1712472,0.01795069,0.01681957
2020-10-05,13152904,19753049,0.01966988,0.01795069
2020-10-04,11871057,1776941,0.01755330,0.01966988
2020-10-03,11827005,1853781,0.01740371,0.01755330
2020-10-02,12226123,2075577,0.01803903,0.01740371
2020-10-01,12020155,1355493,0.01777536,0.01803903
2020-09-30,11463845,1388817,0.01706653,0.01777536
2020-09-29,11385569,2078250,0.01682131,0.01706653
2020-09-28,11532660,1527004,0.01712009,0.01682131
2020-09-27,11839109,1522206,0.01750553,0.01712009
2020-09-26,11386425,1495489,0.01688973,0.01750553
2020-09-25,11477026,1508294,0.01703253,0.01688973
2020-09-24,10637101,2037507,0.01563022,0.01703253
2020-09-23,11323938,1384556,0.01669116,0.01563022
2020-09-22,10537775,1664172,0.01554455,0.01669116
2020-09-21,11917770,1368504,0.01767262,0.01554455
2020-09-20,12109715,1172575,0.01795541,0.01767262
2020-09-19,11984945,1685384,0.01775477,0.01795541
2020-09-18,12068395,1585436,0.01786713,0.01775477
2020-09-17,12320226,1760520,0.01828263,0.01786713
2020-09-16,12281569,1946311,0.01820166,0.01828263
2020-09-15,13196650,1594663,0.01956096,0.01820166
2020-09-14,13226794,1940099,0.01931660,0.01956096
2020-09-13,13919504,2882202,0.02063170,0.01931660
2020-09-12,14108309,5266576,0.02082884,0.02063170
2020-09-11,12860715,2904206,0.01903146,0.02082884
2020-09-10,12652740,7774368,0.01880595,0.01903146
2020-09-09,15664631,13539708,0.02343743,0.01880595
2020-09-08,11687604,1880321,0.01734273,0.02343743
2020-09-07,11717732,3115634,0.01728037,0.01734273
2020-09-06,11265990,2238346,0.01673702,0.01728037
2020-09-05,12983356,3175123,0.01925095,0.01673702
2020-09-04,12653569,3262926,0.01854410,0.01925095
2020-09-03,16808103,3485169,0.02478613,0.01854410
2020-09-02,18278425,3412133,0.02696676,0.02478613
2020-09-01,19217692,5419198,0.02831442,0.02696676
2020-08-31,20550669,6576698,0.03053517,0.02831442
2020-08-30,21705372,11954684,0.03210402,0.03053517
2020-08-29,20313040,3368361,0.03005529,0.03210402
2020-08-28,19804300,7108251,0.02934511,0.03005529
2020-08-27,18314286,2749107,0.02702247,0.02934511
2020-08-26,18857303,5738089,0.02795670,0.02702247
2020-08-25,19058449,4302298,0.02828752,0.02795670
2020-08-24,18030838,9448218,0.02670765,0.02828752
2020-08-23,21598373,15666521,0.03199759,0.02670765
2020-08-22,16012231,5381107,0.02378246,0.03199759
2020-08-21,19865002,3862143,0.02944879,0.02378246
2020-08-20,20847524,7727296,0.03064061,0.02944879
2020-08-19,20828890,6307209,0.03115271,0.03064061
2020-08-18,23528372,14496147,0.03475592,0.03115271
2020-08-17,22705934,10836079,0.03366420,0.03475592
2020-08-16,25823251,27553650,0.03847977,0.03366420
2020-08-15,20807922,26092438,0.03082655,0.03847977
2020-08-14,27029325,103740514,0.03821401,0.03082655
2020-08-13,15956756,21681917,0.02351319,0.03821401
2020-08-12,9671128,2060625,0.01428214,0.02351319
2020-08-11,10551988,2429982,0.01557485,0.01428214
2020-08-10,9755197,1720055,0.01445450,0.01557485
2020-08-09,9548258,1021328,0.01413494,0.01445450
2020-08-08,9322797,1261076,0.01382343,0.01413494
2020-08-07,9836509,2738207,0.01459133,0.01382343
2020-08-06,9152425,744800,0.01355915,0.01459133
2020-08-05,8847150,733429,0.01311240,0.01355915
