date,mktcap,vol,open_price,close_price
2021-10-04,164773,2071.18,0.04400679,0.04278926
2021-10-03,169511,4688.80,0.04545523,0.04400679
2021-10-02,166144,3062.84,0.04512877,0.04545523
2021-10-01,167885,1928.49,0.04599815,0.04512877
2021-09-30,161549,10530.10,0.04445025,0.04599815
2021-09-29,144521,1470.79,0.04038497,0.04445025
2021-09-28,149758,1256.53,0.04225507,0.04038497
2021-09-27,159960,4107.36,0.04545125,0.04225507
2021-09-26,148760,853.10,0.04252333,0.04545125
2021-09-25,150842,4869.41,0.04323538,0.04252333
2021-09-24,162408,546.55,0.04724209,0.04323538
2021-09-23,157506,2122.84,0.04716606,0.04724209
2021-09-22,147775,2116.81,0.04396025,0.04716606
2021-09-21,155527,1863.14,0.04672837,0.04396025
2021-09-20,162856,1967.04,0.04916423,0.04672837
2021-09-19,167754,1761.86,0.051114,0.04916423
2021-09-18,172036,6080.77,0.053047,0.051114
2021-09-17,169355,1299.68,0.052988,0.053047
2021-09-16,175934,3391.92,0.055228,0.052988
2021-09-15,170208,1449.38,0.053944,0.055228
2021-09-14,167437,2429.58,0.053509,0.053944
2021-09-13,176274,896.14,0.058039,0.053509
2021-09-12,175060,1925.72,0.057091,0.058039
2021-09-11,177522,2088.43,0.058744,0.057091
2021-09-10,185451,2154.19,0.061036,0.058744
2021-09-09,183919,5148.72,0.062052,0.061036
2021-09-08,180816,6008.30,0.061130,0.062052
2021-09-07,187837,1180.55,0.064191,0.061130
2021-09-06,190271,2960.03,0.066191,0.064191
2021-09-05,198456,5259.30,0.069892,0.066191
2021-09-04,198423,4203.06,0.069891,0.069892
2021-09-03,203242,15813.25,0.072579,0.069891
2021-09-02,223781,32645,0.083237,0.072579
2021-09-01,196988,8085.91,0.069998,0.083237
2021-08-31,213314,2717.45,0.079086,0.069998
2021-08-30,227973,1790.84,0.085338,0.079086
2021-08-29,232013,3779.42,0.087043,0.085338
2021-08-28,241491,3088.57,0.090957,0.087043
2021-08-27,244877,7444.69,0.092483,0.090957
2021-08-26,251150,9497.28,0.095777,0.092483
2021-08-25,248371,21797,0.095171,0.095777
2021-08-24,259424,19274.78,0.101047,0.095171
2021-08-23,241804,3592.48,0.093711,0.101047
2021-08-22,254690,3105.27,0.099930,0.093711
2021-08-21,255829,5710.97,0.101290,0.099930
2021-08-20,263444,5451.07,0.105072,0.101290
2021-08-19,262670,19340.77,0.105099,0.105072
2021-08-18,281984,9123.06,0.113625,0.105099
2021-08-17,303901,26245,0.124754,0.113625
2021-08-16,281515,20566,0.113917,0.124754
2021-08-15,283606,8749.12,0.116377,0.113917
2021-08-14,286031,14680.84,0.117642,0.116377
2021-08-13,288940,13010.04,0.119009,0.117642
2021-08-12,302049,4986.07,0.124718,0.119009
2021-08-11,298955,17030.95,0.125948,0.124718
2021-08-10,332033,11885.71,0.139041,0.125948
2021-08-09,346621,11957.36,0.144286,0.139041
2021-08-08,342184,16019.97,0.144107,0.144286
2021-08-07,347337,35303,0.145845,0.144107
2021-08-06,330365,26291,0.139635,0.145845
2021-08-05,408459,63815,0.165806,0.139635
2021-08-04,331313,99040,0.140347,0.165806
2021-08-03,244431,24725,0.103398,0.140347
2021-08-02,291561,58017,0.118780,0.103398
2021-08-01,215633,12899.42,0.086928,0.118780
2021-07-31,227047,12499.08,0.092105,0.086928
2021-07-30,204016,1749.98,0.084010,0.092105
2021-07-29,207007,11098.83,0.084290,0.084010
2021-07-28,189150,9426.44,0.076949,0.084290
2021-07-27,202625,10204.47,0.083259,0.076949
2021-07-26,197593,904.22,0.082871,0.083259
2021-07-25,200466,3019.19,0.085282,0.082871
2021-07-24,193352,9934.53,0.082228,0.085282
2021-07-23,200579,36421,0.085777,0.082228
2021-07-22,140748,12042.58,0.059892,0.085777
2021-07-21,112417,30196,0.04887439,0.059892
2021-07-20,167911,19942.46,0.070917,0.04887439
2021-07-19,246874,1941.87,0.105989,0.070917
2021-07-18,247636,8407.28,0.106338,0.105989
2021-07-17,243456,7876.45,0.104850,0.106338
2021-07-16,266863,21523,0.115908,0.104850
2021-07-15,246573,12831.10,0.107576,0.115908
2021-07-14,263929,12710.54,0.116861,0.107576
2021-07-13,279062,6271.14,0.125550,0.116861
2021-07-12,279085,8391.76,0.126844,0.125550
2021-07-11,264356,8537.65,0.119430,0.126844
2021-07-10,249236,7466.37,0.113770,0.119430
2021-07-09,240813,23127,0.111345,0.113770
2021-07-08,264640,4634.18,0.122047,0.111345
2021-07-07,263033,7341.39,0.122809,0.122047
2021-07-06,278205,4276.48,0.128927,0.122809
2021-07-05,288150,6513.74,0.136634,0.128927
2021-07-04,282212,2316.09,0.134798,0.136634
2021-07-03,280982,3300.80,0.135053,0.134798
2021-07-02,290175,5056.67,0.140527,0.135053
2021-07-01,297606,5299.66,0.145249,0.140527
2021-06-30,314408,3424.17,0.153831,0.145249
2021-06-29,308341,7717.47,0.152747,0.153831
2021-06-28,309879,4577.69,0.156404,0.152747
2021-06-27,313038,9162.57,0.157265,0.156404
2021-06-26,316236,5994.87,0.162179,0.157265
2021-06-25,328457,17904.28,0.167686,0.162179
2021-06-24,348708,47355,0.181287,0.167686
2021-06-23,255382,20886,0.131836,0.181287
2021-06-22,294243,49398,0.154688,0.131836
2021-06-21,348935,38464,0.184863,0.154688
2021-06-20,347127,11098.69,0.185047,0.184863
2021-06-19,388600,10562.70,0.209149,0.185047
2021-06-18,396669,13172.95,0.216664,0.209149
2021-06-17,377881,7674.51,0.206954,0.216664
2021-06-16,373738,8238.21,0.207974,0.206954
2021-06-15,374548,12943.81,0.208422,0.207974
2021-06-14,0.000000000000,15546.21,0.215566,0.208422
2021-06-13,0.000000000000,16898.61,0.217057,0.215566
2021-06-12,0.000000000000,11342.19,0.222939,0.217057
2021-06-11,0.000000000000,17870.98,0.228477,0.222939
2021-06-10,0.000000000000,16101.98,0.253025,0.228477
2021-06-09,0.000000000000,35900,0.271638,0.253025
2021-06-08,0.000000000000,36363,0.274405,0.271638
2021-06-07,0.000000000000,49631,0.328035,0.274405
2021-06-06,0.000000000000,265101,0.370105,0.328035
2021-06-05,0.000000000000,160775,0.433653,0.370105
2021-06-04,0.000000000000,22954,0.253655,0.433653
2021-06-03,0.000000000000,31828,0.241017,0.253655
2021-06-02,0.000000000000,16073.02,0.198170,0.241017
2021-06-01,0.000000000000,14631.61,0.209188,0.198170
2021-05-31,0.000000000000,20825,0.202025,0.209188
2021-05-30,0.000000000000,7869.53,0.165489,0.202025
2021-05-29,0.000000000000,16510.48,0.167647,0.165489
2021-05-28,0.000000000000,30642,0.174661,0.167647
2021-05-27,0.000000000000,13041.79,0.201456,0.174661
2021-05-26,0.000000000000,33591,0.209423,0.201456
2021-05-25,0.000000000000,52287,0.244940,0.209423
2021-05-24,0.000000000000,81182,0.254934,0.244940
2021-05-23,0.000000000000,113339,0.395253,0.254934
2021-05-22,0.000000000000,87710,0.272887,0.395253
2021-05-21,0.000000000000,68835,0.226600,0.272887
2021-05-20,0.000000000000,97243,0.186186,0.226600
2021-05-19,0.000000000000,0.000000000000,0.325008,0.186186
2021-05-18,0.000000000000,78912,0.317033,0.325008
2021-05-17,0.000000000000,9988.90,0.367455,0.317033
2021-05-16,0.000000000000,15251.40,0.475098,0.367455
2021-05-15,0.000000000000,82131,0.449792,0.475098
2021-05-14,0.000000000000,45619,0.394663,0.449792
2021-05-13,0.000000000000,32566,0.513644,0.394663
2021-05-12,0.000000000000,14187.14,0.683399,0.513644
2021-05-11,0.000000000000,65410,0.690889,0.683399
2021-05-10,0.000000000000,95526,0.770447,0.690889
2021-05-09,0.000000000000,131330,0.802698,0.770447
2021-05-08,0.000000000000,198875,0.837447,0.802698
2021-05-07,0.000000000000,239800,0.914600,0.837447
2021-05-06,0.000000000000,313907,0.914177,0.914600
2021-05-05,0.000000000000,1583362,1.03,0.914177
2021-05-04,0.000000000000,1583362,1.03,1.03
