date,mktcap,vol,open_price,close_price
2021-10-04,513192990,67211825,0.411861,0.401380
2021-10-03,497154830,42535558,0.398755,0.411861
2021-10-02,485250875,43083513,0.389796,0.398755
2021-10-01,455358539,31433199,0.365757,0.389796
2021-09-30,442111828,31440130,0.355370,0.365757
2021-09-29,438742196,38816053,0.351015,0.355370
2021-09-28,455645655,44999709,0.365716,0.351015
2021-09-27,467680109,55207672,0.369370,0.365716
2021-09-26,475254626,34660747,0.382046,0.369370
2021-09-25,479412050,49921759,0.379275,0.382046
2021-09-24,510916640,34529371,0.410654,0.379275
2021-09-23,510923275,44198418,0.410242,0.410654
2021-09-22,467254931,60241893,0.375396,0.410242
2021-09-21,499275687,78183288,0.401553,0.375396
2021-09-20,563881851,57625528,0.451985,0.401553
2021-09-19,572069640,37009790,0.459556,0.451985
2021-09-18,577978548,57230738,0.464545,0.459556
2021-09-17,587553032,70451394,0.472009,0.464545
2021-09-16,610879666,89983023,0.493437,0.472009
2021-09-15,585203463,67894650,0.469692,0.493437
2021-09-14,541912211,76765288,0.435692,0.469692
2021-09-13,603954102,211410819,0.483815,0.435692
2021-09-12,545714485,49383790,0.437916,0.483815
2021-09-11,514877725,54088703,0.414642,0.437916
2021-09-10,560879313,66371564,0.449229,0.414642
2021-09-09,546141282,171263107,0.436848,0.449229
2021-09-08,506181949,172811946,0.406399,0.436848
2021-09-07,629819356,90856588,0.505482,0.406399
2021-09-06,649125299,97600242,0.521715,0.505482
2021-09-05,636332978,83249516,0.510229,0.521715
2021-09-04,637757326,103049085,0.512340,0.510229
2021-09-03,655956363,127724188,0.527955,0.512340
2021-09-02,665269741,222726692,0.534502,0.527955
2021-09-01,684543281,264893610,0.552028,0.534502
2021-08-31,665343104,466515976,0.534730,0.552028
2021-08-30,692450781,1398313871,0.558285,0.534730
2021-08-29,684143593,280365718,0.548633,0.558285
2021-08-28,623541888,301683545,0.497710,0.548633
2021-08-27,613047168,386992086,0.493371,0.497710
2021-08-26,581404580,277972905,0.465814,0.493371
2021-08-25,577763022,598289430,0.462433,0.465814
2021-08-24,635529373,703200980,0.509004,0.462433
2021-08-23,686239223,1593696495,0.547742,0.509004
2021-08-22,438862522,70844240,0.351895,0.547742
2021-08-21,438789765,70505994,0.352334,0.351895
2021-08-20,404060326,55338279,0.327333,0.352334
2021-08-19,396323053,59595360,0.316700,0.327333
2021-08-18,392696914,59588631,0.312310,0.316700
2021-08-17,436928366,105806274,0.344211,0.312310
2021-08-16,404211810,43562478,0.324645,0.344211
2021-08-15,406753378,51823853,0.326548,0.324645
2021-08-14,419894581,113597913,0.336969,0.326548
2021-08-13,355393187,46374074,0.285221,0.336969
2021-08-12,368980708,48273052,0.296199,0.285221
2021-08-11,363034249,51124515,0.291886,0.296199
2021-08-10,354506090,66647549,0.286751,0.291886
2021-08-09,325186539,39782496,0.260849,0.286751
