date,mktcap,vol,open_price,close_price
2021-10-04,1216911,2584.35,0.01803566,0.01819911
2021-10-03,1223226,802.44,0.01812746,0.01803566
2021-10-02,1219537,2979.09,0.01808556,0.01812746
2021-10-01,1218015,4408.34,0.01806231,0.01808556
2021-09-30,1158007,4468.16,0.01719754,0.01806231
2021-09-29,1102697,3966.25,0.01629485,0.01719754
2021-09-28,1316614,3180.30,0.01941045,0.01629485
2021-09-27,1341663,2594.54,0.01993995,0.01941045
2021-09-26,1093621,3240.38,0.01620399,0.01993995
2021-09-25,1059588,5959.33,0.01572217,0.01620399
2021-09-24,1226115,2987.35,0.01816970,0.01572217
2021-09-23,1218621,3026.56,0.01806580,0.01816970
2021-09-22,1231188,3499.91,0.01813271,0.01806580
2021-09-21,1276622,3782.87,0.01896432,0.01813271
2021-09-20,1305490,1790.82,0.01936954,0.01896432
2021-09-19,1517107,3292.50,0.02247273,0.01936954
2021-09-18,1536131,4243.61,0.02269512,0.02247273
2021-09-17,1149799,2047.67,0.01703958,0.02269512
2021-09-16,1178959,3634.14,0.01742838,0.01703958
2021-09-15,1065508,4162.76,0.01578980,0.01742838
2021-09-14,1028176,6308.26,0.01525267,0.01578980
2021-09-13,979177,10576.43,0.01450561,0.01525267
2021-09-12,1149967,3096.09,0.01704139,0.01450561
2021-09-11,1185560,3402.55,0.01757236,0.01704139
2021-09-10,1180856,2808.34,0.01751171,0.01757236
2021-09-09,1221572,2708.90,0.01810601,0.01751171
2021-09-08,1245895,3963.01,0.01842847,0.01810601
2021-09-07,1256434,3422.63,0.01868376,0.01842847
2021-09-06,1261968,3783.26,0.01868926,0.01868376
2021-09-05,1329057,5378.59,0.01970068,0.01868926
2021-09-04,1161955,3308.20,0.01724134,0.01970068
2021-09-03,1225667,4003.05,0.01818907,0.01724134
2021-09-02,906192,2894.52,0.01344500,0.01818907
2021-09-01,1209687,8892.51,0.01790819,0.01344500
2021-08-31,1659091,4019.23,0.02469084,0.01790819
2021-08-30,1698608,3659.56,0.02511805,0.02469084
2021-08-29,1538368,2942.85,0.02282253,0.02511805
2021-08-28,1324122,4274.17,0.01965904,0.02282253
2021-08-27,1012364,172549,0.01502397,0.01965904
2021-08-26,1003911,295587,0.01487472,0.01502397
2021-08-25,1015283,184495,0.01602674,0.01487472
2021-08-24,1336367,3878.37,0.01981225,0.01602674
2021-08-23,1572839,3827.57,0.02330811,0.01981225
2021-08-22,1191672,6814.18,0.01789982,0.02330811
2021-08-21,1332558,193760,0.01974461,0.01789982
2021-08-20,1114092,59040,0.01783732,0.01974461
2021-08-19,1226103,107891,0.01816990,0.01783732
2021-08-18,1125121,134594,0.01667355,0.01816990
2021-08-17,1180495,55907,0.01744160,0.01667355
2021-08-16,1205314,372280,0.01852000,0.01744160
2021-08-15,1305903,292746,0.01933533,0.01852000
2021-08-14,1260604,27186,0.01868146,0.01933533
2021-08-13,1106742,2541.05,0.01684599,0.01868146
2021-08-12,1142270,5832.80,0.01691154,0.01684599
2021-08-11,1037165,5776.54,0.01538404,0.01691154
2021-08-10,1227270,723726,0.01834687,0.01538404
2021-08-09,1184872,879306,0.01754633,0.01834687
2021-08-08,1221708,847510,0.01732360,0.01754633
2021-08-07,1147774,817692,0.01703444,0.01732360
2021-08-06,1086398,779162,0.01580868,0.01703444
2021-08-05,1050013,707825,0.01416821,0.01580868
2021-08-04,938962,702591,0.01418396,0.01416821
2021-08-03,955765,715448,0.01416429,0.01418396
2021-08-02,974068,714593,0.01432364,0.01416429
2021-08-01,942081,723464,0.01451595,0.01432364
2021-07-31,892339,678275,0.01346829,0.01451595
2021-07-30,740567,552966,0.01097927,0.01346829
2021-07-29,744680,281558,0.01195522,0.01097927
2021-07-28,933861,105072,0.01388667,0.01195522
2021-07-27,859700,87893,0.01267669,0.01388667
2021-07-26,863830,85605,0.01280680,0.01267669
2021-07-25,912983,104020,0.01359044,0.01280680
2021-07-24,871769,78159,0.01345217,0.01359044
2021-07-23,828023,68405,0.01231094,0.01345217
2021-07-22,935964,94068,0.01390010,0.01231094
2021-07-21,801752,83166,0.01269116,0.01390010
2021-07-20,836778,83372,0.01244093,0.01269116
2021-07-19,855007,82228,0.01271519,0.01244093
2021-07-18,871666,82736,0.01292399,0.01271519
2021-07-17,874944,90057,0.01293556,0.01292399
2021-07-16,970513,96092,0.01433159,0.01293556
2021-07-15,980088,98975,0.01442789,0.01433159
2021-07-14,872449,86643,0.01284211,0.01442789
2021-07-13,858279,83604,0.01423312,0.01284211
2021-07-12,939902,91558,0.01505267,0.01423312
2021-07-11,1023353,91455,0.01638920,0.01505267
2021-07-10,1104234,78567,0.01747678,0.01638920
2021-07-09,1064999,70188,0.01711060,0.01747678
2021-07-08,1132663,92675,0.01902146,0.01711060
2021-07-07,1171207,101401,0.01811030,0.01902146
2021-07-06,1126510,107619,0.01836704,0.01811030
2021-07-05,1063139,90829,0.01703836,0.01836704
2021-07-04,1117210,104835,0.01793355,0.01703836
2021-07-03,1220930,119485,0.02062657,0.01793355
2021-07-02,1322634,128130,0.02052811,0.02062657
2021-07-01,1339020,126338,0.02145651,0.02052811
2021-06-30,1336937,139078,0.02279983,0.02145651
2021-06-29,1327765,145025,0.02327762,0.02279983
2021-06-28,1359974,123246,0.02057350,0.02327762
2021-06-27,1244346,93381,0.01999804,0.02057350
2021-06-26,1317679,87499,0.02110613,0.01999804
2021-06-25,1455033,135448,0.02330637,0.02110613
2021-06-24,1574338,129206,0.02419080,0.02330637
2021-06-23,1580371,154393,0.02526245,0.02419080
2021-06-22,1581233,159328,0.02539647,0.02526245
2021-06-21,1999242,225525,0.03674757,0.02539647
2021-06-20,2081763,193954,0.03332082,0.03674757
2021-06-19,2196507,209986,0.03512284,0.03332082
2021-06-18,2186700,68078,0.03594832,0.03512284
2021-06-17,2326864,215650,0.03723253,0.03594832
2021-06-16,2596199,229949,0.04156787,0.03723253
2021-06-15,2858056,274442,0.04708768,0.04156787
2021-06-14,2576102,276810,0.04130108,0.04708768
2021-06-13,2458385,240087,0.03918030,0.04130108
2021-06-12,2409736,189943,0.03875909,0.03918030
2021-06-11,2731625,240288,0.04378030,0.03875909
2021-06-10,2729465,282066,0.04381815,0.04378030
2021-06-09,2397128,242462,0.04070819,0.04381815
2021-06-08,2649831,259286,0.03950972,0.04070819
2021-06-07,2515977,126019,0.04047584,0.03950972
2021-06-06,2394699,201409,0.03841434,0.04047584
2021-06-05,2708205,156000,0.04213096,0.03841434
2021-06-04,2846605,170812,0.04562805,0.04213096
2021-06-03,2721242,6709.31,0.04354543,0.04562805
2021-06-02,2583686,5973.92,0.04142760,0.04354543
2021-06-01,2708229,232356,0.04346892,0.04142760
2021-05-31,2408613,254531,0.04005778,0.04346892
2021-05-30,2535774,240681,0.04052370,0.04005778
2021-05-29,2565541,251282,0.04240509,0.04052370
2021-05-28,2947788,262034,0.04344934,0.04240509
2021-05-27,2930271,204803,0.04765707,0.04344934
2021-05-26,4186343,3740.64,0.067222,0.04765707
2021-05-25,3157397,19191.36,0.050584,0.067222
2021-05-24,2339135,190240,0.03770445,0.050584
2021-05-23,2774894,269106,0.04451640,0.03770445
2021-05-22,2932843,284337,0.04708762,0.04451640
2021-05-21,3221246,311219,0.052185,0.04708762
2021-05-20,2994902,32896,0.04748571,0.052185
2021-05-19,3925127,8095.14,0.063257,0.04748571
2021-05-18,4446690,282909,0.071200,0.063257
2021-05-17,5377670,23567,0.091882,0.071200
2021-05-16,4849325,28555,0.077609,0.091882
2021-05-15,5532929,611199,0.089175,0.077609
2021-05-14,5211491,213128,0.083617,0.089175
2021-05-13,5838257,120630,0.093558,0.083617
2021-05-12,5952307,369626,0.095957,0.093558
2021-05-11,7190959,7993.44,0.115016,0.095957
2021-05-10,6512692,80540,0.104295,0.115016
2021-05-09,7302376,791117,0.112772,0.104295
2021-05-08,6200411,636380,0.102725,0.112772
2021-05-07,6908502,462636,0.105307,0.102725
2021-05-06,6784245,745332,0.108791,0.105307
2021-05-05,6963175,635705,0.110716,0.108791
2021-05-04,7510793,751436,0.118409,0.110716
2021-05-03,7425731,561212,0.116675,0.118409
2021-05-02,7346453,20429,0.117965,0.116675
2021-05-01,6898035,904879,0.111650,0.117965
2021-04-30,8930970,1494379,0.144494,0.111650
2021-04-29,10520477,1255853,0.173275,0.144494
2021-04-28,10903317,840050,0.175299,0.173275
2021-04-27,9624298,866091,0.153985,0.175299
2021-04-26,9398132,699480,0.151275,0.153985
2021-04-25,10732986,1013407,0.172392,0.151275
2021-04-24,11234939,1118578,0.179982,0.172392
2021-04-23,12318156,1118848,0.197308,0.179982
2021-04-22,10150322,1465763,0.170904,0.197308
2021-04-21,9946742,1603147,0.160212,0.170904
2021-04-20,9384199,1290120,0.151494,0.160212
2021-04-19,10444443,1082293,0.168767,0.151494
2021-04-18,11690611,1213120,0.188715,0.168767
2021-04-17,12332520,2074944,0.200192,0.188715
2021-04-16,10863833,1000368,0.175350,0.200192
2021-04-15,12715009,1551907,0.204964,0.175350
2021-04-14,11338433,1246366,0.180113,0.204964
2021-04-13,12523671,2316228,0.200420,0.180113
2021-04-12,0.000000000000,2147864,0.196918,0.200420
2021-04-11,0.000000000000,1136699,0.183431,0.196918
2021-04-10,0.000000000000,1921385,0.204307,0.183431
2021-04-09,0.000000000000,1375660,0.231898,0.204307
2021-04-08,0.000000000000,1361336,0.229940,0.231898
2021-04-07,0.000000000000,1278920,0.248335,0.229940
2021-04-06,0.000000000000,19516.21,0.211471,0.248335
2021-04-05,0.000000000000,1407110,0.248811,0.211471
2021-04-04,0.000000000000,735175,0.250040,0.248811
2021-04-03,0.000000000000,1386651,0.259710,0.250040
2021-04-02,0.000000000000,1725599,0.290620,0.259710
2021-04-01,0.000000000000,1390728,0.234704,0.290620
2021-03-31,0.000000000000,1370316,0.235637,0.234704
2021-03-30,0.000000000000,1230695,0.230249,0.235637
2021-03-29,0.000000000000,1149759,0.201651,0.230249
2021-03-28,0.000000000000,1544524,0.242983,0.201651
2021-03-27,0.000000000000,1421198,0.230803,0.242983
2021-03-26,0.000000000000,1211062,0.197057,0.230803
2021-03-25,0.000000000000,1508399,0.252670,0.197057
2021-03-24,0.000000000000,1605011,0.250650,0.252670
2021-03-23,0.000000000000,1322159,0.208238,0.250650
2021-03-22,0.000000000000,915248,0.150365,0.208238
2021-03-21,0.000000000000,1077626,0.165163,0.150365
2021-03-20,0.000000000000,902673,0.146224,0.165163
2021-03-19,0.000000000000,869321,0.148835,0.146224
2021-03-18,0.000000000000,1006272,0.114966,0.148835
2021-03-17,0.000000000000,1316609,0.112920,0.114966
2021-03-16,0.000000000000,1180317,0.103153,0.112920
2021-03-15,0.000000000000,1323425,0.111500,0.103153
2021-03-14,0.000000000000,1238027,0.113060,0.111500
2021-03-13,0.000000000000,1367150,0.115653,0.113060
2021-03-12,0.000000000000,1383991,0.118172,0.115653
2021-03-11,0.000000000000,1340705,0.109345,0.118172
2021-03-10,0.000000000000,1352227,0.112965,0.109345
2021-03-09,0.000000000000,1201391,0.114019,0.112965
2021-03-08,0.000000000000,1222621,0.105992,0.114019
2021-03-07,0.000000000000,1408993,0.112386,0.105992
2021-03-06,0.000000000000,1142067,0.100478,0.112386
2021-03-05,0.000000000000,1206688,0.104185,0.100478
2021-03-04,0.000000000000,1246291,0.105878,0.104185
2021-03-03,0.000000000000,1190998,0.104725,0.105878
2021-03-02,0.000000000000,1361455,0.113481,0.104725
2021-03-01,0.000000000000,768260,0.082391,0.113481
2021-02-28,0.000000000000,946432,0.085139,0.082391
2021-02-27,0.000000000000,40185,0.089591,0.085139
2021-02-26,0.000000000000,3775.38,0.098793,0.089591
2021-02-25,0.000000000000,631923,0.099997,0.098793
2021-02-24,0.000000000000,1250708,0.113929,0.099997
2021-02-23,0.000000000000,1890995,0.152427,0.113929
2021-02-22,0.000000000000,1505307,0.139385,0.152427
2021-02-21,0.000000000000,2069668,0.189216,0.139385
2021-02-20,0.000000000000,2670465,0.225960,0.189216
2021-02-19,0.000000000000,2117320,0.225539,0.225960
2021-02-18,0.000000000000,2769958,0.228488,0.225539
2021-02-17,0.000000000000,2735759,0.225858,0.228488
2021-02-16,0.000000000000,3391599,0.270820,0.225858
2021-02-15,0.000000000000,2548785,0.216275,0.270820
2021-02-14,0.000000000000,3395433,0.262594,0.216275
2021-02-13,0.000000000000,2401545,0.203386,0.262594
2021-02-12,0.000000000000,2079123,0.174801,0.203386
2021-02-11,0.000000000000,2052070,0.182616,0.174801
2021-02-10,0.000000000000,2360757,0.197416,0.182616
2021-02-09,0.000000000000,4063.84,0.206163,0.197416
2021-02-08,0.000000000000,8232.43,0.194554,0.206163
2021-02-07,0.000000000000,30521,0.250862,0.194554
2021-02-06,0.000000000000,12130.03,0.216236,0.250862
2021-02-05,0.000000000000,49997,0.209012,0.216236
2021-02-04,0.000000000000,186859,0.276879,0.209012
2021-02-03,0.000000000000,106299,0.175564,0.276879
2021-02-02,0.000000000000,27554,0.117496,0.175564
2021-02-01,0.000000000000,27554,0.117496,0.117496
