date,mktcap,vol,open_price,close_price
2021-10-04,338484132,53787177,10.15,9.80
2021-10-03,340705983,95912340,10.25,10.15
2021-10-02,317469037,74901914,9.53,10.25
2021-10-01,298131322,77278017,8.94,9.53
2021-09-30,252956384,65595337,8.53,8.94
2021-09-29,240548768,66612563,8.11,8.53
2021-09-28,242816661,80295731,8.10,8.11
2021-09-27,239694410,75015791,8.07,8.10
2021-09-26,264308453,50512481,8.93,8.07
2021-09-25,274984396,167290407,9.26,8.93
2021-09-24,287779289,51085897,9.69,9.26
2021-09-23,276511941,62039053,9.33,9.69
2021-09-22,241688162,67934046,8.15,9.33
2021-09-21,274414227,99631378,9.27,8.15
2021-09-20,335937110,135665863,11.20,9.27
2021-09-19,324006993,56881660,10.96,11.20
2021-09-18,331099623,86180253,11.18,10.96
2021-09-17,364336226,211465275,12.32,11.18
2021-09-16,318395962,77834398,10.73,12.32
2021-09-15,313841474,90108437,10.57,10.73
2021-09-14,337514362,293073787,11.47,10.57
2021-09-13,379982455,401690971,12.87,11.47
2021-09-12,251830643,40950847,8.48,12.87
2021-09-11,252608688,56591753,8.52,8.48
2021-09-10,271102568,87083250,9.12,8.52
2021-09-09,269331768,122207463,9.00,9.12
2021-09-08,267926567,143813097,9.04,9.00
2021-09-07,355267140,94834646,11.96,9.04
2021-09-06,364763780,76563020,12.29,11.96
2021-09-05,356711676,86708881,11.98,12.29
2021-09-04,353516162,97252923,11.92,11.98
2021-09-03,364395915,133891319,12.29,11.92
2021-09-02,353856752,119439926,11.95,12.29
2021-09-01,335605697,105062628,11.30,11.95
2021-08-31,357534584,107278301,12.09,11.30
2021-08-30,413612658,151137984,13.93,12.09
2021-08-29,428557575,311623503,14.70,13.93
2021-08-28,419457942,279469489,14.10,14.70
2021-08-27,411635200,483212135,13.82,14.10
2021-08-26,545822033,879065930,18.33,13.82
2021-08-25,223909328,435288721,12.79,18.33
2021-08-24,170053136,254496263,9.66,12.79
2021-08-23,121340081,46803953,6.98,9.66
2021-08-22,113593767,20669010,6.50,6.98
2021-08-21,119528591,22911760,6.85,6.50
2021-08-20,113709904,22899096,6.60,6.85
2021-08-19,109271501,33211994,6.24,6.60
2021-08-18,112607835,40679712,6.40,6.24
2021-08-17,123474291,65499839,6.93,6.40
2021-08-16,121161118,36084458,6.95,6.93
2021-08-15,121433483,99598841,6.95,6.95
2021-08-14,108619930,36853187,6.64,6.95
2021-08-13,102885432,41446104,6.28,6.64
2021-08-12,109852392,56947992,6.72,6.28
2021-08-11,110742709,45190689,6.79,6.72
2021-08-10,114034524,60172288,7.03,6.79
2021-08-09,111537271,84159282,6.81,7.03
2021-08-08,126147796,146241278,7.72,6.81
2021-08-07,100005054,43847910,6.11,7.72
2021-08-06,108078301,93974239,6.59,6.11
2021-08-05,100410426,119235684,6.13,6.59
2021-08-04,86608883,80056220,5.30,6.13
2021-08-03,77060837,28052403,4.70,5.30
2021-08-02,75335353,51391410,4.61,4.70
2021-08-01,88315285,107941809,5.40,4.61
2021-07-31,66350078,20034922,4.04,5.40
2021-07-30,65029212,15090351,3.96,4.04
2021-07-29,65409320,17574621,4.00,3.96
2021-07-28,64746831,19162806,3.96,4.00
2021-07-27,66406179,34904626,4.05,3.96
