date,mktcap,vol,open_price,close_price
2021-10-04,1310096,5895.55,0.00565611,0.00551642
2021-10-03,1313576,7814.16,0.00566513,0.00565611
2021-10-02,1310606,20950,0.00567078,0.00566513
2021-10-01,1212568,19605.11,0.00526474,0.00567078
2021-09-30,1131963,12357.65,0.00484481,0.00526474
2021-09-29,1208134,48977,0.00524018,0.00484481
2021-09-28,1338878,52849,0.00574880,0.00524018
2021-09-27,1213426,117356,0.00514435,0.00574880
2021-09-26,1579402,64287,0.00690473,0.00514435
2021-09-25,1616119,16617.14,0.00696641,0.00690473
2021-09-24,1797417,8234.00,0.00784897,0.00696641
2021-09-23,1755795,20555,0.00758350,0.00784897
2021-09-22,1705362,35752,0.00740548,0.00758350
2021-09-21,1718744,56629,0.00744757,0.00740548
2021-09-20,2024831,157168,0.00889253,0.00744757
2021-09-19,1942974,18767.27,0.00839520,0.00889253
2021-09-18,1931910,21450,0.00824302,0.00839520
2021-09-17,1979565,34422,0.00850745,0.00824302
2021-09-16,1897343,29053,0.00819144,0.00850745
2021-09-15,1946987,21511,0.00840923,0.00819144
2021-09-14,1896964,46072,0.00817928,0.00840923
2021-09-13,1968851,30272,0.00847761,0.00817928
2021-09-12,1913410,19282.94,0.00826507,0.00847761
2021-09-11,1949094,22934,0.00851335,0.00826507
2021-09-10,1961039,12875.46,0.00845285,0.00851335
2021-09-09,1977368,37205,0.00851185,0.00845285
2021-09-08,2027568,54589,0.00876578,0.00851185
2021-09-07,2302465,85310,0.00999578,0.00876578
2021-09-06,2381698,77592,0.01039085,0.00999578
2021-09-05,2340085,79157,0.01012157,0.01039085
2021-09-04,2347278,144670,0.01015030,0.01012157
2021-09-03,2437277,71099,0.01062309,0.01015030
2021-09-02,2445735,70523,0.01055649,0.01062309
2021-09-01,2397997,79192,0.01034977,0.01055649
2021-08-31,2474803,98606,0.01072435,0.01034977
2021-08-30,2535806,84183,0.01098831,0.01072435
2021-08-29,2479900,110145,0.01072486,0.01098831
2021-08-28,2475803,69417,0.01069274,0.01072486
2021-08-27,2429464,87145,0.01047069,0.01069274
2021-08-26,2581395,83235,0.01114063,0.01047069
2021-08-25,2508747,71729,0.01077876,0.01114063
2021-08-24,2584106,143847,0.01115479,0.01077876
2021-08-23,2633253,90807,0.01127033,0.01115479
2021-08-22,2732968,88580,0.01179478,0.01127033
2021-08-21,2577592,105427,0.01111320,0.01179478
2021-08-20,2589899,87391,0.01120829,0.01111320
2021-08-19,2563131,89967,0.01101180,0.01120829
2021-08-18,2627411,93537,0.01130270,0.01101180
2021-08-17,2860490,97919,0.01217506,0.01130270
2021-08-16,2842761,79806,0.01224109,0.01217506
2021-08-15,2904360,74753,0.01249479,0.01224109
2021-08-14,2909863,130303,0.01257125,0.01249479
2021-08-13,2805689,161059,0.01177761,0.01257125
2021-08-12,2918469,161678,0.01261033,0.01177761
2021-08-11,2754270,84842,0.01197734,0.01261033
2021-08-10,2780512,126862,0.01186760,0.01197734
2021-08-09,2608650,129458,0.01126731,0.01186760
2021-08-08,2649140,238507,0.01146132,0.01126731
2021-08-07,2546635,79211,0.01101268,0.01146132
2021-08-06,2483794,110659,0.01072252,0.01101268
2021-08-05,2631365,172915,0.01133651,0.01072252
2021-08-04,2290943,77983,0.00998444,0.01133651
2021-08-03,2336371,85381,0.01007048,0.00998444
2021-08-02,2320537,100788,0.01035841,0.01007048
2021-08-01,2344859,103107,0.01012565,0.01035841
2021-07-31,2427631,195404,0.01043222,0.01012565
2021-07-30,2256711,122932,0.00973448,0.01043222
2021-07-29,2221795,296654,0.00959333,0.00973448
2021-07-28,2466565,99894,0.01073926,0.00959333
2021-07-27,2585404,109971,0.01116340,0.01073926
2021-07-26,2521359,92165,0.01089007,0.01116340
2021-07-25,2616743,102452,0.01132581,0.01089007
2021-07-24,2549830,70018,0.01109305,0.01132581
2021-07-23,2495632,54190,0.01079983,0.01109305
2021-07-22,2559619,115298,0.01129077,0.01079983
2021-07-21,2382867,90178,0.01029501,0.01129077
2021-07-20,2480000,96807,0.01071125,0.01029501
2021-07-19,2719052,101125,0.01176962,0.01071125
2021-07-18,2600012,118948,0.01123048,0.01176962
2021-07-17,2839045,114718,0.01224539,0.01123048
2021-07-16,3080356,102286,0.01328494,0.01224539
2021-07-15,3121499,99657,0.01346522,0.01328494
2021-07-14,3137396,135014,0.01354264,0.01346522
2021-07-13,3407016,205140,0.01486884,0.01354264
2021-07-12,3167302,126668,0.01370315,0.01486884
2021-07-11,3100775,139953,0.01339264,0.01370315
2021-07-10,3350168,214909,0.01446980,0.01339264
2021-07-09,3239720,427125,0.01401819,0.01446980
2021-07-08,4200959,1103686,0.01818404,0.01401819
2021-07-07,3434692,122032,0.01482193,0.01818404
2021-07-06,3382127,237213,0.01461167,0.01482193
2021-07-05,3287573,218079,0.01420923,0.01461167
2021-07-04,3221567,105661,0.01391435,0.01420923
2021-07-03,3122313,100101,0.01350972,0.01391435
2021-07-02,3232327,153052,0.01385949,0.01350972
2021-07-01,3292767,161380,0.01427116,0.01385949
2021-06-30,3283676,241161,0.01414953,0.01427116
2021-06-29,3209131,206941,0.01392448,0.01414953
2021-06-28,3205778,319060,0.01387154,0.01392448
2021-06-27,3066357,364685,0.01328063,0.01387154
2021-06-26,2715773,471121,0.01165181,0.01328063
2021-06-25,2754065,185350,0.01198195,0.01165181
2021-06-24,2679832,218170,0.01160492,0.01198195
2021-06-23,2584253,284533,0.01116164,0.01160492
2021-06-22,2649600,273329,0.01142519,0.01116164
2021-06-21,3503012,258926,0.01512289,0.01142519
2021-06-20,3754351,258457,0.01590873,0.01512289
2021-06-19,3971126,352423,0.01715179,0.01590873
2021-06-18,4171765,430790,0.01801838,0.01715179
2021-06-17,4146296,488438,0.01782212,0.01801838
2021-06-16,4654622,1229753,0.02009340,0.01782212
2021-06-15,4085106,416880,0.01782019,0.02009340
2021-06-14,4315431,1037104,0.01894822,0.01782019
2021-06-13,4447754,2250207,0.01910229,0.01894822
2021-06-12,6040477,3209252,0.02573700,0.01910229
2021-06-11,3908420,1485028,0.01681937,0.02573700
2021-06-10,5006197,10498191,0.02134057,0.01681937
2021-06-09,2211019,160962,0.00955413,0.02134057
2021-06-08,2114218,145710,0.00942081,0.00955413
2021-06-07,2348438,165326,0.01010828,0.00942081
2021-06-06,2199104,100469,0.00952499,0.01010828
2021-06-05,2193398,161536,0.00945584,0.00952499
2021-06-04,2341331,106871,0.00999375,0.00945584
2021-06-03,2355945,137123,0.01017562,0.00999375
2021-06-02,2225064,70370,0.00957763,0.01017562
2021-06-01,2316136,94237,0.00998905,0.00957763
2021-05-31,2249787,87682,0.00970159,0.00998905
2021-05-30,2328661,112945,0.01006565,0.00970159
2021-05-29,2408623,150758,0.01040315,0.01006565
2021-05-28,2737110,218295,0.01177665,0.01040315
2021-05-27,2545896,159831,0.01111055,0.01177665
2021-05-26,2597791,225440,0.01104095,0.01111055
2021-05-25,2633609,265004,0.01136805,0.01104095
2021-05-24,2076859,237834,0.00893389,0.01136805
2021-05-23,2937425,195709,0.01265855,0.00893389
2021-05-22,2944963,315266,0.01268340,0.01265855
2021-05-21,3862264,714880,0.01664046,0.01268340
2021-05-20,3263644,704312,0.01342503,0.01664046
2021-05-19,4730501,416303,0.02059011,0.01342503
2021-05-18,4961947,608896,0.02126617,0.02059011
2021-05-17,5553289,697832,0.02398536,0.02126617
2021-05-16,6230580,1928476,0.02706467,0.02398536
2021-05-15,7499811,4222916,0.03165591,0.02706467
2021-05-14,5030893,3738040,0.02167811,0.03165591
2021-05-13,4083794,1130960,0.01756344,0.02167811
2021-05-12,6367402,11752076,0.02741652,0.01756344
2021-05-11,6847153,15924419,0.03188506,0.02741652
2021-05-10,2454705,407796,0.01060218,0.03188506
2021-05-09,2808957,1067340,0.01214367,0.01060218
2021-05-08,3180816,4649068,0.01337958,0.01214367
2021-05-07,5042781,4791842,0.02184228,0.01337958
2021-05-06,1449558,78974,0.00628084,0.02184228
2021-05-05,1408703,95280,0.00611785,0.00628084
2021-05-04,1506807,205264,0.00649860,0.00611785
2021-05-03,1634077,93509,0.00704087,0.00649860
