date,mktcap,vol,open_price,close_price
2021-10-04,13421153,213317,13.39,12.98
2021-10-03,13081107,2568015,13.08,13.39
2021-10-02,13894877,144291,13.89,13.08
2021-10-01,13355153,1876368,13.33,13.89
2021-09-30,13820691,151399,13.84,13.33
2021-09-29,14275239,78224,14.21,13.84
2021-09-28,14715486,165813,14.72,14.21
2021-09-27,15119600,119525,15.09,14.72
2021-09-26,15518203,128335,15.49,15.09
2021-09-25,15231244,212826,15.23,15.49
2021-09-24,16451796,220271,16.46,15.23
2021-09-23,14605598,147229,14.64,16.46
2021-09-22,13484746,915908,13.53,14.64
2021-09-21,13919297,519522,14.12,13.53
2021-09-20,16408687,465113,16.41,14.12
2021-09-19,15567596,486578,15.59,16.41
2021-09-18,14547067,162398,14.48,15.59
2021-09-17,14981302,119356,14.98,14.48
2021-09-16,15291159,261321,15.33,14.98
2021-09-15,14278339,554556,14.59,15.33
2021-09-14,14695868,269861,14.70,14.59
2021-09-13,17035365,293254,17.00,14.70
2021-09-12,15718468,408716,15.72,17.00
2021-09-11,15966977,293901,15.96,15.72
2021-09-10,16675549,329336,16.68,15.96
2021-09-09,16542424,215515,16.70,16.68
2021-09-08,18210752,789611,18.04,16.70
2021-09-07,21463132,1723668,21.28,18.04
2021-09-06,19320046,887331,19.11,21.28
2021-09-05,16701872,1281999,16.40,19.11
2021-09-04,17122696,798253,17.47,16.40
2021-09-03,19612430,887200,19.26,17.47
2021-09-02,21296842,881454,21.22,19.26
2021-09-01,19993699,1558698,20.00,21.22
2021-08-31,23210594,722664,23.25,20.00
2021-08-30,22712531,1134803,22.69,23.25
2021-08-29,24115480,1894543,24.46,22.69
2021-08-28,24139867,1129080,24.12,24.46
2021-08-27,24418607,1077773,24.41,24.12
2021-08-26,25124838,2967356,25.09,24.41
2021-08-25,26449678,2803470,26.51,25.09
2021-08-24,30542576,1696337,30.50,26.51
2021-08-23,33928291,2426602,33.87,30.50
2021-08-22,34122618,2383005,34.13,33.87
2021-08-21,31093149,3104088,31.16,34.13
2021-08-20,31338572,2671759,32.25,31.16
2021-08-19,35098461,3399239,35.32,32.25
2021-08-18,41057733,2495746,40.70,35.32
2021-08-17,41331432,2708020,41.15,40.70
2021-08-16,42565414,5972498,42.74,41.15
2021-08-15,44408354,18309008,44.35,42.74
2021-08-14,24764943,1573578,24.95,44.35
2021-08-13,22730596,2063677,22.69,24.95
2021-08-12,23783411,2995468,23.76,22.69
2021-08-11,23717646,2953865,23.69,23.76
2021-08-10,25497307,7276566,25.85,23.69
2021-08-09,25317209,10862714,25.22,25.85
2021-08-08,27903713,7789080,27.56,25.22
2021-08-07,41594242,3904573,41.59,27.56
2021-08-06,41887427,4329475,41.89,41.59
2021-08-05,46427481,4381672,46.35,41.89
2021-08-04,39280998,5014630,38.98,46.35
2021-08-03,47323829,5420012,47.32,38.98
2021-08-02,41179020,4460985,41.22,47.32
2021-08-01,47567970,12528623,47.57,41.22
2021-07-31,52397493,4662014,52.40,47.57
2021-07-30,56521451,7862563,56.36,52.40
2021-07-29,68311153,5302339,66.31,56.36
2021-07-28,67934647,5887019,68.15,66.31
2021-07-27,69366207,13428092,69.13,68.15
2021-07-26,55581096,4582481,55.58,69.13
2021-07-25,54059235,15276807,54.32,55.58
2021-07-24,50053131,13407820,49.22,54.32
2021-07-23,63051403,13581751,61.56,49.22
2021-07-22,73427261,11426412,73.80,61.56
2021-07-21,69570860,30716518,69.66,73.80
2021-07-20,94094250,26340711,93.41,69.66
2021-07-19,84683288,66455460,84.76,93.41
2021-07-18,72613362,53789168,72.61,84.76
2021-07-17,120194860,49516176,118.97,72.61
2021-07-16,157331259,41595680,157.33,118.97
2021-07-15,159696069,109708169,159.51,157.33
2021-07-14,195757783,79094922,198.37,159.51
2021-07-13,46859019,11861232,47.38,198.37
2021-07-12,34258720,15702362,34.56,47.38
2021-07-11,20910564,7781942,20.91,34.56
2021-07-10,12899893,1511513,13.04,20.91
2021-07-09,11249081,4051380,11.25,13.04
2021-07-08,13836210,3191104,13.88,11.25
2021-07-07,14385914,3600793,14.41,13.88
2021-07-06,17808690,11486334,17.75,14.41
2021-07-05,0.000000000000,25723594,22.40,17.75
2021-07-04,0.000000000000,25723594,22.40,22.40
