date,mktcap,vol,open_price,close_price
2021-10-04,26313485,87972,3331.69,3301.87
2021-10-03,26552781,58261,3360.89,3331.69
2021-10-02,26244128,604238,3322.40,3360.89
2021-10-01,26374001,292515,3366.15,3322.40
2021-09-30,26521127,968553,3370.38,3366.15
2021-09-29,26237444,1202515,3374.41,3370.38
2021-09-28,27202936,93340,3441.20,3374.41
2021-09-27,27386767,13088.08,3483.83,3441.20
2021-09-26,27296568,64668,3475.76,3483.83
2021-09-25,27423276,316074,3472.24,3475.76
2021-09-24,27240103,1084021,3466.33,3472.24
2021-09-23,27412536,2389711,3420.72,3466.33
2021-09-22,26606746,562997,3369.93,3420.72
2021-09-21,26462409,1266883,3400.09,3369.93
2021-09-20,27465414,112891,3515.89,3400.09
2021-09-19,27521764,179144,3523.21,3515.89
2021-09-18,27745143,377950,3540.55,3523.21
2021-09-17,27622484,292238,3526.34,3540.55
2021-09-16,28030743,1583064,3535.56,3526.34
2021-09-15,27625846,784253,3520.60,3535.56
2021-09-14,27505626,1457295,3490.77,3520.60
2021-09-13,27808718,30702,3560.82,3490.77
2021-09-12,27941694,125116,3579.55,3560.82
2021-09-11,28094409,533275,3598.86,3579.55
2021-09-10,28062229,242502,3597.55,3598.86
2021-09-09,28207128,1014052,3574.49,3597.55
2021-09-08,28334276,281561,3524.97,3574.49
2021-09-07,28190261,267896,3509.03,3524.97
2021-09-06,28336656,275264,3524.44,3509.03
2021-09-05,28136209,118809,3507.10,3524.44
2021-09-04,27821420,242011,3457.62,3507.10
2021-09-03,28030437,8476968,3487.64,3457.62
2021-09-02,28562584,532146,3553.07,3487.64
2021-09-01,27687699,422873,3463.63,3553.07
2021-08-31,27873818,398402,3451.49,3463.63
2021-08-30,27598676,140491,3412.00,3451.49
2021-08-29,27510882,66032,3398.67,3412.00
2021-08-28,27412367,1501008,3388.08,3398.67
2021-08-27,27228674,69814,3367.68,3388.08
2021-08-26,27208177,237347,3367.41,3367.68
2021-08-25,27110827,465991,3344.18,3367.41
2021-08-24,27282804,766116,3297.85,3344.18
2021-08-23,26969630,39371,3253.47,3297.85
2021-08-22,26879579,96964,3260.44,3253.47
2021-08-21,26847290,421403,3254.10,3260.44
2021-08-20,27021001,563369,3343.11,3254.10
2021-08-19,27081850,850201,3310.75,3343.11
2021-08-18,26994007,299317,3332.39,3310.75
2021-08-17,27087197,869780,3340.25,3332.39
2021-08-16,26878744,42568,3351.96,3340.25
2021-08-15,26890744,275488,3353.92,3351.96
2021-08-14,26884252,357788,3354.55,3353.92
2021-08-13,27415395,584843,3360.17,3354.55
2021-08-12,29610111,681624,3361.63,3360.17
2021-08-11,29741404,182492,3383.39,3361.63
2021-08-10,29724298,216003,3386.75,3383.39
2021-08-09,31264896,136767,3381.94,3386.75
2021-08-08,31334077,58993,3400.64,3381.94
2021-08-07,31132275,349431,3374.41,3400.64
2021-08-06,31433150,333215,3397.55,3374.41
2021-08-05,31310447,390586,3398.81,3397.55
2021-08-04,31487214,178627,3431.56,3398.81
2021-08-03,31068007,658268,3384.40,3431.56
2021-08-02,31172626,138790,3413.29,3384.40
2021-08-01,31335825,72790,3437.42,3413.29
2021-07-31,31750803,1004135,3480.36,3437.42
2021-07-30,31396469,2449121,3469.22,3480.36
2021-07-29,32406785,115466,3658.30,3469.22
2021-07-28,32336270,364880,3644.39,3658.30
2021-07-27,32795641,515843,3673.72,3644.39
2021-07-26,32544206,20771,3702.62,3673.72
2021-07-25,32720017,49110,3658.46,3702.62
2021-07-24,32636232,433202,3659.18,3658.46
2021-07-23,32765302,638023,3645.31,3659.18
2021-07-22,32255294,160822,3598.20,3645.31
2021-07-21,32295465,562383,3606.67,3598.20
2021-07-20,32081723,1163546,3556.54,3606.67
2021-07-19,32689024,133941,3622.73,3556.54
2021-07-18,32582774,66185,3612.63,3622.73
2021-07-17,32786559,49389,3629.47,3612.63
2021-07-16,32980254,915575,3653.36,3629.47
2021-07-15,33630663,572903,3712.62,3653.36
2021-07-14,33834836,449992,3725.19,3712.62
2021-07-13,34200356,240484,3747.94,3725.19
2021-07-12,34112817,56195,3739.40,3747.94
2021-07-11,34080321,323911,3735.84,3739.40
2021-07-10,34024422,257305,3729.72,3735.84
2021-07-09,33747683,666847,3744.07,3729.72
2021-07-08,33669821,857031,3732.48,3744.07
2021-07-07,33589332,2281118,3707.46,3732.48
2021-07-06,32429832,424578,3537.15,3707.46
2021-07-05,32635155,338014,3554.57,3537.15
2021-07-04,32392269,422594,3532.76,3554.57
2021-07-03,32257408,448467,3525.06,3532.76
2021-07-02,31752901,596905,3459.69,3525.06
2021-07-01,31550013,246606,3486.73,3459.69
2021-06-30,32697104,343599,3491.15,3486.73
2021-06-29,32804282,1713694,3489.51,3491.15
2021-06-28,32962982,35228,3446.80,3489.51
2021-06-27,32994482,269249,3434.04,3446.80
2021-06-26,32901883,2409801,3469.41,3434.04
2021-06-25,32801618,917583,3489.52,3469.41
2021-06-24,32995549,277691,3534.35,3489.52
2021-06-23,32888047,649366,3521.10,3534.35
2021-06-22,32665490,870568,3501.46,3521.10
2021-06-21,32590680,107912,3521.37,3501.46
2021-06-20,33456489,37245,3601.27,3521.37
2021-06-19,32703024,1508886,3528.69,3601.27
2021-06-18,32440652,1153285,3524.45,3528.69
2021-06-17,31543606,290481,3428.77,3524.45
2021-06-16,31860647,1209997,3410.98,3428.77
2021-06-15,31931530,425192,3414.80,3410.98
2021-06-14,32377959,279456,3394.89,3414.80
2021-06-13,32405466,469604,3392.99,3394.89
2021-06-12,32324774,902353,3379.95,3392.99
2021-06-11,32981470,1332003,3393.23,3379.95
2021-06-10,32359072,452698,3342.95,3393.23
2021-06-09,32375506,1044715,3341.31,3342.95
2021-06-08,31687708,1278605,3249.73,3341.31
2021-06-07,31788921,129379,3282.19,3249.73
2021-06-06,31598857,260906,3262.00,3282.19
2021-06-05,31245722,743620,3255.14,3262.00
2021-06-04,29872874,1826783,3255.54,3255.14
2021-06-03,29973672,479600,3319.00,3255.54
2021-06-02,29334662,975544,3271.91,3319.00
2021-06-01,29335406,846146,3306.22,3271.91
2021-05-31,29334548,101985,3278.94,3306.22
2021-05-30,29123451,571991,3281.04,3278.94
2021-05-29,29397214,680164,3335.75,3281.04
2021-05-28,29032256,631486,3261.99,3335.75
2021-05-27,28020433,1134443,3312.23,3261.99
2021-05-26,27615213,4063192,3274.70,3312.23
2021-05-25,27880136,5221270,3157.66,3274.70
2021-05-24,30942075,7940227,2957.35,3157.66
2021-05-23,33612718,1900802,3177.71,2957.35
2021-05-22,32825850,3515883,3102.48,3177.71
2021-05-21,34980000,5100206,3230.54,3102.48
2021-05-20,35938607,4018600,3194.51,3230.54
2021-05-19,36609921,1866071,3251.76,3194.51
2021-05-18,37559007,1596474,3299.73,3251.76
2021-05-17,37057722,934611,3244.21,3299.73
2021-05-16,37397791,605221,3269.00,3244.21
2021-05-15,37756644,1383361,3297.55,3269.00
2021-05-14,36653407,1858311,3176.46,3297.55
2021-05-13,37210447,2250077,3206.79,3176.46
2021-05-12,37757944,2520365,3252.11,3206.79
2021-05-11,36877950,2947456,3210.39,3252.11
2021-05-10,38152034,444897,3400.53,3210.39
2021-05-09,37294325,72091,3326.34,3400.53
2021-05-08,37389878,1206726,3336.41,3326.34
2021-05-07,38058006,1591356,3369.27,3336.41
2021-05-06,37264633,1663064,3336.88,3369.27
2021-05-05,36765330,3184968,3327.50,3336.88
2021-05-04,36596471,3566480,3439.08,3327.50
2021-05-03,36608363,536514,3584.99,3439.08
2021-05-02,36887363,345622,3586.32,3584.99
2021-05-01,36897643,1519273,3514.92,3586.32
2021-04-30,37652059,2007782,3670.22,3514.92
2021-04-29,35845286,1250142,3508.57,3670.22
2021-04-28,35348823,1293764,3465.53,3508.57
2021-04-27,35194590,2329383,3447.89,3465.53
2021-04-26,34387131,539904,3431.42,3447.89
2021-04-25,34096184,589446,3378.34,3431.42
2021-04-24,34262804,1469032,3436.83,3378.34
