date,mktcap,vol,open_price,close_price
2021-10-04,28627967,190255,370.61,364.72
2021-10-03,28391327,26052,369.55,370.61
2021-10-02,28292324,390541,369.01,369.55
2021-10-01,28537904,264832,372.35,369.01
2021-09-30,28661013,200194,373.52,372.35
2021-09-29,28574024,424604,372.39,373.52
2021-09-28,28913606,1309744,373.72,372.39
2021-09-27,28837370,81287,385.07,373.72
2021-09-26,28901310,121892,385.71,385.07
2021-09-25,28726909,827823,382.64,385.71
2021-09-24,28763837,423514,387.21,382.64
2021-09-23,28234538,1243838,380.92,387.21
2021-09-22,27411216,1177207,371.76,380.92
2021-09-21,27538559,861273,375.39,371.76
2021-09-20,28425592,185453,388.90,375.39
2021-09-19,28288742,2008142,387.85,388.90
2021-09-18,28223483,737241,385.44,387.85
2021-09-17,28662413,170414,386.65,385.44
2021-09-16,28804672,731612,389.43,386.65
2021-09-15,28503392,1933800,386.73,389.43
2021-09-14,28177241,632111,384.99,386.73
2021-09-13,28180767,760517,381.49,384.99
2021-09-12,28442380,177976,389.15,381.49
2021-09-11,28331480,257957,387.80,389.15
2021-09-10,28387680,386953,388.76,387.80
2021-09-09,28018571,592766,384.10,388.76
2021-09-08,28095581,959021,388.45,384.10
2021-09-07,27986193,191213,389.50,388.45
2021-09-06,27870268,47056,387.17,389.50
2021-09-05,27787787,69813,386.70,387.17
2021-09-04,27905360,208997,388.59,386.70
2021-09-03,27723872,213097,386.67,388.59
2021-09-02,28467418,542673,383.54,386.67
2021-09-01,28294595,388641,382.96,383.54
2021-08-31,28314474,187335,385.07,382.96
2021-08-30,27966852,99936,379.44,385.07
2021-08-29,28257611,39302,383.92,379.44
2021-08-28,28089709,177083,381.83,383.92
2021-08-27,28114853,394814,382.73,381.83
2021-08-26,28096468,604564,384.47,382.73
2021-08-25,27649505,281894,377.83,384.47
2021-08-24,28557661,804389,375.28,377.83
2021-08-23,28164110,145691,371.17,375.28
2021-08-22,27963098,265859,369.26,371.17
2021-08-21,28191949,496263,372.55,369.26
2021-08-20,27883046,1328494,376.47,372.55
2021-08-19,27937128,370382,375.66,376.47
2021-08-18,27465732,446197,369.49,375.66
2021-08-17,27583987,636291,374.39,369.49
2021-08-16,27424630,419238,376.40,374.39
2021-08-15,27395244,283883,376.56,376.40
2021-08-14,27298496,382643,376.04,376.56
2021-08-13,27140919,601997,374.74,376.04
2021-08-12,26750704,902117,369.20,374.74
2021-08-11,26925016,1320154,375.00,369.20
2021-08-10,26214486,391213,371.50,375.00
2021-08-09,28093644,149634,376.92,371.50
2021-08-08,28013435,104312,376.76,376.92
2021-08-07,27798264,422504,373.88,376.76
2021-08-06,27608763,42747,369.01,373.88
2021-08-05,27515039,364170,369.19,369.01
2021-08-04,27640634,278171,370.30,369.19
2021-08-03,27682845,474327,369.14,370.30
2021-08-02,27432462,179876,367.67,369.14
2021-08-01,27549991,300528,368.03,367.67
2021-07-31,27812071,330527,371.36,368.03
2021-07-30,27841796,562554,369.28,371.36
2021-07-29,27477862,140860,367.28,369.28
2021-07-28,27348316,1022466,365.57,367.28
2021-07-27,27861717,710744,368.41,365.57
2021-07-26,28379003,356036,376.32,368.41
2021-07-25,28540466,2199733,374.60,376.32
2021-07-24,28114545,542344,368.66,374.60
2021-07-23,26645274,292977,364.63,368.66
2021-07-22,26613456,783335,362.49,364.63
2021-07-21,26588782,484292,362.54,362.49
2021-07-20,26510633,673232,357.20,362.54
2021-07-19,35532578,96929,360.57,357.20
2021-07-18,35361562,546647,358.83,360.57
2021-07-17,36053863,45225,362.87,358.83
2021-07-16,35668880,1382125,361.01,362.87
2021-07-15,36136716,926520,364.45,361.01
2021-07-14,36463976,457995,365.83,364.45
