date,mktcap,vol,open_price,close_price
2021-10-04,25274667,29132,63.43,60.66
2021-10-03,25332545,175145,63.61,63.43
2021-10-02,25199648,271780,63.35,63.61
2021-10-01,25043569,160078,63.09,63.35
2021-09-30,25100514,709468,63.12,63.09
2021-09-29,25508918,507888,64.93,63.12
2021-09-28,26249037,319026,66.14,64.93
2021-09-27,26949945,44502,68.51,66.14
2021-09-26,26893665,24846,68.31,68.51
2021-09-25,26924655,448810,68.12,68.31
2021-09-24,26613201,492999,67.61,68.12
2021-09-23,26159936,701271,65.19,67.61
2021-09-22,25471487,311938,63.59,65.19
2021-09-21,24915302,361511,62.22,63.59
2021-09-20,25361293,68988,63.34,62.22
2021-09-19,25464430,25062,63.67,63.34
2021-09-18,25426240,606636,63.39,63.67
2021-09-17,25322901,611340,63.73,63.39
2021-09-16,25104503,841902,62.87,63.73
2021-09-15,24721641,731957,62.07,62.87
2021-09-14,24180636,1412491,61.02,62.07
2021-09-13,24525669,6889.25,64.17,61.02
2021-09-12,24621107,79803,64.29,64.17
2021-09-11,24552851,649957,64.09,64.29
2021-09-10,24355188,248056,64.69,64.09
2021-09-09,24332504,900229,64.54,64.69
2021-09-08,24846731,697593,67.13,64.54
2021-09-07,24559103,81583,67.00,67.13
2021-09-06,24732300,154717,67.35,67.00
2021-09-05,24515111,250597,66.78,67.35
2021-09-04,24015440,322632,65.44,66.78
2021-09-03,24256938,241226,66.31,65.44
2021-09-02,25334468,832399,67.71,66.31
2021-09-01,24644750,285243,65.88,67.71
2021-08-31,24836550,469678,65.35,65.88
2021-08-30,24455382,9253.15,64.48,65.35
2021-08-29,24536678,13510.04,64.75,64.48
2021-08-28,24477215,457304,64.43,64.75
2021-08-27,24362882,89683,64.41,64.43
2021-08-26,24601761,102844,65.05,64.41
2021-08-25,24620498,426684,65.02,65.05
2021-08-24,24792917,1022741,64.79,65.02
2021-08-23,24455509,71890,63.99,64.79
2021-08-22,24214595,21997,63.58,63.99
2021-08-21,24236444,379205,63.62,63.58
2021-08-20,24209283,615132,64.87,63.62
2021-08-19,24150665,200695,64.37,64.87
2021-08-18,24026700,242915,63.97,64.37
2021-08-17,24229743,1341995,64.94,63.97
2021-08-16,24153669,72438,66.25,64.94
2021-08-15,24001368,158197,65.90,66.25
2021-08-14,24115276,130138,66.21,65.90
2021-08-13,24285436,882091,66.82,66.21
2021-08-12,24480137,314638,67.05,66.82
2021-08-11,24723184,616678,67.50,67.05
2021-08-10,24993152,117243,68.61,67.50
2021-08-09,26620731,22814,68.41,68.61
2021-08-08,26693868,87019,68.83,68.41
2021-08-07,26694553,530641,68.87,68.83
2021-08-06,27083387,316345,69.62,68.87
2021-08-05,26890529,605375,69.25,69.62
2021-08-04,27092367,255193,70.33,69.25
2021-08-03,27278801,186257,70.40,70.33
2021-08-02,27188301,173091,70.33,70.40
2021-08-01,27261523,29719,70.73,70.33
2021-07-31,27348492,187859,70.98,70.73
2021-07-30,27510697,88557,71.47,70.98
2021-07-29,27530673,789433,71.07,71.47
2021-07-28,26948079,902176,69.44,71.07
2021-07-27,26770750,1171241,70.05,69.44
2021-07-26,27843085,18142.67,73.27,70.05
2021-07-25,27697533,92510,72.37,73.27
2021-07-24,28124978,2072608,73.46,72.37
2021-07-23,27985888,4425869,73.43,73.46
2021-07-22,27000120,679217,69.60,73.43
2021-07-21,26854304,1092651,68.83,69.60
2021-07-20,26608919,1089161,66.88,68.83
2021-07-19,26764069,28000,67.82,66.88
2021-07-18,26841512,437624,67.81,67.82
2021-07-17,26848439,238440,67.97,67.81
2021-07-16,27221144,3513946,69.39,67.97
2021-07-15,29890854,1064528,71.24,69.39
2021-07-14,30018769,500543,70.67,71.24
