date,mktcap,vol,open_price,close_price
2021-10-04,1326255,114.79,0.00013836,0.00013517
2021-10-03,1256308,4091.28,0.00013157,0.00013836
2021-10-02,1267743,4114.25,0.00013231,0.00013157
2021-10-01,1155815,32086,0.00012058,0.00013231
2021-09-30,1090725,32695,0.00011388,0.00012058
2021-09-29,1096335,33047,0.00011398,0.00011388
2021-09-28,1142131,37800,0.00011810,0.00011398
2021-09-27,1180778,31943,0.00012263,0.00011810
2021-09-26,1121330,39149,0.00011772,0.00012263
2021-09-25,1134650,57377,0.00011735,0.00011772
2021-09-24,603115,2065.67,0.00006322,0.00011735
2021-09-23,588489,11170.82,0.00006109,0.00006322
2021-09-22,527063,38163,0.00005499,0.00006109
2021-09-21,577999,34023,0.00005991,0.00005499
2021-09-20,633577,44100,0.00006647,0.00005991
2021-09-19,655418,38343,0.00006861,0.00006647
2021-09-18,661726,2.25,0.00006811,0.00006861
2021-09-17,1039462,12.59,0.00007036,0.00006811
2021-09-16,1022231,3473.46,0.00010894,0.00007036
2021-09-15,974759,38491,0.00010265,0.00010894
2021-09-14,944460,7347.14,0.00009905,0.00010265
2021-09-13,648217,263.45,0.00006762,0.00009905
2021-09-12,633443,11824.08,0.00006516,0.00006762
2021-09-11,610376,40728,0.00006419,0.00006516
2021-09-10,663244,48026,0.00006921,0.00006419
2021-09-09,680370,48645,0.00007057,0.00006921
2021-09-08,660404,38596,0.00006890,0.00007057
2021-09-07,752987,52186,0.00007830,0.00006890
2021-09-06,754923,56694,0.00007897,0.00007830
2021-09-05,746201,53889,0.00007779,0.00007897
2021-09-04,747816,36079,0.00007821,0.00007779
2021-09-03,727942,40356,0.00007585,0.00007821
2021-09-02,723219,42180,0.00007561,0.00007585
2021-09-01,660069,31055,0.00006886,0.00007561
2021-08-31,630827,32489,0.00006541,0.00006886
2021-08-30,624538,49668,0.00006479,0.00006541
2021-08-29,622376,45717,0.00006489,0.00006479
2021-08-28,626793,52711,0.00006537,0.00006489
2021-08-27,602066,47733,0.00006255,0.00006537
2021-08-26,617161,38559,0.00006428,0.00006255
2021-08-25,615507,22072,0.00006393,0.00006428
2021-08-24,638058,39069,0.00006648,0.00006393
2021-08-23,622706,35361,0.00006496,0.00006648
2021-08-22,621529,38922,0.00006481,0.00006496
2021-08-21,627432,29111,0.00006548,0.00006481
2021-08-20,586015,31464,0.00006185,0.00006548
2021-08-19,582717,33058,0.00006104,0.00006185
2021-08-18,580256,41665,0.00006042,0.00006104
2021-08-17,916403,33848,0.00009495,0.00006042
2021-08-16,952133,48673,0.00009927,0.00009495
2021-08-15,938377,41026,0.00009804,0.00009927
