date,mktcap,vol,open_price,close_price
2021-10-04,1503276,17110.23,38.88,35.85
2021-10-03,1514078,3370.70,39.97,38.88
2021-10-02,1540156,11916.61,38.98,39.97
2021-10-01,1386500,11747.54,35.23,38.98
2021-09-30,1417231,2626.25,35.53,35.23
2021-09-29,1350039,3535.39,35.12,35.53
2021-09-28,1456491,21827,37.02,35.12
2021-09-27,1664022,1611.06,41.96,37.02
2021-09-26,1619851,3449.24,40.43,41.96
2021-09-25,1556726,5464.89,40.90,40.43
2021-09-24,1738619,87627,44.14,40.90
2021-09-23,1321505,1808.54,33.47,44.14
2021-09-22,1241816,9367.80,31.65,33.47
2021-09-21,1286954,33153,32.65,31.65
2021-09-20,1523206,1806.02,38.30,32.65
2021-09-19,1568965,15756.21,40.10,38.30
2021-09-18,1632206,52823,41.60,40.10
2021-09-17,2037408,21370,52.17,41.60
2021-09-16,2028738,105480,51.94,52.17
2021-09-15,1740411,14899.69,44.90,51.94
2021-09-14,1600708,107123,41.34,44.90
2021-09-13,2045378,72568,52.82,41.34
2021-09-12,2431968,83743,62.49,52.82
2021-09-11,2188067,60258,56.50,62.49
2021-09-10,2126748,1015242,54.92,56.50
2021-09-09,2340657,330087,59.91,54.92
2021-09-08,2009398,384812,51.89,59.91
2021-09-07,837598,9445.97,21.28,51.89
2021-09-06,844872,1731.55,22.29,21.28
2021-09-05,844872,1731.55,22.29,22.29
2021-09-04,865439,0.000000000000,22.35,22.29
2021-09-03,816067,2706.83,21.18,22.35
2021-09-02,816067,2706.83,21.18,21.18
2021-09-01,698614,1645.03,19.12,21.18
2021-08-31,680971,1854.34,17.66,19.12
2021-08-30,696864,2528.41,17.93,17.66
2021-08-29,697648,70503,18.02,17.93
2021-08-28,698140,11875.02,18.11,18.02
2021-08-27,726538,216.94,18.73,18.11
2021-08-26,748827,14977.44,19.41,18.73
2021-08-25,717022,3488.00,18.57,19.41
2021-08-24,759083,5260.54,19.65,18.57
2021-08-23,761201,3538.75,19.71,19.65
2021-08-22,787171,6953.04,20.32,19.71
2021-08-21,794843,3636.74,20.62,20.32
2021-08-20,763563,917.67,19.92,20.62
2021-08-19,755421,7352.56,19.56,19.92
2021-08-18,766336,4510.86,19.85,19.56
2021-08-17,819309,9176.58,21.07,19.85
2021-08-16,842191,8469.37,21.83,21.07
2021-08-15,848956,2331.92,21.78,21.83
2021-08-14,845261,4843.84,21.91,21.78
2021-08-13,785244,2383.07,20.37,21.91
2021-08-12,834785,12653.49,21.61,20.37
2021-08-11,826793,1453.69,21.74,21.61
2021-08-10,825731,6820.36,21.87,21.74
2021-08-09,829546,10169.90,21.63,21.87
2021-08-08,912271,12428.31,24.06,21.63
2021-08-07,925960,3748.40,24.36,24.06
2021-08-06,894869,7261.81,23.48,24.36
2021-08-05,891938,26367,23.43,23.48
2021-08-04,784581,30324,20.64,23.43
2021-08-03,864747,81529,22.72,20.64
2021-08-02,750283,2280.56,19.69,22.72
2021-08-01,715684,4908.67,18.82,19.69
2021-07-31,717230,12579.32,18.94,18.82
2021-07-30,721408,4525.95,19.00,18.94
2021-07-29,714322,188.54,18.85,19.00
2021-07-28,710949,525.56,18.59,18.85
2021-07-27,699800,6055.73,18.33,18.59
2021-07-26,671641,1131.18,17.67,18.33
2021-07-25,675432,737.87,17.94,17.67
2021-07-24,656266,3407.59,17.40,17.94
2021-07-23,652143,4034.43,17.18,17.40
2021-07-22,637527,41944,16.90,17.18
2021-07-21,572965,11079.16,15.17,16.90
2021-07-20,656103,78950,17.28,15.17
2021-07-19,679511,940.62,17.90,17.28
2021-07-18,685801,490.50,18.00,17.90
2021-07-17,680962,3231.11,17.88,18.00
2021-07-16,680477,1999.60,17.93,17.88
2021-07-15,700507,3173.41,18.41,17.93
2021-07-14,709812,1870.59,18.71,18.41
2021-07-13,758950,214.32,19.98,18.71
2021-07-12,779741,99.54,20.89,19.98
2021-07-11,765596,7122.41,20.48,20.89
2021-07-10,801020,24846,21.43,20.48
2021-07-09,854196,1411.20,22.96,21.43
2021-07-08,966102,291.92,25.65,22.96
2021-07-07,929136,12499.84,24.91,25.65
2021-07-06,1005682,999.95,26.81,24.91
2021-07-05,1049101,21223,28.07,26.81
2021-07-04,972333,18694.98,26.12,28.07
2021-07-03,880804,805.35,23.50,26.12
2021-07-02,907998,21.10,24.40,23.50
2021-07-01,915908,24472,24.53,24.40
2021-06-30,942521,541.83,25.36,24.53
2021-06-29,892454,435.96,24.03,25.36
2021-06-28,825632,111.11,22.22,24.03
2021-06-27,768787,10122.83,20.61,22.22
2021-06-26,738989,100.60,19.94,20.61
2021-06-25,803465,6480.12,21.48,19.94
2021-06-24,793739,215.73,21.47,21.48
2021-06-23,777907,20358,20.56,21.47
2021-06-22,937880,23120,22.82,20.56
2021-06-21,1130576,11036.80,30.20,22.82
2021-06-20,1015353,47111,29.24,30.20
2021-06-19,1026056,14530.69,27.72,29.24
2021-06-18,1110979,20442,29.82,27.72
2021-06-17,1233166,19983.13,33.00,29.82
2021-06-16,1396355,9436.78,37.47,33.00
2021-06-15,1434140,21519,38.63,37.47
2021-06-14,1433894,42168,38.45,38.63
2021-06-13,1237328,12691.83,33.14,38.45
2021-06-12,1328692,2349.79,34.46,33.14
2021-06-11,1345952,5465.27,36.06,34.46
2021-06-10,1422764,397.75,39.77,36.06
2021-06-09,1365804,297.82,38.25,39.77
2021-06-08,1402133,2661.54,38.99,38.25
2021-06-07,1458187,49639,41.17,38.99
2021-06-06,1253595,11638.66,35.15,41.17
2021-06-05,1258094,4561.49,36.06,35.15
2021-06-04,1374773,3562.85,39.52,36.06
2021-06-03,1319544,7273.72,37.78,39.52
2021-06-02,1218723,755.13,34.95,37.78
2021-06-01,1242997,31650,35.59,34.95
2021-05-31,990243,2839.45,28.39,35.59
2021-05-30,934860,8438.73,26.78,28.39
2021-05-29,1052168,12002.03,30.32,26.78
2021-05-28,1297529,6438.53,37.16,30.32
2021-05-27,1364600,19365.91,39.21,37.16
2021-05-26,1286701,30902,36.81,39.21
2021-05-25,1286035,37172,37.02,36.81
2021-05-24,955972,23037,27.99,37.02
2021-05-23,1223422,16051.39,35.07,27.99
2021-05-22,1341743,34767,38.47,35.07
2021-05-21,1671643,13895.19,47.65,38.47
2021-05-20,1522281,11251.84,43.02,47.65
2021-05-19,2193268,111322,62.81,43.02
2021-05-18,1773836,88368,51.24,62.81
2021-05-17,1973448,24125,58.05,51.24
2021-05-16,2296522,9890.35,63.94,58.05
2021-05-15,2455336,6850.05,70.37,63.94
2021-05-14,2166557,28738,63.15,70.37
2021-05-13,2626202,7417.78,75.41,63.15
2021-05-12,2561922,151234,77.42,75.41
2021-05-11,3076551,12424.54,89.89,77.42
2021-05-10,3089454,14353.73,89.99,89.89
2021-05-09,3127434,28062,91.41,89.99
2021-05-08,3055140,83982,89.23,91.41
2021-05-07,3441771,45261,100.47,89.23
2021-05-06,3810072,49329,111.36,100.47
2021-05-05,3673738,69167,106.91,111.36
2021-05-04,4217030,86244,123.04,106.91
2021-05-03,3671557,153513,107.21,123.04
2021-05-02,3927087,87942,114.52,107.21
2021-05-01,3986448,10365.32,115.72,114.52
2021-04-30,3986614,98371,115.88,115.72
2021-04-29,3787425,101533,110.74,115.88
2021-04-28,3486788,53896,101.86,110.74
2021-04-27,3469652,27767,101.48,101.86
2021-04-26,3217925,29851,94.00,101.48
2021-04-25,3367260,45965,96.24,94.00
2021-04-24,3330755,108590,97.54,96.24
2021-04-23,3424988,92756,101.55,97.54
2021-04-22,4068006,83690,118.91,101.55
2021-04-21,3977604,121901,116.01,118.91
2021-04-20,3917265,89385,114.50,116.01
2021-04-19,4198296,56019,122.48,114.50
