date,mktcap,vol,open_price,close_price
2021-10-04,13566364,58366,17.98,17.71
2021-10-03,13315081,68898,17.66,17.98
2021-10-02,12556489,147116,16.68,17.66
2021-10-01,11699271,139810,15.55,16.68
2021-09-30,10656237,512523,14.18,15.55
2021-09-29,10387031,46193,13.74,14.18
2021-09-28,11312629,363734,15.03,13.74
2021-09-27,13062903,467378,17.45,15.03
2021-09-26,10797296,107229,14.47,17.45
2021-09-25,11229048,151734,15.00,14.47
2021-09-24,11711512,181086,15.64,15.00
2021-09-23,12431395,141618,16.62,15.64
2021-09-22,11245304,215377,15.02,16.62
2021-09-21,11565525,89717,15.53,15.02
2021-09-20,14559535,52536,19.51,15.53
2021-09-19,14537235,225275,19.48,19.51
2021-09-18,13849105,123788,19.24,19.48
2021-09-17,15046836,497024,20.91,19.24
2021-09-16,15281579,131479,21.25,20.91
2021-09-15,14437276,193667,20.12,21.25
2021-09-14,14030875,308865,19.53,20.12
2021-09-13,17035115,86068,23.68,19.53
2021-09-12,16482678,213983,23.11,23.68
2021-09-11,15005972,201502,20.91,23.11
2021-09-10,15793897,195174,22.07,20.91
2021-09-09,16348733,187856,22.87,22.07
2021-09-08,17264815,418515,24.20,22.87
2021-09-07,21936386,146968,30.73,24.20
2021-09-06,21415895,359507,30.06,30.73
2021-09-05,20262813,470979,28.44,30.06
2021-09-04,19319996,469531,27.15,28.44
2021-09-03,22228752,489884,31.24,27.15
2021-09-02,20627775,495961,29.00,31.24
2021-09-01,18315550,490734,25.78,29.00
2021-08-31,19250225,452029,27.03,25.78
2021-08-30,20918428,296152,29.47,27.03
2021-08-29,22049344,682720,31.11,29.47
2021-08-28,21858923,637483,30.83,31.11
2021-08-27,21479505,597247,30.33,30.83
2021-08-26,24193659,551270,34.23,30.33
2021-08-25,25530101,866082,36.12,34.23
2021-08-24,25611238,925523,36.21,36.12
2021-08-23,22315583,328077,31.42,36.21
2021-08-22,22231241,521499,31.55,31.42
2021-08-21,24619589,540305,35.06,31.55
2021-08-20,22414497,578383,32.31,35.06
2021-08-19,22477865,649823,31.91,32.31
2021-08-18,25399357,1142058,36.05,31.91
2021-08-17,29895574,561237,42.24,36.05
2021-08-16,33955716,764256,48.45,42.24
2021-08-15,31934589,666279,45.57,48.45
2021-08-14,31457244,596213,44.93,45.57
2021-08-13,28485172,461954,41.11,44.93
2021-08-12,28915981,812138,41.38,41.11
2021-08-11,31528649,553459,45.11,41.38
2021-08-10,34069698,1161954,49.82,45.11
2021-08-09,33522074,782635,48.05,49.82
2021-08-08,38053915,1035131,55.18,48.05
2021-08-07,38224467,1953262,54.96,55.18
2021-08-06,39293344,5491864,56.59,54.96
2021-08-05,27740984,745273,39.42,56.59
2021-08-04,28979566,746011,43.10,39.42
2021-08-03,29576067,1188184,44.14,43.10
2021-08-02,33668645,3690783,50.35,44.14
2021-08-01,28153259,2699416,42.08,50.35
2021-07-31,15217309,343946,22.72,42.08
2021-07-30,16288409,223622,24.40,22.72
2021-07-29,17073945,294740,25.60,24.40
2021-07-28,16443802,205902,24.75,25.60
2021-07-27,17075122,586650,25.51,24.75
2021-07-26,16642088,264965,25.04,25.51
2021-07-25,17173855,467570,25.88,25.04
2021-07-24,15988278,341491,24.09,25.88
2021-07-23,15122420,223136,22.79,24.09
2021-07-22,14597908,553228,21.96,22.79
2021-07-21,12459585,287169,18.82,21.96
2021-07-20,14232046,485247,21.48,18.82
2021-07-19,15567498,325806,23.57,21.48
2021-07-18,16979252,260509,25.70,23.57
2021-07-17,17687899,579385,26.76,25.70
2021-07-16,17489537,638267,26.49,26.76
2021-07-15,19638780,478208,29.81,26.49
2021-07-14,16898530,321378,25.66,29.81
2021-07-13,18984858,366033,28.83,25.66
2021-07-12,19033041,342126,28.95,28.83
2021-07-11,20209210,685643,30.77,28.95
2021-07-10,19171319,520697,29.21,30.77
2021-07-09,17503607,395150,26.73,29.21
2021-07-08,21236756,626426,32.57,26.73
2021-07-07,17687812,420494,27.05,32.57
2021-07-06,16827623,632317,25.35,27.05
2021-07-05,20048334,1087225,30.74,25.35
2021-07-04,17003334,1147745,26.17,30.74
2021-07-03,11647286,407046,17.89,26.17
2021-07-02,12178405,536748,18.67,17.89
2021-07-01,13721305,650956,21.30,18.67
2021-06-30,10692831,316774,16.42,21.30
2021-06-29,10152789,293154,15.68,16.42
2021-06-28,9850012,204150,15.13,15.68
2021-06-27,8410190,292249,13.08,15.13
2021-06-26,8041064,147118,12.42,13.08
2021-06-25,9661027,264003,14.60,12.42
2021-06-24,8592741,567080,13.20,14.60
2021-06-23,7293394,249459,11.23,13.20
2021-06-22,8133545,196714,12.58,11.23
2021-06-21,10488367,254117,16.17,12.58
2021-06-20,9847562,186719,15.15,16.17
2021-06-19,9976807,449745,15.39,15.15
2021-06-18,11950809,273962,18.38,15.39
2021-06-17,10648468,961683,16.48,18.38
2021-06-16,12598762,428606,19.41,16.48
2021-06-15,11542337,413051,17.95,19.41
2021-06-14,11004083,823883,17.23,17.95
2021-06-13,9350264,140815,14.44,17.23
2021-06-12,9452536,276271,14.82,14.44
2021-06-11,10328862,258504,16.07,14.82
2021-06-10,11863006,691061,18.47,16.07
2021-06-09,10650647,366604,16.57,18.47
2021-06-08,11175373,346788,17.52,16.57
2021-06-07,13515600,492279,21.18,17.52
2021-06-06,11389332,779610,18.05,21.18
2021-06-05,13622983,612028,21.22,18.05
2021-06-04,15669253,461767,24.53,21.22
2021-06-03,16444334,1502502,25.49,24.53
2021-06-02,14975612,1373592,23.65,25.49
2021-06-01,10597596,148832,16.71,23.65
2021-05-31,9080690,141764,14.45,16.71
2021-05-30,8724817,190503,13.84,14.45
2021-05-29,8906218,280991,14.21,13.84
2021-05-28,11514237,405577,18.35,14.21
2021-05-27,11789127,886108,18.83,18.35
2021-05-26,10846601,367261,17.34,18.83
2021-05-25,10656149,424573,17.14,17.34
2021-05-24,7187315,334280,11.60,17.14
2021-05-23,8429289,237113,13.59,11.60
2021-05-22,9274842,429261,15.15,13.59
2021-05-21,14122289,1327795,22.74,15.15
2021-05-20,9295017,1116948,14.79,22.74
2021-05-19,10923890,383595,17.60,14.79
2021-05-18,13371337,156509,21.74,17.60
2021-05-17,15068019,419510,24.88,21.74
2021-05-16,14847619,170755,24.49,24.88
2021-05-15,17335323,628425,28.47,24.49
2021-05-14,17014387,471986,28.02,28.47
2021-05-13,19573930,470483,31.43,28.02
2021-05-12,21122080,1109452,34.95,31.43
2021-05-11,20556408,442818,33.89,34.95
2021-05-10,21277062,427805,35.06,33.89
2021-05-09,22559105,300410,37.32,35.06
2021-05-08,20875443,293588,34.46,37.32
2021-05-07,21171833,205719,35.34,34.46
2021-05-06,22704341,365109,37.94,35.34
2021-05-05,21493401,1047703,35.82,37.94
2021-05-04,23643790,817237,39.72,35.82
2021-05-03,19142105,420053,32.02,39.72
2021-05-02,18650539,1154430,31.23,32.02
2021-05-01,17496823,1001449,30.16,31.23
2021-04-30,14424508,676872,24.40,30.16
2021-04-29,16596861,968443,27.89,24.40
2021-04-28,19605258,956281,33.03,27.89
2021-04-27,19715933,1308859,34.13,33.03
2021-04-26,16430581,454227,28.48,34.13
2021-04-25,15391498,240004,26.61,28.48
2021-04-24,16133701,445336,28.07,26.61
2021-04-23,17949979,872280,31.23,28.07
2021-04-22,19047316,549582,33.16,31.23
2021-04-21,18215832,719477,31.90,33.16
2021-04-20,19075282,1001713,33.26,31.90
2021-04-19,20818401,1137192,36.21,33.26
2021-04-18,21526550,528827,37.49,36.21
2021-04-17,22316727,931158,39.03,37.49
2021-04-16,25750036,1420914,45.44,39.03
2021-04-15,20448011,2069296,35.75,45.44
2021-04-14,24133084,1671468,42.34,35.75
2021-04-13,26053915,1595879,45.74,42.34
2021-04-12,27132545,957115,47.91,45.74
2021-04-11,29276298,1178587,51.14,47.91
2021-04-10,31294232,1141529,55.19,51.14
