date,mktcap,vol,open_price,close_price
2021-09-30,30607,190.10,1.87,1.87
2021-09-29,38066,1379.13,1.82,1.87
2021-09-28,38066,1379.13,1.82,1.82
2021-09-03,38066,0.000000000000,2.32,1.82
2021-09-02,38066,0.000000000000,2.32,2.32
2021-08-26,38066,349.36,2.32,2.32
2021-08-25,39388,33.02,2.51,2.32
2021-08-24,39388,33.02,2.51,2.51
2021-08-11,37775,2485.19,2.41,2.51
2021-08-10,37775,2485.19,2.41,2.41
2021-08-03,37502,493.75,2.31,2.41
2021-08-02,38073,800.37,2.32,2.31
2021-08-01,38131,1500.47,2.33,2.32
2021-07-31,38813,1396.62,2.37,2.33
2021-07-30,38813,1396.62,2.37,2.37
2021-07-29,38837,480.09,2.43,2.37
2021-07-28,38837,480.09,2.43,2.43
2021-07-26,39959,1645.58,2.37,2.43
2021-07-25,39959,1645.58,2.37,2.37
2021-07-24,43487,2186.88,2.44,2.37
2021-07-23,42566,1354.43,2.61,2.44
2021-07-22,44689,1611.01,2.73,2.61
2021-07-21,37301,216.59,2.27,2.73
2021-07-20,38717,2341.28,2.36,2.27
2021-07-19,47790,162.91,2.91,2.36
2021-07-18,47790,162.91,2.91,2.91
2021-07-17,48805,91.09,2.90,2.91
2021-07-16,54015,95.20,3.00,2.90
2021-07-15,54015,95.20,3.00,3.00
2021-07-10,57163,1407.82,3.30,3.00
2021-07-09,59074,982.01,3.49,3.30
2021-07-08,66522,800.41,4.00,3.49
2021-07-07,66191,406.20,4.06,4.00
2021-07-06,66363,634.57,3.94,4.06
2021-07-05,69694,12.93,4.31,3.94
2021-07-04,66401,2469.05,4.05,4.31
2021-07-03,66401,2469.05,4.05,4.05
2021-07-02,74202,216.99,4.34,4.05
2021-07-01,74381,7024.26,4.53,4.34
2021-06-30,75248,7057.89,4.55,4.53
2021-06-29,83873,7301.21,4.29,4.55
2021-06-28,75682,286.37,4.63,4.29
2021-06-27,73129,276.19,4.47,4.63
2021-06-26,74111,1206.91,4.61,4.47
2021-06-25,80640,984.64,4.92,4.61
2021-06-24,80640,984.64,4.92,4.92
2021-06-18,103757,3471.38,6.14,4.92
2021-06-17,113211,5501.11,6.38,6.14
2021-06-16,123577,4348.68,7.55,6.38
2021-06-15,127882,20.86,7.81,7.55
2021-06-14,118877,34.95,7.22,7.81
2021-06-13,121306,3313.48,7.41,7.22
2021-06-12,126115,5557.09,7.70,7.41
2021-06-11,122250,428.39,7.51,7.70
2021-06-10,122250,918.30,7.46,7.51
2021-06-09,123147,2343.71,7.45,7.46
2021-06-08,131385,4147.33,8.02,7.45
2021-06-07,134774,5937.37,8.25,8.02
2021-06-06,134774,5937.37,8.25,8.25
2021-05-31,124695,376.17,7.43,8.25
2021-05-30,124695,376.17,7.43,7.43
2021-05-26,124695,380.71,7.61,7.43
2021-05-25,130892,1773.96,8.09,7.61
2021-05-24,108761,1782.04,6.75,8.09
2021-05-23,128407,264.17,7.84,6.75
2021-05-22,128407,264.17,7.84,7.84
2021-05-21,153925,698.12,9.74,7.84
2021-05-20,142815,4221.75,8.72,9.74
2021-05-19,142815,4221.75,8.72,8.72
2021-05-17,220116,9115.28,13.17,8.72
2021-05-16,257449,4899.27,15.00,13.17
2021-05-15,290266,3157.96,15.79,15.00
2021-05-14,277534,708.98,17.72,15.79
2021-05-13,277534,708.98,17.72,17.72
2021-05-10,276644,2948.68,16.95,17.72
2021-05-09,279354,18883.09,16.97,16.95
2021-05-08,244232,2190.39,14.91,16.97
2021-05-07,244232,2190.39,14.91,14.91
2021-05-06,243966,216.95,15.48,14.91
2021-05-05,238380,233.64,14.90,15.48
2021-05-04,229917,1038.25,14.73,14.90
2021-05-03,206802,146.39,12.77,14.73
2021-05-02,201313,203.89,12.34,12.77
2021-05-01,201313,203.89,12.34,12.34
2021-04-30,198408,240.64,12.03,12.34
2021-04-29,197177,751.40,12.01,12.03
2021-04-28,177126,112.01,11.22,12.01
2021-04-27,178088,435.29,10.88,11.22
2021-04-26,162400,510.50,9.99,10.88
2021-04-25,164489,1671.61,10.10,9.99
2021-04-24,172232,8904.64,10.58,10.10
2021-04-23,203600,2161.11,12.61,10.58
2021-04-22,203600,2161.11,12.61,12.61
2021-04-20,179947,1128.17,11.06,12.61
2021-04-19,176743,372.78,11.22,11.06
2021-04-18,204024,1389.56,12.46,11.22
2021-04-17,215029,202.45,13.21,12.46
2021-04-16,212504,1203.28,13.48,13.21
2021-04-15,200868,3088.57,12.34,13.48
2021-04-14,160133,825.98,10.32,12.34
2021-04-13,160133,825.98,10.32,10.32
2021-04-11,156177,272.79,9.53,10.32
2021-04-10,156177,272.79,9.53,9.53
2021-04-08,156177,479.76,9.60,9.53
2021-04-07,154220,13407.56,9.52,9.60
2021-04-06,160729,9222.90,9.36,9.52
2021-04-05,156358,3499.66,9.51,9.36
2021-04-04,156377,9254.02,9.12,9.51
2021-04-03,158143,13512.96,10.34,9.12
2021-04-02,129842,527.18,8.54,10.34
2021-04-01,129842,527.18,8.54,8.54
2021-03-31,123373,87.19,8.17,8.54
2021-03-30,118314,676.16,7.77,8.17
2021-03-29,125573,3318.77,7.45,7.77
2021-03-28,131243,3895.24,8.26,7.45
2021-03-27,131243,3895.24,8.26,8.26
2021-03-24,117402,6653.51,7.89,8.26
2021-03-22,118840,2759.91,7.53,7.89
2021-03-21,110628,1531.51,7.29,7.53
2021-03-20,113285,355.88,7.18,7.29
2021-03-19,113285,355.88,7.18,7.18
2021-03-17,114649,1945.12,7.13,7.18
2021-03-16,107057,2545.87,7.22,7.13
2021-03-15,107057,2545.87,7.22,7.22
2021-03-13,115657,291.21,7.28,7.22
2021-03-12,123058,167.31,7.38,7.28
2021-03-11,123058,167.31,7.38,7.38
2021-03-10,125536,387.30,7.75,7.38
2021-03-09,118664,5906.43,7.62,7.75
2021-03-08,134967,644.17,8.29,7.62
2021-03-07,130118,3991.38,8.19,8.29
2021-03-06,115162,12889.40,6.88,8.19
2021-03-05,105188,7734.19,6.63,6.88
2021-03-04,88599,18002.36,5.28,6.63
2021-03-03,123284,1624.05,7.74,5.28
2021-03-02,116554,297.79,7.31,7.74
2021-03-01,114464,191.28,6.48,7.31
2021-02-28,114446,111.25,7.22,6.48
2021-02-27,115447,554.50,7.03,7.22
2021-02-26,120510,4708.66,7.38,7.03
2021-02-25,135450,3500.80,8.69,7.38
2021-02-24,120817,835.02,7.67,8.69
2021-02-23,133775,8445.96,8.87,7.67
2021-02-22,142909,7331.40,9.02,8.87
2021-02-21,130477,8170.16,8.01,9.02
2021-02-20,114881,14309.66,7.35,8.01
2021-02-19,166319,573.19,10.50,7.35
2021-02-18,167290,4072.54,10.17,10.50
2021-02-17,153626,8792.17,9.72,10.17
2021-02-16,167325,77949,10.40,9.72
2021-02-15,257107,268712,16.20,10.40
2021-02-14,86661,8149.81,5.38,16.20
2021-02-13,104004,2226.52,6.76,5.38
2021-02-12,117123,3577.26,6.84,6.76
2021-02-11,117123,3577.26,6.84,6.84
2021-02-10,120854,748.47,7.87,6.84
2021-02-09,115547,1489.75,7.63,7.87
2021-02-08,111061,2332.55,7.25,7.63
2021-02-07,129357,1622.40,8.17,7.25
2021-02-06,116104,925.93,7.47,8.17
2021-02-05,121335,1611.04,7.35,7.47
2021-02-04,112425,1047.23,7.53,7.35
2021-02-03,116121,2235.24,7.34,7.53
2021-02-02,112047,8659.33,7.07,7.34
2021-02-01,96952,10344.56,6.50,7.07
2021-01-31,84385,2679.26,5.53,6.50
2021-01-30,88725,11417.59,5.99,5.53
2021-01-29,71199,1058.14,4.88,5.99
2021-01-28,74794,2764.30,4.91,4.88
2021-01-27,67943,1258.49,4.76,4.91
2021-01-26,60640,2725.68,4.24,4.76
2021-01-25,78795,5403.85,5.51,4.24
2021-01-24,69849,6592.72,5.33,5.51
2021-01-23,92490,4465.17,6.42,5.33
2021-01-22,102787,4340.43,7.00,6.42
2021-01-21,112081,16598.32,7.87,7.00
2021-01-20,113814,8020.78,7.46,7.87
2021-01-19,96430,19678.21,6.78,7.46
2021-01-18,91040,9344.72,6.41,6.78
2021-01-17,127272,21288,9.37,6.41
2021-01-16,121573,61839,8.66,9.37
2021-01-15,30918,1155.90,3.40,8.66
2021-01-14,30918,1155.90,3.40,3.40
2021-01-13,26738,46.78,2.99,3.40
2021-01-12,31905,293.78,2.66,2.99
2021-01-11,31404,750.38,3.57,2.66
2021-01-10,28235,466.03,3.16,3.57
2021-01-09,29691,227.66,3.40,3.16
2021-01-08,25158,288.21,3.36,3.40
2021-01-07,25158,288.21,3.36,3.36
2021-01-05,27889,199.72,2.85,3.36
2021-01-04,23733,2743.98,2.55,2.85
2021-01-03,26548,579.62,3.28,2.55
2021-01-02,28366,1177.44,3.34,3.28
2021-01-01,25270,284.63,3.07,3.34
2020-12-31,24368,175.33,3.01,3.07
2020-12-30,24368,175.33,3.01,3.01
2020-12-29,24839,74.70,3.06,3.01
2020-12-28,23407,3074.45,2.78,3.06
2020-12-27,31503,1362.48,3.79,2.78
2020-12-26,32339,1319.75,4.02,3.79
2020-12-25,33084,69.44,4.22,4.02
2020-12-24,33340,785.97,4.22,4.22
2020-12-23,38167,955.84,4.84,4.22
2020-12-22,38814,1743.59,4.94,4.84
2020-12-21,43075,2042.15,5.49,4.94
2020-12-20,51246,3103.63,6.40,5.49
2020-12-19,52200,12069.36,6.59,6.40
2020-12-18,44658,4428.94,5.82,6.59
2020-12-17,62913,909.81,8.58,5.82
2020-12-16,58176,6155.49,8.07,8.58
2020-12-15,51230,7143.52,6.87,8.07
2020-12-14,46340,946.07,6.48,6.87
2020-12-13,47956,7416.73,6.54,6.48
2020-12-12,63329,9337.83,7.94,6.54
2020-12-11,79807,2067.86,10.26,7.94
2020-12-10,87113,3386.82,11.41,10.26
2020-12-09,88012,16260.51,11.49,11.41
2020-12-08,84964,6670.85,11.18,11.49
2020-12-07,97608,17732.19,12.95,11.18
2020-12-06,111412,13751.75,14.69,12.95
2020-12-05,102614,1710.92,14.10,14.69
2020-12-04,114336,3309.34,15.59,14.10
2020-12-03,117876,16252.60,16.27,15.59
2020-12-02,118230,4744.09,16.37,16.27
2020-12-01,114011,18115.02,15.24,16.37
2020-11-30,109246,5204.85,14.98,15.24
2020-11-29,114070,15089.34,15.34,14.98
2020-11-28,113113,15000.76,15.51,15.34
2020-11-27,112519,56491,15.40,15.51
2020-11-26,141013,16751.28,19.74,15.40
2020-11-25,141927,17011.08,20.16,19.74
2020-11-24,139191,27885,17.90,20.16
2020-11-23,128629,79626,17.93,17.90
2020-11-22,93985,40020,12.96,17.93
