date,mktcap,vol,open_price,close_price
2021-10-04,389561,817.52,0.00216920,0.00194617
2021-10-03,372641,3095.38,0.00207025,0.00216920
2021-10-02,326995,149.13,0.00181666,0.00207025
2021-10-01,297271,148.12,0.00164829,0.00181666
2021-09-30,287817,131.65,0.00160373,0.00164829
2021-09-29,283744,159.30,0.00157744,0.00160373
2021-09-28,300892,137.21,0.00167152,0.00157744
2021-09-27,311006,139.24,0.00169618,0.00167152
2021-09-26,287510,186.11,0.00160277,0.00169618
2021-09-25,298615,186.64,0.00165190,0.00160277
2021-09-24,320209,146.38,0.00178316,0.00165190
2021-09-23,310415,141.18,0.00171985,0.00178316
2021-09-22,284374,129.11,0.00157278,0.00171985
2021-09-21,302287,137.46,0.00167458,0.00157278
2021-09-20,344218,157.12,0.00191399,0.00167458
2021-09-19,354010,160.90,0.00196010,0.00191399
2021-09-18,448103,520.11,0.00248974,0.00196010
2021-09-17,365208,166.20,0.00202463,0.00248974
2021-09-16,371401,169.24,0.00206161,0.00202463
2021-09-15,333010,526.15,0.00185294,0.00206161
2021-09-14,342072,733.32,0.00189988,0.00185294
2021-09-13,405368,853.43,0.00224443,0.00189988
2021-09-12,343757,736.72,0.00190978,0.00224443
2021-09-11,337862,723.61,0.00187471,0.00190978
2021-09-10,359650,770.12,0.00199523,0.00187471
2021-09-09,357367,766.48,0.00198462,0.00199523
2021-09-08,364840,775.23,0.00200845,0.00198462
2021-09-07,422954,1250.56,0.00235726,0.00200845
2021-09-06,583238,391.45,0.00324024,0.00235726
2021-09-05,407636,1744.70,0.00225289,0.00324024
2021-09-04,413433,1394.77,0.00217833,0.00225289
2021-09-03,407759,1155.57,0.00226535,0.00217833
2021-09-02,434547,1213.96,0.00241206,0.00226535
2021-09-01,369288,320.57,0.00205162,0.00241206
2021-08-31,808170,1365.64,0.00447914,0.00205162
2021-08-30,361446,313.65,0.00200739,0.00447914
2021-08-29,362297,314.14,0.00201049,0.00200739
2021-08-28,361516,353.83,0.00201409,0.00201049
2021-08-27,362325,314.16,0.00201061,0.00201409
2021-08-26,380342,329.78,0.00211061,0.00201061
2021-08-25,360050,312.51,0.00200008,0.00211061
2021-08-24,374952,2083.98,0.00208334,0.00200008
2021-08-23,369050,2050.27,0.00205038,0.00208334
2021-08-22,371621,2261.16,0.00205209,0.00205038
2021-08-21,395661,246.41,0.00220539,0.00205209
2021-08-20,379233,239.87,0.00214685,0.00220539
2021-08-19,379168,235.12,0.00210436,0.00214685
2021-08-18,376970,267.75,0.00208334,0.00210436
2021-08-17,391497,278.88,0.00216997,0.00208334
2021-08-16,438034,390.19,0.00242764,0.00216997
2021-08-15,396472,283.67,0.00220722,0.00242764
2021-08-14,392238,295.27,0.00218044,0.00220722
2021-08-13,360811,271.65,0.00200601,0.00218044
2021-08-12,348830,367.81,0.00193122,0.00200601
2021-08-11,214695,269.11,0.00119607,0.00193122
2021-08-10,352975,1558.60,0.00201858,0.00119607
2021-08-09,352024,1488.88,0.00195923,0.00201858
2021-08-08,360660,1525.58,0.00200752,0.00195923
2021-08-07,346509,1463.71,0.00192610,0.00200752
2021-08-06,340662,1464.76,0.00189828,0.00192610
2021-08-05,333573,1417.27,0.00186500,0.00189828
2021-08-04,317586,1340.32,0.00176374,0.00186500
2021-08-03,328423,1389.71,0.00182459,0.00176374
2021-08-02,321154,1349.38,0.00177566,0.00182459
2021-08-01,326766,1384.64,0.00182206,0.00177566
2021-07-31,317966,1340.03,0.00176336,0.00182206
2021-07-30,313033,1351.87,0.00174646,0.00176336
2021-07-29,301171,1271.51,0.00167319,0.00174646
2021-07-28,292400,365.23,0.00162446,0.00167319
2021-07-27,314017,648.55,0.00174756,0.00162446
2021-07-26,298711,615.88,0.00165952,0.00174756
2021-07-25,289051,896.45,0.00163034,0.00165952
2021-07-24,302799,298.95,0.00168223,0.00163034
2021-07-23,288720,193.88,0.00160198,0.00168223
2021-07-22,289521,130.66,0.00160916,0.00160198
2021-07-21,265730,502.35,0.00146712,0.00160916
2021-07-20,276836,525.63,0.00153509,0.00146712
2021-07-19,285735,552.43,0.00158736,0.00153509
2021-07-18,287831,544.79,0.00159105,0.00158736
2021-07-17,285395,567.01,0.00159287,0.00159105
2021-07-16,297888,564.32,0.00164809,0.00159287
2021-07-15,311996,592.81,0.00173131,0.00164809
2021-07-14,298674,162.40,0.00166777,0.00173131
2021-07-13,312533,86.63,0.00173047,0.00166777
2021-07-12,300593,245.84,0.00166937,0.00173047
2021-07-11,324048,168.96,0.00180012,0.00166937
2021-07-10,328029,171.28,0.00182486,0.00180012
2021-07-09,335356,236.26,0.00186951,0.00182486
2021-07-08,114708,452.43,0.00063516,0.00186951
2021-07-07,344508,91.96,0.00191577,0.00063516
2021-07-06,335285,87.91,0.00183155,0.00191577
2021-07-05,342859,91.46,0.00190539,0.00183155
2021-07-04,327043,87.64,0.00182592,0.00190539
2021-07-03,320193,85.74,0.00178618,0.00182592
2021-07-02,321988,85.83,0.00178815,0.00178618
2021-07-01,348773,96.81,0.00194373,0.00178815
2021-06-30,336208,1584.29,0.00186454,0.00194373
2021-06-29,339258,674.19,0.00189522,0.00186454
2021-06-28,398255,519.32,0.00221582,0.00189522
2021-06-27,307305,249.31,0.00171370,0.00221582
2021-06-26,303860,268.52,0.00168264,0.00171370
2021-06-25,332484,243.03,0.00185416,0.00168264
