date,mktcap,vol,open_price,close_price
2021-10-04,15114950,26005,0.466005,0.467333
2021-10-03,15913151,47196,0.490641,0.466005
2021-10-02,14440903,116082,0.444139,0.490641
2021-10-01,13705217,24798,0.422565,0.444139
2021-09-30,14259304,133792,0.440126,0.422565
2021-09-29,13397798,7986.95,0.412598,0.440126
2021-09-28,13583675,35008,0.415524,0.412598
2021-09-27,12912179,3015.30,0.397055,0.415524
2021-09-26,12595261,5697.46,0.386534,0.397055
2021-09-25,12459830,19791.07,0.385918,0.386534
2021-09-24,13421271,26564,0.415944,0.385918
2021-09-23,12967367,13815.67,0.399634,0.415944
2021-09-22,11573683,43566,0.355747,0.399634
2021-09-21,12251200,15713.30,0.378014,0.355747
2021-09-20,15011866,5041.58,0.462654,0.378014
2021-09-19,15165093,20807,0.467184,0.462654
2021-09-18,14942979,1075.79,0.445158,0.467184
2021-09-17,15175832,23168,0.465621,0.445158
2021-09-16,15364088,13822.88,0.474852,0.465621
2021-09-15,14908500,12201.28,0.459448,0.474852
2021-09-14,13891015,13209.91,0.428230,0.459448
2021-09-13,14044508,10962.85,0.433027,0.428230
2021-09-12,14036117,9861.31,0.432768,0.433027
2021-09-11,13758072,21232,0.424159,0.432768
2021-09-10,15126073,24859,0.467304,0.424159
2021-09-09,15723096,76671,0.482507,0.467304
2021-09-08,13319567,11300.41,0.410420,0.482507
2021-09-07,15007345,55697,0.463463,0.410420
2021-09-06,15544048,1828.79,0.479261,0.463463
2021-09-05,15139585,8070.98,0.466790,0.479261
2021-09-04,15738674,46296,0.485262,0.466790
2021-09-03,14538518,3820.32,0.462627,0.485262
2021-09-02,14367120,59351,0.443500,0.462627
2021-09-01,15453819,90916,0.477466,0.443500
2021-08-31,15261686,94858,0.469648,0.477466
2021-08-30,15510158,42445,0.476760,0.469648
2021-08-29,16893020,30973,0.527875,0.476760
2021-08-28,16739133,63000,0.516255,0.527875
2021-08-27,16120143,40686,0.497553,0.516255
2021-08-26,16424968,129102,0.506550,0.497553
2021-08-25,13911621,580743,0.428929,0.506550
2021-08-24,10216257,311876,0.314997,0.428929
2021-08-23,12730940,5547.15,0.392526,0.314997
2021-08-22,12924981,2626.23,0.398509,0.392526
2021-08-21,13402621,20973,0.413236,0.398509
2021-08-20,12577810,6979.64,0.393414,0.413236
2021-08-19,12462192,11989.23,0.384809,0.393414
2021-08-18,13218477,14512.62,0.407558,0.384809
2021-08-17,13046604,8952.90,0.402068,0.407558
2021-08-16,13665290,6660.65,0.421334,0.402068
2021-08-15,13456697,7895.38,0.413123,0.421334
2021-08-14,13545742,13437.09,0.417648,0.413123
2021-08-13,12349970,14435.92,0.381366,0.417648
2021-08-12,12920923,4167.73,0.398132,0.381366
2021-08-11,12734719,3615.68,0.392643,0.398132
2021-08-10,12401558,494.24,0.372235,0.392643
2021-08-09,12436848,16763.50,0.381679,0.372235
2021-08-08,11927255,36957,0.372924,0.381679
2021-08-07,11926249,40400,0.367715,0.372924
2021-08-06,12143817,37913,0.374424,0.367715
2021-08-05,10579200,4682.89,0.326144,0.374424
2021-08-04,10095348,46672,0.312798,0.326144
