date,mktcap,vol,open_price,close_price
2021-10-04,1470848,180.26,0.154070,0.149100
2021-10-03,1470759,5654.71,0.189057,0.154070
2021-10-02,1759017,185.38,0.144827,0.189057
2021-10-01,1653304,10.39,0.173182,0.144827
2021-09-30,1212332,207.39,0.159535,0.173182
2021-09-29,1430324,254.49,0.115155,0.159535
2021-09-28,1448426,150.80,0.148604,0.115155
2021-09-27,1476782,85.97,0.153199,0.148604
2021-09-26,1282216,65.02,0.145164,0.153199
2021-09-25,1333363,2203.06,0.138987,0.145164
2021-09-24,1558806,182.34,0.161367,0.138987
2021-09-23,1234738,64.67,0.129337,0.161367
2021-09-22,1448786,100.16,0.151759,0.129337
2021-09-21,1523444,7.80,0.156042,0.151759
2021-09-20,1350475,539.37,0.173990,0.156042
2021-09-19,1630087,5297.86,0.167571,0.173990
2021-09-18,1329992,3189.20,0.154112,0.167571
2021-09-17,1353574,1.42,0.141785,0.154112
2021-09-16,1370906,204.56,0.146114,0.141785
2021-09-15,1365578,318.49,0.143043,0.146114
2021-09-14,1283541,0.000000000000,0.134449,0.143043
2021-09-13,1334703,6843.39,0.140120,0.134449
2021-09-12,1334703,810.89,0.139809,0.140120
2021-09-11,1405778,351.19,0.143931,0.139809
2021-09-10,1349538,3985.68,0.142600,0.143931
2021-09-09,1142929,1532.41,0.119720,0.142600
2021-09-08,1234711,27333,0.128727,0.119720
2021-09-07,1388854,7297.19,0.145481,0.128727
2021-09-06,1750082,9412.51,0.186716,0.145481
2021-09-05,2116124,69.11,0.222933,0.186716
2021-09-04,2037617,204.85,0.213381,0.222933
2021-09-03,1882198,53.31,0.197428,0.213381
2021-09-02,1871266,186.77,0.196605,0.197428
2021-09-01,2457734,1830.51,0.254946,0.196605
2021-08-31,2442728,178.44,0.258603,0.254946
2021-08-30,2475948,709.54,0.260859,0.258603
2021-08-29,2458209,2851.43,0.256743,0.260859
2021-08-28,2563655,2056.49,0.268823,0.256743
2021-08-27,2173228,1683.86,0.228669,0.268823
2021-08-26,2219771,1512.23,0.237399,0.228669
2021-08-25,1750608,25.81,0.215086,0.237399
2021-08-24,2168967,139.28,0.228322,0.215086
2021-08-23,2060460,1082.40,0.214105,0.228322
2021-08-22,1978166,333.17,0.201923,0.214105
2021-08-21,1898706,425.73,0.199874,0.201923
2021-08-20,1845652,142.46,0.197863,0.199874
2021-08-19,1893354,151.84,0.199783,0.197863
2021-08-18,1966361,9373.85,0.205974,0.199783
2021-08-17,2758990,19690.51,0.288638,0.205974
2021-08-16,2842353,9.15,0.304947,0.288638
2021-08-15,2372669,227.42,0.249915,0.304947
2021-08-14,2321574,427.60,0.299022,0.249915
2021-08-13,2486138,26.04,0.260420,0.299022
2021-08-12,2561155,68.13,0.272514,0.260420
2021-08-11,2561155,68.13,0.272514,0.272514
2021-08-10,2078530,15.13,0.216086,0.272514
2021-08-09,1990947,47.97,0.208549,0.216086
2021-08-08,2304820,4.73,0.236715,0.208549
2021-08-07,2239428,258.61,0.230906,0.236715
2021-08-06,1961863,57.89,0.206743,0.230906
2021-08-05,2304924,383.38,0.207233,0.206743
2021-08-04,2272885,367.49,0.238630,0.207233
2021-08-03,2275070,304.74,0.238082,0.238630
2021-08-02,2305745,309.15,0.241524,0.238082
2021-08-01,2429209,1166.53,0.254546,0.241524
2021-07-31,1848334,11.62,0.193611,0.254546
2021-07-30,2197296,695.08,0.190432,0.193611
2021-07-29,2183477,194.57,0.185307,0.190432
2021-07-28,2198930,166.06,0.180504,0.185307
2021-07-27,2273444,1138.04,0.224466,0.180504
2021-07-26,1736681,140.44,0.182393,0.224466
2021-07-25,1735977,99.46,0.221011,0.182393
2021-07-24,1641977,241.51,0.217576,0.221011
2021-07-23,2125942,153.66,0.222690,0.217576
2021-07-22,1734453,2660.08,0.183430,0.222690
2021-07-21,1792359,1100.83,0.186124,0.183430
2021-07-20,1747272,8.21,0.205282,0.186124
2021-07-19,2239900,47.04,0.235187,0.205282
2021-07-18,1702251,1143.83,0.197212,0.235187
2021-07-17,1916811,1189.90,0.200784,0.197212
2021-07-16,1887954,587.47,0.201387,0.200784
2021-07-15,1711901,34.61,0.194728,0.201387
2021-07-14,2035769,3227.29,0.215803,0.194728
2021-07-13,2072645,440.07,0.216995,0.215803
2021-07-12,1740570,2611.37,0.181598,0.216995
2021-07-11,1893321,39.97,0.199829,0.181598
2021-07-10,1897407,133.69,0.199531,0.199829
2021-07-09,1895518,200.18,0.196253,0.199531
2021-07-08,2200783,869.10,0.230529,0.196253
2021-07-07,2361813,595.14,0.201059,0.230529
2021-07-06,2243947,1122.69,0.238117,0.201059
2021-07-05,2372698,130.61,0.247542,0.238117
2021-07-04,1569838,158.68,0.188906,0.247542
2021-07-03,1510950,7.96,0.159223,0.188906
2021-07-02,1582578,290.94,0.161631,0.159223
2021-07-01,1644559,34.87,0.174341,0.161631
2021-06-30,1895642,226.19,0.191687,0.174341
2021-06-29,1989133,401.48,0.212673,0.191687
2021-06-28,1671248,40.36,0.183459,0.212673
2021-06-27,1672747,7.00,0.175061,0.183459
2021-06-26,1609653,314.92,0.182037,0.175061
2021-06-25,1872232,26.57,0.189755,0.182037
2021-06-24,1793129,117.71,0.189856,0.189755
2021-06-23,1714421,878.26,0.164161,0.189856
2021-06-22,2166231,211.05,0.224517,0.164161
2021-06-21,2563577,389.37,0.268532,0.224517
2021-06-20,2537834,761.98,0.266428,0.268532
2021-06-19,2324851,237.16,0.204447,0.266428
2021-06-18,2424917,1364.38,0.253398,0.204447
2021-06-17,2391381,1513.75,0.222250,0.253398
2021-06-16,2560550,554.14,0.269001,0.222250
2021-06-15,2498684,5090.73,0.261734,0.269001
2021-06-14,2467136,3132.17,0.258430,0.261734
2021-06-13,2560258,2078.43,0.268184,0.258430
2021-06-12,2271380,709.70,0.238154,0.268184
2021-06-11,2429739,527.70,0.265226,0.238154
2021-06-10,2397868,1542.21,0.251174,0.265226
2021-06-09,2449371,1932.69,0.235407,0.251174
2021-06-08,2502833,1333.02,0.265013,0.235407
2021-06-07,2473318,15190.26,0.262489,0.265013
2021-06-06,2404060,6718.62,0.251822,0.262489
2021-06-05,2084268,6897.78,0.215893,0.251822
2021-06-04,3662143,993.54,0.383605,0.215893
2021-06-03,2945961,1540.60,0.308586,0.383605
2021-06-02,2747327,130.28,0.284217,0.308586
2021-06-01,2976005,243.02,0.315580,0.284217
2021-05-31,2976447,905.69,0.311779,0.315580
2021-05-30,2720231,6909.85,0.284941,0.311779
2021-05-29,2730910,2291.34,0.286060,0.284941
2021-05-28,3836032,534.42,0.401820,0.286060
2021-05-27,3009611,8449.22,0.415195,0.401820
2021-05-26,2601680,4861.21,0.274733,0.415195
2021-05-25,2910679,2644.34,0.307662,0.274733
2021-05-24,1956757,1538.52,0.192075,0.307662
2021-05-23,2981570,36694,0.311636,0.192075
2021-05-22,2949303,3390.56,0.308936,0.311636
2021-05-21,2979313,2633.95,0.312079,0.308936
2021-05-20,3445128,28533,0.348535,0.312079
2021-05-19,3927766,17197.72,0.411429,0.348535
2021-05-18,4558401,10236.68,0.439909,0.411429
2021-05-17,3753509,21820,0.396496,0.439909
2021-05-16,5307256,57152,0.555929,0.396496
2021-05-15,5035581,1877.50,0.530083,0.555929
2021-05-14,4835719,8780.82,0.497271,0.530083
2021-05-13,5596404,6669.29,0.492490,0.497271
2021-05-12,5836557,11389.35,0.615640,0.492490
2021-05-11,5557833,29595,0.634388,0.615640
2021-05-10,5499616,3735.56,0.577456,0.634388
2021-05-09,5358061,10342.30,0.642259,0.577456
2021-05-08,5975842,1110.34,0.616853,0.642259
2021-05-07,6069929,1759.88,0.636716,0.616853
2021-05-06,6515929,6357.36,0.682706,0.636716
2021-05-05,6380218,1719.92,0.864714,0.682706
2021-05-04,8314959,3502.36,0.879107,0.864714
2021-05-03,6145101,824.30,0.644486,0.879107
2021-05-02,7745917,9242.15,0.625314,0.644486
2021-05-01,7639397,5940.19,0.789075,0.625314
2021-04-30,6820777,15181.73,0.723611,0.789075
2021-04-29,7233783,13897.82,0.757508,0.723611
2021-04-28,6042859,1252.81,0.641484,0.757508
2021-04-27,5194647,4361.17,0.544133,0.641484
2021-04-26,4694862,115.08,0.491781,0.544133
2021-04-25,5137777,414.00,0.500003,0.491781
2021-04-24,5581145,385.63,0.512810,0.500003
2021-04-23,5053571,9689.25,0.530460,0.512810
2021-04-22,5450949,3060.98,0.570980,0.530460
2021-04-21,7283508,6699.60,0.772021,0.570980
2021-04-20,6188363,2477.53,0.608878,0.772021
2021-04-19,6381104,7901.09,0.669811,0.608878
2021-04-18,6313277,9684.96,0.714441,0.669811
2021-04-17,6471860,13459.94,0.778301,0.714441
2021-04-16,7346748,31954,0.769563,0.778301
2021-04-15,5688408,22763,0.597874,0.769563
2021-04-14,7816518,6668.37,0.819311,0.597874
2021-04-13,5137788,8250.63,0.538061,0.819311
2021-04-12,8153483,1427.54,0.889987,0.538061
2021-04-11,8952033,12209.98,1.03,0.889987
2021-04-10,8996922,26576,0.961397,1.03
2021-04-09,6646283,12266.67,0.696190,0.961397
2021-04-08,6254146,22745,0.683792,0.696190
2021-04-07,6659305,17949.23,0.699209,0.683792
2021-04-06,7276682,18276.57,0.752871,0.699209
2021-04-05,5720731,1807.52,0.662339,0.752871
2021-04-04,5800620,2585.62,0.604255,0.662339
2021-04-03,6148159,20912,0.646762,0.604255
2021-04-02,5287069,1938.09,0.560266,0.646762
2021-04-01,4648994,11574.27,0.486976,0.560266
2021-03-31,4991071,92354,0.522670,0.486976
2021-03-30,4743826,30104,0.496910,0.522670
2021-03-29,4686507,21752,0.490690,0.496910
2021-03-28,4935394,75340,0.548859,0.490690
2021-03-27,4999668,69244,0.523709,0.548859
2021-03-26,4660335,49795,0.428468,0.523709
2021-03-25,3303816,19162.49,0.346071,0.428468
2021-03-24,3310654,23365,0.346787,0.346071
2021-03-23,2949498,8921.43,0.336190,0.346787
2021-03-22,3284530,4170.37,0.344050,0.336190
2021-03-21,3356672,18492.68,0.351014,0.344050
2021-03-20,3527261,52093,0.369963,0.351014
2021-03-19,2997602,3147.12,0.324212,0.369963
2021-03-18,3108323,1590.80,0.307697,0.324212
2021-03-17,3022594,1276.11,0.315791,0.307697
2021-03-16,2707653,3221.74,0.329381,0.315791
2021-03-15,3096655,3673.18,0.290732,0.329381
2021-03-14,3422088,16103.06,0.361381,0.290732
2021-03-13,2925056,5564.14,0.306396,0.361381
2021-03-12,3195817,6272.96,0.334758,0.306396
2021-03-11,3491333,4070.65,0.281103,0.334758
2021-03-10,4435802,40556,0.464645,0.281103
2021-03-09,3708409,24322,0.389472,0.464645
2021-03-08,4455194,20360,0.466676,0.389472
2021-03-07,3574728,37186,0.374461,0.466676
2021-03-06,3083590,16524.10,0.275938,0.374461
2021-03-05,3184124,30392,0.334334,0.275938
2021-03-04,4344405,922.58,0.426332,0.334334
2021-03-03,3633118,21063,0.380609,0.426332
2021-03-02,3600798,5301.31,0.377179,0.380609
2021-03-01,4314335,2074.89,0.301671,0.377179
2021-02-28,4698462,9007.90,0.427616,0.301671
2021-02-27,3150201,2047.59,0.287857,0.427616
2021-02-26,3691338,1205.43,0.335399,0.287857
2021-02-25,4403869,2911.45,0.416279,0.335399
2021-02-24,3070300,275.57,0.285860,0.416279
2021-02-23,4687338,2046.92,0.428316,0.285860
2021-02-22,5629940,3188.73,0.225145,0.428316
2021-02-21,3984255,1932.56,0.378785,0.225145
2021-02-20,4843764,13922.77,0.441979,0.378785
2021-02-19,4672361,14366.97,0.425423,0.441979
2021-02-18,3784033,3667.76,0.342845,0.425423
2021-02-17,3620967,6189.52,0.311219,0.342845
2021-02-16,6273897,14248.00,0.573291,0.311219
2021-02-15,6535049,8657.06,0.598814,0.573291
2021-02-14,6707127,4639.15,0.615925,0.598814
2021-02-13,6854950,6608.77,0.638220,0.615925
2021-02-12,5272984,1769.37,0.371403,0.638220
2021-02-11,6186991,8329.14,0.377705,0.371403
2021-02-10,6692665,30760,0.611557,0.377705
2021-02-09,6014991,52726,0.468577,0.611557
2021-02-08,5571963,108689,0.512058,0.468577
