date,mktcap,vol,open_price,close_price
2021-10-04,1195469,4906.22,0.00141533,0.00141533
2021-10-03,1108311,84.16,0.00145302,0.00141533
2021-10-02,1108311,84.16,0.00145302,0.00145302
2021-09-24,1108311,0.000000000000,0.00130621,0.00145302
2021-09-23,1020115,313.66,0.00128503,0.00130621
2021-09-22,1020115,313.66,0.00128503,0.00128503
2021-09-21,1198370,0.000000000000,0.00141235,0.00128503
2021-09-20,1370166,5382.57,0.00141235,0.00141235
2021-09-19,1370166,5382.57,0.00141235,0.00141235
2021-09-06,1370166,0.000000000000,0.00161482,0.00141235
2021-09-05,1131459,1549.69,0.00161482,0.00161482
2021-09-04,1131459,1549.69,0.00161482,0.00161482
2021-09-03,1131459,0.000000000000,0.00133349,0.00161482
2021-09-02,1131459,0.000000000000,0.00133349,0.00133349
2021-08-31,1136863,2939.85,0.00133349,0.00133349
2021-08-30,1141499,2965.38,0.00134507,0.00133349
2021-08-29,1156238,4771.00,0.00134997,0.00134507
2021-08-28,1100401,6631.71,0.00129689,0.00134997
2021-08-27,1100401,6631.71,0.00129689,0.00129689
2021-08-24,1146077,400.11,0.00141186,0.00129689
2021-08-23,1085875,927.86,0.00135072,0.00141186
2021-08-22,1085875,927.86,0.00135072,0.00135072
2021-08-20,1146238,196.84,0.00127977,0.00135072
2021-08-19,1146238,196.84,0.00127977,0.00127977
2021-08-18,1154656,29.87,0.00135091,0.00127977
2021-08-17,1186791,427.48,0.00139870,0.00135091
2021-08-16,1177009,75.19,0.00135011,0.00139870
2021-08-15,1184627,302.60,0.00138718,0.00135011
2021-08-14,1126501,222.63,0.00132765,0.00138718
2021-08-13,1126501,222.63,0.00132765,0.00132765
2021-08-10,1138890,121.20,0.00134292,0.00132765
2021-08-09,1044382,114.82,0.00133921,0.00134292
2021-08-08,1044382,114.82,0.00133921,0.00133921
2021-08-07,947401,300.50,0.00123087,0.00133921
2021-08-06,974707,25.97,0.00111657,0.00123087
2021-08-05,960672,111.19,0.00113221,0.00111657
2021-08-04,960672,111.19,0.00113221,0.00113221
2021-08-03,937932,47.93,0.00113005,0.00113221
2021-08-02,950420,1642.63,0.00111310,0.00113005
2021-08-01,893129,18.76,0.00105518,0.00111310
2021-07-31,856014,67.38,0.00100886,0.00105518
2021-07-30,840200,181.21,0.00100069,0.00100886
2021-07-29,833858,53.14,0.00098681,0.00100069
2021-07-28,826182,23.17,0.00097546,0.00098681
2021-07-27,860868,141.87,0.00100824,0.00097546
2021-07-26,781197,49.89,0.00092704,0.00100824
2021-07-25,792003,308.61,0.00093342,0.00092704
