date,mktcap,vol,open_price,close_price
2021-10-04,17733956,3436356,0.387821,0.369367
2021-10-03,16604675,2513394,0.365136,0.387821
2021-10-02,16026429,3080434,0.352863,0.365136
2021-10-01,15955500,3536595,0.350154,0.352863
2021-09-30,13524712,1893093,0.297543,0.350154
2021-09-29,13890722,2770189,0.302922,0.297543
2021-09-28,14522598,3575520,0.318672,0.302922
2021-09-27,14490583,5008698,0.319536,0.318672
2021-09-26,15562833,3400182,0.342018,0.319536
2021-09-25,15924200,4143399,0.346498,0.342018
2021-09-24,17358444,3472927,0.381486,0.346498
2021-09-23,17272534,4614302,0.380841,0.381486
2021-09-22,15085141,3991213,0.333891,0.380841
2021-09-21,16225263,4647015,0.358343,0.333891
2021-09-20,19145678,4171056,0.420609,0.358343
2021-09-19,19697841,3944945,0.432606,0.420609
2021-09-18,19262807,4319944,0.423390,0.432606
2021-09-17,20171497,4211354,0.443591,0.423390
2021-09-16,20695304,4281584,0.455142,0.443591
2021-09-15,20463061,5154773,0.449716,0.455142
2021-09-14,19744426,4535510,0.434098,0.449716
2021-09-13,20149432,4390129,0.442314,0.434098
2021-09-12,19361754,4335191,0.425721,0.442314
2021-09-11,19214909,4693824,0.422134,0.425721
2021-09-10,21317957,4805371,0.468036,0.422134
2021-09-09,20689808,5013643,0.453223,0.468036
2021-09-08,20828226,6242881,0.457740,0.453223
2021-09-07,25378795,7161022,0.558916,0.457740
2021-09-06,25828605,8529146,0.568165,0.558916
2021-09-05,24333616,5637589,0.534455,0.568165
2021-09-04,23505045,5012340,0.517573,0.534455
2021-09-03,23340708,5185912,0.513211,0.517573
2021-09-02,23650506,5977525,0.519903,0.513211
2021-09-01,23055646,7402335,0.506502,0.519903
2021-08-31,23563827,43018117,0.516913,0.506502
2021-08-30,22287402,4707485,0.490488,0.516913
2021-08-29,22292578,3713692,0.490438,0.490488
2021-08-28,22662215,4255761,0.497862,0.490438
2021-08-27,21785623,4241462,0.478086,0.497862
2021-08-26,23701725,4523563,0.520917,0.478086
2021-08-25,23696189,5973513,0.520884,0.520917
2021-08-24,26054888,9038971,0.571539,0.520884
2021-08-23,26431584,46233556,0.580718,0.571539
2021-08-22,27930731,5675177,0.612338,0.580718
2021-08-21,26619070,5173769,0.584525,0.612338
2021-08-20,24735385,5503854,0.548135,0.584525
2021-08-19,24601674,7012283,0.540687,0.548135
2021-08-18,22784726,5841945,0.499461,0.540687
2021-08-17,23847650,5988876,0.517514,0.499461
2021-08-16,24568807,7263675,0.540626,0.517514
2021-08-15,25759746,34143144,0.567960,0.540626
2021-08-14,23445872,8768431,0.515527,0.567960
2021-08-13,20265064,5199660,0.445386,0.515527
2021-08-12,21729638,6443966,0.478002,0.445386
2021-08-11,20585214,7966219,0.453538,0.478002
2021-08-10,20509782,5540199,0.454216,0.453538
2021-08-09,18799194,4876567,0.412796,0.454216
2021-08-08,20571169,5923071,0.451554,0.412796
2021-08-07,18813010,5786915,0.413485,0.451554
