date,mktcap,vol,open_price,close_price
2021-10-04,5252531,440095,2.14,2.06
2021-10-03,5456173,527129,2.22,2.14
2021-10-02,5015861,549933,2.04,2.22
2021-10-01,4875509,490564,2.00,2.04
2021-09-30,4607389,741368,1.88,2.00
2021-09-29,4071783,430938,1.66,1.88
2021-09-28,4279006,440495,1.75,1.66
2021-09-27,4290650,509057,1.75,1.75
2021-09-26,4509533,379306,1.84,1.75
2021-09-25,4730648,487098,1.92,1.84
2021-09-24,5399915,559121,2.20,1.92
2021-09-23,5037087,454998,2.06,2.20
2021-09-22,4686921,525430,1.91,2.06
2021-09-21,5063295,647227,2.07,1.91
2021-09-20,6425305,547972,2.63,2.07
2021-09-19,6864524,470531,2.80,2.63
2021-09-18,6890232,417394,2.80,2.80
2021-09-17,7146137,620268,2.79,2.80
2021-09-16,7785841,916274,3.05,2.79
2021-09-15,7632735,828562,3.14,3.05
2021-09-14,8285792,929745,3.43,3.14
2021-09-13,7713060,647152,3.21,3.43
2021-09-12,7387674,890308,3.08,3.21
2021-09-11,6273410,634649,2.61,3.08
2021-09-10,7108360,664559,2.96,2.61
2021-09-09,6935014,775374,2.86,2.96
2021-09-08,7441589,1045464,3.09,2.86
2021-09-07,8967585,2120573,3.74,3.09
2021-09-06,8004730,853424,3.34,3.74
2021-09-05,7324781,667404,3.04,3.34
2021-09-04,7254861,1915323,3.15,3.04
2021-09-03,7805803,2623824,3.29,3.15
2021-09-02,5509201,443077,2.40,3.29
2021-09-01,5106090,309182,2.22,2.40
2021-08-31,5438170,395845,2.38,2.22
2021-08-30,5391168,484127,2.35,2.38
2021-08-29,5326767,433193,2.45,2.35
2021-08-28,5810096,1047380,2.65,2.45
2021-08-27,5142039,345639,2.34,2.65
2021-08-26,5233848,456620,2.38,2.34
2021-08-25,5134974,396760,2.34,2.38
2021-08-24,5302398,533945,2.41,2.34
2021-08-23,5348752,350587,2.43,2.41
2021-08-22,5693456,355618,2.59,2.43
2021-08-21,5740501,506122,2.62,2.59
2021-08-20,5609993,354392,2.59,2.62
2021-08-19,5631589,470888,2.56,2.59
2021-08-18,5469613,558132,2.49,2.56
2021-08-17,5502082,483238,2.49,2.49
2021-08-16,5825777,590029,2.65,2.49
