date,mktcap,vol,open_price,close_price
2021-10-04,44865925,9702093,0.473482,0.450789
2021-10-03,43887026,11908233,0.464317,0.473482
2021-10-02,43960686,16489319,0.464921,0.464317
2021-10-01,44749558,22357793,0.472159,0.464921
2021-09-30,39404196,9347612,0.416850,0.472159
2021-09-29,38876832,8157545,0.408745,0.416850
2021-09-28,40472930,10643128,0.428091,0.408745
2021-09-27,44454007,22682503,0.470010,0.428091
2021-09-26,50846208,94228207,0.535021,0.470010
2021-09-25,40309442,10100097,0.421370,0.535021
2021-09-24,44153753,9001765,0.466788,0.421370
2021-09-23,42252551,10691060,0.446033,0.466788
2021-09-22,38366846,10305081,0.407208,0.446033
2021-09-21,41936377,14326965,0.444596,0.407208
2021-09-20,49589756,14000383,0.524211,0.444596
2021-09-19,49066233,14794358,0.519626,0.524211
2021-09-18,48578073,8633057,0.514765,0.519626
2021-09-17,50036598,8249266,0.529830,0.514765
2021-09-16,51981159,10827388,0.550460,0.529830
2021-09-15,51259882,9201593,0.542993,0.550460
2021-09-14,50122748,10852570,0.530559,0.542993
2021-09-13,54124681,12031170,0.572399,0.530559
2021-09-12,52605270,33613031,0.555781,0.572399
2021-09-11,47842138,12861498,0.508298,0.555781
2021-09-10,51814833,11374161,0.547850,0.508298
2021-09-09,50659675,14754077,0.532558,0.547850
2021-09-08,51578820,17268949,0.547810,0.532558
2021-09-07,65551039,17527137,0.695881,0.547810
2021-09-06,64420777,15072318,0.683882,0.695881
2021-09-05,61366163,30728765,0.650890,0.683882
2021-09-04,58128745,12428752,0.619430,0.650890
2021-09-03,57606524,11177437,0.610776,0.619430
2021-09-02,58941305,11842469,0.624833,0.610776
2021-09-01,57909393,11417481,0.613833,0.624833
2021-08-31,58106677,18437856,0.616293,0.613833
2021-08-30,59416171,18250567,0.631426,0.616293
2021-08-29,59570825,11869980,0.633682,0.631426
2021-08-28,61464954,31873328,0.653174,0.633682
2021-08-27,57827518,19275963,0.614420,0.653174
2021-08-26,60451991,18015187,0.641511,0.614420
2021-08-25,64561784,28258717,0.677651,0.641511
2021-08-24,60086431,16606899,0.637576,0.677651
2021-08-23,59455508,13652766,0.629844,0.637576
2021-08-22,55536863,11653509,0.589932,0.629844
2021-08-21,56248676,9989476,0.597207,0.589932
2021-08-20,54593348,11722747,0.586962,0.597207
2021-08-19,52046392,10168410,0.550907,0.586962
2021-08-18,52732101,15089009,0.558459,0.550907
2021-08-17,55606416,10020744,0.586334,0.558459
2021-08-16,57463515,13309045,0.611600,0.586334
2021-08-15,57553592,20627876,0.610524,0.611600
2021-08-14,60855250,118838781,0.647450,0.610524
2021-08-13,48616100,11929992,0.517072,0.647450
2021-08-12,48326649,12918309,0.514191,0.517072
2021-08-11,46395533,11724412,0.494008,0.514191
2021-08-10,46675020,10134126,0.495536,0.494008
2021-08-09,45178987,10258460,0.479964,0.495536
2021-08-08,47330156,17630299,0.504907,0.479964
2021-08-07,49199299,25913686,0.520816,0.504907
2021-08-06,41396499,10885893,0.439362,0.520816
2021-08-05,39847101,13616482,0.423591,0.439362
2021-08-04,36699752,12350352,0.389192,0.423591
2021-08-03,36581546,5643252,0.388161,0.389192
2021-08-02,36768450,7638285,0.392324,0.388161
2021-08-01,37901260,8175884,0.403660,0.392324
2021-07-31,37651851,7859058,0.400796,0.403660
2021-07-30,37946343,14035412,0.400734,0.400796
