date,mktcap,vol,open_price,close_price
2021-10-04,1936595141,37286881,857.04,901.72
2021-10-03,1715933410,32957661,777.51,857.04
2021-10-02,1652890072,56318251,747.35,777.51
2021-10-01,1705046829,41277202,783.15,747.35
2021-09-30,1532896868,36770230,722.66,783.15
2021-09-29,1328979994,29943591,638.10,722.66
2021-09-28,1306603387,30870364,631.23,638.10
2021-09-27,1191476716,22198405,590.59,631.23
2021-09-26,1165171336,36810334,582.22,590.59
2021-09-25,1208733403,48032477,612.45,582.22
2021-09-24,1274545997,29913608,655.25,612.45
2021-09-23,1199270634,38468849,630.18,655.25
2021-09-22,1195683637,39084593,638.59,630.18
2021-09-21,992436197,44293627,535.00,638.59
2021-09-20,1078861649,19516800,588.60,535.00
2021-09-19,984831913,21230927,548.53,588.60
2021-09-18,963977177,26571188,538.85,548.53
2021-09-17,901315452,15370783,513.16,538.85
2021-09-16,811775918,20128335,470.70,513.16
2021-09-15,780479424,15484438,458.50,470.70
2021-09-14,725806710,23115129,432.74,458.50
2021-09-13,746003122,15408890,453.49,432.74
2021-09-12,703248442,10558589,433.10,453.49
2021-09-11,653758350,15677704,406.98,433.10
2021-09-10,624772696,11361616,397.62,406.98
2021-09-09,578831873,10180851,367.90,397.62
2021-09-08,532981453,12062143,349.26,367.90
2021-09-07,526267108,9395208,348.27,349.26
2021-09-06,487341768,6495376,326.04,348.27
2021-09-05,458547013,3775441,313.63,326.04
2021-09-04,473391024,6011983,326.32,313.63
2021-09-03,449454946,4850570,315.91,326.32
2021-09-02,440483421,6085807,312.17,315.91
2021-09-01,434993175,9440220,312.56,312.17
2021-08-31,461144571,5931536,335.40,312.56
2021-08-30,478363024,6381229,352.83,335.40
2021-08-29,482778457,5117303,361.99,352.83
2021-08-28,447524545,5352136,341.15,361.99
2021-08-27,427978269,7553494,330.80,341.15
2021-08-26,391684430,4979282,307.81,330.80
2021-08-25,388718240,7607183,310.32,307.81
2021-08-24,379209720,7450408,307.78,310.32
2021-08-23,333229552,5417781,275.29,307.78
2021-08-22,309783084,4211651,260.36,275.29
2021-08-21,324995110,3490872,277.58,260.36
2021-08-20,326558336,7254514,288.95,277.58
2021-08-19,303776822,6411645,266.83,288.95
2021-08-18,261900279,8695343,234.70,266.83
2021-08-17,300448877,4630810,272.58,234.70
2021-08-16,308139938,7058134,285.71,272.58
2021-08-15,302235701,10716417,283.38,285.71
2021-08-14,372807707,6288927,355.59,283.38
2021-08-13,404325723,8208529,391.95,355.59
2021-08-12,342702220,19015656,353.47,391.95
2021-08-11,428253987,7083099,427.62,353.47
2021-08-10,387457118,9530351,389.83,427.62
2021-08-09,446399775,5487393,469.34,389.83
2021-08-08,448555809,6856646,475.15,469.34
2021-08-07,444652221,6837518,489.17,475.15
2021-08-06,436866181,8306556,461.26,489.17
2021-08-05,390850408,5995106,432.64,461.26
2021-08-04,387013788,5812025,435.59,432.64
2021-08-03,365253631,10169512,421.59,435.59
2021-08-02,346581448,7114488,400.67,421.59
2021-08-01,334746985,21057129,395.91,400.67
2021-07-31,414826712,10498541,499.83,395.91
2021-07-30,404588066,25585220,530.01,499.83
2021-07-29,468826841,8880532,584.41,530.01
2021-07-28,458093087,8554539,582.51,584.41
2021-07-27,410921642,16939804,543.90,582.51
2021-07-26,423002200,6415431,554.09,543.90
2021-07-25,430408710,11159709,571.76,554.09
2021-07-24,483310305,6780713,628.67,571.76
2021-07-23,461202116,13072615,623.44,628.67
2021-07-22,417863095,15749817,585.51,623.44
2021-07-21,398946667,17531429,567.10,585.51
2021-07-20,363145899,18700862,534.46,567.10
2021-07-19,391892870,7398150,577.09,534.46
2021-07-18,380908147,13709293,568.88,577.09
2021-07-17,328007338,7494641,484.53,568.88
2021-07-16,315643441,6520459,486.07,484.53
2021-07-15,319636106,8989041,487.33,486.07
2021-07-14,291489843,7934085,440.41,487.33
2021-07-13,254429666,3867086,415.33,440.41
2021-07-12,247563886,2434697,412.29,415.33
2021-07-11,244266725,4353520,412.54,412.29
2021-07-10,229861706,3736990,394.64,412.54
2021-07-09,209649326,7206489,368.41,394.64
2021-07-08,222704340,10870866,394.64,368.41
2021-07-07,218198821,10011627,396.31,394.64
2021-07-06,259837626,6484819,476.38,396.31
