date,mktcap,vol,open_price,close_price
2021-10-04,272375248,18533359,8.74,8.52
2021-10-03,271992497,11215847,8.73,8.74
2021-10-02,274394031,17480970,8.87,8.73
2021-10-01,250326645,19599308,8.10,8.87
2021-09-30,233668331,14490843,7.54,8.10
2021-09-29,229498174,17893895,7.38,7.54
2021-09-28,239260773,16009703,7.70,7.38
2021-09-27,253428984,29256647,8.19,7.70
2021-09-26,262821569,12091546,8.47,8.19
2021-09-25,263578451,19475514,8.53,8.47
2021-09-24,298218805,17004785,9.63,8.53
2021-09-23,275010815,17066329,8.87,9.63
2021-09-22,232997027,25264178,7.74,8.87
2021-09-21,265133922,38465924,8.74,7.74
2021-09-20,316351011,23727970,10.34,8.74
2021-09-19,352907211,56588859,11.53,10.34
2021-09-18,348067980,50493073,11.45,11.53
2021-09-17,319199259,51295609,10.48,11.45
2021-09-16,352708023,84663913,11.56,10.48
2021-09-15,277075237,20657843,9.07,11.56
2021-09-14,272606727,22607190,8.93,9.07
2021-09-13,295546569,29450845,9.67,8.93
2021-09-12,263061522,22084882,8.62,9.67
2021-09-11,253276510,28959140,8.30,8.62
2021-09-10,240916243,13887032,7.88,8.30
2021-09-09,244280573,14724864,7.99,7.88
2021-09-08,239863647,42064126,7.94,7.99
2021-09-07,292080259,17472310,9.65,7.94
2021-09-06,291290108,16912497,9.58,9.65
2021-09-05,268450444,10218435,8.85,9.58
2021-09-04,267121816,13010353,8.86,8.85
2021-09-03,257524767,12546401,8.54,8.86
2021-09-02,268295707,15114583,8.91,8.54
2021-09-01,252255932,17662906,8.30,8.91
2021-08-31,259314633,42051299,8.69,8.30
2021-08-30,253536488,11982471,8.44,8.69
2021-08-29,252102620,7369723,8.39,8.44
2021-08-28,253479819,12961346,8.46,8.39
2021-08-27,243721099,15121100,8.07,8.46
2021-08-26,267788056,12320212,8.92,8.07
2021-08-25,266725967,15558560,8.83,8.92
2021-08-24,285291807,14430165,9.50,8.83
2021-08-23,277533836,14162154,9.22,9.50
2021-08-22,277424225,12328531,9.31,9.22
2021-08-21,284437943,20057614,9.52,9.31
2021-08-20,303967184,43220569,9.84,9.52
2021-08-19,259526432,11741762,8.62,9.84
2021-08-18,252473139,16390126,8.39,8.62
2021-08-17,260582012,13678720,8.56,8.39
2021-08-16,254582034,10169862,8.54,8.56
2021-08-15,269321094,17970167,8.98,8.54
2021-08-14,267446034,25956776,8.97,8.98
2021-08-13,266078631,24229717,8.86,8.97
2021-08-12,292671692,59876913,9.79,8.86
2021-08-11,302050530,62851426,10.06,9.79
2021-08-10,247043934,40443972,8.65,10.06
2021-08-09,195140673,13407319,6.74,8.65
2021-08-08,203740321,10300690,7.03,6.74
2021-08-07,190133178,7926892,6.56,7.03
2021-08-06,185845794,5602308,6.39,6.56
2021-08-05,178417876,5868155,6.18,6.39
2021-08-04,177704020,9352220,6.13,6.18
2021-08-03,191471229,10497594,6.58,6.13
2021-08-02,177043400,13885620,6.10,6.58
2021-08-01,176359079,5499096,6.08,6.10
2021-07-31,174685992,6353701,6.03,6.08
2021-07-30,175937408,14291446,6.09,6.03
2021-07-29,167381969,15479268,5.78,6.09
2021-07-28,141663383,3677075,4.90,5.78
2021-07-27,140982868,7649012,4.84,4.90
2021-07-26,139894032,2880751,4.83,4.84
2021-07-25,132941661,4333291,4.59,4.83
2021-07-24,123853351,2651261,4.28,4.59
2021-07-23,124853903,2424136,4.31,4.28
2021-07-22,120967526,3961768,4.17,4.31
2021-07-21,108934216,3053713,3.75,4.17
2021-07-20,115770712,3360952,3.99,3.75
2021-07-19,122191424,2714334,4.19,3.99
2021-07-18,122457102,2725987,4.22,4.19
2021-07-17,124276996,3207110,4.29,4.22
2021-07-16,135147284,3723156,4.66,4.29
2021-07-15,143962205,3796201,4.97,4.66
2021-07-14,145338864,3202276,5.01,4.97
2021-07-13,150525960,3121270,5.21,5.01
2021-07-12,152195449,2315627,5.25,5.21
2021-07-11,150667645,2233656,5.20,5.25
2021-07-10,154297069,2975676,5.32,5.20
2021-07-09,153148484,4993309,5.28,5.32
2021-07-08,170549248,4907324,5.89,5.28
2021-07-07,170406958,7665257,5.88,5.89
2021-07-06,157338942,4575052,5.42,5.88
2021-07-05,164534160,9143026,5.66,5.42
2021-07-04,164299175,5006620,5.67,5.66
2021-07-03,155855799,3120923,5.41,5.67
2021-07-02,159154866,3983580,5.52,5.41
2021-07-01,170629764,4994444,5.90,5.52
2021-06-30,167848556,5415314,5.77,5.90
2021-06-29,157943714,5962137,5.44,5.77
2021-06-28,156114605,3701914,5.38,5.44
2021-06-27,143977353,5188214,4.97,5.38
2021-06-26,148118146,7167004,5.10,4.97
2021-06-25,164598464,7958003,5.67,5.10
2021-06-24,169356634,10982871,5.85,5.67
2021-06-23,152811222,16447927,5.26,5.85
2021-06-22,181374975,11687205,6.22,5.26
2021-06-21,221607258,9155013,7.65,6.22
2021-06-20,203527558,5320892,7.01,7.65
2021-06-19,214392870,9838217,7.39,7.01
2021-06-18,237834629,13625679,8.26,7.39
2021-06-17,258189429,23345916,8.91,8.26
2021-06-16,253038731,26454224,9.89,8.91
2021-06-15,211426662,9349656,8.28,9.89
2021-06-14,187592819,4661970,7.35,8.28
2021-06-13,174493140,7189866,6.76,7.35
2021-06-12,175672815,6657963,6.91,6.76
2021-06-11,190138662,15440539,7.41,6.91
2021-06-10,213140108,22748936,8.27,7.41
2021-06-09,167422114,11665882,6.54,8.27
2021-06-08,177707382,8302456,6.89,6.54
2021-06-07,188501485,4277342,7.37,6.89
2021-06-06,178880503,4948774,7.04,7.37
2021-06-05,188489862,6471633,7.38,7.04
2021-06-04,213926109,5786163,8.35,7.38
2021-06-03,203549884,5384898,7.93,8.35
2021-06-02,192853155,6218125,7.55,7.93
2021-06-01,202198543,8098273,7.94,7.55
2021-05-31,182249042,5734683,7.12,7.94
2021-05-30,167728541,8452570,6.53,7.12
2021-05-29,177781860,12071532,6.96,6.53
2021-05-28,200181574,6636826,7.91,6.96
2021-05-27,216924333,14030842,8.60,7.91
2021-05-26,198467504,9038074,7.80,8.60
2021-05-25,208294053,13500861,8.18,7.80
2021-05-24,165132050,13398618,6.59,8.18
2021-05-23,191931118,10810044,7.49,6.59
2021-05-22,198744394,15702935,7.80,7.49
2021-05-21,221166280,16186023,8.77,7.80
2021-05-20,210103472,26446244,8.27,8.77
2021-05-19,293039392,11293720,11.72,8.27
2021-05-18,274471103,15147644,10.72,11.72
2021-05-17,306712828,17639157,12.15,10.72
2021-05-16,310658451,14613495,12.24,12.15
2021-05-15,336262446,11374400,13.22,12.24
2021-05-14,316350947,27091989,12.49,13.22
2021-05-13,319143927,19282532,12.52,12.49
2021-05-12,360629829,18561760,14.20,12.52
2021-05-11,359641892,30436901,14.14,14.20
2021-05-10,395999583,23457387,15.60,14.14
2021-05-09,415454761,59805183,16.39,15.60
2021-05-08,402517267,25031054,15.91,16.39
2021-05-07,370140320,21191053,14.83,15.91
2021-05-06,393538008,27695251,15.86,14.83
2021-05-05,355720734,29172271,14.15,15.86
2021-05-04,402237895,30139895,16.22,14.15
2021-05-03,400239551,35889652,16.17,16.22
2021-05-02,419400172,110113699,16.99,16.17
2021-05-01,364673488,36841895,14.79,16.99
2021-04-30,348757874,27480326,14.07,14.79
2021-04-29,350902584,23212971,14.20,14.07
2021-04-28,361094807,28590633,14.74,14.20
2021-04-27,316276674,22896914,12.77,14.74
2021-04-26,275510349,12988289,11.09,12.77
2021-04-25,269995618,12364749,10.80,11.09
2021-04-24,289258626,31183723,11.69,10.80
2021-04-23,311577743,25273657,12.57,11.69
2021-04-22,333286028,25081180,13.34,12.57
2021-04-21,339548265,26017745,13.70,13.34
2021-04-20,332773221,24539517,13.40,13.70
2021-04-19,363597911,35659475,14.66,13.40
2021-04-18,383894099,23118026,15.48,14.66
2021-04-17,390677178,35315437,15.77,15.48
2021-04-16,356259516,42073013,16.90,15.77
2021-04-15,349723968,42565944,16.50,16.90
2021-04-14,318011147,49697172,15.16,16.50
2021-04-13,306356866,50410897,14.71,15.16
2021-04-12,326854090,34586509,15.67,14.71
2021-04-11,357430316,43084447,17.08,15.67
2021-04-10,382094942,39416010,18.48,17.08
2021-04-09,353158658,21166055,16.90,18.48
2021-04-08,342663501,29508358,16.33,16.90
2021-04-07,370554025,29370302,17.70,16.33
2021-04-06,376369723,33711224,18.02,17.70
2021-04-05,403753212,61354623,19.37,18.02
2021-04-04,354047004,55476422,16.90,19.37
2021-04-03,393571128,56277375,18.92,16.90
2021-04-02,430580615,67974008,20.71,18.92
2021-04-01,447359262,98571406,21.69,20.71
2021-03-31,538451254,34426617,25.89,21.69
2021-03-30,520550237,28564470,25.05,25.89
2021-03-29,511922696,26190041,24.59,25.05
2021-03-28,519371637,26624542,24.92,24.59
2021-03-27,520850314,36382922,25.18,24.92
2021-03-26,475928428,37836268,22.88,25.18
2021-03-25,497261632,51895742,23.99,22.88
2021-03-24,541850199,40815779,26.19,23.99
2021-03-23,576057563,72794618,27.75,26.19
2021-03-22,545488725,55834260,26.23,27.75
2021-03-21,513510580,50874664,24.41,26.23
2021-03-20,563717509,105669910,26.66,24.41
2021-03-19,483433070,51304536,23.13,26.66
2021-03-18,425823559,31762887,20.62,23.13
2021-03-17,403650363,34344633,19.52,20.62
2021-03-16,355308460,25637694,17.22,19.52
2021-03-15,360727260,29538335,17.53,17.22
2021-03-14,352877662,19166810,17.14,17.53
2021-03-13,351843680,30228932,17.15,17.14
2021-03-12,401876242,29209302,19.50,17.15
2021-03-11,396049169,41723731,19.18,19.50
2021-03-10,385307963,33078160,18.65,19.18
2021-03-09,387249898,36809182,18.80,18.65
2021-03-08,342637739,20475590,16.73,18.80
2021-03-07,342850121,26894015,16.70,16.73
2021-03-06,354730072,43236195,17.21,16.70
2021-03-05,328294355,46161023,16.00,17.21
2021-03-04,351829101,58831292,17.15,16.00
2021-03-03,307273108,57014485,14.96,17.15
2021-03-02,296746935,36184712,14.45,14.96
2021-03-01,236668736,28131454,11.26,14.45
2021-02-28,252444531,24154440,12.32,11.26
2021-02-27,256478262,48811042,12.43,12.32
2021-02-26,256594773,59453826,12.34,12.43
2021-02-25,262528703,105963114,12.66,12.34
2021-02-24,230865338,103205501,11.42,12.66
2021-02-23,202784201,40037308,9.87,11.42
2021-02-22,190535447,24925706,9.37,9.87
2021-02-21,177540023,35199501,8.68,9.37
2021-02-20,175254551,31058059,8.45,8.68
2021-02-19,147158099,17141355,7.17,8.45
2021-02-18,124929062,13345470,6.10,7.17
2021-02-17,124319743,12425478,6.07,6.10
2021-02-16,106559498,12863137,6.16,6.07
2021-02-15,104714026,14455647,6.07,6.16
