date,mktcap,vol,open_price,close_price
2021-10-04,84093973,2401653,1.58,1.47
2021-10-03,85361164,1973898,1.59,1.58
2021-10-02,82495160,2313489,1.56,1.59
2021-10-01,80093756,2742814,1.52,1.56
2021-09-30,79426030,1959366,1.52,1.52
2021-09-29,77025984,2324945,1.47,1.52
2021-09-28,83388417,4010974,1.60,1.47
2021-09-27,84641990,2501076,1.63,1.60
2021-09-26,87225591,2727133,1.68,1.63
2021-09-25,92763389,5173464,1.78,1.68
2021-09-24,98611033,6672912,1.92,1.78
2021-09-23,98367207,10202102,1.92,1.92
2021-09-22,80107570,9968294,1.58,1.92
2021-09-21,96791919,7311683,1.91,1.58
2021-09-20,125113514,5050249,2.46,1.91
2021-09-19,123955058,6008241,2.45,2.46
2021-09-18,130611751,8504740,2.59,2.45
2021-09-17,135844267,10489397,2.71,2.59
2021-09-16,111138546,7608295,2.21,2.71
2021-09-15,97475504,3829052,1.95,2.21
2021-09-14,101800423,6321546,2.05,1.95
2021-09-13,117653732,11348985,2.36,2.05
2021-09-12,113911071,7703114,2.31,2.36
2021-09-11,92404389,8711989,1.91,2.31
2021-09-10,83835927,6485623,1.70,1.91
2021-09-09,75728192,5847697,1.55,1.70
2021-09-08,69185732,4209007,1.42,1.55
2021-09-07,85294720,3300872,1.76,1.42
2021-09-06,86409671,3333092,1.79,1.76
2021-09-05,84412820,2905635,1.75,1.79
2021-09-04,76066629,4665314,1.67,1.75
2021-09-03,77587470,10009295,1.71,1.67
2021-09-02,76761979,6666911,1.70,1.71
2021-09-01,77218626,5905592,1.72,1.70
2021-08-31,81579614,11804628,1.82,1.72
2021-08-30,104759340,13402080,2.35,1.82
2021-08-29,125941864,18525105,2.82,2.35
2021-08-28,135928321,30901056,3.07,2.82
2021-08-27,118714625,32371988,2.67,3.07
2021-08-26,162431370,50913682,3.70,2.67
2021-08-25,185963104,43177073,4.25,3.70
2021-08-24,141902220,28433680,3.26,4.25
2021-08-23,143909287,12220112,3.32,3.26
2021-08-22,148960839,50378699,3.45,3.32
2021-08-21,107023552,16038118,2.50,3.45
2021-08-20,75832345,10254733,1.81,2.50
2021-08-19,74548567,4216915,1.71,1.81
2021-08-18,57738110,3583782,1.36,1.71
2021-08-17,49055835,1246714,1.13,1.36
2021-08-16,47813329,502563,1.13,1.13
2021-08-15,46623679,593929,1.11,1.13
2021-08-14,46534793,782445,1.12,1.11
2021-08-13,42394001,634083,1.02,1.12
2021-08-12,42955418,836299,1.04,1.02
2021-08-11,41832454,2074198,1.02,1.04
2021-08-10,39973966,704238,0.978690,1.02
2021-08-09,37624910,847925,0.919634,0.978690
2021-08-08,40191757,707393,1.00,0.919634
2021-08-07,38561744,1069085,0.951142,1.00
2021-08-06,37111627,710276,0.924272,0.951142
2021-08-05,37183510,1194010,0.921147,0.924272
2021-08-04,35872517,320877,0.893566,0.921147
2021-08-03,37269571,438968,0.933651,0.893566
2021-08-02,36675096,860609,0.925226,0.933651
2021-08-01,39001813,828417,0.994925,0.925226
2021-07-31,37157475,679228,0.950309,0.994925
2021-07-30,36073554,996528,0.925288,0.950309
2021-07-29,35849452,638510,0.919590,0.925288
2021-07-28,35028761,565347,0.901180,0.919590
2021-07-27,34727295,1552798,0.894299,0.901180
2021-07-26,35602181,775869,0.925739,0.894299
2021-07-25,35512971,691580,0.932088,0.925739
2021-07-24,34616140,904345,0.912265,0.932088
2021-07-23,34223194,426716,0.903546,0.912265
2021-07-22,33282482,1640389,0.880723,0.903546
2021-07-21,30971133,2469092,0.825018,0.880723
2021-07-20,38125910,481006,1.02,0.825018
2021-07-19,40248632,401786,1.08,1.02
2021-07-18,40692001,384375,1.10,1.08
2021-07-17,40309194,1360934,1.09,1.10
2021-07-16,41953488,357048,1.14,1.09
2021-07-15,43194951,917821,1.18,1.14
2021-07-14,43129351,1035364,1.19,1.18
2021-07-13,45262521,1528601,1.25,1.19
2021-07-12,47439198,434615,1.32,1.25
2021-07-11,46228046,288798,1.29,1.32
2021-07-10,48312681,507790,1.35,1.29
2021-07-09,45703265,642927,1.30,1.35
2021-07-08,50491034,1528287,1.41,1.30
2021-07-07,52294730,1699574,1.49,1.41
2021-07-06,47093263,520844,1.35,1.49
2021-07-05,48149504,760319,1.39,1.35
2021-07-04,43865102,1451011,1.29,1.39
2021-07-03,42078186,1138113,1.22,1.29
2021-07-02,41278063,832263,1.20,1.22
2021-07-01,43370054,1063466,1.27,1.20
2021-06-30,42472210,583151,1.25,1.27
2021-06-29,40410742,751641,1.20,1.25
2021-06-28,38061929,481320,1.14,1.20
2021-06-27,35469483,420600,1.07,1.14
2021-06-26,35705670,794011,1.08,1.07
2021-06-25,39855799,643452,1.20,1.08
2021-06-24,39213029,579247,1.20,1.20
2021-06-23,36179310,1465138,1.10,1.20
2021-06-22,37908541,1415201,1.17,1.10
2021-06-21,46864560,980389,1.45,1.17
2021-06-20,45810288,1432868,1.42,1.45
2021-06-19,43898319,912594,1.38,1.42
2021-06-18,46977402,3387583,1.47,1.38
2021-06-17,43565077,2024477,1.38,1.47
2021-06-16,44957116,1631904,1.42,1.38
2021-06-15,42510127,905712,1.36,1.42
2021-06-14,40799596,1127736,1.31,1.36
2021-06-13,37166090,755931,1.20,1.31
2021-06-12,35509773,895844,1.17,1.20
2021-06-11,37587801,826646,1.23,1.17
2021-06-10,40331494,1174000,1.33,1.23
2021-06-09,38397083,1589108,1.27,1.33
2021-06-08,41416697,2719735,1.37,1.27
2021-06-07,40810101,408680,1.37,1.37
2021-06-06,39729590,816159,1.34,1.37
2021-06-05,42611822,1214648,1.44,1.34
2021-06-04,46389627,1183673,1.58,1.44
2021-06-03,43266061,920327,1.48,1.58
2021-06-02,40831521,700928,1.41,1.48
2021-06-01,41337540,791176,1.43,1.41
2021-05-31,34426114,823610,1.29,1.43
2021-05-30,33063519,4285874,1.25,1.29
2021-05-29,39689741,1317005,1.51,1.25
2021-05-28,43902594,2629366,1.68,1.51
2021-05-27,50736874,1918195,1.96,1.68
2021-05-26,47067038,1872747,1.82,1.96
2021-05-25,45839858,2492851,1.79,1.82
2021-05-24,36766846,4105609,1.45,1.79
2021-05-23,46221592,2527407,1.82,1.45
2021-05-22,52865060,2566271,2.12,1.82
2021-05-21,61536829,2556227,2.42,2.12
2021-05-20,57590389,5899068,2.26,2.42
2021-05-19,84829524,2656283,3.46,2.26
2021-05-18,78008030,3286349,3.20,3.46
2021-05-17,84204631,3649888,3.51,3.20
2021-05-16,82073550,3296028,3.42,3.51
2021-05-15,89249658,4443447,3.77,3.42
2021-05-14,80820007,5043786,3.46,3.77
2021-05-13,88024395,5438529,3.47,3.46
2021-05-12,91774164,2802411,3.95,3.47
2021-05-11,87307065,6019513,3.78,3.95
2021-05-10,87307065,6019513,3.78,3.78
2021-05-07,90045900,4014.73,4.01,3.78
2021-05-06,86029280,4396979,3.87,4.01
2021-05-05,78050284,5432040,3.46,3.87
2021-05-04,91365418,7920209,4.25,3.46
