date,mktcap,vol,open_price,close_price
2021-10-04,3862535,1830031,0.119104,0.117872
2021-10-03,3711609,1873454,0.113435,0.119104
2021-10-02,3563984,1754947,0.110046,0.113435
2021-10-01,3677601,1605920,0.112976,0.110046
2021-09-30,3692455,1819300,0.113051,0.112976
2021-09-29,3648436,1791833,0.111905,0.113051
2021-09-28,3714338,1684846,0.112685,0.111905
2021-09-27,3761971,1494661,0.115568,0.112685
2021-09-26,3639237,1942441,0.111264,0.115568
2021-09-25,3594436,1584295,0.110477,0.111264
2021-09-24,3764849,1976532,0.114616,0.110477
2021-09-23,3737740,2103722,0.114830,0.114616
2021-09-22,3664096,1763249,0.114169,0.114830
2021-09-21,3800539,1531111,0.116604,0.114169
2021-09-20,4010807,1118324,0.123212,0.116604
2021-09-19,4004715,1022449,0.123137,0.123212
2021-09-18,4144385,1202768,0.126834,0.123137
2021-09-17,4463327,1293887,0.136510,0.126834
2021-09-16,4326937,1225706,0.132923,0.136510
2021-09-15,4238379,1460452,0.130216,0.132923
2021-09-14,4294298,1575100,0.132541,0.130216
2021-09-13,4629802,1637629,0.140443,0.132541
2021-09-12,4621899,2154959,0.142041,0.140443
2021-09-11,4900463,2651138,0.146191,0.142041
2021-09-10,4704433,2076278,0.156062,0.146191
2021-09-09,4948032,2140834,0.145370,0.156062
2021-09-08,4560208,1831551,0.142563,0.145370
2021-09-07,4910044,1828302,0.151001,0.142563
2021-09-06,5324384,1701130,0.158563,0.151001
2021-09-05,5546400,1879391,0.170399,0.158563
2021-09-04,5102347,1988118,0.156848,0.170399
2021-09-03,5498030,2263899,0.168963,0.156848
2021-09-02,6045942,3032162,0.185731,0.168963
2021-09-01,4014869,2070193,0.122911,0.185731
2021-08-31,3599529,1683615,0.110409,0.122911
2021-08-30,2905928,1288341,0.089527,0.110409
2021-08-29,2879919,1483334,0.088249,0.089527
2021-08-28,2850315,1621066,0.087282,0.088249
2021-08-27,2851863,1758498,0.086907,0.087282
2021-08-26,2869740,1686604,0.088256,0.086907
2021-08-25,3179905,1674967,0.098219,0.088256
2021-08-24,3433961,1706670,0.105324,0.098219
2021-08-23,2801478,1384443,0.085868,0.105324
2021-08-22,2769896,1471223,0.085091,0.085868
