date,mktcap,vol,open_price,close_price
2021-10-04,3955307,364949,0.388796,0.381469
2021-10-03,3512359,180475,0.349760,0.388796
2021-10-02,3190380,97498,0.322673,0.349760
2021-10-01,3054659,398888,0.311997,0.322673
2021-09-30,2714515,138018,0.283511,0.311997
2021-09-29,2899965,282849,0.308126,0.283511
2021-09-28,3911903,231632,0.414899,0.308126
2021-09-27,4417358,269812,0.473584,0.414899
2021-09-26,4950633,311165,0.544168,0.473584
2021-09-25,5885119,298488,0.661273,0.544168
2021-09-24,6635689,497579,0.757297,0.661273
2021-09-23,7396168,452491,0.860871,0.757297
2021-09-22,7331434,634093,0.859855,0.860871
2021-09-21,8160990,549827,0.992525,0.859855
2021-09-20,8142214,818549,1.00,0.992525
2021-09-19,8524021,706805,1.10,1.00
2021-09-18,7393065,491559,0.932234,1.10
2021-09-17,7082100,411766,0.908652,0.932234
2021-09-16,6752165,332758,0.890998,0.908652
2021-09-15,6702210,493775,0.890621,0.890998
2021-09-14,7175040,481209,0.971616,0.890621
2021-09-13,6822537,388867,0.949348,0.971616
2021-09-12,6017344,269094,0.846161,0.949348
2021-09-11,6494295,426902,0.932470,0.846161
2021-09-10,5766507,279393,0.841729,0.932470
2021-09-09,6025866,386066,0.902563,0.841729
2021-09-08,7006918,318194,1.06,0.902563
2021-09-07,6874784,336641,1.08,1.06
2021-09-06,7466723,515147,1.19,1.08
2021-09-05,7209386,752642,1.18,1.19
2021-09-04,6170362,857835,1.00,1.18
2021-09-03,9389539,828684,1.60,1.00
2021-09-02,9251466,1565316,1.62,1.60
2021-09-01,9688038,1533766,1.73,1.62
2021-08-31,7505010,2254355,1.34,1.73
2021-08-30,5539462,757822,1.01,1.34
2021-08-29,3170070,200605,0.588841,1.01
2021-08-28,2811266,168039,0.537718,0.588841
2021-08-27,2591068,1.04,0.511233,0.537718
2021-08-26,2817233,125291,0.566760,0.511233
2021-08-25,2441722,409343,0.529363,0.566760
2021-08-24,2431032,383674,0.522459,0.529363
2021-08-23,2881711,418964,0.638430,0.522459
2021-08-22,3898328,332532,0.886960,0.638430
2021-08-21,4367685,483804,1.04,0.886960
2021-08-20,3882249,729378,0.987838,1.04
2021-08-19,4265127,529229,1.08,0.987838
2021-08-18,4949755,448672,1.29,1.08
2021-08-17,5207906,948293,1.44,1.29
2021-08-16,6809856,1258672,1.92,1.44
2021-08-15,7416376,953514,2.17,1.92
2021-08-14,7359751,1022587,2.21,2.17
2021-08-13,6166398,731871,1.93,2.21
2021-08-12,6181531,879911,2.06,1.93
2021-08-11,4709385,638197,1.62,2.06
2021-08-10,3931516,578902,1.48,1.62
2021-08-09,3351143,337295,1.26,1.48
2021-08-08,3531672,500115,1.42,1.26
2021-08-07,2820478,612456,1.21,1.42
2021-08-06,2820478,612456,1.21,1.21
2021-08-05,5314718,941615,2.61,1.21
2021-08-04,5337623,1575612,2.69,2.61
2021-08-03,5216108,513388,2.83,2.69
2021-08-02,4503299,581836,2.67,2.83
2021-08-01,3572399,506497,2.42,2.67
2021-07-31,2967512,472873,2.11,2.42
2021-07-30,2237571,299799,1.74,2.11
2021-07-29,1842147,661403,1.58,1.74
2021-07-28,2583754,606622,2.50,1.58
2021-07-27,2123860,779590,2.46,2.50
2021-07-26,941859,308565,1.24,2.46
2021-07-25,1439718,959617,1.86,1.24
2021-07-24,1720365,498544,2.86,1.86
2021-07-23,693366,144823,1.19,2.86
2021-07-22,0.000000000000,148468,1.12,1.19
2021-07-21,0.000000000000,406857,0.760514,1.12
2021-07-20,0.000000000000,406857,0.760514,0.760514
