date,mktcap,vol,open_price,close_price
2021-10-04,40983631,436060,0.00278841,0.00275770
2021-10-03,40624924,360597,0.00276413,0.00278841
2021-10-02,38530990,901204,0.00262099,0.00276413
2021-10-01,40137441,725878,0.00271249,0.00262099
2021-09-30,40894028,445448,0.00277371,0.00271249
2021-09-29,35835423,562829,0.00271052,0.00277371
2021-09-28,40695217,551959,0.00308214,0.00271052
2021-09-27,41841706,757555,0.00319186,0.00308214
2021-09-26,41946953,481834,0.00319511,0.00319186
2021-09-25,40860509,1034311,0.00312050,0.00319511
2021-09-24,43022875,561076,0.00327470,0.00312050
2021-09-23,42548367,698779,0.00324259,0.00327470
2021-09-22,41400653,1210482,0.00342244,0.00324259
2021-09-21,41400653,1204773,0.00312827,0.00342244
2021-09-20,41400653,465076,0.00341295,0.00312827
2021-09-19,41400653,419265,0.00343177,0.00341295
2021-09-18,41400653,503691,0.00340345,0.00343177
2021-09-17,41400653,574331,0.00342554,0.00340345
2021-09-16,41400653,626934,0.00331597,0.00342554
2021-09-15,41400653,583252,0.00340513,0.00331597
2021-09-14,41400653,945072,0.00314163,0.00340513
2021-09-13,41863932,465589,0.00319220,0.00314163
2021-09-12,42965813,443172,0.00325995,0.00319220
2021-09-11,44744494,829251,0.00340935,0.00325995
2021-09-10,46505892,746549,0.00351410,0.00340935
2021-09-09,47509968,1211552,0.00361287,0.00351410
2021-09-08,39774622,1843000,0.00304347,0.00361287
2021-09-07,32766610,445318,0.00248947,0.00304347
2021-09-06,36078981,511972,0.00274782,0.00248947
2021-09-05,39896281,389685,0.00302981,0.00274782
2021-09-04,39664355,412763,0.00302708,0.00302981
2021-09-03,39569951,612206,0.00303264,0.00302708
2021-09-02,39390604,554142,0.00300025,0.00303264
2021-09-01,35621735,555094,0.00271277,0.00300025
2021-08-31,39872717,509669,0.00302122,0.00271277
2021-08-30,41376754,471819,0.00315087,0.00302122
2021-08-29,47730159,436695,0.00363746,0.00315087
2021-08-28,52563536,785818,0.00399478,0.00363746
2021-08-27,50135255,762263,0.00381805,0.00399478
2021-08-26,61304029,1723622,0.00455104,0.00381805
2021-08-25,44118678,1068473,0.00332930,0.00455104
2021-08-24,20376613,311330,0.00155084,0.00332930
2021-08-23,22293768,241774,0.00169062,0.00155084
2021-08-22,22430890,256060,0.00170219,0.00169062
2021-08-21,22719886,351357,0.00173277,0.00170219
2021-08-20,21551242,310463,0.00165672,0.00173277
2021-08-19,22080165,374174,0.00167248,0.00165672
2021-08-18,22785789,415655,0.00174760,0.00167248
2021-08-17,22703464,375266,0.00173176,0.00174760
2021-08-16,23341560,355650,0.00177959,0.00173176
2021-08-15,23998421,310309,0.00182602,0.00177959
2021-08-14,23278496,377265,0.00177277,0.00182602
2021-08-13,23448206,386180,0.00178117,0.00177277
2021-08-12,24094037,296448,0.00183293,0.00178117
2021-08-11,24450635,378829,0.00186073,0.00183293
2021-08-10,24759651,516445,0.00188586,0.00186073
2021-08-09,24985484,457238,0.00189827,0.00188586
2021-08-08,25088248,461214,0.00190880,0.00189827
2021-08-07,25326332,524523,0.00192873,0.00190880
2021-08-06,24735767,423241,0.00188467,0.00192873
2021-08-05,10063087,270420,0.00189208,0.00188467
2021-08-04,10790368,273381,0.00203251,0.00189208
2021-08-03,9770497,264064,0.00183515,0.00203251
2021-08-02,9740155,281362,0.00183650,0.00183515
2021-08-01,9644286,239513,0.00181168,0.00183650
2021-07-31,9724247,293140,0.00182405,0.00181168
2021-07-30,9683667,239261,0.00182514,0.00182405
2021-07-29,9752532,442386,0.00183353,0.00182514
2021-07-28,9541015,343496,0.00178951,0.00183353
2021-07-27,9605293,805325,0.00179869,0.00178951
2021-07-26,9607805,223288,0.00180632,0.00179869
2021-07-25,10045397,160167,0.00189768,0.00180632
2021-07-24,10129665,194965,0.00190289,0.00189768
2021-07-23,10235847,4571.65,0.00192874,0.00190289
2021-07-22,10189853,192921,0.00192553,0.00192874
2021-07-21,10030028,291103,0.00188538,0.00192553
2021-07-20,10325887,208378,0.00192692,0.00188538
2021-07-19,10165074,175541,0.00191058,0.00192692
2021-07-18,10089954,136355,0.00189773,0.00191058
2021-07-17,10309804,173386,0.00194665,0.00189773
2021-07-16,10436473,192850,0.00196035,0.00194665
2021-07-15,10378998,195093,0.00195169,0.00196035
