date,mktcap,vol,open_price,close_price
2021-10-04,448048778,4873013,8.66,7.82
2021-10-03,469304146,1903846,9.03,8.66
2021-10-02,444460908,3274380,8.65,9.03
2021-10-01,440589580,3329818,8.56,8.65
2021-09-30,400597393,4226497,7.80,8.56
2021-09-29,391366558,4681961,7.62,7.80
2021-09-28,433947485,4769803,8.43,7.62
2021-09-27,468994482,7282996,9.19,8.43
2021-09-26,421383890,3351077,10.11,9.19
2021-09-25,473373561,3686155,11.31,10.11
2021-09-24,469672093,3653719,11.38,11.31
2021-09-23,458152107,7082875,11.17,11.38
2021-09-22,370293848,4767364,9.04,11.17
2021-09-21,411175789,5845775,10.06,9.04
2021-09-20,502154430,4539344,12.21,10.06
2021-09-19,481588401,4815234,11.80,12.21
2021-09-18,429840953,4139367,10.54,11.80
2021-09-17,469217029,5048296,11.54,10.54
2021-09-16,448262777,4714729,11.08,11.54
2021-09-15,459897004,6416629,11.39,11.08
2021-09-14,462150829,8779464,11.49,11.39
2021-09-13,463906057,5077917,11.51,11.49
2021-09-12,394205391,4260729,9.82,11.51
2021-09-11,444973027,7160390,11.09,9.82
2021-09-10,413636837,14458221,10.32,11.09
2021-09-09,350385604,27209783,8.56,10.32
2021-09-08,342803313,1584985,8.66,8.56
2021-09-07,401766630,1742594,10.17,8.66
2021-09-06,407025908,2533113,10.24,10.17
2021-09-05,376704301,1080556,9.52,10.24
2021-09-04,367021041,1790183,9.28,9.52
2021-09-03,362217560,1413171,9.17,9.28
2021-09-02,364677108,3412471,9.27,9.17
2021-09-01,347231275,2170407,9.48,9.27
2021-08-31,333488217,2897183,8.50,9.48
2021-08-30,327536026,1246777,8.36,8.50
2021-08-29,323824641,1169460,8.30,8.36
2021-08-28,320423144,1877183,8.21,8.30
2021-08-27,292255030,1660619,7.57,8.21
2021-08-26,312133252,1039339,8.11,7.57
2021-08-25,311814025,1327187,8.12,8.11
2021-08-24,338437328,1316813,8.85,8.12
2021-08-23,331636464,1216812,8.68,8.85
2021-08-22,328880388,2038623,8.61,8.68
2021-08-21,288771341,1293043,7.61,8.61
2021-08-20,290770176,1827990,7.62,7.61
2021-08-19,268908804,1838820,7.12,7.62
2021-08-18,247062146,1736193,6.50,7.12
2021-08-17,247367234,1992855,6.46,6.50
2021-08-16,249345699,1360719,6.64,6.46
2021-08-15,241140050,1179628,6.43,6.64
2021-08-14,236643824,1748355,6.32,6.43
2021-08-13,225417812,1414360,6.05,6.32
2021-08-12,228978803,2399559,6.16,6.05
2021-08-11,236321954,767427,6.37,6.16
2021-08-10,224850496,744366,6.09,6.37
2021-08-09,218272090,1003629,5.91,6.09
2021-08-08,234993950,641965,6.39,5.91
2021-08-07,226466344,799783,6.17,6.39
2021-08-06,216967927,919126,5.91,6.17
2021-08-05,218872451,1046439,5.97,5.91
2021-08-04,218362610,857200,5.98,5.97
2021-08-03,221980970,703172,6.09,5.98
2021-08-02,222000786,788776,6.10,6.09
2021-08-01,225681306,1014753,6.24,6.10
2021-07-31,229932691,738443,6.36,6.24
2021-07-30,227041727,811297,6.31,6.36
2021-07-29,228187615,1082160,6.41,6.31
2021-07-28,204634559,714401,6.31,6.41
2021-07-27,211303635,1192013,6.48,6.31
2021-07-26,201453838,776482,6.29,6.48
2021-07-25,198234556,693245,6.13,6.29
2021-07-24,197665121,1041894,6.13,6.13
2021-07-23,202826440,1081017,6.28,6.13
2021-07-22,202738817,1600549,6.35,6.28
2021-07-21,176224795,1077846,5.52,6.35
2021-07-20,186907795,878976,5.84,5.52
2021-07-19,208336565,657225,6.57,5.84
2021-07-18,189525795,815353,5.96,6.57
2021-07-17,182863968,1145502,5.80,5.96
2021-07-16,194193136,1139556,6.16,5.80
2021-07-15,194205219,1354687,6.15,6.16
2021-07-14,209432713,1345139,6.68,6.15
2021-07-13,222247489,1642112,7.11,6.68
2021-07-12,248287308,772763,7.97,7.11
2021-07-11,244834524,664894,7.87,7.97
2021-07-10,234262522,1562119,7.56,7.87
2021-07-09,232691362,1442269,7.51,7.56
2021-07-08,254510565,858824,8.26,7.51
2021-07-07,255012964,1390753,8.29,8.26
2021-07-06,269822169,1171854,8.80,8.29
2021-07-05,259089583,1390429,8.47,8.80
2021-07-04,251523675,945902,8.24,8.47
2021-07-03,246824806,1847790,8.13,8.24
2021-07-02,248241854,1398772,8.19,8.13
2021-07-01,280663029,1654512,9.29,8.19
2021-06-30,289768612,1849602,9.61,9.29
2021-06-29,287991356,2995831,9.59,9.61
2021-06-28,234120765,629003,11.25,9.59
2021-06-27,222376779,687120,10.68,11.25
2021-06-26,219480580,1597437,10.61,10.68
2021-06-25,243049676,2290931,11.79,10.61
2021-06-24,230213355,1774627,11.33,11.79
2021-06-23,178628521,1141586,8.74,11.33
2021-06-22,188383826,946912,9.24,8.74
2021-06-21,199119538,698534,9.88,9.24
2021-06-20,199875471,1239768,9.91,9.88
2021-06-19,202418924,617370,10.08,9.91
2021-06-18,202454940,623829,10.13,10.08
2021-06-17,201854079,756015,10.23,10.13
2021-06-16,213979483,1351110,10.67,10.23
2021-06-15,203535545,792674,10.28,10.67
2021-06-14,210572920,713877,10.62,10.28
2021-06-13,211359922,2098925,10.78,10.62
2021-06-12,195866385,985583,10.02,10.78
2021-06-11,211030457,740341,10.89,10.02
2021-06-10,214395196,1301558,11.14,10.89
2021-06-09,207148912,1353912,10.80,11.14
2021-06-08,215023131,1202069,11.09,10.80
2021-06-07,219368435,1214973,11.53,11.09
2021-06-06,206737022,1171460,10.93,11.53
2021-06-05,199165690,1564573,10.56,10.93
2021-06-04,206383000,1261843,10.96,10.56
2021-06-03,205175260,1434502,10.94,10.96
2021-06-02,214172299,1064223,11.63,10.94
2021-06-01,211664708,1222313,11.41,11.63
2021-05-31,214685417,1148413,11.63,11.41
2021-05-30,208481312,803352,11.37,11.63
2021-05-29,200058815,1193195,10.95,11.37
2021-05-28,198938380,1780538,11.23,10.95
2021-05-27,218333527,1761165,12.08,11.23
2021-05-26,211235808,1828790,11.73,12.08
2021-05-25,203770296,1473773,11.39,11.73
2021-05-24,179778632,3311306,10.33,11.39
2021-05-23,195998776,1680381,11.07,10.33
2021-05-22,211394577,3676483,11.99,11.07
2021-05-21,232920231,2314302,13.27,11.99
2021-05-20,224881746,5863662,13.04,13.27
2021-05-19,229350903,3080835,13.16,13.04
2021-05-18,252250022,3018585,14.54,13.16
2021-05-17,258439447,4221057,15.30,14.54
2021-05-16,266583922,4366508,15.55,15.30
2021-05-15,251234729,4522619,14.73,15.55
2021-05-14,190439986,2817931,11.42,14.73
2021-05-13,184476448,4791252,10.75,11.42
2021-05-12,185662617,6792665,11.02,10.75
2021-05-11,150310964,1221928,9.00,11.02
2021-05-10,151350234,1172320,9.14,9.00
