date,mktcap,vol,open_price,close_price
2021-10-04,1518876,204188,0.04110362,0.04112779
2021-10-03,1512906,209696,0.04086657,0.04110362
2021-10-02,1458777,207130,0.03958693,0.04086657
2021-10-01,1406554,282226,0.03817102,0.03958693
2021-09-30,1375412,262907,0.03732996,0.03817102
2021-09-29,1483628,261176,0.04026320,0.03732996
2021-09-28,1490449,348183,0.04037829,0.04026320
2021-09-27,1489654,260847,0.04053264,0.04037829
2021-09-26,1572764,258994,0.04285111,0.04053264
2021-09-25,1657538,224298,0.04499658,0.04285111
2021-09-24,1675931,292145,0.04575610,0.04499658
2021-09-23,1649285,267761,0.04518837,0.04575610
2021-09-22,1624232,311972,0.04483504,0.04518837
2021-09-21,1706518,334720,0.04718873,0.04483504
2021-09-20,1994432,360558,0.054951,0.04718873
2021-09-19,1971860,357622,0.054444,0.054951
2021-09-18,2084338,378099,0.057913,0.054444
2021-09-17,2058886,472909,0.057130,0.057913
2021-09-16,2151437,467819,0.060032,0.057130
2021-09-15,2357130,583934,0.065535,0.060032
2021-09-14,2378858,366887,0.066321,0.065535
2021-09-13,2173956,287044,0.064913,0.066321
2021-09-12,2210936,311213,0.066111,0.064913
2021-09-11,2166052,324235,0.064769,0.066111
2021-09-10,2288719,322409,0.068817,0.064769
2021-09-09,2372967,386943,0.071313,0.068817
2021-09-08,2413916,423311,0.073207,0.071313
2021-09-07,2882743,417571,0.087444,0.073207
2021-09-06,2909332,604746,0.088227,0.087444
2021-09-05,2924917,518344,0.088585,0.088227
2021-09-04,2821514,377509,0.085694,0.088585
2021-09-03,2778711,450872,0.084444,0.085694
2021-09-02,2875747,504888,0.087879,0.084444
2021-09-01,2928700,619787,0.088649,0.087879
2021-08-31,2657460,477342,0.081051,0.088649
2021-08-30,0.000000000000,561722,0.082420,0.081051
2021-08-29,0.000000000000,526931,0.090184,0.082420
2021-08-28,0.000000000000,516352,0.093276,0.090184
2021-08-27,0.000000000000,445481,0.091935,0.093276
2021-08-26,0.000000000000,484242,0.099278,0.091935
2021-08-25,0.000000000000,513516,0.105834,0.099278
2021-08-24,0.000000000000,511045,0.101702,0.105834
2021-08-23,0.000000000000,377332,0.105192,0.101702
2021-08-22,0.000000000000,399152,0.108591,0.105192
2021-08-21,0.000000000000,362232,0.109737,0.108591
2021-08-20,0.000000000000,358578,0.113844,0.109737
2021-08-19,0.000000000000,391413,0.117007,0.113844
2021-08-18,0.000000000000,449068,0.125933,0.117007
2021-08-17,0.000000000000,485049,0.135240,0.125933
2021-08-16,0.000000000000,575992,0.139683,0.135240
2021-08-15,0.000000000000,688875,0.145292,0.139683
2021-08-14,0.000000000000,811627,0.150460,0.145292
2021-08-13,0.000000000000,811627,0.150460,0.150460
