date,mktcap,vol,open_price,close_price
2021-10-04,6858976,65436,0.147629,0.149850
2021-10-03,6499471,32992,0.139873,0.147629
2021-10-02,5807454,231151,0.132397,0.139873
2021-10-01,5105061,177054,0.109242,0.132397
2021-09-30,4440284,220988,0.095427,0.109242
2021-09-29,4860463,76986,0.104153,0.095427
2021-09-28,4912626,69480,0.105521,0.104153
2021-09-27,4583812,80969,0.097638,0.105521
2021-09-26,4877110,8065.24,0.105391,0.097638
2021-09-25,5030556,72158,0.107616,0.105391
2021-09-24,5177678,116369,0.111540,0.107616
2021-09-23,4854319,101479,0.104299,0.111540
2021-09-22,5053217,158800,0.110726,0.104299
2021-09-21,4978811,127730,0.111846,0.110726
2021-09-20,5261249,99469,0.117377,0.111846
2021-09-19,4946950,28314,0.111031,0.117377
2021-09-18,4995804,102292,0.112128,0.111031
2021-09-17,4866634,75230,0.105231,0.112128
2021-09-16,4933603,100570,0.110731,0.105231
2021-09-15,5138462,110230,0.115401,0.110731
2021-09-14,5387496,66940,0.120919,0.115401
2021-09-13,5546284,97637,0.124483,0.120919
2021-09-12,5250719,345819,0.117641,0.124483
2021-09-11,4318167,302149,0.103157,0.117641
2021-09-10,4280221,270612,0.096067,0.103157
2021-09-09,4040317,94830,0.088585,0.096067
2021-09-08,3950874,143743,0.088675,0.088585
2021-09-07,4519782,187744,0.100925,0.088675
2021-09-06,4372384,158155,0.113376,0.100925
2021-09-05,4342951,55533,0.102209,0.113376
2021-09-04,4901330,102785,0.115854,0.102209
2021-09-03,4576316,151930,0.114705,0.115854
2021-09-02,4652334,96516,0.096184,0.114705
2021-09-01,4268137,119335,0.100860,0.096184
2021-08-31,4514705,128667,0.106251,0.100860
2021-08-30,4788185,119130,0.112687,0.106251
2021-08-29,4062495,189354,0.095609,0.112687
2021-08-28,4585281,45822,0.107942,0.095609
2021-08-27,4734557,31478,0.111441,0.107942
2021-08-26,5103720,186170,0.120092,0.111441
2021-08-25,4275900,118674,0.100229,0.120092
2021-08-24,4674349,86555,0.109971,0.100229
2021-08-23,4160310,141264,0.103521,0.109971
2021-08-22,4954979,153246,0.116315,0.103521
2021-08-21,5203476,87569,0.125676,0.116315
2021-08-20,4753241,50963,0.117305,0.125676
2021-08-19,4983341,17537.77,0.121301,0.117305
2021-08-18,4685914,65636,0.113298,0.121301
2021-08-17,4909382,93823,0.118671,0.113298
2021-08-16,5065755,112851,0.123036,0.118671
2021-08-15,5058103,38759,0.122857,0.123036
2021-08-14,5070522,81081,0.123411,0.122857
2021-08-13,4434898,90216,0.108078,0.123411
2021-08-12,4627857,140466,0.112273,0.108078
2021-08-11,4867920,47746,0.117864,0.112273
2021-08-10,4556427,68573,0.112246,0.117864
2021-08-09,4591687,50864,0.111905,0.112246
2021-08-08,4901016,57099,0.119727,0.111905
2021-08-07,5224794,115641,0.127210,0.119727
2021-08-06,4608860,81769,0.111732,0.127210
2021-08-05,5185979,35116,0.126223,0.111732
2021-08-04,4927351,57991,0.121285,0.126223
2021-08-03,4550927,26379,0.111974,0.121285
2021-08-02,4923400,79699,0.121205,0.111974
2021-08-01,5405258,109679,0.133023,0.121205
2021-07-31,4786271,39119,0.118319,0.133023
2021-07-30,4746904,126054,0.119537,0.118319
2021-07-29,4005813,112867,0.093438,0.119537
2021-07-28,3457137,32544,0.085230,0.093438
2021-07-27,4206152,91919,0.100404,0.085230
2021-07-26,3793419,192577,0.125543,0.100404
2021-07-25,3484015,86522,0.085963,0.125543
2021-07-24,3332749,145656,0.081749,0.085963
2021-07-23,3732573,7111.58,0.092830,0.081749
2021-07-22,3648977,43608,0.090460,0.092830
2021-07-21,3122809,15811.76,0.076650,0.090460
2021-07-20,3173520,18573.49,0.078323,0.076650
2021-07-19,3644035,27345,0.089683,0.078323
2021-07-18,3933044,21190,0.096359,0.089683
2021-07-17,4123970,17904.12,0.101219,0.096359
2021-07-16,4796013,52230,0.117267,0.101219
2021-07-15,0.000000000000,5859.40,0.104344,0.117267
2021-07-14,0.000000000000,12871.61,0.100082,0.104344
2021-07-13,0.000000000000,4777.68,0.098219,0.100082
2021-07-12,0.000000000000,20925,0.105085,0.098219
2021-07-11,0.000000000000,10454.58,0.100415,0.105085
2021-07-10,0.000000000000,14321.41,0.101242,0.100415
2021-07-09,0.000000000000,13844.01,0.099036,0.101242
2021-07-08,0.000000000000,15605.27,0.109628,0.099036
2021-07-07,0.000000000000,3626.16,0.112819,0.109628
2021-07-06,0.000000000000,19074.34,0.105865,0.112819
2021-07-05,0.000000000000,10023.43,0.111567,0.105865
2021-07-04,0.000000000000,19964.99,0.102165,0.111567
2021-07-03,0.000000000000,19296.09,0.093731,0.102165
2021-07-02,0.000000000000,27847,0.098808,0.093731
2021-07-01,0.000000000000,28926,0.119803,0.098808
2021-06-30,0.000000000000,107929,0.117491,0.119803
2021-06-29,0.000000000000,63966,0.094645,0.117491
2021-06-28,0.000000000000,489970,0.109746,0.094645
2021-06-27,0.000000000000,40826,0.122637,0.109746
2021-06-26,0.000000000000,11644.87,0.121593,0.122637
2021-06-25,0.000000000000,16178.76,0.135904,0.121593
2021-06-24,0.000000000000,21530,0.139162,0.135904
2021-06-23,0.000000000000,48202,0.139187,0.139162
2021-06-22,0.000000000000,36807,0.135130,0.139187
2021-06-21,0.000000000000,71652,0.175565,0.135130
2021-06-20,0.000000000000,28690,0.173972,0.175565
2021-06-19,0.000000000000,55847,0.156607,0.173972
2021-06-18,0.000000000000,9999.29,0.169911,0.156607
2021-06-17,0.000000000000,21288,0.171224,0.169911
2021-06-16,0.000000000000,10350.63,0.198619,0.171224
2021-06-15,0.000000000000,29552,0.199479,0.198619
2021-06-14,0.000000000000,8028.65,0.199629,0.199479
2021-06-13,0.000000000000,34406,0.183159,0.199629
2021-06-12,0.000000000000,181774,0.191766,0.183159
2021-06-11,0.000000000000,93370,0.211154,0.191766
2021-06-10,0.000000000000,7935.44,0.199649,0.211154
2021-06-09,0.000000000000,14690.74,0.195277,0.199649
2021-06-08,0.000000000000,30479,0.208367,0.195277
2021-06-07,0.000000000000,62162,0.219334,0.208367
2021-06-06,0.000000000000,24387,0.206225,0.219334
2021-06-05,0.000000000000,233096,0.225790,0.206225
2021-06-04,0.000000000000,29494,0.285972,0.225790
2021-06-03,0.000000000000,45627,0.303319,0.285972
2021-06-02,0.000000000000,51172,0.308950,0.303319
2021-06-01,0.000000000000,98385,0.301983,0.308950
2021-05-31,0.000000000000,66698,0.241676,0.301983
2021-05-30,0.000000000000,131636,0.221103,0.241676
2021-05-29,0.000000000000,259146,0.233872,0.221103
2021-05-28,0.000000000000,130291,0.260518,0.233872
2021-05-27,0.000000000000,110000,0.216729,0.260518
2021-05-26,0.000000000000,136946,0.188265,0.216729
2021-05-25,0.000000000000,310317,0.224728,0.188265
2021-05-24,0.000000000000,382861,0.171601,0.224728
2021-05-23,0.000000000000,278334,0.152249,0.171601
2021-05-22,0.000000000000,311712,0.175683,0.152249
2021-05-21,0.000000000000,288387,0.261050,0.175683
2021-05-20,0.000000000000,146420,0.249250,0.261050
2021-05-19,0.000000000000,613149,0.376312,0.249250
2021-05-18,0.000000000000,215685,0.338042,0.376312
2021-05-17,0.000000000000,158135,0.318532,0.338042
2021-05-16,0.000000000000,45239,0.314248,0.318532
2021-05-15,0.000000000000,31669,0.349633,0.314248
2021-05-14,0.000000000000,145525,0.320435,0.349633
2021-05-13,0.000000000000,76297,0.340264,0.320435
2021-05-12,0.000000000000,49519,0.331728,0.340264
2021-05-11,0.000000000000,199734,0.335326,0.331728
2021-05-10,0.000000000000,74564,0.393640,0.335326
2021-05-09,0.000000000000,80583,0.401215,0.393640
2021-05-08,0.000000000000,125496,0.361358,0.401215
2021-05-07,0.000000000000,479158,0.395084,0.361358
2021-05-06,0.000000000000,110344,0.412378,0.395084
2021-05-05,0.000000000000,155250,0.396389,0.412378
2021-05-04,0.000000000000,174882,0.443408,0.396389
2021-05-03,0.000000000000,155649,0.443252,0.443408
2021-05-02,0.000000000000,387382,0.451086,0.443252
2021-05-01,0.000000000000,230530,0.441827,0.451086
2021-04-30,0.000000000000,92193,0.440202,0.441827
2021-04-29,0.000000000000,213096,0.444039,0.440202
2021-04-28,0.000000000000,244571,0.465622,0.444039
2021-04-27,0.000000000000,207880,0.439079,0.465622
2021-04-26,0.000000000000,236094,0.417178,0.439079
2021-04-25,0.000000000000,312268,0.401195,0.417178
2021-04-24,0.000000000000,703257,0.396758,0.401195
2021-04-23,0.000000000000,790580,0.441571,0.396758
